# pyDL periodicity scores computed on 2019-09-05 14:12:04
# Calculation time:  4583.724609 seconds
# Input files:  /Users/haase-admin/Desktop/moseley/DLxJTK_TAKT_runs_avg/Data/AA_FUP_means_filtered.tsv
# Period(s) of oscillation tested:  45.0000, 48.0000, 51.0000
# Number of random curves generated from background:  1000000
# Number of curve permutations:  10000
	period	reg_score	per_score	p_reg	p_reg_norm	p_per	p_per_norm	p_tot	dl_score
PF3D7_0100100	45.0	0.2415512350564681	2.5764998400247676	0.999812	1.4343764167130537	0.015	75.0	107.57823125347903	1.245011634338332e+18
PF3D7_0100200	48.0	0.5518377238821666	5.2384379339280684	0.485112	0.6959640535065621	0.0003	1.4999999999999998	1.043946080259843	1137719740439.5776
PF3D7_0100300	45.0	0.35212258103085947	3.775213891339322	0.981081	1.4075040600485484	0.0001	0.5	0.7037520300242742	348546670306.3945
PF3D7_0100400	48.0	0.46466035879732426	4.2511269055118435	0.785555	1.1269934407978928	0.0003	1.4999999999999998	1.6904901611968388	4831016017128.834
PF3D7_0100500	48.0	0.5474152101929001	4.314661221262308	0.501429	0.7193731744127994	0.0064	32.0	23.01994158120958	1.2198698320642294e+16
PF3D7_0100900	45.0	0.20508341478558248	2.1707650507165703	0.999973	1.4346073947400135	0.0309	154.5	221.6468424873321	1.08889212662852e+19
PF3D7_0101000	51.0	0.633664737762246	6.598703705186089	0.21771	0.3123368090026914	0.0002	1.0	0.3123368090026914	30470136031.921074
PF3D7_0101100	51.0	0.5880462758092516	6.506005765437446	0.356104	0.5108832255435873	1e-06	0.004999999999999999	0.0025544161277179364	17334.445179680442
PF3D7_0101200	51.0	0.5936528065674416	6.019349474635972	0.337171	0.4837210703607848	0.0007	3.5	1.6930237462627469	4852784883656.106
PF3D7_0101500	48.0	0.6709696143726704	6.2853976831394505	0.134526	0.19299720530933842	0.0002	1.0	0.19299720530933842	7188944892.367793
PF3D7_0101600	51.0	0.7097081282044039	7.781939131498224	0.075729	0.1086443167928199	1e-06	0.004999999999999999	0.0005432215839640994	166.72517572274737
PF3D7_0101900	45.0	0.4755361909629754	5.791156955635202	0.752607	1.07972472010054	1e-06	0.004999999999999999	0.005398623600502699	163637.50855448144
PF3D7_0102700	48.0	0.9041772965848008	6.837778100876255	0.000504	0.0007230616496135063	1e-06	0.004999999999999999	3.615308248067531e-06	0.00014314188238738175
PF3D7_0102900	51.0	0.2959097996001915	3.6648414745615607	0.997605	1.431210152703734	1e-06	0.004999999999999999	0.007156050763518669	381113.0231152945
PF3D7_0103000	48.0	0.8607192044995863	7.496049920139729	0.002484	0.003563660987380853	1e-06	0.004999999999999999	1.7818304936904264e-05	0.00634673180019682
PF3D7_0103100	48.0	0.8243832957152016	6.906759652383693	0.007076	0.010151556017192798	1e-06	0.004999999999999999	5.075778008596399e-05	0.137320419481689
PF3D7_0103200	48.0	0.5565538081927739	5.53637468691946	0.467861	0.6712149731147316	1e-06	0.004999999999999999	0.003356074865573657	39312.369769791556
PF3D7_0103300	51.0	0.310526561740783	3.0178899320479027	0.995736	1.4285287990864173	0.0094	47.0	67.14085355706162	3.02664013883236e+17
PF3D7_0103400	48.0	0.6047020677275238	6.241926128570537	0.30128	0.432230186102296	1e-06	0.004999999999999999	0.0021611509305114796	10497.622676481058
PF3D7_0103500	48.0	0.33074140361521714	3.2597942905172888	0.99087	1.4215478110169346	1e-06	0.004999999999999999	0.007107739055084672	373446.1444248954
PF3D7_0103600	48.0	0.4497747209117957	4.317454863150297	0.827373	1.1869874726699914	1e-06	0.004999999999999999	0.005934937363349956	217411.27702936291
PF3D7_0103700	51.0	0.21994773252702576	1.313619640636227	0.999932	1.4345485742486759	0.4484	2242.0	3216.2579034655314	3.3270000724954537e+22
PF3D7_0103800	45.0	0.661599616644801	4.845630905428034	0.152739	0.21912641527840745	0.019	95.0	20.81700945144871	9021194840313152.0
PF3D7_0103900	48.0	0.7237072119516771	6.8706978784354185	0.060249	0.0864359946975479	0.0001	0.5	0.04321799734877395	80733499.53243205
PF3D7_0104000	45.0	0.8287811975793733	6.935296017982904	0.006291	0.00902535880499716	1e-06	0.004999999999999999	4.512679402498579e-05	0.09674664058663782
PF3D7_0104100	48.0	0.8800935678363789	7.480238053416745	0.001256	0.0018019155395130237	1e-06	0.004999999999999999	9.009577697565117e-06	0.0009948320726217983
PF3D7_0104200	48.0	0.5966281488694646	6.072959226103868	0.32719	0.469401867335403	1e-06	0.004999999999999999	0.0023470093366770146	13445.58684513647
PF3D7_0104300	48.0	0.43476925212606937	4.019838577902625	0.864284	1.2399416959812695	0.0015	7.5	9.299562719859521	804244081654810.0
