# pyDL periodicity scores computed on 2019-09-05 12:55:19
# Calculation time:  4871.651408 seconds
# Input files:  /Users/haase-admin/Desktop/moseley/DLxJTK_TAKT_runs_avg/Data/AS_3D7_means_filtered.tsv
# Period(s) of oscillation tested:  45.0000, 48.0000, 51.0000
# Number of random curves generated from background:  1000000
# Number of curve permutations:  10000
	period	reg_score	per_score	p_reg	p_reg_norm	p_per	p_per_norm	p_tot	dl_score
PF3D7_0100100	51.0	0.6258308616652922	7.125205232228134	0.00139	0.0022904222451081355	1e-06	0.0003225806451612903	7.388458855187534e-07	5.095070569473667e-06
PF3D7_0100200	51.0	0.3628666881009528	2.590855181327337	0.529101	0.8718451081359423	0.1039	33.51612903225807	29.220873140427233	2.4950550845644932e+16
PF3D7_0100300	51.0	0.5803964701548494	6.505733040929717	0.006512	0.01073038105046344	1e-06	0.0003225806451612903	3.4614132420849807e-06	0.000443844965291466
PF3D7_0100400	51.0	0.22080615597993844	2.9840722446884986	0.987016	1.6263909371781666	1e-06	0.0003225806451612903	0.0005246422377994086	1532.1641746579141
PF3D7_0100500	45.0	0.4865906350158779	4.541769937581263	0.082574	0.13606426364572605	0.0042	1.3548387096774193	0.18434513139098366	6264965892.836667
PF3D7_0100600	51.0	0.29708272885208536	2.41753819721141	0.836927	1.3790764160659112	0.0677	21.838709677419356	30.11724947343942	2.7317826880753864e+16
PF3D7_0100900	48.0	0.3420209892516591	3.4125961503790903	0.635323	1.0468762100926878	1e-06	0.0003225806451612903	0.00033770200325570576	408.6172445184758
PF3D7_0101000	48.0	0.32811543259136255	2.7507834845150154	0.703669	1.1594957775489185	0.0048	1.5483870967741935	1.7953483007209061	5786908947280.657
PF3D7_0101100	51.0	0.3539818555774634	3.9807068995316373	0.574805	0.9471555097837281	0.0001	0.03225806451612904	0.03055340354141059	28549363.42881945
PF3D7_0101200	51.0	0.46911865984280465	5.155523906484042	0.117113	0.1929771369721936	0.0001	0.03225806451612904	0.006225068934586892	241468.9610719581
PF3D7_0101300	48.0	0.4822106813126341	4.7552418507743335	0.090399	0.14895818743563335	1e-06	0.0003225806451612903	4.8051028205043015e-05	1.1771803716275424
PF3D7_0101500	51.0	0.3426875173827272	4.411832200003774	0.631981	1.0413693099897012	1e-06	0.0003225806451612903	0.0003359255838676456	402.20274140325427
PF3D7_0101600	51.0	0.3044693631316873	1.7085000894497642	0.808532	1.3322875386199793	0.3248	104.77419354838709	139.58935243347395	2.7199262116464804e+18
PF3D7_0101900	48.0	0.27182967872519465	2.371394648451244	0.914672	1.5071835221421215	0.0028	0.9032258064516129	1.3613270522574	2522830938047.4844
PF3D7_0102200	48.0	0.818462451300701	6.869652186943852	1e-06	1.6477857878475796e-06	1e-06	0.0003225806451612903	5.315438025314773e-10	5.868569258799326e-10
PF3D7_0102300	51.0	0.7897889297313792	5.277173106801509	3e-06	4.943357363542739e-06	0.033	10.645161290322582	5.262283645061626e-05	5963.337126039595
PF3D7_0102400	45.0	0.5287052191691557	4.79111739855709	0.030484	0.05023110195674562	1e-06	0.0003225806451612903	1.6203581276369554e-05	0.04515652445940506
PF3D7_0102500	48.0	0.5124578956271828	4.838069799820392	0.046122	0.07599917610710608	1e-06	0.0003225806451612903	2.45158632603568e-05	0.15636233225222723
PF3D7_0102600	51.0	0.41750633622617145	4.445755701433917	0.275725	0.4543357363542739	1e-06	0.0003225806451612903	0.00014655991495299156	33.40127927955043
PF3D7_0102700	48.0	0.6865085530291519	6.323770053259398	0.00018	0.00029660144181256436	1e-06	0.0003225806451612903	9.567788445566592e-08	1.1492683442465727e-07
PF3D7_0102800	48.0	0.48489041732322713	4.098080698914164	0.085614	0.1410735324407827	0.0025	0.8064516129032259	0.11376897777482475	1472631401.7139807
PF3D7_0102900	48.0	0.253938488420947	1.9154018155902053	0.951659	1.5681301750772398	0.0112	3.6129032258064515	5.665502568020996	181850932379514.44
PF3D7_0103000	48.0	0.5196493309814207	4.237053032972058	0.038601	0.06360617919670443	0.0011	0.3548387096774194	0.022569934553669315	11500101.704006236
PF3D7_0103100	48.0	0.5960427539758962	4.389023901824071	0.003827	0.006306076210092688	0.0058	1.8709677419354838	0.01179846516727019	1683692.2007689227
PF3D7_0103200	48.0	0.3872075235412537	3.101852168797939	0.407968	0.6722438722966014	0.0081	2.6129032258064515	1.75650818245241	5419404359181.193
PF3D7_0103300	51.0	0.19253080563685407	1.932048987045276	0.996887	1.64265623069001	0.0536	17.290322580645164	28.402056117736954	2.2911288074749452e+16
PF3D7_0103400	48.0	0.4465030127931554	3.9621727658556423	0.175548	0.2892654994850669	0.0008	0.2580645161290323	0.07464916115743664	415993463.86398804
PF3D7_0103500	45.0	0.21647484033019215	3.000437253689746	0.989354	1.6302434603501543	0.0002	0.06451612903225808	0.10517699744194546	1163769030.421431
PF3D7_0103600	48.0	0.40859090254120484	3.255372281687101	0.311901	0.5139460350154479	0.009	2.903225806451613	1.4921013919803325	3321977619758.6475
PF3D7_0103700	45.0	0.22806381950975038	1.3544698778213797	0.982196	1.6184486096807413	0.3981	128.4193548387097	207.84012629480748	8.978181045306985e+18
PF3D7_0103800	48.0	0.20308881327922418	1.8518189179486595	0.994576	1.6388481977342944	0.0017	0.5483870967741935	0.8987232052091291	725904472214.4048
PF3D7_0103900	48.0	0.5223935001130522	3.87859948544074	0.035909	0.059170339855818745	0.0163	5.258064516129032	0.31112146440317595	30124091982.66784
PF3D7_0104000	48.0	0.31684522421077654	2.0564318510718103	0.756018	1.2457557157569514	0.056	18.06451612903226	22.503974220125578	1.139666929157493e+16
PF3D7_0104100	48.0	0.5721681874331759	5.000541862520075	0.008595	0.014162718846549948	0.0007	0.22580645161290322	0.003198033287930633	32871.32748956873
PF3D7_0104200	48.0	0.3416950250367711	3.6306324044013563	0.637022	1.0496757981462408	1e-06	0.0003225806451612903	0.0003386050961762067	411.9042268355816
PF3D7_0104300	48.0	0.2837418927960422	2.937759269728263	0.88173	1.4529021627188465	1e-06	0.0003225806451612903	0.0004686781170060795	1092.294178004852
PF3D7_0104400	48.0	0.3673951662676398	3.5752962120831753	0.505873	0.8335703398558187	1e-06	0.0003225806451612903	0.00026889365801800605	206.2802679419184
PF3D7_0104500	51.0	0.3728064498381971	2.203862781705403	0.478418	0.7883303810504634	0.2325	75.0	59.124778578784756	2.0668515309042608e+17
PF3D7_0104600	51.0	0.19515369821810535	1.0631087292272015	0.996406	1.6418636457260556	0.5771	186.16129032258064	305.6514548220989	2.8554828944386585e+19
PF3D7_0104800	48.0	0.3575579298758395	3.342067429956962	0.556287	0.9166418125643665	1e-06	0.0003225806451612903	0.0002956909072788279	274.3025281161371
PF3D7_0104900	45.0	0.2569124221356317	1.7014352433013442	0.946458	1.5595600411946446	0.2586	83.41935483870968	130.09749246868876	2.201947481591325e+18
PF3D7_0105000	51.0	0.20091479664475229	2.1643259399076866	0.995154	1.6398006179196702	0.0222	7.161290322580646	11.743088296069898	1619373951058984.2
PF3D7_0105100	48.0	0.6840508354362994	4.931015544608948	0.000207	0.000341091658084449	0.0175	5.645161290322581	0.0019255174246702767	68501.17671387669
PF3D7_0105200	48.0	0.5396537578185965	4.896692262183475	0.022664	0.037345417095777544	0.0012	0.3870967741935484	0.014456290488688081	3023324.613398504
PF3D7_0105300	48.0	0.5758945205870057	5.087125485330606	0.007645	0.012597322348094747	0.0002	0.06451612903225808	0.000812730474070629	540.346169463457
PF3D7_0105500	48.0	0.5216419465151271	4.318640574076949	0.036653	0.06039629248197734	0.0023	0.7419354838709677	0.04481015248662835	90001365.2604603
PF3D7_0105600	51.0	0.2450365248793581	2.7900063091806855	0.964889	1.5899303810504632	0.0007	0.22580645161290322	0.3590165376565562	46275599320.023026
PF3D7_0105700	48.0	0.6152442963110621	4.324666340870603	0.001995	0.003287332646755921	0.014	4.516129032258065	0.01484601840470416	3574916.714437614
PF3D7_0105800	48.0	0.6313527420062327	5.059694810163423	0.001162	0.0019147270854788876	0.0021	0.6774193548387096	0.0012970731869373108	2777.423464713331
PF3D7_0105900	48.0	0.47970796219073086	4.095411578962962	0.095186	0.15684613800205974	0.0023	0.7419354838709677	0.11636971529185078	1575935206.0768163
PF3D7_0106000	48.0	0.6138952647823616	4.999633785195268	0.002075	0.003419155509783728	0.0021	0.6774193548387096	0.0023162021195309124	13488.870757149989
PF3D7_0106100	48.0	0.2873452950617265	1.9269811530766796	0.870396	1.4342261585993819	0.0432	13.935483870967744	19.98663550048171	7983977237253346.0
PF3D7_0106200	45.0	0.46613918636461377	4.028717072300586	0.123925	0.2042018537590113	0.0038	1.2258064516129032	0.2503119497691106	15683950153.516499
PF3D7_0106300	45.0	0.10111877809417681	1.351402883827135	1.0	1.6477857878475797	0.1468	47.35483870967742	78.03063021162087	4.751114573864048e+17
PF3D7_0106400	51.0	0.1951550367977875	1.3102176855969228	0.996406	1.6418636457260556	0.3907	126.03225806451613	206.92778270489353	8.860466209139666e+18
PF3D7_0106500	48.0	0.4965810505819158	3.377575280545939	0.066705	0.1099155509783728	0.0114	3.67741935483871	0.40420557456562906	66045445526.56379
PF3D7_0106600	48.0	0.3053640269281463	2.727069104540566	0.804929	1.3263505664263644	0.001	0.3225806451612903	0.42785502142785947	78323902928.12575
PF3D7_0106700	45.0	0.099732176578331	1.4838222938051606	1.0	1.6477857878475797	0.0572	18.451612903225808	30.404305504800504	2.8106413050702372e+16
PF3D7_0106800	48.0	0.542495665712756	4.944426218194842	0.020851	0.034357981462409884	0.0011	0.3548387096774194	0.012191541809242217	1813623.3136552407
PF3D7_0106900	48.0	0.5370286787854484	4.228585529811259	0.024353	0.04012852729145211	0.0046	1.4838709677419355	0.05954555662602571	211260298.79240844
PF3D7_0107000.1	48.0	0.629109341356867	5.151134026842855	0.00125	0.0020597322348094747	0.0031	1.0	0.0020597322348094747	10798.150610937411
PF3D7_0107100	48.0	0.5008192697266661	4.711497294337104	0.060602	0.09985911431513902	0.0003	0.0967741935483871	0.009663785256303776	902675.6607963272
PF3D7_0107200	48.0	0.5305726430826766	4.60984138719665	0.029022	0.04782203913491245	0.0006	0.1935483870967742	0.00925587854224112	793330.9437059023
PF3D7_0107300	45.0	0.2953235942874314	3.2278683537398063	0.843267	1.389523377960865	0.0012	0.3870967741935484	0.5378800172751735	155617829517.75916
PF3D7_0107400	48.0	0.33456980083649557	2.8234039985347104	0.672317	1.1078343975283214	1e-06	0.0003225806451612903	0.00035736593468655526	484.233903297113
PF3D7_0107500	48.0	0.1624017995841621	1.6511955923765151	0.999543	1.6470327497425332	1e-06	0.0003225806451612903	0.0005313008870137204	1591.2454209266589
PF3D7_0107600	48.0	0.27299255383644605	2.8188645041527685	0.911758	1.5023818743563335	1e-06	0.0003225806451612903	0.0004846393143084947	1207.7345790099187
PF3D7_0107700	48.0	0.2831868317269072	1.8306976823080765	0.883438	1.45571658084449	0.0626	20.193548387096776	29.396083213182287	2.5402040860884804e+16
PF3D7_0107800	48.0	0.5849740969639149	4.5995435660789346	0.005584	0.009201235839340885	0.0068	2.193548387096774	0.02018335603468323	8319167.637460084
PF3D7_0107900	51.0	0.39078738103684163	3.693322018661503	0.391107	0.6444605561277034	0.0073	2.3548387096774195	1.5176006644297533	3495213008346.0396
PF3D7_0108000	48.0	0.41738726902292955	3.411315582135184	0.276239	0.4551826982492276	0.0075	2.4193548387096775	1.1012484635061959	1335543742138.5518
PF3D7_0108100	48.0	0.4594195581025298	3.676372320664122	0.140179	0.23098496395468587	0.0047	1.5161290322580647	0.3502030098667819	42950473086.348564
PF3D7_0108300	45.0	0.10707337612779755	1.431121738962704	0.999999	1.6477841400617919	0.1006	32.45161290322581	53.47325306136008	1.5290087698525155e+17
PF3D7_0108400.1	48.0	0.2696240589121213	2.361808317774229	0.920027	1.5160074150360452	0.0001	0.03225806451612904	0.04890346500116276	117067472.1159807
PF3D7_0108500	48.0	0.6082287075115241	5.43907742686449	0.002511	0.004137590113285273	0.0007	0.22580645161290322	0.0009342945417095777	863.2068391960789
