# pyDL periodicity scores computed on 2019-07-16 10:04:52
# Calculation time:  4976.810328 seconds
# Input files:  /Users/haase-admin/Desktop/moseley/sickle-scripts/AA13_3D7_ts_filtered.tsv
# Period(s) of oscillation tested:  45.0000, 48.0000, 51.0000
# Number of random curves generated from background:  1000000
# Number of curve permutations:  10000
	period	reg_score	per_score	p_reg	p_reg_norm	p_per	p_per_norm	p_tot	dl_score
PF3D7_0100100	51.0	0.6356891678427965	7.1824971149105705	0.005689	0.01029218479618706	1e-06	0.0004545454545454545	4.6782658164486634e-06	0.0006035985127619144
PF3D7_0100200	51.0	0.4250653250499828	2.4328716688055376	0.432109	0.7817447143778511	0.2195	99.77272727272727	77.9968021845174	4.7449441233907584e+17
PF3D7_0100300	51.0	0.629079873150613	6.990183989663663	0.006995	0.01265491872900835	1e-06	0.0004545454545454545	5.752235785912886e-06	0.0011184750580612453
PF3D7_0100400	51.0	0.26441438526113314	3.3495158258401565	0.969664	1.7542557704710722	0.0001	0.045454545454545456	0.07973889865777602	507248752.545061
PF3D7_0100500	45.0	0.6490833827795404	3.343222354215073	0.003795	0.006865677852264	0.2345	106.59090909090908	0.73181884379814	400246685577.6835
PF3D7_0100600	51.0	0.3639335681813263	1.80815192878355	0.69751	1.2618916887306093	0.3549	161.3181818181818	203.56607287749694	8.435609517903172e+18
PF3D7_0100900	48.0	0.3326006207017051	2.982438996969362	0.816987	1.4780420425527296	0.001	0.45454545454545453	0.6718372920694226	303245678983.9905
PF3D7_0101000	51.0	0.35616904368359853	3.3395807888928712	0.728769	1.3184435264075318	0.012	5.454545454545454	7.191510144041082	371929440329917.56
PF3D7_0101100	51.0	0.413681856693916	4.454853554655556	0.481421	0.8709569162884815	0.0003	0.13636363636363635	0.11876685222115656	1675365877.0869327
PF3D7_0101200	51.0	0.489091283878209	5.384377172384554	0.189657	0.3431156428002196	1e-06	0.0004545454545454545	0.00015596165581828163	22.154912960260333
PF3D7_0101300	51.0	0.5273537179210694	5.600998166229343	0.095396	0.17258450708684495	1e-06	0.0004545454545454545	7.844750322129314e-05	2.819452645309964
PF3D7_0101400	51.0	0.5747569343992065	6.713043403225387	0.032618	0.059010455911764736	1e-06	0.0004545454545454545	2.6822934505347605e-05	0.11273438861973134
PF3D7_0101500	51.0	0.44143052684568684	5.370435978590779	0.363385	0.6574135299986703	1e-06	0.0004545454545454545	0.00029882433181757737	155.8338223053006
PF3D7_0101600	51.0	0.3679281414411844	1.8014466096417385	0.680739	1.231550639123147	0.38	172.72727272727272	212.72238312127084	9.625866973376907e+18
PF3D7_0101900	45.0	0.28416276308017785	3.38789049770437	0.9421	1.7043886968690158	0.0019	0.8636363636363635	1.4719720563868772	3189329782016.4536
PF3D7_0102200	48.0	0.8674996565581503	7.134496702408196	1e-06	1.8091377739826087e-06	0.0001	0.045454545454545456	8.223353518102767e-08	0.00016998678820453903
PF3D7_0102300	48.0	0.8789730500202326	6.230038536559881	1e-06	1.8091377739826087e-06	0.0041	1.8636363636363638	3.3715749424221345e-06	11.709995165402805
PF3D7_0102400	48.0	0.6043079893245764	5.066450683723402	0.014704	0.02660156182864028	1e-06	0.0004545454545454545	1.2091619013018308e-05	0.010339022917958246
PF3D7_0102500	48.0	0.5600779387941134	4.986821158405941	0.046734	0.08454824472930324	1e-06	0.0004545454545454545	3.843102033150147e-05	0.3315273345036258
PF3D7_0102600	51.0	0.5045335327912741	4.63602030034878	0.14649	0.26502059251071236	0.0031	1.409090909090909	0.37343810762873103	52078959996.26547
PF3D7_0102700	48.0	0.7826708819003223	6.599734790997918	2.7e-05	4.8846719897530436e-05	0.0001	0.045454545454545456	2.220305449887747e-06	0.004600579122175842
PF3D7_0102800	48.0	0.528913974953487	4.602402402018257	0.092426	0.16721136789811658	0.0023	1.0454545454545454	0.17481188462075822	5342306424.166259
PF3D7_0102900	48.0	0.2684412226964393	2.16488037279042	0.965049	1.7459065996441427	0.0057	2.590909090909091	4.523485280896188	92559233960344.56
PF3D7_0103000	48.0	0.5941914462700758	4.898162652214091	0.01954	0.035350552103620175	0.0003	0.13636363636363635	0.0048205298323118415	112112.76669065996
PF3D7_0103100	48.0	0.5835406558912413	4.504201634701382	0.025993	0.047024918159129944	0.0015	0.6818181818181818	0.03206244419940678	32975179.14974795
PF3D7_0103200	48.0	0.44756732905135754	3.6771772083799084	0.338385	0.612185085649105	0.0067	3.0454545454545454	1.864381851749547	6480459577032.425
PF3D7_0103300	48.0	0.19470539486599303	1.60936318801389	0.998854	1.8070645020936247	0.0042	1.909090909090909	3.4498504130878285	41058307695774.445
PF3D7_0103400	48.0	0.4214611354179028	3.83761728881675	0.447589	0.8097501671191019	0.0003	0.13636363636363635	0.11042047733442298	1346396201.54817
