# pyJTK periodicity scores computed on 2019-07-16 10:04:52
# Calculation time: 0.000846 seconds
# Input file: /Users/haase-admin/Desktop/moseley/sickle-scripts/AA13_3D7_ts_filtered.tsv
# Period(s) of oscillation tested: 45.0000, 48.0000, 51.0000
	p-value	amp	period	lag	tau
PF3D7_1400100	0.074149409439216	7.676054080849547	51.0	40.0	74.0
PF3D7_1400200	0.031003550035172057	16.67973309459431	51.0	32.5	78.0
PF3D7_1400300	1.0	7.541692981717848	48.125	13.71875	-58.0
PF3D7_1400500	0.048426734117954354	1.4992756289673714	51.0	34.0	76.0
PF3D7_1400600	0.0006803297011630345	7.813238962911199	51.0	34.0	92.0
PF3D7_1401000	1.0	1.381784393510996	48.125	29.25	-22.0
PF3D7_1401050	0.007115131547795238	5.6202724932417	51.0	7.0	-84.0
PF3D7_1401100	0.0006803297011630345	487.9912217899869	51.0	8.5	-92.0
PF3D7_1401200	0.007115131547795238	267.09891541964555	51.0	38.5	84.0
PF3D7_1401300	0.34159160256630494	17.964028950099305	48.0	28.375	66.0
PF3D7_1401400	0.11143167772483249	20417.824975805503	51.0	13.0	-72.0
PF3D7_1401500	0.031003550035172057	92.8836669276471	45.0	26.5	78.0
PF3D7_1401600	0.0012842624885035599	169.09151313525751	45.0	19.0	-90.0
PF3D7_1401800	0.011903316453167643	96.08625373371483	51.0	38.5	82.0
PF3D7_1401900	0.002342695994481709	6.70103589837565	49.5	1.75	-88.0
PF3D7_1402000	0.01943095169546062	22.334033865298636	51.0	37.0	80.0
PF3D7_1402100	0.16453699804109032	6.68759003681331	51.0	34.0	70.0
PF3D7_1402200	0.0012842624885035599	112.4412099448849	51.0	43.0	90.0
PF3D7_1402300	0.23894651657040047	49.12100479631781	51.0	37.0	68.0
PF3D7_1402400	1.0	18.10205827239499	48.125	18.21875	-48.0
PF3D7_1402500	1.0	394.1917206760876	48.125	32.40625	-14.0
PF3D7_1402600	0.6680367990420074	7.863348626245708	48.0	27.0	62.0
PF3D7_1402700	0.031003550035172057	72.62068003433215	45.0	20.5	-78.0
PF3D7_1402800	0.074149409439216	73.32614822091512	45.0	22.75	-74.0
PF3D7_1402900	1.0	5.4896877538079165	48.125	34.46875	-8.0
PF3D7_1403000	1.0	1.021111425816006	48.125	20.40625	-54.0
PF3D7_1403100	0.01943095169546062	43.41518837482065	51.0	38.5	80.0
PF3D7_1403200	1.0	0.8421970010842388	48.125	24.90625	-8.0
PF3D7_1403400	3.516389639901545e-05	9.446889834183404	51.0	47.5	100.0
PF3D7_1403500	0.0012842624885035599	5.282140262655741	51.0	40.0	90.0
PF3D7_1403600	0.11143167772483249	21.31824683022484	51.0	43.0	72.0
PF3D7_1403700	0.0012842624885035599	6.155094114662522	48.0	31.875	-90.0
PF3D7_1403800	0.004141795071110547	7.594078353660395	49.5	40.0	86.0
PF3D7_1403900	0.011903316453167643	178.69436259017453	51.0	37.0	82.0
PF3D7_1404000	0.0006803297011630345	79.84757417075673	51.0	35.5	92.0
PF3D7_1404100	0.004141795071110547	274.7511964053971	51.0	38.5	86.0
PF3D7_1404200	0.6680367990420074	4.0312966546610145	45.0	16.0	-62.0
PF3D7_1404300	1.0	2.156650003178336	48.125	24.78125	-18.0
PF3D7_1404400	0.031003550035172057	25.1625077635861	51.0	43.0	78.0
PF3D7_1404500	1.0	27.958977641904603	48.125	15.84375	-56.0
PF3D7_1404700	0.074149409439216	2.363926805398309	49.5	3.25	-74.0
PF3D7_1404800	0.01943095169546062	580.885051357911	51.0	14.5	-80.0
PF3D7_1404900	1.0	216.14623025696778	48.125	16.375	-56.0
PF3D7_1405000	0.6680367990420074	8.336545331895966	48.0	31.875	-62.0
PF3D7_1405100	0.11143167772483249	13.800432533144361	51.0	37.0	72.0
PF3D7_1405200	0.074149409439216	28.12369098950581	51.0	37.0	74.0
PF3D7_1405300	0.031003550035172057	9.817720559414994	51.0	38.5	78.0
PF3D7_1405400	0.031003550035172057	12.874870347329441	51.0	38.5	78.0
PF3D7_1405500	1.0	17.723459077736734	48.125	23.75	-58.0
PF3D7_1405600	0.01943095169546062	140.90423842939794	51.0	38.5	80.0
PF3D7_1405700	0.4810985075880909	12.732320896543198	46.0	25.5	-64.0
PF3D7_1405800	0.074149409439216	141.45272314653712	51.0	14.5	-74.0
