# pyDL periodicity scores computed on 2019-07-16 15:32:02
# Calculation time:  4730.072353 seconds
# Input files:  /Users/haase-admin/Desktop/moseley/sickle-scripts/AA13_FUP_ts_filtered.tsv
# Period(s) of oscillation tested:  45.0000, 48.0000, 51.0000
# Number of random curves generated from background:  1000000
# Number of curve permutations:  10000
	period	reg_score	per_score	p_reg	p_reg_norm	p_per	p_per_norm	p_tot	dl_score
PF3D7_0100100	48.0	0.24194348057196613	2.270040089664589	0.999748	1.4874280647253815	0.0003	1.4999999999999998	2.231142097088072	11106624288003.266
PF3D7_0100200	48.0	0.5715860399365041	5.5864124337479835	0.373754	0.5560723191277904	1e-06	0.004999999999999999	0.0027803615956389516	22353.1425174326
PF3D7_0100300	45.0	0.27625958544860985	3.1427073080508543	0.998746	1.4859372861283202	0.0016	8.0	11.887498289026562	1679854262872988.2
PF3D7_0100400	48.0	0.45399200812325585	4.166307941776617	0.788936	1.173781340570007	0.0005	2.5	2.9344533514250175	25268648527841.895
PF3D7_0100500	51.0	0.7029028589761277	6.171022174939207	0.064872	0.09651675563728554	0.0037	18.5	1.7855599792897825	5693377088955.202
PF3D7_0100900	45.0	0.1567802589951641	1.775028642857301	1.0	1.4878029910791333	0.0578	289.0	429.9750644218695	7.94932049497948e+19
PF3D7_0101000	48.0	0.5939829704639461	5.691616783128739	0.297822	0.4431004624091696	0.0001	0.5	0.2215502312045848	10874782306.04026
PF3D7_0101100	51.0	0.5171834317370959	5.789151815253142	0.574659	0.8549793790505438	1e-06	0.004999999999999999	0.0042748968952527186	81247.66101157418
PF3D7_0101200	51.0	0.5270127809503495	5.522210800248041	0.538085	0.8005644724548155	0.0005	2.5	2.0014111811370388	8016959916581.209
PF3D7_0101500	48.0	0.5979942470597618	5.759335255947076	0.284886	0.4238542429165699	1e-06	0.004999999999999999	0.002119271214582849	9899.092319825291
PF3D7_0101600	48.0	0.6792417197422215	7.111571972101175	0.095492	0.1420732832241286	1e-06	0.004999999999999999	0.0007103664161206429	372.82250333566583
PF3D7_0101700	51.0	0.543605603443033	5.082687892319301	0.476255	0.7085736135163926	0.003	15.0	10.628604202745889	1200686343611072.5
PF3D7_0101900	45.0	0.40973065486070903	5.015031400390421	0.89959	1.3384126927448776	1e-06	0.004999999999999999	0.006692063463724387	311683.44431375875
PF3D7_0102700	48.0	0.9025173641109991	6.85042618074179	0.000244	0.00036302392982330854	0.0004	2.0	0.0007260478596466171	3286.925118319762
PF3D7_0102800	48.0	0.7041736323740336	6.3918228256970036	0.063444	0.09439217296602453	0.0005	2.5	0.23598043241506134	13142463742.943123
PF3D7_0102900	51.0	0.30314926739682746	3.755898117059008	0.995928	1.4817446572994593	1e-06	0.004999999999999999	0.007408723286497295	422925.2941813214
PF3D7_0103000	48.0	0.8549566586496624	7.2171857092247	0.001558	0.00231799706010129	0.0001	0.5	0.001158998530050645	1846.6137742806068
PF3D7_0103100	48.0	0.7903125451464915	6.618360937902085	0.010407	0.01548356572816054	0.0001	0.5	0.00774178286408027	465942.6286164646
PF3D7_0103200	48.0	0.5734712421913499	5.732878645284294	0.367094	0.5461635512072034	1e-06	0.004999999999999999	0.0027308177560360167	21179.365698119665
PF3D7_0103300	48.0	0.31578589269229856	2.4833130141592012	0.99331	1.477849589068814	0.0065	32.5	48.03011164473645	1.1080031311883146e+17
PF3D7_0103400	51.0	0.6001188591471492	6.452831254939457	0.278209	0.4139201823451346	1e-06	0.004999999999999999	0.002069600911725673	9219.252191754742
PF3D7_0103500	45.0	0.2824822809286366	3.7707939587241355	0.998343	1.4853377015229152	1e-06	0.004999999999999999	0.007426688507614575	426009.381454456
PF3D7_0103600	48.0	0.46579728827448835	4.479843059625216	0.752724	1.1199050186570496	1e-06	0.004999999999999999	0.005599525093285247	182594.3231354399
PF3D7_0103700	51.0	0.22457010713097453	1.699460995118755	0.999901	1.4876556985830165	0.205	1025.0	1524.847091047592	3.5455130073636924e+21
PF3D7_0103800	45.0	0.6131044286193171	4.693489780617682	0.239315	0.3560535728101028	0.0117	58.5	20.829134009391012	9036849887869336.0
PF3D7_0103900	48.0	0.7055547675501991	6.646334481554897	0.061954	0.09217534650931664	0.0001	0.5	0.04608767325465832	97905524.7840689
PF3D7_0104000	48.0	0.7973920184946403	6.526070318960872	0.008731	0.012990007915111913	1e-06	0.004999999999999999	6.495003957555955e-05	0.28664062878202423
PF3D7_0104100	45.0	0.8561359578959052	8.046974913847155	0.001505	0.002239143501574096	1e-06	0.004999999999999999	1.1195717507870477e-05	0.001750538365051076
PF3D7_0104200	48.0	0.5862450539027427	6.077940388106573	0.32321	0.4808728047466867	1e-06	0.004999999999999999	0.002404364023733433	14455.591949956046
PF3D7_0104300	48.0	0.43134599055549944	4.027585241339797	0.851213	1.2664372474454424	0.0007	3.5	4.432530366059049	87087428059071.47
PF3D7_0104400	48.0	0.6073659973925483	6.104941907069845	0.256179	0.3811438824516613	1e-06	0.004999999999999999	0.0019057194122583062	7198.022542246469
PF3D7_0104500	51.0	0.47879859275352854	5.435816700271282	0.71009	1.0564740259353818	1e-06	0.004999999999999999	0.005282370129676908	153292.25529649635
PF3D7_0104600	51.0	0.3279201302053266	3.733731187612996	0.989451	1.4721081573262396	0.0002	1.0	1.4721081573262396	3190213822670.3906
PF3D7_0104800	48.0	0.7232891776151588	6.758599797236505	0.045043	0.06701511012717741	1e-06	0.004999999999999999	0.000335075550635887	39.13436138141136
PF3D7_0104900	48.0	0.48032102437181023	3.879076660171657	0.704883	1.048727035760833	0.0075	37.5	39.32726384103123	6.0824926194064296e+16
