# pyJTK periodicity scores computed on 2019-07-16 16:50:58
# Calculation time: 0.000820 seconds
# Input file: /Users/haase-admin/Desktop/moseley/sickle-scripts/AA17_FUP_ts_filtered.tsv
# Period(s) of oscillation tested: 45.0000, 48.0000, 51.0000
	p-value	amp	period	lag	tau
PF3D7_1400100	0.0006803297011630345	30.70970327272665	51.0	43.0	92.0
PF3D7_1400200	0.002342695994481709	78.71583452435968	51.0	13.0	-88.0
PF3D7_1400300	0.0006803297011630345	3.80669825949147	51.0	10.0	-92.0
PF3D7_1400800	0.0012842624885035599	188.5157413277764	47.25	4.0	-90.0
PF3D7_1401000	0.11143167772483249	3.4169021258680656	48.0	34.0	72.0
PF3D7_1401050	0.0006803297011630345	2.1380857560900353	49.0	7.5	-92.0
PF3D7_1401100	0.01943095169546062	87.80136529545388	51.0	13.0	-80.0
PF3D7_1401200	0.031003550035172057	44.511926965283735	45.0	36.25	78.0
PF3D7_1401300	0.031003550035172057	18.188006946346277	51.0	31.0	78.0
PF3D7_1401400	0.01943095169546062	25752.519542480302	51.0	13.0	-80.0
PF3D7_1401500	0.002342695994481709	101.33540543966734	49.5	25.0	-88.0
PF3D7_1401600	0.34159160256630494	221.65564460021483	45.0	14.5	-66.0
PF3D7_1401700	0.6680367990420074	1.0139669391506088	51.0	8.5	-62.0
PF3D7_1401800	0.01943095169546062	143.66650114941902	51.0	38.5	80.0
PF3D7_1401900	7.932217418824561e-05	3.272507746235509	49.5	17.25	-98.0
PF3D7_1402000	7.932217418824561e-05	38.526579153605326	51.0	37.0	98.0
PF3D7_1402100	3.516389639901545e-05	16.23996655017287	51.0	32.5	100.0
PF3D7_1402200	5.735652685057447e-06	104.03807116232582	51.0	44.5	104.0
PF3D7_1402300	0.4810985075880909	42.01409817588975	51.0	44.5	64.0
PF3D7_1402400	1.0	11.185198526119613	48.125	25.53125	-18.0
PF3D7_1402500	0.0006803297011630345	1110.284997968307	51.0	35.5	92.0
PF3D7_1402600	0.6680367990420074	8.60984981038824	47.25	16.75	-62.0
PF3D7_1402700	0.031003550035172057	220.97805001294233	51.0	19.0	-78.0
PF3D7_1402800	0.34159160256630494	123.49428012356873	45.0	20.5	-66.0
PF3D7_1402900	0.16453699804109032	7.921022920653863	51.0	47.5	70.0
PF3D7_1403000	0.4810985075880909	1.5405777201224677	45.0	4.75	-64.0
PF3D7_1403100	7.932217418824561e-05	89.40117301845251	51.0	44.5	98.0
PF3D7_1403200	7.932217418824561e-05	3.2527404233002466	48.0	5.5	-98.0
PF3D7_1403300	0.00034707262534643487	1.4645925475626034	49.5	40.25	94.0
PF3D7_1403400	7.932217418824561e-05	30.079544480215702	48.0	44.5	98.0
PF3D7_1403500	0.004141795071110547	10.887426883076627	49.5	40.25	86.0
PF3D7_1403600	7.932217418824561e-05	19.935541165827367	51.0	44.5	98.0
PF3D7_1403700	0.0012842624885035599	10.763193920230751	45.0	42.25	90.0
PF3D7_1403800	0.004141795071110547	11.093453817712724	51.0	43.0	86.0
PF3D7_1403900	6.804813352432401e-07	412.51874097861474	51.0	34.0	108.0
PF3D7_1404000	0.004141795071110547	56.46834967058504	49.5	34.0	86.0
PF3D7_1404100	0.00034707262534643487	223.2873526645811	51.0	34.0	94.0
PF3D7_1404200	1.0	6.166399440907319	48.125	34.3125	-8.0
PF3D7_1404300	0.031003550035172057	12.470015575680868	47.25	4.0	-78.0
PF3D7_1404400	1.46918915520106e-05	67.12433561041622	51.0	43.0	102.0
PF3D7_1404500	0.9151609289079528	31.950365518693815	51.0	11.5	-60.0
PF3D7_1404700	7.932217418824561e-05	5.392554385733119	49.5	7.75	-98.0
PF3D7_1404800	0.031003550035172057	678.6504875853864	51.0	13.0	-78.0
PF3D7_1404900	1.0	82.76653384191928	48.125	18.84375	-56.0
PF3D7_1405000	0.11143167772483249	16.21946129370994	49.5	17.25	-72.0
PF3D7_1405100	0.004141795071110547	31.551793605232152	51.0	34.0	86.0
PF3D7_1405200	0.16453699804109032	21.351838076833722	51.0	40.0	70.0
PF3D7_1405300	0.11143167772483249	14.294593267560481	51.0	38.5	72.0
PF3D7_1405400	0.0012842624885035599	14.5941097666745	51.0	40.0	90.0
PF3D7_1405500	0.11143167772483249	28.88888084731728	51.0	22.0	-72.0
PF3D7_1405600	5.735652685057447e-06	534.5890485031224	51.0	43.0	104.0
PF3D7_1405700	0.074149409439216	15.922200296960188	51.0	44.5	74.0
PF3D7_1405800	0.01943095169546062	112.14365965422488	51.0	8.5	-80.0
PF3D7_1405900	0.011903316453167643	132.06342565628586	51.0	13.0	-82.0
PF3D7_1406000	0.00034707262534643487	131.203848389281	51.0	35.5	94.0
PF3D7_1406100	0.23894651657040047	9.687740121946685	45.0	13.0	-68.0
PF3D7_1406200	0.002342695994481709	143.50244050049113	51.0	13.0	-88.0
PF3D7_1406300	0.4810985075880909	49.875483043963754	45.0	42.25	64.0
PF3D7_1406400	0.0001698261780107018	15.438839091013339	51.0	44.5	96.0
PF3D7_1406600	1.46918915520106e-05	49.44017250431217	51.0	41.5	102.0
PF3D7_1406700	0.01943095169546062	121.93812413109235	51.0	41.5	80.0
PF3D7_1406800	1.46918915520106e-05	83.23042001873141	49.5	40.25	102.0
PF3D7_1406900	0.00034707262534643487	16.32021591434281	51.0	44.5	94.0
PF3D7_1407000	0.007115131547795238	2.2611137026032644	45.0	6.25	-84.0
PF3D7_1407100	0.0012842624885035599	1102.1258798431213	51.0	16.0	-90.0
PF3D7_1407200	0.0012842624885035599	30.888999547380514	48.0	41.5	90.0
PF3D7_1407300	0.048426734117954354	108.14411198581348	51.0	13.0	-76.0
PF3D7_1407400	7.932217418824561e-05	19.34316689143488	46.5	37.75	98.0
PF3D7_1407500	0.074149409439216	26.8846972842313	47.25	27.625	74.0
PF3D7_1407600	0.011903316453167643	3.861464262898914	48.0	27.166666666666668	-82.0
PF3D7_1407700	0.031003550035172057	14.462570575065444	51.0	13.0	-78.0
PF3D7_1407800	0.9151609289079528	384.61193225968094	51.0	13.0	-60.0
PF3D7_1407900	0.16453699804109032	942.4166601958774	51.0	13.0	-70.0
PF3D7_1408000	5.735652685057447e-06	685.7875432438366	51.0	34.0	104.0
PF3D7_1408100	1.46918915520106e-05	642.5304445499248	51.0	32.5	102.0
PF3D7_1408200	0.011903316453167643	168.51464346998546	51.0	16.0	-82.0
PF3D7_1408300	1.0	2.375344624100723	48.125	17.75	-44.0
PF3D7_1408400	0.01943095169546062	82.11094992808202	51.0	41.5	80.0
PF3D7_1408500	1.0	38.83564194047241	48.125	19.71875	-56.0
PF3D7_1408600	7.932217418824561e-05	3251.71759869567	47.25	27.625	98.0
PF3D7_1408700	0.34159160256630494	74.56686038436244	45.0	9.25	-66.0
PF3D7_1408900	1.0	20.889710349342604	48.125	26.71875	-50.0
PF3D7_1409000	1.0	15.137185560906302	48.125	29.6875	-30.0
PF3D7_1409100	0.002342695994481709	42.20611220466962	49.0	44.0	88.0
PF3D7_1409300	0.0012842624885035599	38.36898979505689	51.0	41.5	90.0
PF3D7_1409400	2.0695381558476795e-06	93.04010850883735	51.0	47.5	106.0
PF3D7_1409500	2.0695381558476795e-06	10.832943469109255	49.5	7.75	-106.0
PF3D7_1409600	0.11143167772483249	35.30960670421657	45.0	5.5	-72.0
PF3D7_1409700	1.46918915520106e-05	11.238299395471914	48.0	40.0	102.0
PF3D7_1409800	2.0695381558476795e-06	152.09198314079384	48.0	37.0	106.0
PF3D7_1409900	0.004141795071110547	157.80815096505575	51.0	37.0	86.0
PF3D7_1410000	0.011903316453167643	60.54264340198541	51.0	11.5	-82.0
PF3D7_1410100	0.011903316453167643	3.0924018029543636	51.0	14.5	-82.0
