# pyDL periodicity scores computed on 2019-07-16 14:12:49
# Calculation time:  4933.564959 seconds
# Input files:  /Users/haase-admin/Desktop/moseley/sickle-scripts/AS16_3D7_ts_filtered.tsv
# Period(s) of oscillation tested:  45.0000, 48.0000, 51.0000
# Number of random curves generated from background:  1000000
# Number of curve permutations:  10000
	period	reg_score	per_score	p_reg	p_reg_norm	p_per	p_per_norm	p_tot	dl_score
PF3D7_0100100	51.0	0.6172674586600557	6.9728516498257935	0.006113	0.010981785649484686	1e-06	0.000125	1.3727232061855857e-06	0.00016953078067328972
PF3D7_0100200	51.0	0.3639897942689519	2.6024179121947544	0.54407	0.9774022768387262	0.0927	11.5875	11.32564888286874	1452746167580279.2
PF3D7_0100300	51.0	0.5564465915247689	6.280772701298458	0.030613	0.05499515852898326	1e-06	0.000125	6.874394816122908e-06	0.021123230613229124
PF3D7_0100400	51.0	0.24556835230533486	2.7868194768602543	0.967899	1.738795901905869	0.001	0.125	0.21734948773823362	10268424174.413345
PF3D7_0100500	45.0	0.6936902076241261	6.354114716945724	0.000356	0.0006395412549021017	0.0037	0.4625	0.00029578783039222204	89.14988997128012
PF3D7_0100600	51.0	0.33075783181465995	2.2964261651187305	0.707933	1.2717762899062068	0.1386	17.325	22.033524222625033	1.0696758033703312e+16
PF3D7_0100900	48.0	0.3089178273070137	2.7468535638423592	0.804284	1.4448674119597809	0.0014	0.175	0.2528517970929616	16166370315.697748
PF3D7_0101000	48.0	0.36820321236510706	2.8873201775679993	0.522876	0.9393280146016612	0.009	1.125	1.0567440164268689	1180076678445.0947
PF3D7_0101100	48.0	0.29626968251566344	3.0446067458847366	0.85171	1.5300665230692951	1e-06	0.000125	0.0001912583153836619	454.75189829288087
PF3D7_0101200	48.0	0.41354747467677544	4.1968125767006885	0.316719	0.5689743446947717	1e-06	0.000125	7.112179308684647e-05	23.38421471648921
PF3D7_0101300	51.0	0.49268541730355647	5.296021986139158	0.101997	0.18323395892204963	0.0001	0.0125	0.0022904244865256207	12092.92883427012
PF3D7_0101400	51.0	0.5277758865180773	6.181695554491954	0.054874	0.09857917646488183	1e-06	0.000125	1.2322397058110229e-05	0.12163082174974517
PF3D7_0101500	51.0	0.34005785076668643	4.338698966592236	0.663238	1.191483322524607	1e-06	0.000125	0.0001489354153155759	214.7373577458125
PF3D7_0101600	45.0	0.28781208571317085	1.5779729974248564	0.879588	1.580148352013567	0.3452	43.15	68.18340138938542	3.169831391231149e+17
PF3D7_0101900	48.0	0.35973087921741953	2.6402513261816654	0.565583	1.016049611155324	0.023	2.875	2.921142632071557	24926354213637.11
PF3D7_0102200	48.0	0.8007158112278414	6.882211857357267	1e-06	1.796464199163207e-06	1e-06	0.000125	2.2455802489540088e-10	2.2806748007045853e-10
PF3D7_0102300	51.0	0.7544102506951023	4.810014786015058	1.7e-05	3.053989138577452e-05	0.0671	8.387500000000001	0.0002561533389981838	18037.235060608928
PF3D7_0102400	48.0	0.5095300549518563	3.8718360739721436	0.076528	0.13747981223356193	0.003	0.375	0.05155492958758572	137036626.71608904
PF3D7_0102500	48.0	0.48442213912171056	4.711248732196172	0.116477	0.20924676052593288	1e-06	0.000125	2.6155845065741613e-05	1.1631334456892264
PF3D7_0102600	48.0	0.39437021477885353	3.7645923861563775	0.397708	0.7144681837208008	1e-06	0.000125	8.93085229651001e-05	46.301272602434196
PF3D7_0102700	48.0	0.6675253520941095	6.136616647442721	0.001017	0.0018270040905489814	1e-06	0.000125	2.2837551131862267e-07	1.0061595445493142e-06
PF3D7_0102800	48.0	0.5219702143830306	4.0881380826035345	0.061275	0.11007834380372553	0.0086	1.075	0.11833421958900493	1657170784.7580721
PF3D7_0102900	48.0	0.2661924207557823	2.0264096307887374	0.934681	1.6791209541380656	0.0103	1.2875	2.1618682284527595	10103877522436.574
PF3D7_0103000	48.0	0.5165395005858721	4.08699682929191	0.067652	0.1215343960017893	0.0021	0.26249999999999996	0.03190277895046968	32472912.95868521
PF3D7_0103100	48.0	0.5965712280830753	3.9646661219849544	0.011253	0.020215611633183573	0.0161	2.0124999999999997	0.040683918411781934	67504050.49628289
PF3D7_0103200	48.0	0.3968421903231971	3.177913406193033	0.386524	0.6943765281173594	0.0093	1.1624999999999999	0.8072127139364302	525975121846.09735
PF3D7_0103300	51.0	0.23209271608758675	1.7827977239608854	0.981171	1.7626385747571631	0.1791	22.3875	39.46107109237599	6.144785793913223e+16
PF3D7_0103400	48.0	0.4534271066843028	3.725924372231481	0.185461	0.33317404684100754	0.0019	0.2375	0.07912883612473928	495468381.93724185
PF3D7_0103500	45.0	0.22871316638298028	2.7433169682144305	0.983718	1.7672141690724317	0.0023	0.2875	0.508074073608324	131155496292.08485
PF3D7_0103600	48.0	0.45920987552699793	3.246038008047082	0.170867	0.3069564483184197	0.0204	2.5500000000000003	0.7827389432119702	479573857444.9225
PF3D7_0103700	51.0	0.2564704045786632	1.4385543623105015	0.95245	1.7110423264929966	0.3959	49.4875	84.67520713232216	6.071121880028637e+17
PF3D7_0103800	48.0	0.23146606086346136	2.117972870737415	0.981692	1.7635745326049272	0.001	0.125	0.2204468165756159	10713698699.036377
PF3D7_0103900	48.0	0.5306557284077624	3.822535104924931	0.052015	0.09344308531947422	0.0198	2.475	0.2312716361656987	12371345189.118998
PF3D7_0104000	48.0	0.31458360438606103	1.3449453044521515	0.780799	1.402677450242433	0.3416	42.7	59.89432712535189	2.1486085111250582e+17
PF3D7_0104100	48.0	0.6060596071989837	5.146189629227634	0.008568	0.015392105258430357	0.0015	0.1875	0.002886019735955692	24140.12386568389
PF3D7_0104200	48.0	0.3441718650466865	3.5533596362388837	0.642921	1.1549845593902082	1e-06	0.000125	0.00014437306992377602	195.60153390936415
PF3D7_0104300	48.0	0.26156085965640324	2.7322634408691937	0.943668	1.6952657778959452	1e-06	0.000125	0.00021190822223699315	618.524535725169
PF3D7_0104400	48.0	0.35207587940788587	3.361036186096873	0.603789	1.0846853223485537	1e-06	0.000125	0.00013558566529356923	162.01493658291346
PF3D7_0104500	51.0	0.40508040166957165	2.1331484789500363	0.350955	0.6304780930173234	0.2938	36.725	23.154307966061204	1.2413564609809452e+16
PF3D7_0104600	51.0	0.23905954224590556	1.1624152103107377	0.974983	1.7515220542927412	0.5342	66.775	116.9578851753978	1.5998846148398746e+18
PF3D7_0104800	45.0	0.29437420018511345	3.5115641709420458	0.85818	1.541689646437881	1e-06	0.000125	0.00019271120580473513	465.19436547329127
PF3D7_0104900	51.0	0.43834624682357354	1.6462503472808157	0.228918	0.4112429915440431	0.5382	67.275	27.666372256125502	2.117674545937327e+16
PF3D7_0105000	51.0	0.28747096839665076	2.477067944629362	0.880618	1.5819987101387052	0.0507	6.3375	10.025916825504044	1007795643286455.6
PF3D7_0105100	48.0	0.6310265261120814	4.848133323686079	0.003878	0.006966688164354917	0.0103	1.2875	0.008969611011606957	736509.3580640088
PF3D7_0105200	48.0	0.5277690347569715	4.7527519644641485	0.05488	0.0985899552500768	0.002	0.25	0.0246474888125192	14975097.595051073
PF3D7_0105300	48.0	0.58913506233963	5.053722261773191	0.013776	0.024748090807672343	0.0012	0.15	0.003712213621150851	51242.07318855084
PF3D7_0105500	48.0	0.4544816734254659	3.558062005932333	0.182735	0.32827688543408867	0.0081	1.0125	0.33238034650201476	36720658639.67138
PF3D7_0105600	51.0	0.24938949980212813	2.791940733065071	0.963	1.7299950237941684	0.0012	0.15	0.25949925356912523	17475426570.74935
PF3D7_0105700	48.0	0.6420714154655329	3.9633233976009747	0.002668	0.004792966483367436	0.0444	5.55	0.026600963982689272	19642519.13170005
PF3D7_0105800	48.0	0.6178590172571942	4.841929512984674	0.005991	0.010762617017186773	0.0035	0.4375	0.004708644945019214	105298.76911803092
PF3D7_0105900	48.0	0.5185211460456612	4.391378965608473	0.06524	0.11720132435340765	0.0031	0.38749999999999996	0.04541551318694546	93680065.56558697
PF3D7_0106000	48.0	0.6171825671813088	4.789671429544087	0.006124	0.011001546755675481	0.0045	0.5625	0.006188370050067458	238948.1425103377
PF3D7_0106100	51.0	0.27834787103872427	2.62408634568194	0.906226	1.6280025653508765	0.0231	2.8874999999999997	4.7008574074506555	103879882411219.88
PF3D7_0106200	48.0	0.4894391442796377	3.36494453110468	0.107463	0.19305343223467572	0.0153	1.9124999999999999	0.3692146891488173	50332521121.96392
PF3D7_0106300	45.0	0.1086423982750402	1.2295452916367442	0.999994	1.7964534203780123	0.2789	34.8625	62.62885736792845	2.456538640323261e+17
PF3D7_0106400	51.0	0.21866498401975362	1.6330173393088536	0.989587	1.7777576174573206	0.2255	28.1875	50.110542842078225	1.2583094559733798e+17
