# pyJTK periodicity scores computed on 2019-07-16 14:12:50
# Calculation time: 0.000820 seconds
# Input file: /Users/haase-admin/Desktop/moseley/sickle-scripts/AS16_3D7_ts_filtered.tsv
# Period(s) of oscillation tested: 45.0000, 48.0000, 51.0000
	p-value	amp	period	lag	tau
PF3D7_1400100	0.048426734117954354	5.3475672330396575	51.0	43.0	76.0
PF3D7_1400200	0.007115131547795238	20.56028798083262	51.0	32.5	84.0
PF3D7_1400300	0.6680367990420074	6.129878821988174	49.5	11.5	-62.0
PF3D7_1400400	1.0	0.9966217174241601	48.125	15.78125	-44.0
PF3D7_1400500	0.031003550035172057	2.692471700280136	45.0	34.75	78.0
PF3D7_1400600	0.011903316453167643	11.099433551308977	51.0	34.0	82.0
PF3D7_1401000	0.6680367990420074	2.8344441182184967	45.0	7.0	-62.0
PF3D7_1401050	0.007115131547795238	4.6343786952227015	51.0	8.5	-84.0
PF3D7_1401100	1.46918915520106e-05	328.6747017137927	51.0	7.0	-102.0
PF3D7_1401200	0.01943095169546062	289.25651020277564	51.0	38.5	80.0
PF3D7_1401300	0.0012842624885035599	25.15070801648632	49.5	28.0	90.0
PF3D7_1401400	0.074149409439216	18235.336812591144	51.0	13.0	-74.0
PF3D7_1401500	7.932217418824561e-05	91.22636970676353	51.0	29.5	98.0
PF3D7_1401600	0.9151609289079528	144.93353742511542	45.0	19.75	-60.0
PF3D7_1401700	1.0	0.9236763396714525	48.125	21.96875	-16.0
PF3D7_1401800	0.01943095169546062	103.50513061938398	51.0	38.5	80.0
PF3D7_1401900	0.0012842624885035599	6.097005867731441	45.0	4.0	-90.0
PF3D7_1402000	0.074149409439216	23.999262196946436	51.0	37.0	74.0
PF3D7_1402100	1.0	8.157475989157916	48.125	32.8125	-14.0
PF3D7_1402200	0.00034707262534643487	111.03270489203857	51.0	40.0	94.0
PF3D7_1402300	1.0	55.497357172333764	48.125	32.40625	-16.0
PF3D7_1402400	1.0	12.36748282916868	48.125	27.4375	-22.0
PF3D7_1402500	1.0	384.8801762817418	48.125	31.34375	-14.0
PF3D7_1402600	1.0	15.24939735756343	48.125	23.71875	-48.0
PF3D7_1402700	1.0	79.16831038283996	48.125	18.75	-40.0
PF3D7_1402800	1.0	36.438633232400235	48.125	23.75	-52.0
PF3D7_1402900	1.0	4.4526563199067795	48.125	25.5625	-12.0
PF3D7_1403000	0.048426734117954354	0.9225952724369809	45.0	8.5	-76.0
PF3D7_1403100	0.16453699804109032	50.22358198354087	51.0	38.5	70.0
PF3D7_1403200	1.0	1.4657523018487837	48.125	15.21875	-22.0
PF3D7_1403400	0.34159160256630494	15.794333525189627	45.0	4.0	-66.0
PF3D7_1403500	1.0	4.504262314123774	48.125	30.90625	-44.0
PF3D7_1403600	0.16453699804109032	16.05342153470604	51.0	43.0	70.0
PF3D7_1403700	1.0	4.3849826938767675	48.125	23.875	-56.0
PF3D7_1403800	0.16453699804109032	10.997907561536795	51.0	41.5	70.0
PF3D7_1403900	7.932217418824561e-05	158.5023646135745	51.0	35.5	98.0
PF3D7_1404000	0.007115131547795238	71.80848633892356	51.0	34.0	84.0
PF3D7_1404100	0.0006803297011630345	195.51849183681855	51.0	37.0	92.0
PF3D7_1404200	1.0	7.351297445925788	48.125	23.46875	-44.0
PF3D7_1404300	1.0	3.039596130886658	48.125	25.375	-36.0
PF3D7_1404400	0.01943095169546062	24.730354166632647	51.0	41.5	80.0
PF3D7_1404500	1.0	38.42069829596649	48.125	13.895833333333334	-46.0
PF3D7_1404700	0.007115131547795238	2.9631984375521703	49.5	1.75	-84.0
PF3D7_1404800	0.074149409439216	555.7179330974284	51.0	13.0	-74.0
PF3D7_1404900	0.6680367990420074	194.64085241904004	51.0	4.0	-62.0
PF3D7_1405000	1.0	9.600252907277287	48.125	24.5625	-16.0
PF3D7_1405100	1.0	22.076145929140424	48.125	32.40625	-14.0
PF3D7_1405200	0.23894651657040047	24.423018869891926	51.0	37.0	68.0
PF3D7_1405300	0.9151609289079528	9.194781106924012	51.0	37.0	60.0
PF3D7_1405400	0.6680367990420074	12.36641823769923	51.0	41.5	62.0
PF3D7_1405500	1.0	11.63947265167566	48.125	18.75	-56.0
PF3D7_1405600	0.01943095169546062	138.00278368591216	51.0	38.5	80.0
PF3D7_1405700	1.0	10.781245040061524	48.125	29.40625	-52.0
PF3D7_1405800	0.16453699804109032	156.25274286104062	45.0	13.75	-70.0
PF3D7_1405900	0.011903316453167643	79.69152315781581	45.0	10.0	-82.0
PF3D7_1406000	1.0	117.43893522620871	48.125	33.90625	-24.0
PF3D7_1406100	1.0	8.496815056214555	48.125	17.25	-50.0
PF3D7_1406200	0.048426734117954354	83.61287946069076	45.0	10.0	-76.0
PF3D7_1406300	1.0	49.61095798367861	48.125	32.40625	-26.0
PF3D7_1406400	0.16453699804109032	9.191396647206602	51.0	38.5	70.0
PF3D7_1406600	0.16453699804109032	39.65575727110639	51.0	38.5	70.0
PF3D7_1406700	0.031003550035172057	30.658459818803582	51.0	38.5	78.0
PF3D7_1406800	1.46918915520106e-05	259.8086478180482	51.0	40.0	102.0
PF3D7_1406900	1.0	9.300437988731737	48.125	32.40625	-38.0
PF3D7_1407000	0.11143167772483249	1.2837994388622676	48.0	44.5	72.0
PF3D7_1407100	1.0	346.86816789193654	48.125	19.21875	-52.0
PF3D7_1407200	1.0	10.092661908896853	48.125	26.40625	-18.0
PF3D7_1407300	1.0	62.954021965377706	48.125	31.0	-8.0
PF3D7_1407400	1.0	10.313553773546023	48.125	16.375	-50.0
PF3D7_1407500	1.0	28.711422938935854	48.125	21.84375	-26.0
PF3D7_1407600	1.0	1.3343355129887247	48.125	16.875	-38.0
PF3D7_1407700	0.031003550035172057	16.740061993210013	51.0	10.0	-78.0
PF3D7_1407800	0.34159160256630494	402.6506364327046	51.0	11.5	-66.0
PF3D7_1407900	0.011903316453167643	789.4499950575491	51.0	10.0	-82.0
PF3D7_1408000	0.031003550035172057	144.31561308550982	51.0	35.5	78.0
PF3D7_1408100	0.4810985075880909	135.39588019441342	51.0	29.5	64.0
PF3D7_1408200	0.16453699804109032	114.55242847430439	45.0	14.5	-70.0
PF3D7_1408300	1.0	1.656535148834246	48.125	13.71875	-56.0
PF3D7_1408400	0.34159160256630494	39.20945230617406	51.0	38.5	66.0
PF3D7_1408500	1.0	77.20828949525395	48.125	13.625	-48.0
PF3D7_1408600	0.007115131547795238	2167.4107805538215	51.0	35.5	84.0
PF3D7_1408700	0.9151609289079528	36.51671885084458	45.0	17.5	-60.0
PF3D7_1408900	1.0	11.064623956438274	48.125	27.28125	-34.0
PF3D7_1409000	1.0	15.417294632074837	48.125	23.8125	-28.0
PF3D7_1409100	1.0	28.44716498867356	48.125	32.40625	-14.0
PF3D7_1409300	0.0012842624885035599	32.38594504347464	51.0	43.0	90.0
PF3D7_1409400	5.735652685057447e-06	163.41336026766623	51.0	41.5	104.0
PF3D7_1409500	0.11143167772483249	17.319911817346846	51.0	10.0	-72.0
PF3D7_1409600	0.11143167772483249	30.591551035010248	48.0	8.5	-72.0
PF3D7_1409700	1.0	6.723692363280989	48.125	32.40625	-14.0
PF3D7_1409800	0.074149409439216	73.34713191511639	51.0	40.0	74.0
PF3D7_1409900	0.23894651657040047	136.19530704217277	51.0	40.0	68.0
PF3D7_1410000	1.0	59.93588463083715	48.125	21.75	-46.0
PF3D7_1410100	0.011903316453167643	5.534094597261108	45.0	10.75	-82.0
PF3D7_1410200	1.0	28.685474661178844	48.125	19.25	-36.0
PF3D7_1410300	1.0	15.954614535381483	48.125	13.395833333333334	-36.0
PF3D7_1410400	7.932217418824561e-05	265.3769827707678	51.0	43.0	98.0
PF3D7_1410500	0.11143167772483249	54.02548747994366	51.0	47.5	72.0
PF3D7_1410600	1.0	223.8480958161074	48.125	14.75	-42.0
PF3D7_1410700	0.011903316453167643	41.26288323828044	51.0	38.5	82.0
PF3D7_1410800	0.0012842624885035599	25.731183714272206	51.0	41.5	90.0
PF3D7_1410900	1.0	42.56382904005567	48.125	15.375	-46.0
PF3D7_1411200	0.031003550035172057	164.45676414444677	45.0	13.75	-78.0
PF3D7_1411300	1.0	7.467506901008402	48.125	34.375	-4.0
PF3D7_1411400	0.9151609289079528	10.97102077850234	51.0	40.0	60.0
PF3D7_1411500	0.9151609289079528	41.667506660209085	45.0	12.25	-60.0
PF3D7_1411600	0.4810985075880909	20.745533562727722	51.0	46.0	64.0
PF3D7_1411700	1.0	6.627902004156976	48.125	22.5	-40.0
PF3D7_1411800	0.007115131547795238	20.38634252512155	45.0	7.0	-84.0
PF3D7_1411900	0.34159160256630494	183.47795520399865	51.0	13.0	-66.0
PF3D7_1412000	0.0012842624885035599	9.421005949864066	51.0	44.5	90.0
PF3D7_1412100	0.074149409439216	40.78280254324163	51.0	37.0	74.0
PF3D7_1412200	1.46918915520106e-05	19.993134569556418	45.0	7.0	-102.0
PF3D7_1412300	1.0	130.46797469993848	48.125	27.90625	-22.0
PF3D7_1412400	1.0	51.16236199915098	48.125	15.21875	-40.0
PF3D7_1412500	0.002342695994481709	229.6554680343074	49.5	25.0	-88.0
PF3D7_1412600	1.0	8.923324894969511	48.125	23.28125	-46.0
PF3D7_1412700	1.0	18.808934131591542	48.125	34.875	-2.0
PF3D7_1412800	5.735652685057447e-06	279.53266424522667	51.0	11.5	-104.0
PF3D7_1412900.1	0.031003550035172057	154.4204954413702	45.0	15.25	-78.0
PF3D7_1413200	0.34159160256630494	1.9894784572133015	51.0	44.5	66.0
PF3D7_1413300	1.0	3.623268195369969	48.125	34.40625	-10.0
PF3D7_1413400	0.11143167772483249	30.920958797429954	51.0	38.5	72.0
PF3D7_1413500	0.031003550035172057	21.619331561043314	51.0	37.0	78.0
PF3D7_1413700	5.735652685057447e-06	20.7925517864665	49.5	1.75	-104.0
PF3D7_1413800	0.007115131547795238	68.31738136047619	51.0	16.0	-84.0
PF3D7_1413900	0.031003550035172057	44.686015030554145	45.0	25.0	78.0
PF3D7_1414000	0.007115131547795238	111.60709255328018	51.0	40.0	84.0
PF3D7_1414100	0.004141795071110547	101.52185264195964	45.0	12.25	-86.0
PF3D7_1414200	1.0	37.95114567558034	48.125	19.875	-36.0
PF3D7_1414300	0.002342695994481709	1814.8427991961012	51.0	35.5	88.0
PF3D7_1414400	0.004141795071110547	600.2366172191588	51.0	38.5	86.0
PF3D7_1414500	1.0	43.61575641367563	48.125	13.395833333333334	-52.0
PF3D7_1414600	0.002342695994481709	53.677234575758774	48.0	14.5	-88.0
PF3D7_1414700	0.34159160256630494	45.39301813694412	49.5	13.0	-66.0
PF3D7_1414800	1.0	61.30110424786572	48.125	25.78125	-16.0
PF3D7_1414900	0.6680367990420074	10.571672409997596	51.0	38.5	62.0
PF3D7_1415000	1.0	10.020356208294562	48.125	29.40625	-34.0
PF3D7_1415100	0.01943095169546062	3.879923442496401	48.0	31.875	-80.0
PF3D7_1415200	1.0	17.54190638160958	48.125	22.25	-32.0
PF3D7_1415300	0.002342695994481709	153.52609552567384	51.0	41.5	88.0
PF3D7_1415400	0.11143167772483249	100.60193454867999	51.0	38.5	72.0
PF3D7_1415500	0.011903316453167643	3.352100989158645	51.0	43.0	82.0
PF3D7_1415600	1.0	14.737728600499878	48.125	34.3125	-8.0
PF3D7_1415700	0.0012842624885035599	17.087990958755626	51.0	29.5	90.0
PF3D7_1415800	1.0	13.721745718758694	48.125	16.71875	-44.0
PF3D7_1415900	0.23894651657040047	54.460685428362396	51.0	13.0	-68.0
PF3D7_1416000	1.0	1.437419416019496	48.125	24.90625	-56.0
PF3D7_1416100	0.0012842624885035599	53.83351874534155	51.0	10.0	-90.0
PF3D7_1416200	0.031003550035172057	10.149910069930916	51.0	38.5	78.0
PF3D7_1416300	0.11143167772483249	32.4364917451587	51.0	41.5	72.0
PF3D7_1416400	0.16453699804109032	11.052063907269144	51.0	8.5	-70.0
PF3D7_1416500	0.0012842624885035599	53.96043278060671	51.0	4.0	-90.0
PF3D7_1416600	0.4810985075880909	0.8331963414315486	45.0	9.25	-64.0
PF3D7_1416700	1.0	5.500639408785959	48.125	34.46875	-8.0
PF3D7_1416800	0.11143167772483249	28.926603495371843	51.0	37.0	72.0
PF3D7_1416900	0.01943095169546062	423.45277373978814	51.0	38.5	80.0
PF3D7_1417000	0.011903316453167643	4.452579980912982	51.0	11.5	-82.0
PF3D7_1417100	0.4810985075880909	14.593185444173466	51.0	37.0	64.0
PF3D7_1417200	0.01943095169546062	73.46887611836493	47.25	10.0	-80.0
PF3D7_1417300	0.01943095169546062	3.6923176976909104	51.0	44.5	80.0
PF3D7_1417400	0.004141795071110547	2.8386438224554924	49.5	40.25	86.0
PF3D7_1417500	0.6680367990420074	84.01472492291781	51.0	11.5	-62.0
PF3D7_1417600	1.0	71.50293700429239	48.125	13.895833333333334	-54.0
PF3D7_1417700	0.9151609289079528	91.71457742597858	51.0	38.5	60.0
PF3D7_1417800	0.16453699804109032	118.79646507032203	51.0	38.5	70.0
PF3D7_1417900	0.23894651657040047	56.23633031471231	51.0	38.5	68.0
PF3D7_1418000	0.23894651657040047	42.87854930575189	51.0	32.5	68.0
PF3D7_1418200	0.16453699804109032	13.2355849452037	51.0	35.5	70.0
PF3D7_1418300	0.4810985075880909	24.460450336980525	51.0	35.5	64.0
PF3D7_1418400	0.23894651657040047	16.01023531997196	49.5	9.25	-68.0
PF3D7_1418500	1.0	22.047932532457686	48.125	15.21875	-54.0
PF3D7_1418600	1.0	34.541028036778386	48.125	15.21875	-50.0
PF3D7_1418700	1.0	29.304919673145307	48.125	15.6875	-48.0
PF3D7_1418800	1.0	77.54033489383218	48.125	34.697916666666664	-12.0
PF3D7_1418900	0.01943095169546062	93.90297549150203	51.0	10.0	-80.0
PF3D7_1419000	0.048426734117954354	19.986655606929183	51.0	46.0	76.0
PF3D7_1419100	0.34159160256630494	56.31443567883424	45.0	13.0	-66.0
PF3D7_1419200	0.23894651657040047	44.74297614948998	51.0	37.0	68.0
PF3D7_1419300	1.0	64.3266964849048	48.125	26.25	-32.0
PF3D7_1419400	0.23894651657040047	38.26610475439948	45.0	9.25	-68.0
PF3D7_1419500	1.0	1.0907593350433684	48.125	27.90625	-46.0
PF3D7_1419600	0.23894651657040047	56.88829801334296	45.0	10.75	-68.0
PF3D7_1419700	0.16453699804109032	104.67781491358461	48.0	9.5	-70.0
PF3D7_1419900	0.002342695994481709	30.86477139948262	49.5	13.75	-88.0
PF3D7_1420000	0.23894651657040047	206.30866792806145	47.25	10.0	-68.0
PF3D7_1420100	0.074149409439216	1.0700873831224382	45.0	4.0	-74.0
PF3D7_1420200	0.007115131547795238	8.792902842829479	51.0	43.0	84.0
PF3D7_1420300	0.23894651657040047	37.80582072179236	49.5	11.5	-68.0
PF3D7_1420400	1.0	74.73057262532136	48.125	13.65625	-48.0
PF3D7_1420500	0.048426734117954354	0.48242577667041914	48.0	3.0	-76.0
PF3D7_1420600	0.048426734117954354	71.45392635450179	51.0	40.0	76.0
PF3D7_1420700	0.6680367990420074	278.6153166708683	47.0	12.5	-62.0
PF3D7_1420900	1.46918915520106e-05	16.334675913341894	51.0	46.0	102.0
PF3D7_1421000	1.0	16.238122405659674	48.125	15.375	-46.0
PF3D7_1421100	3.516389639901545e-05	24.52017546029038	51.0	5.5	-100.0
PF3D7_1421150	1.0	11.160703693844285	48.125	24.75	-32.0
PF3D7_1421200	0.0006803297011630345	1211.9389990376662	51.0	34.0	92.0
PF3D7_1421300	1.0	2.024068683657423	48.125	28.9375	-48.0
PF3D7_1421400	0.16453699804109032	26.58996397827199	51.0	29.5	70.0
PF3D7_1421500	1.0	11.541391805880561	48.125	32.40625	-26.0
PF3D7_1421600	1.0	22.986448202837156	48.125	33.90625	-8.0
PF3D7_1421700	1.0	17.33939431757299	48.125	34.3125	-12.0
PF3D7_1421800	0.34159160256630494	15.868681777827826	49.5	9.25	-66.0
PF3D7_1421900	0.074149409439216	171.4236935484577	51.0	37.0	74.0
PF3D7_1422000	0.6680367990420074	27.624128499594235	51.0	37.0	62.0
PF3D7_1422100	0.011903316453167643	34.419749770897724	51.0	44.5	82.0
PF3D7_1422200	0.34159160256630494	10.8271914741447	46.5	40.0	66.0
PF3D7_1422300	1.0	11.871035074242712	48.125	15.375	-26.0
PF3D7_1422400	0.11143167772483249	22.21999571625382	45.0	15.25	-72.0
PF3D7_1422500	0.004141795071110547	9.024153606374755	51.0	41.5	86.0
PF3D7_1422600	0.011903316453167643	8.85246227503623	51.0	38.5	82.0
PF3D7_1422700	1.0	36.09031436053127	48.125	33.90625	-12.0
PF3D7_1422800	1.0	15.553288550103938	48.125	13.395833333333334	-36.0
PF3D7_1422900	7.932217418824561e-05	4.2104970230221195	45.0	8.5	-98.0
PF3D7_1423000	0.048426734117954354	171.5331968620965	45.0	13.0	-76.0
PF3D7_1423100	0.0012842624885035599	5.377071690714723	51.0	47.5	90.0
PF3D7_1423200	1.0	33.3793002411237	48.125	35.166666666666664	-4.0
PF3D7_1423300	3.516389639901545e-05	26.239873214404035	51.0	46.0	100.0
PF3D7_1423400	1.0	0.47907127419664486	48.125	23.9375	-54.0
