# pyDL periodicity scores computed on 2019-07-16 18:11:02
# Calculation time:  4783.629955 seconds
# Input files:  /Users/haase-admin/Desktop/moseley/sickle-scripts/AS18_FUP_ts_filtered.tsv
# Period(s) of oscillation tested:  45.0000, 48.0000, 51.0000
# Number of random curves generated from background:  1000000
# Number of curve permutations:  10000
	period	reg_score	per_score	p_reg	p_reg_norm	p_per	p_per_norm	p_tot	dl_score
PF3D7_0100100	48.0	0.17077333517269272	1.524434770748259	0.999987	1.3706910908718324	0.0015	5.000000000000001	6.853455454359163	321905970295774.0
PF3D7_0100200	48.0	0.4240233955805411	3.5982314354150304	0.78098	1.0704962446002635	0.0041	13.66666666666667	14.63011534287027	3131436659821088.5
PF3D7_0100300	45.0	0.25227871484721026	3.323781599278166	0.998468	1.3686089840374094	1e-06	0.0033333333333333335	0.0045620299467913645	103490.65252294707
PF3D7_0100400	48.0	0.36626665520354373	2.571995894002678	0.924635	1.2674054330789069	0.0316	105.33333333333336	133.50003895097822	2.379273938995031e+18
PF3D7_0100500	48.0	0.5666075814828088	4.7564691482752455	0.262898	0.3603566310442266	0.0042	14.0	5.044992834619173	128405908479148.98
PF3D7_0100600	48.0	0.22275104892290215	1.3941553432066962	0.99962	1.37018804070183	0.0777	259.00000000000006	354.8787025417741	4.469305493740421e+19
PF3D7_0100900	48.0	0.1805256645093431	1.4481670185931357	0.999967	1.3706636766936307	0.0076	25.333333333333336	34.72347980957198	4.186681816514215e+16
PF3D7_0101000	51.0	0.5931725269067639	6.096596283630154	0.188063	0.25777962975781626	0.0002	0.6666666666666667	0.17185308650521086	5075508066.481244
PF3D7_0101100	51.0	0.43900102375721617	4.9649337722668205	0.731866	1.003175247190218	1e-06	0.0033333333333333335	0.0033439174906340604	40756.1909423865
PF3D7_0101200	51.0	0.401383348942508	4.139851297125796	0.847205	1.161271442170819	0.0015	5.000000000000001	5.806357210854096	195754426171282.78
PF3D7_0101300	48.0	0.6673598061639665	5.628956655387777	0.05513	0.07556718221313288	0.0047	15.666666666666668	1.1838858546724154	1659608089308.5647
PF3D7_0101500	48.0	0.5738491742205704	5.372520576907188	0.240968	0.3302969846460041	0.0001	0.33333333333333337	0.11009899488200138	1334620993.8848925
PF3D7_0101600	51.0	0.5685895405799517	6.313866213578333	0.256718	0.3518856499798848	1e-06	0.0033333333333333335	0.0011729521665996162	1759.0205398239193
PF3D7_0101700	51.0	0.4367759408585595	4.1649926567418945	0.739461	1.013585781362334	0.0033	11.000000000000002	11.149443594985675	1385989724905452.8
PF3D7_0101900	48.0	0.4187963844371112	4.212491350322134	0.797227	1.0927661522624579	1e-06	0.0033333333333333335	0.00364255384087486	52679.88292490154
PF3D7_0102700	48.0	0.8754503815563592	6.908723049497188	3.8e-05	5.2086938583331216e-05	1e-06	0.0033333333333333335	1.7362312861110408e-07	2.1084739177656466e-06
PF3D7_0102800	48.0	0.7004140924938372	6.3237394413756896	0.026755	0.03667331688939544	1e-06	0.0033333333333333335	0.00012224438963131813	1.992673288043797
PF3D7_0102900	51.0	0.25437472465191974	3.1970880175101786	0.99831	1.3683924120296154	1e-06	0.0033333333333333335	0.004561308040098718	103441.53047823861
PF3D7_0103000	48.0	0.7375162709370198	6.739132535808637	0.010091	0.013831823611694612	1e-06	0.0033333333333333335	4.610607870564871e-05	0.10739032228267172
PF3D7_0103100	48.0	0.7397217210208746	6.029813151383566	0.009475	0.012987466923080613	0.0002	0.6666666666666667	0.008658311282053743	652931.6382777538
PF3D7_0103200	51.0	0.5387932725809684	5.66734387728911	0.356467	0.48861249305221915	0.0005	1.6666666666666667	0.8143541550870319	540059892082.7939
PF3D7_0103300	51.0	0.29063482821110914	2.778858486973038	0.99254	1.3604834216184096	0.0134	44.66666666666667	60.768259498955636	2.244040174631833e+17
PF3D7_0103400	48.0	0.603973634290227	6.076016589249113	0.161744	0.22170394195321905	0.0001	0.33333333333333337	0.07390131398440636	403616790.9926547
PF3D7_0103500	48.0	0.2848134403036647	2.8718433905036473	0.994056	1.3625614163261026	1e-06	0.0033333333333333335	0.004541871387753676	102124.80217295526
PF3D7_0103600	51.0	0.4425448206774171	4.516949497153886	0.719559	0.986305932633769	0.0017	5.666666666666667	5.589066951591358	174589610537065.25
PF3D7_0103700	51.0	0.24753089363025968	1.515179360180999	0.998771	1.3690243088371659	0.3584	1194.6666666666667	1635.5277076241343	4.3749586189837895e+21
PF3D7_0103800	45.0	0.4420181556900851	3.64714345875264	0.72147	0.9889253573609466	0.0198	66.00000000000001	65.26907358582248	2.7804992967324816e+17
PF3D7_0103900	48.0	0.6687584366675516	5.8632013845690665	0.053545	0.07339460859064395	0.0022	7.333333333333335	0.5382271296647224	155947126789.40692
PF3D7_0104000	48.0	0.7659274653620769	6.902624261810486	0.004167	0.005711744028335294	1e-06	0.0033333333333333335	1.9039146761117648e-05	0.007753202076664727
PF3D7_0104100	45.0	0.8007702082099335	7.76443211729562	0.001152	0.0015790566644209884	1e-06	0.0033333333333333335	5.263522214736628e-06	0.000222695399168752
PF3D7_0104200	51.0	0.5701189371288692	6.056591200845667	0.252036	0.34546799086285435	1e-06	0.0033333333333333335	0.0011515599695428478	1664.5230572898115
PF3D7_0104300	48.0	0.3687563481488753	3.563137799398697	0.920258	1.261405840179453	0.0004	1.3333333333333335	1.6818744535726042	4757526754406.339
PF3D7_0104400	48.0	0.6015838089261516	5.724378023430525	0.167332	0.22936346334278893	0.0002	0.6666666666666667	0.1529089755618593	3575264432.920871
