# pyJTK periodicity scores computed on 2019-07-16 19:32:16
# Calculation time: 0.000832 seconds
# Input file: /Users/haase-admin/Desktop/moseley/sickle-scripts/AS19_FUP_ts_filtered.tsv
# Period(s) of oscillation tested: 45.0000, 48.0000, 51.0000
	p-value	amp	period	lag	tau
PF3D7_1400100	0.00034707262534643487	27.842697693118353	51.0	41.5	94.0
PF3D7_1400200	0.004141795071110547	77.30468741841952	51.0	14.5	-86.0
PF3D7_1400300	0.16453699804109032	7.5439326239143085	51.0	11.5	-70.0
PF3D7_1400400	0.031003550035172057	2.7871117486811805	51.0	14.5	-78.0
PF3D7_1400600	0.4810985075880909	1.9755458463870346	51.0	14.5	-64.0
PF3D7_1400800	3.516389639901545e-05	179.2999533078712	47.25	4.0	-100.0
PF3D7_1401000	0.031003550035172057	3.1077277038583757	45.0	38.5	78.0
PF3D7_1401050	0.011903316453167643	2.372819438638461	51.0	8.5	-82.0
PF3D7_1401100	0.031003550035172057	106.91676573309996	51.0	13.0	-78.0
PF3D7_1401200	0.004141795071110547	45.218381589419536	45.0	37.75	86.0
PF3D7_1401300	0.011903316453167643	47.244154063843084	51.0	31.0	82.0
PF3D7_1401400	0.11143167772483249	21979.404416753663	51.0	16.0	-72.0
PF3D7_1401500	5.124670303241732e-08	129.43356955425446	51.0	29.5	112.0
PF3D7_1401600	0.007115131547795238	219.72679300309923	45.0	17.5	-84.0
PF3D7_1401700	1.0	0.8240180259189523	48.125	28.84375	-8.0
PF3D7_1401800	0.007115131547795238	120.70893002346034	51.0	38.5	84.0
PF3D7_1401900	0.011903316453167643	3.5769937516122066	47.4	4.0	-82.0
PF3D7_1402000	0.048426734117954354	44.38175170316882	51.0	38.5	76.0
PF3D7_1402100	0.01943095169546062	14.809975050238732	51.0	35.5	80.0
PF3D7_1402200	6.804813352432401e-07	69.99432994352003	51.0	44.5	108.0
PF3D7_1402300	1.0	40.75291397757749	48.125	32.40625	-28.0
PF3D7_1402400	1.0	9.972010323147824	48.125	28.760416666666668	-10.0
PF3D7_1402500	0.9151609289079528	788.935255400414	51.0	34.0	60.0
PF3D7_1402600	1.0	11.732160191363992	48.125	19.25	-38.0
PF3D7_1402700	0.048426734117954354	135.32629767511352	51.0	22.0	-76.0
PF3D7_1402800	0.074149409439216	124.4212913459179	45.0	23.5	74.0
PF3D7_1402900	0.4810985075880909	5.996048534139497	49.5	17.25	-64.0
PF3D7_1403000	0.00034707262534643487	2.039731301920606	47.4	31.4	-94.0
PF3D7_1403100	6.804813352432401e-07	64.18828148381904	51.0	44.5	108.0
PF3D7_1403200	0.004141795071110547	2.9795906907696335	51.0	5.5	-86.0
PF3D7_1403300	0.0006803297011630345	1.0790584059993702	45.0	4.0	-92.0
PF3D7_1403400	7.932217418824561e-05	18.568891610034726	51.0	47.5	98.0
PF3D7_1403500	0.0001698261780107018	8.366555024328768	51.0	47.5	96.0
PF3D7_1403600	0.01943095169546062	16.36706887860013	51.0	44.5	80.0
PF3D7_1403700	0.002342695994481709	9.654407929381414	51.0	44.5	88.0
PF3D7_1403800	0.007115131547795238	10.878628408477756	51.0	41.5	84.0
PF3D7_1403900	7.932217418824561e-05	349.7791773943049	51.0	34.0	98.0
PF3D7_1404000	0.048426734117954354	75.41434808713487	51.0	35.5	76.0
PF3D7_1404100	0.0001698261780107018	222.5753328097819	51.0	37.0	96.0
PF3D7_1404200	0.9151609289079528	13.795118567372302	49.0	32.0	60.0
PF3D7_1404300	0.074149409439216	9.958684512057026	45.0	6.25	-74.0
PF3D7_1404400	5.735652685057447e-06	48.70808442761904	51.0	44.5	104.0
PF3D7_1404500	0.007115131547795238	27.898145808753753	51.0	13.0	-84.0
PF3D7_1404700	0.007115131547795238	4.60660028031193	51.0	7.0	-84.0
PF3D7_1404800	0.11143167772483249	629.2187058897154	51.0	13.0	-72.0
PF3D7_1404900	1.0	156.63573117896703	48.125	19.375	-56.0
PF3D7_1405000	0.048426734117954354	17.759400721447243	45.0	4.75	-76.0
PF3D7_1405100	0.16453699804109032	33.33670207831451	51.0	32.5	70.0
PF3D7_1405200	0.6680367990420074	17.093843644063224	51.0	38.5	62.0
PF3D7_1405300	0.23894651657040047	9.252337580264347	51.0	38.5	68.0
PF3D7_1405400	0.007115131547795238	16.95295360164114	51.0	41.5	84.0
PF3D7_1405500	0.16453699804109032	20.38419093121226	51.0	22.0	-70.0
PF3D7_1405600	0.0001698261780107018	311.64946152306516	51.0	41.5	96.0
PF3D7_1405700	0.11143167772483249	16.271241307275936	51.0	44.5	72.0
PF3D7_1405800	0.01943095169546062	122.6304852034166	51.0	13.0	-80.0
PF3D7_1405900	0.007115131547795238	123.74551516379267	51.0	13.0	-84.0
PF3D7_1406000	0.007115131547795238	168.63117357563755	51.0	40.0	84.0
PF3D7_1406100	0.23894651657040047	8.0354615939949	45.0	15.25	-68.0
PF3D7_1406200	7.932217418824561e-05	112.31762262669452	51.0	13.0	-98.0
PF3D7_1406300	0.6680367990420074	65.78137903614353	51.0	47.5	62.0
PF3D7_1406400	0.007115131547795238	9.34627642936307	51.0	44.5	84.0
PF3D7_1406500	0.0001698261780107018	1.6870925114819437	49.5	40.25	96.0
PF3D7_1406600	7.932217418824561e-05	39.9007033304449	51.0	43.0	98.0
PF3D7_1406700	0.007115131547795238	86.11728910309087	51.0	44.5	84.0
PF3D7_1406800	1.46918915520106e-05	82.20068622842868	49.5	40.25	102.0
PF3D7_1406900	0.004141795071110547	14.248820717531315	51.0	43.0	86.0
PF3D7_1407000	0.0006803297011630345	2.3907166283698693	48.0	7.0	-92.0
PF3D7_1407100	0.0006803297011630345	752.5510088625363	51.0	17.5	-92.0
PF3D7_1407200	0.074149409439216	32.30106582410713	51.0	44.5	74.0
PF3D7_1407300	0.4810985075880909	76.58211274162642	51.0	11.5	-64.0
PF3D7_1407400	0.031003550035172057	22.0978156549722	51.0	47.5	78.0
PF3D7_1407500	1.0	39.04600438347561	48.125	24.75	-54.0
PF3D7_1407600	0.004141795071110547	3.930367466570507	45.0	4.0	-86.0
PF3D7_1407700	0.011903316453167643	18.2099966745672	51.0	13.0	-82.0
PF3D7_1407800	1.0	517.2210978919059	48.125	16.71875	-48.0
PF3D7_1407900	0.16453699804109032	984.232590174723	51.0	13.0	-70.0
PF3D7_1408000	0.00034707262534643487	744.5595169870841	51.0	35.5	94.0
PF3D7_1408100	0.002342695994481709	451.39816446996446	51.0	32.5	88.0
PF3D7_1408200	0.011903316453167643	162.7232605189418	51.0	16.0	-82.0
PF3D7_1408300	1.0	1.818426768463437	48.125	18.21875	-30.0
PF3D7_1408400	0.23894651657040047	62.98459320732015	51.0	43.0	68.0
PF3D7_1408500	0.4810985075880909	48.08060447697822	51.0	13.0	-64.0
PF3D7_1408600	0.00034707262534643487	2359.533689141967	51.0	29.5	94.0
PF3D7_1408700	0.048426734117954354	56.37407347158308	45.0	13.0	-76.0
PF3D7_1408900	1.0	15.674981901803282	48.125	33.28125	-26.0
PF3D7_1409000	1.0	13.94552774883345	48.125	22.3125	-28.0
PF3D7_1409100	0.004141795071110547	30.463538550785483	51.0	47.5	86.0
PF3D7_1409300	0.0012842624885035599	29.707285418675937	51.0	41.5	90.0
PF3D7_1409400	1.46918915520106e-05	63.64723191819172	49.5	40.25	102.0
PF3D7_1409500	6.804813352432401e-07	11.047831532469989	51.0	8.5	-108.0
PF3D7_1409600	1.0	31.326212882472408	48.125	18.375	-40.0
PF3D7_1409700	0.0001698261780107018	12.520934275978874	51.0	44.5	96.0
PF3D7_1409800	6.804813352432401e-07	174.72269984555032	49.5	38.5	108.0
PF3D7_1409900	0.048426734117954354	151.36234236167212	51.0	38.5	76.0
PF3D7_1410000	0.002342695994481709	55.55462049836666	45.0	15.25	-88.0
PF3D7_1410100	1.0	3.499808836519361	48.125	22.71875	-40.0
PF3D7_1410200	0.01943095169546062	212.70767711096363	51.0	22.0	-80.0
PF3D7_1410300	1.0	26.093237238661377	48.125	19.875	-56.0
PF3D7_1410400	5.735652685057447e-06	72.34615220038974	49.5	17.25	-104.0
PF3D7_1410500	0.11143167772483249	83.12049157754458	48.0	43.0	72.0
PF3D7_1410600	0.011903316453167643	769.9063608356702	51.0	14.5	-82.0
PF3D7_1410700	0.0001698261780107018	27.639604653507586	51.0	44.5	96.0
PF3D7_1410800	7.932217418824561e-05	15.415015189433813	49.5	40.25	98.0
PF3D7_1410900	0.4810985075880909	36.56949678321729	51.0	13.0	-64.0
PF3D7_1411200	7.932217418824561e-05	205.84135079198694	51.0	13.0	-98.0
PF3D7_1411300	1.0	4.844331553371973	48.125	33.90625	-12.0
PF3D7_1411400	7.932217418824561e-05	21.13120093378388	51.0	46.0	98.0
