,ORF,dtw_score
2563,PF3D7_1216700,5.612591526147009
1798,PF3D7_1002500,4.845912732593088
150,PF3D7_0212200,4.820085941025987
77,PF3D7_0113800,4.800988589486673
3216,PF3D7_1351600,4.787856488242516
2418,PF3D7_1144400,4.605583273644272
3075,PF3D7_1332100,4.425923804184118
319,PF3D7_0312900,4.412854746133219
108,PF3D7_0206600,4.394421648595973
3788,PF3D7_1453500,4.31670120654605
3667,PF3D7_1438500,4.316508912155567
1043,PF3D7_0703100,4.315234029688923
2147,PF3D7_1109100,4.302413108096733
3177,PF3D7_1346200,4.261063549741165
1636,PF3D7_0918400,4.242836839382229
302,PF3D7_0310600.1,4.19990024923244
971,PF3D7_0622300,4.100682885433243
1339,PF3D7_0812000,4.075651201973789
2879,PF3D7_1307000,4.009286171689189
3239,PF3D7_1354000,3.9672542012381142
3493,PF3D7_1415800,3.9581463469196523
3024,PF3D7_1326200,3.953003564253421
1387,PF3D7_0818400,3.922689987149312
1490,PF3D7_0831750,3.9186644073040937
3643,PF3D7_1435400,3.880858715967851
614,PF3D7_0506100,3.8631073070542343
3698,PF3D7_1442300,3.8267077013923965
2126,PF3D7_1106900,3.8242163501622706
719,PF3D7_0519700,3.8182710181773665
2267,PF3D7_1124400,3.765717431120056
3746,PF3D7_1448100,3.7575036458433058
2941,PF3D7_1315100,3.7533538249560983
999,PF3D7_0626500,3.7445159390258422
10,PF3D7_0103700,3.732291163602672
224,PF3D7_0220500,3.6978650287238026
2084,PF3D7_1038200,3.677775262038416
94,PF3D7_0204300,3.674159773226626
2326,PF3D7_1132100,3.652597257510486
2802,PF3D7_1248200,3.652260695224448
1144,PF3D7_0716900,3.6504524442482333
3336,PF3D7_1366100,3.6295392939449287
3851,PF3D7_1461200,3.6268259128853004
1077,PF3D7_0706700,3.620842418909889
2910,PF3D7_1311000,3.614802140622057
2504,PF3D7_1207800,3.6123250971570178
1129,PF3D7_0714400,3.6101757020885663
2788,PF3D7_1246500,3.5992619630680385
3352,PF3D7_1367800,3.59783822235027
3968,PF3D7_1477600,3.5973510461326144
1796,PF3D7_1002300,3.594452869369428
978,PF3D7_0623200,3.5786434879065316
3761,PF3D7_1449900,3.5567674096604356
1825,PF3D7_1006000,3.550132842865372
362,PF3D7_0318700,3.549908689897441
2569,PF3D7_1217500,3.545212262135351
3347,PF3D7_1367200,3.517396966129994
1755,PF3D7_0933100,3.5061901286896937
1870,PF3D7_1011500,3.4773067242537996
2887,PF3D7_1308200,3.4635304345486215
2432,PF3D7_1146200,3.458810532154625
3043,PF3D7_1328400,3.4487111279389637
659,PF3D7_0511700,3.4247456647320074
3202,PF3D7_1350000,3.4064602074837764
2094,PF3D7_1102600,3.3990335441174846
1183,PF3D7_0722000,3.3988639274320915
1635,PF3D7_0918300,3.3981204292403198
3541,PF3D7_1422300,3.3828110097755486
1126,PF3D7_0714100,3.3615276131075826
3251,PF3D7_1355600,3.3570730876810444
1253,PF3D7_0800700,3.3462345203682284
3250,PF3D7_1355500,3.346140798498329
1675,PF3D7_0923000,3.332397486918846
437,PF3D7_0405300,3.3267889829735986
3795,PF3D7_1454300,3.3177210759248816
3776,PF3D7_1451500,3.3171966742753014
3132,PF3D7_1340100,3.3075082716327158
739,PF3D7_0521900,3.2877575017819214
3536,PF3D7_1421500,3.2861684963844775
128,PF3D7_0209000,3.2841803241684095
265,PF3D7_0305800,3.2693400666653156
1795,PF3D7_1002200,3.2652851660104996
865,PF3D7_0608310,3.2631496031454676
2954,PF3D7_1316900,3.260298655349045
2324,PF3D7_1131900,3.258983323623769
1839,PF3D7_1007800,3.250987887271498
1426,PF3D7_0822800,3.248395587936131
1258,PF3D7_0801900,3.2397859194930634
2780,PF3D7_1245600,3.228757544938587
167,PF3D7_0214300,3.2269401776091113
2588,PF3D7_1220500,3.2251604220314687
3546,PF3D7_1422800,3.21610891718044
891,PF3D7_0612100,3.209211305181338
1192,PF3D7_0723000,3.20456545994955
1187,PF3D7_0722400,3.1965874167609405
592,PF3D7_0503300,3.1949039680705953
3861,PF3D7_1463000,3.193491014484066
290,PF3D7_0309000,3.1866534873368937
3037,PF3D7_1327700,3.186002353930233
628,PF3D7_0507900,3.185195045778535
2386,PF3D7_1139900,3.1781645352288903
1249,PF3D7_0731400,3.177536419683339
2416,PF3D7_1144200,3.158069349387815
1848,PF3D7_1009000,3.1567686287663053
1085,PF3D7_0707900,3.153634738049839
793,PF3D7_0528600,3.1491724666905845
2826,PF3D7_1251400,3.1469694542652618
3121,PF3D7_1338200,3.1429512773250505
144,PF3D7_0210900,3.1387913473472646
1840,PF3D7_1007900,3.1366294177898006
3325,PF3D7_1364900,3.1354168817313557
2373,PF3D7_1138100,3.129253650437536
2271,PF3D7_1124800,3.1257932330108424
2383,PF3D7_1139600,3.1240746725638253
2830,PF3D7_1251800,3.1102565813571013
80,PF3D7_0115000,3.106255091891833
3910,PF3D7_1469300,3.0998224726930763
99,PF3D7_0205500,3.0957822511550535
1327,PF3D7_0810600,3.092735341735543
884,PF3D7_0610700,3.0915388936315864
1812,PF3D7_1004100,3.0894004593562556
95,PF3D7_0204500,3.0840775410481576
1770,PF3D7_0935100,3.082432666229623
3424,PF3D7_1407500,3.081419598715456
1896,PF3D7_1014400,3.0795381958951658
3381,PF3D7_1401600,3.0671464552358083
854,PF3D7_0606900,3.0649233907846707
3531,PF3D7_1421000,3.0637819546573852
276,PF3D7_0307300,3.060924871879265
36,PF3D7_0107600,3.0579513432442225
3966,PF3D7_1477300,3.0547323217669065
62,PF3D7_0110800,3.04401107602256
3230,PF3D7_1353000,3.0431797567581325
973,PF3D7_0622700,3.0367995038804527
455,PF3D7_0407500,3.028297003508092
1974,PF3D7_1023100,3.0251157318199056
1357,PF3D7_0814100,3.0203794440226326
1366,PF3D7_0815200,3.018110821483613
1698,PF3D7_0925900,3.017988277045865
3554,PF3D7_1423700,3.009114369395713
2259,PF3D7_1123600,3.0028961170508293
3834,PF3D7_1459100,2.9986219531296743
2967,PF3D7_1318900,2.9911518769287393
2871,PF3D7_1305500,2.9873992975170944
740,PF3D7_0522000,2.9754586122854234
3582,PF3D7_1428300,2.974537536974529
2724,PF3D7_1237100,2.9728919704416246
1581,PF3D7_0912000,2.9726805013499518
246,PF3D7_0303300,2.9715882864303693
1276,PF3D7_0804000,2.9672743452741965
548,PF3D7_0422600,2.96708893690228
761,PF3D7_0524500,2.9614014784922773
3969,PF3D7_1477700,2.958738883322231
3085,PF3D7_1333100,2.9581083813289863
3036,PF3D7_1327600,2.9533674233571294
2727,PF3D7_1237500,2.9521359307907504
3516,PF3D7_1419300,2.9386467560885134
1082,PF3D7_0707600,2.9358099763560888
1884,PF3D7_1012900,2.9323685689397516
3214,PF3D7_1351300,2.9305175122833105
1743,PF3D7_0931700,2.928183677035232
2997,PF3D7_1323000,2.9255936843767745
3726,PF3D7_1445700,2.9253717515754265
2278,PF3D7_1125500,2.9211777552148557
3485,PF3D7_1414800,2.9205614533548045
2766,PF3D7_1243600,2.909608794906287
2564,PF3D7_1216900,2.909596229565211
2882,PF3D7_1307300,2.898482562099854
742,PF3D7_0522200,2.898133806649361
2545,PF3D7_1213700,2.8977197044787895
267,PF3D7_0306200,2.89544812115742
1533,PF3D7_0906700,2.888851641193752
1537,PF3D7_0907000,2.882289968866994
1530,PF3D7_0906400,2.8819497155945437
1008,PF3D7_0627600,2.878232665848332
807,PF3D7_0530600,2.8675710331276685
230,PF3D7_0301300,2.8661786580527124
2768,PF3D7_1243800,2.8646583152063365
3673,PF3D7_1439200,2.8642679169771164
2042,PF3D7_1032700,2.8617524404372943
3029,PF3D7_1326700,2.853505609839922
1237,PF3D7_0729500,2.851917689852449
2130,PF3D7_1107300,2.842134369647448
2900,PF3D7_1309600,2.841902619486952
2603,PF3D7_1222600,2.8392838399116864
2513,PF3D7_1209100,2.834059853173898
1475,PF3D7_0830300,2.826873251752217
3285,PF3D7_1359500,2.8195541471402894
1524,PF3D7_0905800,2.8159660532434834
2061,PF3D7_1035500,2.8099141983808935
98,PF3D7_0205400,2.809450766560675
2521,PF3D7_1210300,2.805990049626978
2026,PF3D7_1030700,2.8044165393081024
346,PF3D7_0316900,2.795965790164449
3955,PF3D7_1475700,2.7934262435841726
3949,PF3D7_1474600,2.793361605579147
3220,PF3D7_1351900,2.7918759545477605
3801,PF3D7_1455100,2.7840940515807384
1975,PF3D7_1023200,2.7777609840132045
2316,PF3D7_1130100,2.7660198100113593
2420,PF3D7_1144600,2.7627389228863506
2589,PF3D7_1220600,2.7571206083338056
3933,PF3D7_1472300,2.7547443975070482
1167,PF3D7_0720100,2.7542744015019713
3383,PF3D7_1401900,2.749126595197635
2774,PF3D7_1244500,2.7486878432383617
2457,PF3D7_1201500,2.7474257618523756
935,PF3D7_0617200,2.7462041014642624
2181,PF3D7_1113900,2.745461123840969
1769,PF3D7_0935000,2.729394156631092
439,PF3D7_0405500,2.725189455770201
2943,PF3D7_1315400,2.7239828435583373
3590,PF3D7_1429200,2.721251931314237
1819,PF3D7_1005000,2.7147538057521805
2315,PF3D7_1130000,2.709280344038004
1479,PF3D7_0830700,2.7081227070248457
1228,PF3D7_0728000,2.707651540948797
736,PF3D7_0521600,2.706024905393179
2125,PF3D7_1106800,2.704758032888742
3668,PF3D7_1438600,2.704232558810493
2232,PF3D7_1120000,2.7028959964705193
2007,PF3D7_1028300,2.702012033992806
1611,PF3D7_0915500,2.701351698568188
333,PF3D7_0315100,2.6992766745519177
1495,PF3D7_0902000,2.6980622858411096
622,PF3D7_0507300,2.6925480849272576
2021,PF3D7_1030200,2.688047128747417
2530,PF3D7_1211500,2.687091715281671
2991,PF3D7_1321900,2.6863666885572166
1089,PF3D7_0708300,2.684644620841865
1022,PF3D7_0629300,2.681602194124083
3355,PF3D7_1368300,2.6769202374017986
2939,PF3D7_1314900,2.676035973508187
2313,PF3D7_1129800,2.6665016068194407
2116,PF3D7_1105600,2.6632687449544914
2847,PF3D7_1302200,2.655649770460673
2813,PF3D7_1249900,2.6539564026680984
482,PF3D7_0411400,2.6526607445749257
2467,PF3D7_1202800,2.651950839231115
2366,PF3D7_1136800,2.643984134767036
2885,PF3D7_1307800,2.642802731090377
3950,PF3D7_1474700,2.642293285676106
475,PF3D7_0410400,2.640448163665774
887,PF3D7_0611400,2.63982826475249
3887,PF3D7_1466400,2.631858016423803
1031,PF3D7_0630500,2.631499401456502
2044,PF3D7_1033000,2.6296443769406275
2970,PF3D7_1319200,2.628511194049575
1851,PF3D7_1009400,2.621515157465789
790,PF3D7_0528200,2.620284411665364
2148,PF3D7_1109200,2.616503028220743
1291,PF3D7_0805900,2.6154764613710713
3575,PF3D7_1427400.2,2.6149115930781637
1011,PF3D7_0627900,2.612856884746233
560,PF3D7_0424100,2.607550289281018
1112,PF3D7_0710900,2.604164746317255
706,PF3D7_0517700,2.6041254540757595
1646,PF3D7_0919700,2.601954687582775
3045,PF3D7_1328800,2.6000398589659746
1671,PF3D7_0922600,2.598703227302671
3106,PF3D7_1336000,2.595878700789743
2812,PF3D7_1249800,2.5957797141955767
2894,PF3D7_1309000,2.5915682180372834
3389,PF3D7_1402500,2.5847405466570765
2502,PF3D7_1207600,2.584671839210727
3873,PF3D7_1464600,2.5843928386545176
2974,PF3D7_1319900,2.5836729476346165
3953,PF3D7_1475400,2.582800956654002
2584,PF3D7_1220100,2.580335872330576
751,PF3D7_0523200,2.58031700311027
2456,PF3D7_1201400,2.578675026907789
3435,PF3D7_1408900,2.5779599603175485
756,PF3D7_0523900,2.572267998475536
3436,PF3D7_1409000,2.570743942276649
3782,PF3D7_1452400,2.5705501321752204
1596,PF3D7_0914000,2.5704782440715293
2677,PF3D7_1231300,2.5700709308352025
2789,PF3D7_1246600,2.5695156660341096
1332,PF3D7_0811200,2.5688613044062443
252,PF3D7_0304200,2.561489790810589
1395,PF3D7_0819200,2.5607363228680584
3959,PF3D7_1476100,2.55994944342452
498,PF3D7_0415000,2.5593836865369495
3892,PF3D7_1467100,2.558642986091583
1953,PF3D7_1020800,2.5566757665683
932,PF3D7_0616900,2.550778494109355
2801,PF3D7_1248100,2.550600305993874
3511,PF3D7_1418100,2.550044221397385
3032,PF3D7_1327000,2.545632467120673
963,PF3D7_0621400,2.543231105316133
2177,PF3D7_1113500,2.541443678549079
3312,PF3D7_1363200,2.540405728889769
3650,PF3D7_1436400,2.5382522579742233
1087,PF3D7_0708100,2.5373408975719287
2244,PF3D7_1121700,2.5353123598694554
3802,PF3D7_1455300,2.5351335803370056
2904,PF3D7_1310400,2.534285715105615
1664,PF3D7_0921900,2.5334653292356855
467,PF3D7_0409200,2.5314700924815665
2208,PF3D7_1117300,2.53068462995698
2947,PF3D7_1315800,2.530422434034565
2814,PF3D7_1250000,2.5292291076636197
1536,PF3D7_0906910,2.5276322563425127
1399,PF3D7_0819900,2.526227065416909
2481,PF3D7_1204600,2.5254481835129114
2921,PF3D7_1312700,2.5191531809636816
3113,PF3D7_1337300,2.517677539312536
1047,PF3D7_0703500,2.515328630534417
880,PF3D7_0610200,2.51524771644722
609,PF3D7_0505600,2.5137225839818576
2005,PF3D7_1028100,2.5126362049902706
3827,PF3D7_1458400,2.506192238801576
1903,PF3D7_1015200.1,2.5055840051121003
1613,PF3D7_0915900,2.50432062756506
1544,PF3D7_0907700,2.5025177901093736
3018,PF3D7_1325100,2.502303874950687
2794,PF3D7_1247200,2.5006812381304617
3322,PF3D7_1364500,2.50045800769492
1049,PF3D7_0703700,2.500261864745
2087,PF3D7_1038700,2.4995692549086184
2809,PF3D7_1249100,2.4995437942485084
3580,PF3D7_1428100,2.4995351298008726
3362,PF3D7_1369100,2.497521484057055
2407,PF3D7_1143100,2.4955944376021044
1012,PF3D7_0628000,2.494547318235982
3069,PF3D7_1331400,2.493676010920841
161,PF3D7_0213600,2.4935195165566553
2505,PF3D7_1207900,2.4896215487319924
303,PF3D7_0310700,2.4879698874532314
