,ORF,dtw_score
694,PF3D7_0516500,5.862473930533612
3216,PF3D7_1351600,5.598351680109145
3605,PF3D7_1431100,4.711974407905972
2150,PF3D7_1109900,4.655872716865796
3069,PF3D7_1331400,4.415236635048363
3761,PF3D7_1449900,4.374443300500002
1836,PF3D7_1007500,4.355935380791829
2563,PF3D7_1216700,4.144231334172343
3668,PF3D7_1438600,4.089733725932812
254,PF3D7_0304400.1,4.0000532055318985
991,PF3D7_0625500,3.89596416200916
275,PF3D7_0307200,3.891682893201548
3825,PF3D7_1458200,3.872389211260658
2177,PF3D7_1113500,3.852460119838207
2925,PF3D7_1313100,3.8492231946566116
2782,PF3D7_1245900,3.8356861050551103
2588,PF3D7_1220500,3.832657376883133
2084,PF3D7_1038200,3.8130112143884234
3085,PF3D7_1333100,3.80146812765202
3674,PF3D7_1439300,3.7918666768932163
3102,PF3D7_1335600,3.7902433689235666
1043,PF3D7_0703100,3.7856586003164456
2781,PF3D7_1245800,3.768556539695704
2569,PF3D7_1217500,3.750213768674964
1734,PF3D7_0930700,3.7091077619450643
419,PF3D7_0403300,3.6669500189796764
3067,PF3D7_1331200,3.6393490481083663
2431,PF3D7_1146100,3.592646346660802
3563,PF3D7_1426000,3.5877763600091557
3001,PF3D7_1323400,3.585891749975778
2910,PF3D7_1311000,3.5719487403246752
3950,PF3D7_1474700,3.564427811119301
3227,PF3D7_1352700,3.5580678957822065
2386,PF3D7_1139900,3.5395449089518185
1850,PF3D7_1009300,3.5378237202060947
41,PF3D7_0108300,3.532168555040481
3161,PF3D7_1344100,3.5224110547805387
1974,PF3D7_1023100,3.5206620517434617
2404,PF3D7_1142600,3.5105949044781544
2875,PF3D7_1306500,3.494765385155047
3321,PF3D7_1364400,3.4816725476733126
1059,PF3D7_0704700,3.474713447673062
3485,PF3D7_1414800,3.471947928929926
2812,PF3D7_1249800,3.4680509797426717
3444,PF3D7_1410000,3.4519965914459667
2948,PF3D7_1315900,3.446472866773708
3787,PF3D7_1453400,3.4241041415149107
2163,PF3D7_1111300,3.421840371356408
3624,PF3D7_1433200,3.403272816256769
761,PF3D7_0524500,3.3916290503504105
3479,PF3D7_1414200,3.39063590994027
1719,PF3D7_0928400,3.3873111765150665
2852,PF3D7_1302800,3.384397307411315
2381,PF3D7_1139200,3.380711759263423
2645,PF3D7_1227400,3.3794294276082733
1416,PF3D7_0821700,3.371581397634635
2304,PF3D7_1128500,3.370650960470179
3540,PF3D7_1422200,3.3554391523135756
2669,PF3D7_1230500,3.350792532909926
503,PF3D7_0415500,3.3462821423940223
656,PF3D7_0511400,3.343854523127306
935,PF3D7_0617200,3.3356096344461728
3931,PF3D7_1472100,3.330213091981642
3424,PF3D7_1407500,3.3300088500883733
3126,PF3D7_1339300,3.3220886535059884
3622,PF3D7_1433000,3.3181705453978245
1192,PF3D7_0723000,3.3047086538141732
588,PF3D7_0502800,3.3042042682090975
3413,PF3D7_1406100,3.297952761650215
581,PF3D7_0502000,3.291824552471727
3865,PF3D7_1463700,3.2738082941557267
812,PF3D7_0531400,3.271275741495836
80,PF3D7_0115000,3.2660334920632903
1337,PF3D7_0811700,3.2628424281220667
896,PF3D7_0612800,3.246003113194344
1420,PF3D7_0822200,3.2446603904145666
1753,PF3D7_0932900,3.24190476033686
3202,PF3D7_1350000,3.230971204897961
3879,PF3D7_1465300,3.2209945665135606
2772,PF3D7_1244200,3.2208818845859746
651,PF3D7_0510400,3.2181146060002694
2867,PF3D7_1304900,3.2175529709827124
423,PF3D7_0403700,3.211953176957668
2594,PF3D7_1221400,3.210400484798493
3964,PF3D7_1476600,3.2101962360948684
2147,PF3D7_1109100,3.2076933265275662
926,PF3D7_0616300,3.20725364806034
1316,PF3D7_0809200,3.200398404697088
3335,PF3D7_1366000,3.195442226620578
1071,PF3D7_0706000,3.1875236099693685
2839,PF3D7_1253100,3.179730181556145
1304,PF3D7_0807300,3.178001700754316
3785,PF3D7_1453000,3.1774958655065286
1941,PF3D7_1019400,3.1718880289032634
2761,PF3D7_1242700,3.1598194174783125
1357,PF3D7_0814100,3.150657989672614
1622,PF3D7_0916900,3.148628945999063
3338,PF3D7_1366300,3.1449550206618446
3188,PF3D7_1348000,3.1446151737056938
199,PF3D7_0217700,3.1405308625765977
428,PF3D7_0404400,3.140295045239063
2417,PF3D7_1144300,3.1385766831142883
377,PF3D7_0320400,3.133688699071879
1519,PF3D7_0905100,3.1317857494611006
706,PF3D7_0517700,3.131355205041703
1810,PF3D7_1003900,3.1312718444957905
2795,PF3D7_1247300,3.1274129442852563
2148,PF3D7_1109200,3.122855127736336
3655,PF3D7_1436900,3.1195202038131424
3106,PF3D7_1336000,3.1189464277591843
3836,PF3D7_1459300,3.1132479467551213
