,ORF,dtw_score
0,PF3D7_0113800,5.085948398858
1,PF3D7_1216700,5.008267119108997
2,PF3D7_0918400,4.9573448724025395
3,PF3D7_0206600,4.878316070402078
4,PF3D7_1332100,4.874189695157441
5,PF3D7_0312900,4.87145339550452
6,PF3D7_1002500,4.853448121400995
7,PF3D7_1144400,4.833854865097492
8,PF3D7_1351600,4.7693136215980925
9,PF3D7_1367800,4.717901997971185
10,PF3D7_0933100,4.33438138347954
11,PF3D7_1109100,4.318620306769445
12,PF3D7_0714100,4.277753835370126
13,PF3D7_0800700,4.226897739834389
14,PF3D7_1318900,4.210443430090933
15,PF3D7_0626500,4.067997892808553
16,PF3D7_1222600,3.9058066280709793
17,PF3D7_1132100,3.876198372948708
18,PF3D7_1477600,3.810306791111735
19,PF3D7_0703100,3.774332902677933
20,PF3D7_1002300,3.745735095205258
21,PF3D7_0212200,3.722634731552582
22,PF3D7_1367200,3.6940488518915773
23,PF3D7_0305800,3.633961420439889
24,PF3D7_0209000,3.5803045895145593
25,PF3D7_1315100,3.553277836009557
26,PF3D7_1245600,3.5406390545437922
27,PF3D7_0706700,3.5358738498026785
28,PF3D7_0107600,3.5355920019593423
29,PF3D7_1438500,3.491323642786966
30,PF3D7_1007800,3.491161076513587
31,PF3D7_0506100,3.4763633934820133
32,PF3D7_1323000,3.461160137453861
33,PF3D7_0511700,3.4174176960761105
34,PF3D7_0622300,3.4141924313040293
35,PF3D7_1410100,3.4021038127811196
36,PF3D7_0830300,3.39423540912665
37,PF3D7_0115000,3.366092941395235
38,PF3D7_0906400,3.363902203534057
39,PF3D7_0214300,3.349899852067007
40,PF3D7_0405300,3.323782537718498
41,PF3D7_1359500,3.310540750988444
42,PF3D7_1006000,3.3097170151160977
43,PF3D7_1113900,3.3095753876568144
44,PF3D7_0819200,3.3020155215211124
45,PF3D7_0905100,3.2942379246281286
46,PF3D7_1354000,3.2801004770614166
47,PF3D7_1109200,3.2750320453783397
48,PF3D7_1350000,3.2628569089274406
49,PF3D7_1453500,3.247149612307124
50,PF3D7_1448100,3.2347421269337437
51,PF3D7_1124400,3.2297492670966417
52,PF3D7_1248200,3.2292014104791833
53,PF3D7_1250100,3.1844496005344167
54,PF3D7_0310600.1,3.183735929088079
55,PF3D7_1207800,3.1591685125320352
56,PF3D7_1319200,3.1555124345814622
57,PF3D7_1020800,3.1350247436999017
58,PF3D7_0801900,3.106098700686792
59,PF3D7_1201400,3.104436509610595
60,PF3D7_1004100,3.09881856371266
61,PF3D7_0307300,3.0882275289629297
62,PF3D7_1018800,3.084113559465263
63,PF3D7_1463000,3.0726877325261626
64,PF3D7_1415800,3.0426927055827555
65,PF3D7_1307000,3.0346617176743726
66,PF3D7_0419200,3.0314820418860196
67,PF3D7_1364900,3.022632371521388
68,PF3D7_1435400,3.020809312818452
69,PF3D7_1146200,3.0097410557406326
70,PF3D7_0523900,3.0069878267540284
71,PF3D7_1326200,3.006747293769518
72,PF3D7_0812000,3.0019259993325456
73,PF3D7_1138100,2.999432920819062
74,PF3D7_0627600,2.972491719906431
75,PF3D7_0831750,2.956079046505331
76,PF3D7_1477700,2.946393185540693
77,PF3D7_0818400,2.937172584164241
78,PF3D7_1475700,2.9286272329367957
79,PF3D7_1246500,2.9216002115589617
80,PF3D7_1346200,2.915725721872211
81,PF3D7_1454300,2.909482206011938
82,PF3D7_1237100,2.896104147468371
83,PF3D7_1117300,2.885642665473223
84,PF3D7_0822800,2.880511178605512
85,PF3D7_0110800,2.8804410241272125
86,PF3D7_1111300,2.867248487228549
87,PF3D7_1461200,2.8635705218978953
88,PF3D7_0716900,2.8520250446389452
89,PF3D7_1038200,2.844785564911567
90,PF3D7_0205500,2.8411866441939093
91,PF3D7_1308200,2.836230285203492
92,PF3D7_0204300,2.8302778807436257
93,PF3D7_1315400,2.8219580545425207
94,PF3D7_0108400.1,2.806947686735714
95,PF3D7_1234400,2.7902538830434023
96,PF3D7_0703400,2.7752883072703716
