,ORF,dtw_score,cost
0,PF3D7_1216700,5.612591526147009,5.612591526147009
1,PF3D7_1002500,4.845912732593088,4.88612676352972
2,PF3D7_0212200,4.820085941025987,4.820085941025987
3,PF3D7_0113800,4.800988589486673,4.885137448865909
4,PF3D7_1351600,4.787856488242516,4.787856488242516
5,PF3D7_1144400,4.605583273644272,4.605583273644272
6,PF3D7_1332100,4.425923804184118,4.425923804184118
7,PF3D7_0312900,4.412854746133219,4.412854746133219
8,PF3D7_0206600,4.394421648595973,4.394421648595973
9,PF3D7_1453500,4.31670120654605,4.31670120654605
10,PF3D7_1438500,4.316508912155567,4.316508912155567
11,PF3D7_0703100,4.315234029688923,4.315234029688923
12,PF3D7_1109100,4.302413108096733,4.38951240441634
13,PF3D7_1346200,4.261063549741165,4.261063549741165
14,PF3D7_0918400,4.242836839382229,4.242836839382229
15,PF3D7_0310600.1,4.19990024923244,4.19990024923244
16,PF3D7_0622300,4.100682885433243,4.394760097314943
17,PF3D7_0812000,4.075651201973789,4.075651201973789
18,PF3D7_1307000,4.009286171689189,4.009286171689189
19,PF3D7_1354000,3.9672542012381142,3.9672542012381142
20,PF3D7_1415800,3.9581463469196523,3.9581463469196523
21,PF3D7_1326200,3.953003564253421,3.953003564253421
22,PF3D7_0818400,3.922689987149312,4.098779502040089
23,PF3D7_0831750,3.9186644073040937,3.9186644073040937
24,PF3D7_1435400,3.880858715967851,3.926982338564973
25,PF3D7_0506100,3.8631073070542343,3.8631073070542343
26,PF3D7_1442300,3.8267077013923965,3.8267077013923965
27,PF3D7_1106900,3.8242163501622706,3.8242163501622706
28,PF3D7_0519700,3.8182710181773665,3.8349183797864628
29,PF3D7_1124400,3.765717431120056,3.765717431120056
30,PF3D7_1448100,3.7575036458433058,3.76604579439579
31,PF3D7_1315100,3.7533538249560983,3.7533538249560983
32,PF3D7_0626500,3.7445159390258422,3.8026739482262917
33,PF3D7_0103700,3.732291163602672,3.732291163602672
34,PF3D7_0220500,3.6978650287238026,3.6978650287238026
35,PF3D7_1038200,3.677775262038416,3.835653307817673
36,PF3D7_0204300,3.674159773226626,3.674159773226626
37,PF3D7_1132100,3.652597257510486,3.652597257510486
38,PF3D7_1248200,3.652260695224448,3.652260695224448
39,PF3D7_0716900,3.6504524442482333,3.6504524442482333
40,PF3D7_1366100,3.6295392939449287,3.6295392939449287
41,PF3D7_1461200,3.6268259128853004,3.6268259128853004
42,PF3D7_0706700,3.620842418909889,3.620842418909889
43,PF3D7_1311000,3.614802140622057,3.614802140622057
44,PF3D7_1207800,3.6123250971570178,3.6123250971570178
45,PF3D7_0714400,3.6101757020885663,3.6101757020885663
46,PF3D7_1246500,3.5992619630680385,3.6044507246471924
47,PF3D7_1367800,3.59783822235027,3.6195709217717473
48,PF3D7_1477600,3.5973510461326144,3.5973510461326144
49,PF3D7_1002300,3.594452869369428,3.594452869369428
50,PF3D7_0623200,3.5786434879065316,3.5786434879065316
51,PF3D7_1449900,3.5567674096604356,3.5567674096604356
52,PF3D7_1006000,3.550132842865372,3.7767830825990667
53,PF3D7_0318700,3.549908689897441,3.549908689897441
54,PF3D7_1217500,3.545212262135351,3.5893387621037744
55,PF3D7_1367200,3.517396966129994,4.499414446343758
56,PF3D7_0933100,3.5061901286896937,3.5061901286896937
57,PF3D7_1011500,3.4773067242537996,3.7066190999017077
58,PF3D7_1308200,3.4635304345486215,3.4635304345486215
59,PF3D7_1146200,3.458810532154625,3.458810532154625
60,PF3D7_1328400,3.4487111279389637,3.4487111279389637
61,PF3D7_0511700,3.4247456647320074,3.4247456647320074
62,PF3D7_1350000,3.4064602074837764,3.4064602074837764
63,PF3D7_1102600,3.3990335441174846,3.3990335441174846
64,PF3D7_0722000,3.3988639274320915,3.471527598195929
65,PF3D7_0918300,3.3981204292403198,3.4921745487618088
66,PF3D7_1422300,3.3828110097755486,3.3828110097755486
67,PF3D7_0714100,3.3615276131075826,3.3615276131075826
68,PF3D7_1355600,3.3570730876810444,3.3570730876810444
69,PF3D7_0800700,3.3462345203682284,3.3462345203682284
70,PF3D7_1355500,3.346140798498329,3.346140798498329
71,PF3D7_0923000,3.332397486918846,3.332397486918846
72,PF3D7_0405300,3.3267889829735986,3.3824332955448195
73,PF3D7_1454300,3.3177210759248816,3.3177210759248816
74,PF3D7_1451500,3.3171966742753014,3.3171966742753014
75,PF3D7_1340100,3.3075082716327158,3.3075082716327158
76,PF3D7_0521900,3.2877575017819214,3.2877575017819214
77,PF3D7_1421500,3.2861684963844775,3.3160700460380372
78,PF3D7_0209000,3.2841803241684095,3.2841803241684095
79,PF3D7_0305800,3.2693400666653156,3.2693400666653156
80,PF3D7_1002200,3.2652851660104996,3.2652851660104996
81,PF3D7_0608310,3.2631496031454676,3.2631496031454676
82,PF3D7_1316900,3.260298655349045,3.260298655349045
83,PF3D7_1131900,3.258983323623769,3.258983323623769
84,PF3D7_1007800,3.250987887271498,3.250987887271498
85,PF3D7_0822800,3.248395587936131,3.248395587936131
86,PF3D7_0801900,3.2397859194930634,3.2397859194930634
87,PF3D7_1245600,3.228757544938587,3.228757544938587
88,PF3D7_0214300,3.2269401776091113,3.2269401776091113
89,PF3D7_1220500,3.2251604220314687,3.2532629662152366
90,PF3D7_1422800,3.21610891718044,3.21610891718044
91,PF3D7_0612100,3.209211305181338,3.209211305181338
92,PF3D7_0723000,3.20456545994955,3.20456545994955
93,PF3D7_0722400,3.1965874167609405,3.1965874167609405
94,PF3D7_0503300,3.1949039680705953,3.1949039680705953
95,PF3D7_1463000,3.193491014484066,3.193491014484066
96,PF3D7_0309000,3.1866534873368937,3.1866534873368937
97,PF3D7_1327700,3.186002353930233,3.186002353930233
98,PF3D7_0507900,3.185195045778535,3.185195045778535
99,PF3D7_1139900,3.1781645352288903,3.1781645352288903
100,PF3D7_0731400,3.177536419683339,3.177536419683339
101,PF3D7_1144200,3.158069349387815,3.158069349387815
102,PF3D7_1009000,3.1567686287663053,3.1567686287663053
103,PF3D7_0707900,3.153634738049839,3.153634738049839
104,PF3D7_0528600,3.1491724666905845,3.2161345996128574
105,PF3D7_1251400,3.1469694542652618,3.1469694542652618
106,PF3D7_1338200,3.1429512773250505,3.1429512773250505
107,PF3D7_0210900,3.1387913473472646,3.1387913473472646
108,PF3D7_1007900,3.1366294177898006,3.1366294177898006
109,PF3D7_1364900,3.1354168817313557,3.1354168817313557
110,PF3D7_1138100,3.129253650437536,3.129253650437536
111,PF3D7_1124800,3.1257932330108424,3.6063888639195265
112,PF3D7_1139600,3.1240746725638253,3.1240746725638253
113,PF3D7_1251800,3.1102565813571013,3.1102565813571013
114,PF3D7_0115000,3.106255091891833,3.106255091891833
115,PF3D7_1469300,3.0998224726930763,3.0998224726930763
116,PF3D7_0205500,3.0957822511550535,3.0957822511550535
117,PF3D7_0810600,3.092735341735543,3.092735341735543
118,PF3D7_0610700,3.0915388936315864,3.0915388936315864
119,PF3D7_1004100,3.0894004593562556,3.275886551388501
120,PF3D7_0204500,3.0840775410481576,3.0840775410481576
121,PF3D7_0935100,3.082432666229623,3.082432666229623
122,PF3D7_1407500,3.081419598715456,3.081419598715456
123,PF3D7_1014400,3.0795381958951658,3.0795381958951658
124,PF3D7_1401600,3.0671464552358083,3.0671464552358083
125,PF3D7_0606900,3.0649233907846707,3.0649233907846707
126,PF3D7_1421000,3.0637819546573852,3.1370410077459896
127,PF3D7_0307300,3.060924871879265,3.060924871879265
128,PF3D7_0107600,3.0579513432442225,3.0579513432442225
129,PF3D7_1477300,3.0547323217669065,3.0547323217669065
130,PF3D7_0110800,3.04401107602256,3.04401107602256
131,PF3D7_1353000,3.0431797567581325,3.0431797567581325
132,PF3D7_0622700,3.0367995038804527,3.0367995038804527
133,PF3D7_0407500,3.028297003508092,3.028297003508092
134,PF3D7_1023100,3.0251157318199056,3.0251157318199056
135,PF3D7_0814100,3.0203794440226326,3.0203794440226326
136,PF3D7_0815200,3.018110821483613,3.018110821483613
137,PF3D7_0925900,3.017988277045865,3.017988277045865
138,PF3D7_1423700,3.009114369395713,3.009114369395713
139,PF3D7_1123600,3.0028961170508293,3.0028961170508293
140,PF3D7_1459100,2.9986219531296743,2.9986219531296743
141,PF3D7_1318900,2.9911518769287393,2.9911518769287393
142,PF3D7_1305500,2.9873992975170944,3.228635728827137
143,PF3D7_0522000,2.9754586122854234,2.9754586122854234
144,PF3D7_1428300,2.974537536974529,3.2448445698191195
145,PF3D7_1237100,2.9728919704416246,2.9728919704416246
146,PF3D7_0912000,2.9726805013499518,2.9726805013499518
147,PF3D7_0303300,2.9715882864303693,2.9715882864303693
148,PF3D7_0804000,2.9672743452741965,2.9672743452741965
149,PF3D7_0422600,2.96708893690228,2.96708893690228
150,PF3D7_0524500,2.9614014784922773,2.9614014784922773
151,PF3D7_1477700,2.958738883322231,2.958738883322231
152,PF3D7_1333100,2.9581083813289863,2.9581083813289863
153,PF3D7_1327600,2.9533674233571294,2.9533674233571294
154,PF3D7_1237500,2.9521359307907504,2.9521359307907504
155,PF3D7_1419300,2.9386467560885134,2.9386467560885134
156,PF3D7_0707600,2.9358099763560888,2.9358099763560888
157,PF3D7_1012900,2.9323685689397516,2.9323685689397516
158,PF3D7_1351300,2.9305175122833105,2.9305175122833105
159,PF3D7_0931700,2.928183677035232,3.0025605919515965
160,PF3D7_1323000,2.9255936843767745,2.9255936843767745
161,PF3D7_1445700,2.9253717515754265,2.9253717515754265
162,PF3D7_1125500,2.9211777552148557,2.9211777552148557
163,PF3D7_1414800,2.9205614533548045,2.942761081197295
164,PF3D7_1243600,2.909608794906287,2.909608794906287
165,PF3D7_1216900,2.909596229565211,2.909596229565211
166,PF3D7_1307300,2.898482562099854,2.898482562099854
167,PF3D7_0522200,2.898133806649361,2.9000866463279316
168,PF3D7_1213700,2.8977197044787895,2.8977197044787895
169,PF3D7_0306200,2.89544812115742,2.89544812115742
170,PF3D7_0906700,2.888851641193752,2.908548175231032
171,PF3D7_0907000,2.882289968866994,2.9438437860165614
172,PF3D7_0906400,2.8819497155945437,2.8819497155945437
173,PF3D7_0627600,2.878232665848332,2.878232665848332
174,PF3D7_0530600,2.8675710331276685,2.8675710331276685
175,PF3D7_0301300,2.8661786580527124,2.8661786580527124
176,PF3D7_1243800,2.8646583152063365,2.8646583152063365
177,PF3D7_1439200,2.8642679169771164,2.8642679169771164
178,PF3D7_1032700,2.8617524404372943,2.8617524404372943
179,PF3D7_1326700,2.853505609839922,2.853505609839922
180,PF3D7_0729500,2.851917689852449,2.851917689852449
181,PF3D7_1107300,2.842134369647448,2.842134369647448
182,PF3D7_1309600,2.841902619486952,2.841902619486952
183,PF3D7_1222600,2.8392838399116864,2.8392838399116864
184,PF3D7_1209100,2.834059853173898,2.834059853173898
185,PF3D7_0830300,2.826873251752217,2.826873251752217
186,PF3D7_1359500,2.8195541471402894,2.8195541471402894
187,PF3D7_0905800,2.8159660532434834,2.8159660532434834
188,PF3D7_1035500,2.8099141983808935,2.8099141983808935
189,PF3D7_0205400,2.809450766560675,2.809450766560675
190,PF3D7_1210300,2.805990049626978,2.8227891806663634
191,PF3D7_1030700,2.8044165393081024,2.8044165393081024
192,PF3D7_0316900,2.795965790164449,2.795965790164449
193,PF3D7_1475700,2.7934262435841726,2.9943622672955943
194,PF3D7_1474600,2.793361605579147,2.793361605579147
