,ORF,dtw_score
2154,PF3D7_1110300,6.04563950436571
3808,PF3D7_1456300,5.37535899075655
3109,PF3D7_1336700,5.361708596415499
1010,PF3D7_0627800,5.048189727613377
3422,PF3D7_1407300,5.0115119794207095
3424,PF3D7_1407500,5.0058694074376895
849,PF3D7_0606200,4.987161046421009
1836,PF3D7_1007500,4.961469224466012
656,PF3D7_0511400,4.949290581368897
2545,PF3D7_1213700,4.941832155030167
1182,PF3D7_0721900,4.936590113239824
3622,PF3D7_1433000,4.93159932261502
2155,PF3D7_1110400,4.896646098788192
2326,PF3D7_1132100,4.85384849838161
3392,PF3D7_1402900,4.833192190169077
97,PF3D7_0204700,4.819251838115375
224,PF3D7_0220500,4.783605344106788
926,PF3D7_0616300,4.773235638644828
2434,PF3D7_1146800,4.768457255909374
1511,PF3D7_0904000,4.75770604652407
3344,PF3D7_1366900,4.662629754580317
891,PF3D7_0612100,4.649207657534142
2985,PF3D7_1321200,4.629877863739626
581,PF3D7_0502000,4.616751214752739
437,PF3D7_0405300,4.601052121194015
1126,PF3D7_0714100,4.56632165254758
2147,PF3D7_1109100,4.561891047877188
41,PF3D7_0108300,4.557548443773881
3281,PF3D7_1359100,4.522786848566136
2645,PF3D7_1227400,4.518324785804863
206,PF3D7_0218500,4.508460971110313
423,PF3D7_0403700,4.5069160027920985
1524,PF3D7_0905800,4.501625375409767
1851,PF3D7_1009400,4.498100018737247
2569,PF3D7_1217500,4.495922045584442
3820,PF3D7_1457700,4.473790089880346
1474,PF3D7_0829500,4.47133275567081
3216,PF3D7_1351600,4.45878143030457
2435,PF3D7_1146900,4.4447937519130605
3479,PF3D7_1414200,4.4363642901757085
2781,PF3D7_1245800,4.423135276352279
2727,PF3D7_1237500,4.3852183640674065
1383,PF3D7_0818000,4.371384643754619
1351,PF3D7_0813400,4.363925663320628
1530,PF3D7_0906400,4.357104999318977
528,PF3D7_0419200,4.35636875517462
465,PF3D7_0409000,4.343122719482402
1276,PF3D7_0804000,4.340868931359631
2947,PF3D7_1315800,4.322522397617897
1350,PF3D7_0813300,4.277521409389534
1041,PF3D7_0702900,4.277426661601354
1968,PF3D7_1022400,4.272014572806926
3624,PF3D7_1433200,4.267102133911243
1421,PF3D7_0822300,4.25984953317616
3868,PF3D7_1464100,4.253820886558368
3321,PF3D7_1364400,4.252529680877899
2564,PF3D7_1216900,4.248782335592725
1753,PF3D7_0932900,4.2445131998227295
684,PF3D7_0515000,4.244106625450998
3134,PF3D7_1340500,4.243648177155791
751,PF3D7_0523200,4.242079120382743
3605,PF3D7_1431100,4.2375144276476275
1318,PF3D7_0809500,4.23276054062289
2932,PF3D7_1313900,4.230978180942984
1839,PF3D7_1007800,4.200163247880788
2133,PF3D7_1107600,4.192284922556366
3175,PF3D7_1346000,4.187800251632046
628,PF3D7_0507900,4.183293818868441
3352,PF3D7_1367800,4.178402557742614
2498,PF3D7_1206900,4.169785048082385
1810,PF3D7_1003900,4.169757012225667
1974,PF3D7_1023100,4.1630343529894205
2416,PF3D7_1144200,4.161456087860931
3529,PF3D7_1420700,4.1611453126803655
1089,PF3D7_0708300,4.1468435865421185
3338,PF3D7_1366300,4.1461251410066
2393,PF3D7_1140700,4.139031975556988
1441,PF3D7_0824800,4.135513443918401
3067,PF3D7_1331200,4.13134221264942
30,PF3D7_0106700,4.120635288172407
1893,PF3D7_1013900,4.110522317832387
830,PF3D7_0603400,4.107466214283157
2806,PF3D7_1248700,4.096522941229071
2418,PF3D7_1144400,4.095556624929833
1463,PF3D7_0828000,4.085401463391127
2090,PF3D7_1039000,4.082830602083051
1802,PF3D7_1002900,4.081613400488975
1102,PF3D7_0709800,4.077347095761303
2837,PF3D7_1252800,4.062816964612412
3009,PF3D7_1324200,4.061231885841536
2337,PF3D7_1133600,4.059220622927549
3038,PF3D7_1327800,4.058934393016242
964,PF3D7_0621500,4.058106111240079
3273,PF3D7_1358100,4.058062625140457
1194,PF3D7_0723400,4.057754249013681
1419,PF3D7_0822100,4.054433406937736
2812,PF3D7_1249800,4.051805129530496
3507,PF3D7_1417600,4.049028286756181
3150,PF3D7_1342900,4.034060455760754
3554,PF3D7_1423700,4.0327949825945035
3759,PF3D7_1449700,4.030852103540254
2875,PF3D7_1306500,4.026124679532315
259,PF3D7_0305200,4.021601836419092
1738,PF3D7_0931100,4.015008268790602
1850,PF3D7_1009300,4.0041706023514525
418,PF3D7_0403200,3.997479999432552
999,PF3D7_0626500,3.997014734521665
1566,PF3D7_0910300,3.994516331859932
1515,PF3D7_0904600,3.992329259549933
2782,PF3D7_1245900,3.991655668738427
1454,PF3D7_0827000,3.9859601657516754
1997,PF3D7_1027100,3.9824465761099486
3874,PF3D7_1464700,3.9738575799790805
2256,PF3D7_1123300,3.972983448876556
3204,PF3D7_1350200,3.9694166269319737
522,PF3D7_0418300,3.968994279974823
2183,PF3D7_1114100.2,3.967091194748728
1555,PF3D7_0909200,3.964334238819493
