,ORF,dtw_score
0,PF3D7_0703100,4.452716422761256
1,PF3D7_1463000,4.153271128690695
2,PF3D7_1216700,3.909608175052309
3,PF3D7_1350000,3.8193044004259145
4,PF3D7_0419200,3.614448964991458
5,PF3D7_1367200,3.560361562842408
6,PF3D7_0905100,3.5094466589043236
7,PF3D7_1466400,3.4983226317244536
8,PF3D7_1420500,3.4723553351073346
9,PF3D7_1448100,3.448966711200087
10,PF3D7_1366100,3.440205582772293
11,PF3D7_0519700,3.425539807160521
12,PF3D7_0918300,3.160947559092612
13,PF3D7_0523900,3.1389907902449248
14,PF3D7_1346200,3.1193385374917453
15,PF3D7_0511700,3.11303886326611
16,PF3D7_0212400,3.0680323186085774
17,PF3D7_1438500,3.0530248103436266
18,PF3D7_1351300,3.012648041124009
19,PF3D7_1136800,2.989555151966975
20,PF3D7_1442300,2.985739923460677
21,PF3D7_1364400,2.9741879197539136
22,PF3D7_1038200,2.9714882613834304
23,PF3D7_0926200,2.9563723293539668
24,PF3D7_1475400,2.9454529628750095
25,PF3D7_0310600.1,2.9077216020906627
26,PF3D7_1408900,2.8893185793978553
27,PF3D7_1111300,2.880023399129832
28,PF3D7_0318700,2.875633195573064
29,PF3D7_0721900,2.8753143831869803
30,PF3D7_0206600,2.8272572351974588
31,PF3D7_0220500,2.8263534101556362
32,PF3D7_1449900,2.8206640802247187
33,PF3D7_1316900,2.8085904365217793
34,PF3D7_1107600,2.805187892984074
35,PF3D7_1477300,2.801098913996585
36,PF3D7_1146100,2.799073810712077
37,PF3D7_1145100,2.7967685467680656
38,PF3D7_1249800,2.792902365927581
39,PF3D7_1455100,2.7571244909338564
40,PF3D7_1326200,2.7568112278691252
41,PF3D7_0707900,2.7452923341973783
42,PF3D7_1422300,2.7318285348330265
43,PF3D7_0623200,2.730977432791448
44,PF3D7_1435400,2.7014875557687117
45,PF3D7_0315100,2.6919266239369963
46,PF3D7_0625600,2.6905669808857944
47,PF3D7_0524500,2.674718807311636
48,PF3D7_1220500,2.6722683950324404
49,PF3D7_1124800,2.6707500409552147
50,PF3D7_1317700,2.6624678664822805
51,PF3D7_1248200,2.660420047884056
52,PF3D7_1305500,2.6581592591847127
53,PF3D7_1124400,2.652145300858264
54,PF3D7_0608310,2.651133868324917
55,PF3D7_1011500,2.6501103535910935
56,PF3D7_1472300,2.647101029313838
57,PF3D7_0622700,2.6445654910062317
58,PF3D7_1401900,2.6385864662072476
59,PF3D7_1135300,2.6380611939204615
60,PF3D7_1108800,2.6368279741036593
61,PF3D7_1127900,2.632118836263455
62,PF3D7_1210300,2.631221209408588
63,PF3D7_0107600,2.627802703212549
64,PF3D7_0521600,2.62108383835877
65,PF3D7_1117300,2.615138497622995
66,PF3D7_1414200,2.607438497923238
67,PF3D7_0831750,2.572084264485744
68,PF3D7_1009000,2.555606249685094
69,PF3D7_0422600,2.54595983833085
70,PF3D7_1477700,2.538910169362837
71,PF3D7_1407500,2.5268391071413845
72,PF3D7_0210900,2.523439748670856
73,PF3D7_0304200,2.522937498447899
74,PF3D7_0714400,2.5145992122299314
75,PF3D7_1351800.2,2.5023091561950763
76,PF3D7_1409600,2.5007332113221863
77,PF3D7_0212500,2.498833427783665
78,PF3D7_0819200,2.4942489819594393
79,PF3D7_1304900,2.490033918039212
80,PF3D7_1113900,2.489779053461371
81,PF3D7_1102600,2.4884390283044646
82,PF3D7_1340100,2.483085599596333
83,PF3D7_1315400,2.4754171269089906
84,PF3D7_1108300,2.475069825523364
85,PF3D7_0923000,2.474819764118613
86,PF3D7_0415000,2.4643841756534255
87,PF3D7_1209200,2.4615080294951963
88,PF3D7_1328400,2.461336671748635
89,PF3D7_1237500,2.4552929089516002
90,PF3D7_1251400,2.4537315590145115
91,PF3D7_0814100,2.4458858971377055
92,PF3D7_1332100,2.4448933325744533
93,PF3D7_0507900,2.4220735270115945
94,PF3D7_1433000,2.415078762035811
95,PF3D7_1338200,2.4051628741917686
96,PF3D7_0918400,2.4048650985956344
97,PF3D7_0721700,2.402674148037054
98,PF3D7_0212200,2.395728800826596
99,PF3D7_1037900,2.393744589352921
100,PF3D7_1309600,2.3870708505776683
101,PF3D7_0905900,2.379586495505778
102,PF3D7_1475900,2.3775123075127897
103,PF3D7_1335900,2.3705526666207475
104,PF3D7_1251800,2.3692779494096907
105,PF3D7_1345100,2.3592390796535856
106,PF3D7_1220600,2.3518145132924086
107,PF3D7_1311000,2.348337984742494
108,PF3D7_1252400,2.3370956814783894
109,PF3D7_1344700,2.3370674721864013
110,PF3D7_1002500,2.3365591311028084
111,PF3D7_0323400,2.336333220853056
112,PF3D7_0822800,2.3328954853294483
113,PF3D7_0711200,2.325715239944784
114,PF3D7_0517700,2.308804319836025
115,PF3D7_1415800,2.3080733162530045
116,PF3D7_1445700,2.3012379364334814
117,PF3D7_1406100,2.2991836125943053
118,PF3D7_0925100,2.2918698811589446
119,PF3D7_0524000,2.285247970749417
120,PF3D7_0931700,2.284690502619046
121,PF3D7_0723000,2.279580289963204
122,PF3D7_0509300,2.2786127806964975
123,PF3D7_1435500,2.278132761464798
124,PF3D7_0621500,2.270805507381184
125,PF3D7_0935000,2.2668576265501463
126,PF3D7_0521700,2.2652209758287167
127,PF3D7_0403300,2.2605885908089065
128,PF3D7_1215900,2.251434275929464
129,PF3D7_0607400,2.2513991579383412
130,PF3D7_1476600,2.2511992230217523
131,PF3D7_0909800,2.250264888788959
132,PF3D7_0730200,2.2492315195536863
133,PF3D7_1244500,2.2375465367338414
134,PF3D7_1251200,2.237313987484049
135,PF3D7_1030400,2.2369252533257336
136,PF3D7_1302200,2.2324317640892812
137,PF3D7_1474600,2.232071445093283
138,PF3D7_1327300,2.2314338565955225
139,PF3D7_0714100,2.2287261609539706
140,PF3D7_0503600,2.2238230811189403
141,PF3D7_0612800,2.223223326279549
142,PF3D7_0103700,2.221412808182379
143,PF3D7_0922600,2.2189781912090405
