ORF,AA13vAA17_3D7,AA13vAS15_3D7,AA13vAS16_3D7,AA17vAS15_3D7,AA17vAS16_3D7,AS15vAS16_3D7,AAvAS_mean
PF3D7_1006700,2.7213386833732507,5.1752169886926485,6.28821086631665,4.1482875671215735,5.978892293935653,3.9108550260364474,5.3976519290166305
PF3D7_0110800,2.882558838569331,5.098575976621654,6.038669441034254,3.4928449621909166,5.359776021713281,3.104586489166502,4.997466600390027
PF3D7_0928100,2.807450097903684,3.9842419220525507,5.988817864002382,3.436149647314266,6.189143506148553,4.834487075998673,4.899588234879438
PF3D7_0528200,2.8767545506108867,4.892106107910712,5.538409193895603,4.352161870721633,4.77973143546097,3.1069167026866165,4.89060215199723
PF3D7_1330800,2.4534789460893913,4.106521499257178,6.064420269651085,3.2526536491115148,6.023310655647168,4.357884488729816,4.861726518416736
PF3D7_1367600,2.6965238001222898,4.687635774190709,5.787660831520838,3.6860169683861743,4.593246188573848,3.4160162218142642,4.688639940667892
PF3D7_0707900,2.4075275436408745,4.5273411237209045,5.736070947344266,3.6363549504818797,4.673021219015951,3.440783649588051,4.64319706014075
PF3D7_1129100,2.110424915009133,4.697434131395433,5.546212939325774,3.4820889112576596,4.482852120948683,2.7289169409264376,4.5521470257318875
PF3D7_0519700,2.615515405789146,4.514512530652691,5.163899286770755,3.950739308561685,4.402925667094889,3.306869251158928,4.508019198270006
PF3D7_1338200,2.9389426503991687,4.7461567877511905,5.637968433688618,3.1040926419529837,4.45108631932249,3.0956665929342932,4.484826045678821
PF3D7_0402400,2.4417330491525795,4.692876455307895,4.82812553154011,3.8244292732016683,4.498196246102163,3.741213973749504,4.460906876537959
PF3D7_0912500,2.473767624940424,4.749350457356894,5.516381691062933,3.1641054524931564,4.255269399290007,3.1135898041203784,4.4212767500507475
PF3D7_1411000.2,1.130946944652575,3.7326592982841635,5.273466538204442,3.4985349801527796,5.163949399069919,3.7966146419037505,4.417152553927826
PF3D7_1038000.1,2.7865696284413315,5.158078127309078,4.592733598227785,4.045872321258796,3.840735156640808,2.6859011727154507,4.409354800859116
PF3D7_0311500,2.073308488351921,4.567219476445212,4.2234527213067095,4.598752689404767,4.141200163603502,3.4905635148730347,4.382656262690047
PF3D7_1445400,2.709056667197069,4.027928716636066,5.593935631851488,3.263934814585053,4.520177815496964,3.5851987099332314,4.351494244642392
PF3D7_0216200,2.691856338486652,4.234867331247354,5.814173359007456,2.7238364634810153,4.602346928997172,3.885667824288011,4.34380602068325
PF3D7_1248200,2.6916255685540227,4.679887089177746,5.401266786358794,3.349579366814073,3.944480282694433,2.5689426341624917,4.343803381261261
PF3D7_0420300,2.671399603819901,3.8391489005875563,5.060446409430392,3.2001821635163066,5.229860029580288,3.872114809999544,4.332409375778635
PF3D7_1458100,2.236567337521909,4.772635137775845,4.273162352644179,4.48849341384683,3.605542657245056,3.8573433396309516,4.2849583903779775
PF3D7_0907700,2.1908855715330593,4.441625101074172,5.068304283842038,3.34579989027595,4.233007492072948,3.067846923887144,4.272184191816278
PF3D7_1476500,1.9573405740743413,3.6636386423558798,5.558218839812238,2.5991519986563443,5.197496557297053,3.875498056836581,4.254626509530379
PF3D7_0929200,2.2570172943227735,4.4341966254689,5.167049572756947,3.0891978315637503,4.3158436616459985,3.259443717907794,4.251571922858899
