ORF,AA13vAA17_3D7,AA13vAS15_3D7,AA13vAS16_3D7,AA17vAS15_3D7,AA17vAS16_3D7,AS15vAS16_3D7,AAvAS_mean,mean
PF3D7_0811200,4.169316280164328,5.2322255412956515,4.47387285741262,2.8331279788231942,5.042078201998638,5.189946753463492,4.395326144882526,4.490094602192987
PF3D7_0403700,3.900177460133121,4.358746733817208,5.632357827063593,1.87936072547879,5.712403709109433,4.752732256261612,4.395717248867255,4.372629785310624
PF3D7_1306800,4.593979935108963,5.092626085749451,5.302022917554892,2.7887317190303094,4.404219799909574,3.9309197095382578,4.396900130561056,4.352083361148574
PF3D7_0310600.1,3.238347510306752,5.003607495584007,4.970339393954807,4.018622240151378,3.599150774741988,3.7016420914520967,4.3979299761080455,4.0886182510318365
PF3D7_1472100,5.062911352176004,5.4145031248369095,5.004933433053825,2.2396688513720067,4.93365370750079,4.574729016986177,4.398189779190883,4.538399914320952
PF3D7_0524500,4.354301262292924,5.646205847145375,4.791144872522655,2.9687888608162445,4.209379031820888,5.104437768793244,4.403879653076291,4.512376273898554
PF3D7_0626000,3.5122022965829056,4.828448623952842,4.527375999861744,3.29046323194436,4.9732031298690345,5.233682298939758,4.404872746406994,4.394229263525108
PF3D7_1450300,4.599254883112262,5.206686776602288,4.942687081446707,2.06520859922205,5.40657079910486,5.20064349976562,4.405288314093976,4.570175273208964
PF3D7_0809200,4.1528598027046915,5.085470865251323,4.0804200371422015,3.7090864304113302,4.7501032578453,4.983084943685039,4.406270147662539,4.4601708895066485
PF3D7_0926200,3.027857616003053,4.488032160867827,4.401329067814654,4.4847854646670005,4.253211508722833,4.3847026923800865,4.406839550518079,4.173319751742576
PF3D7_1038000.1,2.7865696284413315,5.158078127309078,4.5927335982277855,4.045872321258797,3.840735156640808,2.6859011727154507,4.409354800859116,3.8516483340988734
PF3D7_0521600,3.916427167638963,4.630373672901783,5.0352180468667065,3.2188426840888558,4.753705466762874,4.404575268104979,4.409534967655055,4.326523717727359
PF3D7_0905800,4.425817042606406,4.487452513156164,5.334503420885003,2.6797253164448183,5.154429683684677,4.749902349493012,4.414027733542666,4.471971721045012
PF3D7_1350300,3.6654134743228752,4.967158302533359,5.151157248821434,3.081708365305782,4.462845919345127,3.671571021383932,4.415717459001425,4.166642388618752
PF3D7_1411000.2,1.130946944652575,3.732659298284164,5.273466538204442,3.49853498015278,5.163949399069919,3.7966146419037514,4.417152553927826,3.766028633711272
PF3D7_0928500,3.171027282055692,4.183586177929796,5.7067842891912415,2.782896511471045,5.009465072951406,4.2422099849631,4.420683012885872,4.1826615530937135
PF3D7_0912500,2.473767624940424,4.749350457356893,5.516381691062933,3.1641054524931564,4.255269399290007,3.1135898041203784,4.421276750050748,3.8787440715439647
PF3D7_1211400,3.641665858039575,3.871971254997544,4.664202631769194,3.9889121272672514,5.1605073399895325,4.7112689738951055,4.421398338505879,4.339754697659701
