ORF,AA13vAA17_FUP,AA13vAS18_FUP,AA13vAS19_FUP,AA17vAS18_FUP,AA17vAS19_FUP,AS18vAS19_FUP,AAvAS_mean,mean
PF3D7_0935300,1.0299841046949394,3.3700828325866894,3.0169608978865345,3.3174745759283053,2.620701412375379,2.3872986767519357,3.0813049296942268,2.623750416703964
PF3D7_1304200.1,1.0944226872309637,2.86358313258528,2.62239392367613,3.589357909076411,3.265245722520855,1.7508172880598807,3.0851451719646694,2.5309701105249203
PF3D7_0626700,1.2013477672565902,2.29182527057308,3.2420164264688225,3.0440321425061883,3.764842884404982,2.0915154510957694,3.085679180988268,2.6059299903842392
PF3D7_1450700,1.8362472937071448,2.714082496578224,3.049977768509809,3.167706644923896,3.4273166726851767,1.7248324255264773,3.0897708956742767,2.6533605503217883
PF3D7_0729500,1.3762499754836386,2.9064192850972064,2.9674113350294684,3.258145931257844,3.243977995885672,1.3091021063822996,3.0939886368175475,2.510217771522688
PF3D7_1421500,2.5056065313657787,3.1246188112575877,3.823942016621956,2.1964859100530134,3.2331965375720513,1.9066814862315464,3.094560818876152,2.798421882183656
PF3D7_0212400,2.783289414907105,2.8120782432604696,3.114479443451997,3.5189173078926808,2.9359443349804915,3.4975731412163245,3.095354832396409,3.1103803142848445
PF3D7_0215400,2.3345070169345434,3.0076843275788567,2.823664976932152,3.31907019397451,3.2407236805019157,1.6871275168557147,3.0977857947468586,2.735462952129616
PF3D7_1458100,1.5824259055135452,3.488335894912127,2.7868969226920157,3.0938055796118062,3.0481323190670904,2.866969182165385,3.1042926790707592,2.8110943006603284
PF3D7_1250000,2.0898670000543644,2.706976053852352,3.1469117557812045,3.1183556753542883,3.459409617839877,1.9127605932262008,3.10791327570693,2.739046782684715
PF3D7_1121700,1.8869701796917688,2.7284644616660314,3.1094672275851614,3.1847097215754774,3.411670953788601,1.4826704038463283,3.108578091153817,2.633992158025561
PF3D7_1120000,1.854044719930851,2.8901389430827336,2.9764058218304985,3.1946714576470887,3.3952373080639204,1.49754561415712,3.1141133826560607,2.634673977452036
PF3D7_0221800,2.455301009652632,3.6505874168058168,2.9126706155992856,3.0903453818590743,2.8181121706828707,3.659033323404623,3.1179288962367617,3.0976749863340496
PF3D7_0410400,2.2014359400688623,2.7260508750206167,3.7827885722681915,2.5041134264758966,3.45879737050996,1.9528840763205209,3.117937561068666,2.7710117101106744
PF3D7_1339500,1.3215071990291196,2.600978346608164,2.9780268662606506,3.3540929013846803,3.5413895970596867,1.4498711882916089,3.118621927828296,2.540977683105652
PF3D7_1316900,2.8252855851768124,3.3768479183342235,3.5604548357667363,2.6949922076437263,2.8426647313774533,2.9084094360362287,3.1187399232805357,3.0347757857225304
PF3D7_0108400.1,1.7560401310242797,3.1118041038909956,2.6163595414338343,3.397723771275096,3.3500654881643612,2.2799920502948496,3.1189882261910715,2.7519975143472357
PF3D7_0204400,1.7844478975129825,2.7715257111280494,3.0562745686479253,3.3367297807417917,3.327828517923073,1.625735552617854,3.12308964461021,2.6504236714286127
PF3D7_0219100,1.3853571866508896,2.5490852087214826,3.0393050001669937,3.3234035037113263,3.5901752151713224,1.4143532972273187,3.1254922319427814,2.5502799019415554
PF3D7_0721900,1.7376892408349487,3.450468480808432,3.236881837765325,2.997107026099094,2.857841213020592,3.1421410256518825,3.1355746394233615,2.9036881373633787
PF3D7_1136800,2.013854008702401,3.0188400528317816,3.5179379554925285,2.823627566871167,3.202460508107749,3.174278862887907,3.1407165208258068,2.958499825815589
PF3D7_1421000,3.526016366269165,3.6866561926048993,3.4482568996831144,2.3971947605682047,3.04296962651962,2.949666342908175,3.1437693698439597,3.1751266980921966
PF3D7_1211400,2.2517341522583783,2.507911985246764,3.0767754188740053,3.10722815251112,3.8864642944275056,3.0447359141110377,3.1445949627648484,2.979141652904802
PF3D7_1364400,2.5396115026474817,3.0339640776176298,2.9971176319081936,4.018912006645889,2.530196077779098,3.9262610332844736,3.1450474484877033,3.1743437216471277
PF3D7_0917800,2.3518542977073844,3.2964019557687902,3.0954417539005887,2.961963168788297,3.236296794474292,2.0266335040532293,3.147525918232992,2.82809857911543
PF3D7_1032700,1.8160703763231865,2.8177315799620803,3.4404762493194494,2.787728740457218,3.548952457430255,2.0311729747579896,3.1487222567922513,2.74035539637503
PF3D7_0708100,1.5908757609529252,2.633725499246513,2.7836191614745864,3.634798973041372,3.5536048871680217,1.9174527521748117,3.1514371302326234,2.6856795056763723
PF3D7_1422800,1.7608306571952976,2.674719634439629,3.881742164845648,2.364043954152794,3.6868522312035146,2.2945388131988853,3.1518394961603966,2.7771212425059613
