ORF,AA13vAA17_3D7,AA13vAS15_3D7,AA13vAS16_3D7,AA17vAS15_3D7,AA17vAS16_3D7,AS15vAS16_3D7,AAvAS_mean,mean
PF3D7_1230800,1.2354273987379458,1.5129861440675905,3.8862815674278304,0.8782732212230022,3.730066113017951,3.3592367356235413,2.5019017614340937,2.4337118633496435
PF3D7_1238900,1.0034528042200634,2.5257033315110218,2.6413426926546633,2.3931587620369688,2.456290280009566,0.8843306901862312,2.5041237665530547,1.9840464267697524
PF3D7_0826000,1.2125378279163157,1.6295234701600763,3.0613195893646803,1.8069506622893303,3.612536078253949,2.4001157210599526,2.527582450017009,2.287163891507384
PF3D7_1118100,1.126064342319164,1.6448218498639873,3.7991016241456768,1.111949933368943,3.677590954366814,3.172086181348848,2.558366090436355,2.4219358142355722
PF3D7_1032500,0.9681250547130114,1.6646831035350587,3.7553685581909964,1.2633350522292586,3.578513659961313,2.8887609629932953,2.565475093479157,2.353131065270489
PF3D7_1438100,1.0331590067331764,1.6212004009967074,3.8442082904021686,1.1043977125659463,3.6979216414891294,3.143076580379587,2.566932011363488,2.4073272720944527
PF3D7_0402900,0.8829925604263427,1.1924652040951578,4.233469220541157,1.029749971282598,3.816072220890839,3.765250455065874,2.5679391542024383,2.4866666053836615
PF3D7_1447700,0.908190992486447,1.127171899113063,3.9127769922098055,1.1255043630765178,4.119320747057212,3.6332869487314365,2.5711935003641493,2.471041990445747
PF3D7_0612000,0.6649911621057308,1.4132018295600286,4.010016580152396,1.2557220335973844,3.6342074874303143,4.065236391312176,2.578286982685031,2.5072292473596716
PF3D7_1144900,0.9312089966949609,1.6047010560547816,3.546112578509414,1.4551241208775607,3.7204880141038315,2.5656850375797955,2.581606442386397,2.3038866339700577
PF3D7_1107800,1.2419084455192086,1.7980534056255555,3.487036145835698,1.6870776165344292,3.420793859241641,2.398081830272347,2.598240256809331,2.33882521717148
PF3D7_0812800,0.9182971963554869,1.2271302487731786,3.899107459947015,1.2586774535006913,4.030117287016583,4.029314621288688,2.603758112309367,2.5604407111469403
PF3D7_1003600,0.39898377733845114,2.2857164004547657,3.14607164737864,2.0734675037619996,2.9378499259236266,1.0154509145300252,2.6107763693797583,1.976256694897918
PF3D7_1203700,1.1959411307077668,2.541479468977483,3.392202694910232,1.790661237951382,2.766910688609836,1.866042754621242,2.6228135226122333,2.25887299596299
PF3D7_1474800,1.1262551864352928,1.693366467451418,4.080724497082133,1.0023493958311256,3.8069686110432097,3.3093031051989223,2.6458522428519715,2.5031612105070167
PF3D7_1001000,1.0489101389740023,1.6415872920810575,3.635406628335107,1.6371166790611558,3.6727247009979536,2.884625353009987,2.6467088251188184,2.4200617987432107
PF3D7_0423100,1.1073793070218347,1.6210699691619317,4.028585026012731,1.1691905458897611,3.8729638929781505,4.117548749136679,2.672952358510644,2.652789581700181
