ORF,AA13vAA17_3D7,AA13vAS15_3D7,AA13vAS16_3D7,AA17vAS15_3D7,AA17vAS16_3D7,AS15vAS16_3D7,AAvAS_mean,mean
PF3D7_1230800,1.2354273987379458,1.5129861440675905,3.8862815674278304,0.8782732212230022,3.7300661130179513,3.3592367356235413,2.5019017614340937,2.4337118633496435
PF3D7_1238900,1.0034528042200634,2.5257033315110218,2.6413426926546637,2.3931587620369688,2.456290280009566,0.8843306901862312,2.5041237665530547,1.9840464267697524
PF3D7_0526500,1.516659241473766,1.6480880623798686,3.8289792546718413,0.9947268454270478,3.551319855616148,3.3748855656654038,2.505778504523726,2.485776470872345
PF3D7_1146000,1.5030682368558852,2.154073316233866,3.340715378586967,1.8170254088391424,2.7159873241879406,2.239628926735836,2.506950356961979,2.2950830985732726
PF3D7_0719900,1.9440322490282245,2.404529393210516,3.294864408411652,2.090510751180447,2.2414104651888205,2.4853785960565733,2.507828754497859,2.410120977179373
PF3D7_1412600,1.827989218904872,2.26835490551485,2.830580900601917,2.0849301917966456,2.8627672910896407,1.9004478301948482,2.511658322250764,2.2958450563504624
PF3D7_0720700,1.9283025902317004,1.845626854060994,3.889418643443813,0.9717889336916912,3.35075919398588,3.120773917152832,2.5143984062955944,2.517778355427818
PF3D7_1117900,1.4916022962186284,2.1782314962024114,2.857846187519561,1.8598470723571787,3.1627609021785124,2.4743860565736737,2.514671414564416,2.3374456685083267
PF3D7_1145000,1.81367666805307,2.5706932915566414,3.0323674557069094,1.428512023941538,3.03045395896931,2.5857637796579565,2.5155066825436,2.4102445296475707
PF3D7_1129400,1.8215866052434069,2.10709246053204,3.3074208641660237,1.6505695071652189,3.0064618615442438,2.0812320128363444,2.5178861733518816,2.3290605519145458
PF3D7_0822900,1.3082131427995165,2.413012058015497,2.968587724788124,1.6814786922193026,3.029669842546656,2.6079415941768485,2.523187079392395,2.334817175757657
PF3D7_0826000,1.2125378279163157,1.6295234701600765,3.0613195893646803,1.8069506622893303,3.6125360782539486,2.4001157210599526,2.527582450017009,2.287163891507384
PF3D7_0110500,1.7038726617190227,2.1570857273200192,3.161486366694973,1.6173886813630232,3.1744871918550586,2.4751261037213697,2.5276119918082687,2.381574455445578
PF3D7_1208600,1.8574340711024049,2.0381335038783703,3.3518326467473503,1.6407905398716784,3.0984260985937713,2.2510380656295967,2.532295697272792,2.3729424876371947
PF3D7_0203700,1.4598009522541455,2.0774977542127635,3.4650054940753834,1.4337549964971985,3.160105027383959,2.7836955657247606,2.5340908180423263,2.3966432983580352
PF3D7_1108400,1.4129912961894364,2.2339710050965023,3.369994953028393,1.3730907185218786,3.1690802331106336,2.6788306029242084,2.5365342274393523,2.372993134811842
PF3D7_0705900,1.3019848264362006,1.6364839212147164,3.654279641093459,1.0180489342888104,3.8585159335232015,3.424962549188776,2.5418321075300465,2.482379300957527
PF3D7_0307800,1.9086682280469087,2.508522441163413,3.5746435943094923,1.1831562842064327,2.931683103144556,2.5322634951839302,2.5495013557059734,2.439822857675789
PF3D7_1402700,1.6906742173170497,2.6098836817577205,3.405584668396517,1.598830037977247,2.5912299932184886,2.0253185651963794,2.5513820953374933,2.3202535273105664
PF3D7_0916100,1.5086857745197777,1.3937868960643878,4.144857867056242,0.947800596539234,3.729220683302493,3.496023684963772,2.553916510740589,2.536729250407651
PF3D7_0914200,1.5574104927912649,2.646257206154804,2.7426127255803885,2.3669295916564783,2.460690075310424,1.7358047737732467,2.554122399675524,2.251617477544434
PF3D7_0727000,1.448577346590903,2.1174140465171,3.053554772699484,1.97217863908944,3.0776196825846447,2.6212840979152983,2.5551917852226667,2.3817714308994784
PF3D7_1118100,1.126064342319164,1.6448218498639873,3.7991016241456768,1.1119499333689429,3.677590954366814,3.172086181348848,2.5583660904363548,2.421935814235572
PF3D7_1347700,1.381081608561205,2.337767867408481,3.433894984133917,1.713825488683696,2.75927022029665,1.8172435160751863,2.561189640130686,2.2405139475265226
PF3D7_1032500,0.9681250547130114,1.6646831035350589,3.755368558190997,1.2633350522292586,3.578513659961313,2.8887609629932958,2.5654750934791566,2.3531310652704893
PF3D7_1423200,1.5627222737841913,2.3651808322980763,3.481917956237602,1.306187994819518,3.109744649288823,2.539735027470822,2.565757858161005,2.394248122316505
PF3D7_1438100,1.0331590067331764,1.6212004009967074,3.8442082904021686,1.1043977125659463,3.6979216414891294,3.143076580379587,2.566932011363488,2.4073272720944527
PF3D7_0829300,1.7372341370357889,2.0826456249650667,3.9223586947130187,1.2900358109690628,2.97435430468019,3.2956700167623114,2.5673486088318347,2.550383098187573
PF3D7_0402900,0.8829925604263427,1.1924652040951578,4.233469220541156,1.0297499712825982,3.816072220890839,3.7652504550658734,2.5679391542024383,2.486666605383661
PF3D7_1372100,1.5191745374204544,2.965428996001548,3.0296145107966885,1.9895730801476403,2.288794715041264,2.250089335388114,2.568352825496785,2.3404458624659514
PF3D7_1447700,0.9081909924864471,1.1271718991130628,3.9127769922098055,1.1255043630765178,4.119320747057212,3.633286948731437,2.5711935003641493,2.4710419904457472
PF3D7_1003700,1.9473335075122,2.7996726854997784,2.9174805096666465,2.0879925130884134,2.4859265444348533,2.330611482671239,2.5727680631724232,2.4281695404788555
PF3D7_0720600,1.721464235551554,2.41580869897964,3.7022179445576637,1.3076056233676334,2.8687132893442517,2.7290567169457405,2.5735863890622976,2.457477751457748
PF3D7_1412700,1.9589136724576408,2.1552047517879527,3.2279626037088245,1.7005471762921915,3.217578208389582,2.3193143652079042,2.5753231850446383,2.4299201296406827
PF3D7_1204100,1.3933753498529038,2.206951097273269,3.028073063965774,1.9604505850902496,3.1060422228075755,2.120544856793042,2.575379242284217,2.3025728626304693
PF3D7_1134600,1.9681198729134812,2.306233793026743,2.9330259951325446,2.123670492636903,2.940202941798632,1.7410171551048503,2.5757833056487054,2.3353783751021924
PF3D7_1338300,1.4963009595544752,2.4321727263049984,3.56652378940822,1.4322601259972638,2.875143891332188,2.8596670806748032,2.576525133260668,2.4436780955453252
PF3D7_0612000,0.6649911621057308,1.4132018295600286,4.010016580152397,1.2557220335973844,3.6342074874303134,4.065236391312176,2.5782869826850305,2.507229247359672
PF3D7_0520500,1.8163382943670745,3.1587082601272245,3.0830132080107684,1.6690762916793913,2.4095516719468377,2.785933241316464,2.580087357941056,2.487103494574627
PF3D7_1144900,0.9312089966949608,1.6047010560547816,3.5461125785094136,1.4551241208775607,3.720488014103832,2.5656850375797955,2.5816064423863967,2.3038866339700577
PF3D7_0114000,1.6154613663714206,1.9720168694734919,3.5598684544820416,1.6224645425027524,3.2101234238599825,3.5153522321352972,2.5911183225795678,2.582547814804164
PF3D7_0705600,1.744086436656515,2.1131470683750124,3.2184088322154025,1.7067755284731956,3.3464033524132137,2.662106236984652,2.5961836953692057,2.4651545758529987
PF3D7_0821400,1.3947168431634762,1.6650080744006541,3.8522370411485336,1.4484774754781355,3.4266697019510484,2.8001568410093234,2.5980980732445933,2.431210996191862
PF3D7_1107800,1.2419084455192086,1.7980534056255555,3.4870361458356984,1.6870776165344292,3.420793859241641,2.398081830272347,2.5982402568093312,2.33882521717148
PF3D7_1030300,1.5790671039242834,3.0986558229578267,2.679531184899441,2.247765044524281,2.369689308774919,2.5820042691535954,2.598910340289117,2.4261187890390583
PF3D7_0831300,1.862552145541919,2.4203093804719504,3.1890721269140534,1.5398822987938383,3.2587952124638755,2.5508625928781075,2.6020147546609294,2.4702456261772907
PF3D7_0812800,0.9182971963554868,1.2271302487731786,3.899107459947015,1.2586774535006913,4.030117287016583,4.029314621288688,2.6037581123093667,2.5604407111469403
PF3D7_0306900,1.6288868542475003,2.295421876401224,3.961186253239749,1.27559099900998,2.887455638174381,2.8121537441369777,2.6049136917063334,2.4767825608683016
PF3D7_1003600,0.3989837773384512,2.2857164004547657,3.14607164737864,2.073467503762,2.9378499259236266,1.0154509145300252,2.6107763693797583,1.976256694897918
PF3D7_1032100,1.9620604584672616,2.1705592318814277,3.5542531592537885,1.4488685662966712,3.273177110376705,2.9227781410457,2.6117145169521483,2.5552827778869247
PF3D7_0108400.1,1.4828656169604757,3.2089102634913615,2.9089989456179555,2.2919476862589234,2.0380255801080094,2.276998585622519,2.611970618869062,2.3679577796765408
PF3D7_1447300,1.4943234179927052,1.3849091215829856,4.184976214755767,1.1375047844568564,3.752463691178148,3.9641930333075535,2.6149634529934387,2.653061710545669
PF3D7_0108400.2,1.762572584534852,2.9330073274208934,2.833837969216364,1.9842215890457395,2.725068964763264,2.4041513814659683,2.619033962611565,2.4404766360745143
PF3D7_1418000,1.7610147337089188,1.5761845495936917,3.9302166428382823,1.4969842688633237,3.4746863608084952,3.6026197801867195,2.619517955525948,2.6402843893332384
PF3D7_1243400,1.89489207568679,3.0676946786916472,2.6869583179514054,1.5272917086338973,3.197484955556672,3.4949174434394137,2.6198574152084046,2.6448731966599706
PF3D7_0401600.1,1.5011264428728386,2.613313166324338,2.9133099398493982,2.44606608937744,2.514992605413305,1.292775173583545,2.62192045024112,2.2135972362368106
PF3D7_1203700,1.1959411307077668,2.541479468977483,3.3922026949102317,1.7906612379513818,2.766910688609836,1.866042754621242,2.6228135226122333,2.25887299596299
PF3D7_0304900,1.909139405396884,2.1262621376162625,4.109139392660774,1.2210165255858256,3.0361080879947275,2.868244065260748,2.6231315359643967,2.544984935752537
PF3D7_1420000,1.683963215108356,1.6339290857320967,3.5153970463754862,1.6662859418607097,3.684345635389079,2.9343206906300807,2.6249894273393433,2.5197069358493014
PF3D7_0606600,1.770439061072526,1.9093737021330648,3.770130478740632,1.5015080142981123,3.323360070585536,2.9008859094569024,2.6260930664393363,2.5292828727144623
PF3D7_1460700,1.7235006208668553,1.9291802684381645,3.817055442702244,0.917433227012577,3.84125558360797,3.70614495519704,2.6262311304402393,2.6557616829708084
PF3D7_1015300,1.8352467761571276,2.593033249305401,3.1800157048126443,2.4158440690099248,2.3193128017322184,3.2463632572550987,2.6270514562150478,2.5983026430454017
PF3D7_0218200,1.3508139480827297,1.9369139668294295,3.256449141105846,1.5859034337286468,3.742216667271849,3.113054869118665,2.6303708022339434,2.497558671022861
