ORF,AA13vAA17_FUP,AA13vAS18_FUP,AA13vAS19_FUP,AA17vAS18_FUP,AA17vAS19_FUP,AS18vAS19_FUP,AAvAS_mean,mean
PF3D7_0708000,0.6422013526811589,1.6794786594298212,1.8772399955168717,2.202479543286929,2.2546625933720565,0.7815530899203864,2.00346519790142,1.5729358723678706
PF3D7_0724200,0.9463035150661236,1.7178183064612775,1.8934554299639008,2.1516173275540726,2.252765711261836,0.8798680574411952,2.003914193810272,1.6403047246247342
PF3D7_1408700,0.8412618631626226,1.9282840732352649,2.0912350699235263,1.907969359507362,2.0902006134794058,1.2611726497859312,2.004422279036389,1.6866872715156858
PF3D7_1313300,0.7398722980811576,1.9810483379142911,1.9446066793317032,2.1521967348177338,1.947141993405052,0.8608837134691645,2.006248436367194,1.6042916261698503
PF3D7_1015200.2,0.9412884166528852,1.9643778591253247,2.261961979077982,1.7021089616963885,2.0989433812574525,1.99795523507372,2.0068480452892867,1.8277726388139584
PF3D7_1322800,0.7800887203383036,1.9781523650278616,2.7318741369866157,1.3102859953670596,2.019144961021828,0.9309218386016841,2.0098643646008414,1.6250780028905585
PF3D7_1314400,0.8084978993222344,1.7130285467495818,2.3222208400738817,1.6757161350375902,2.335699479455486,1.0485019136779221,2.011666250329135,1.650610802386116
PF3D7_1121600,0.6173471599909537,1.6187587117308604,1.9765279612427968,2.029258499068748,2.4326111272733177,0.7063801845315256,2.014289074828931,1.5634806073063672
PF3D7_1016400,0.6208936737186624,1.815801837997956,1.9386004897059372,2.026319983859724,2.278526754571602,0.7761907164702241,2.014812266533805,1.5760555760540174
PF3D7_1238300,0.7924120357785017,1.7424660884637821,2.240330788555737,1.8148694990017589,2.271443597017577,0.908007847188489,2.017277493259713,1.6282549760009744
PF3D7_1332200,0.4610465617417274,1.0663896401878932,2.6113128154488225,1.3770787233225608,3.0192029395472564,1.9478008471590849,2.018496029626633,1.7471385879012242
PF3D7_1024300,0.7354871257257924,1.5944269616863849,2.2852150170846053,1.7842825518353185,2.43330744057977,1.084626145360609,2.02430799279652,1.6528908737120798
PF3D7_1033300,0.9038568716036828,1.6885853718804076,2.022570720021975,1.9570763852107749,2.4300049636839285,0.7972661409111749,2.0245593601992717,1.6332267422186568
PF3D7_0730000,0.9351333871587284,1.6736458764875735,1.8398614997093208,2.2937900930581776,2.302148976580302,0.8427217133360991,2.0273616114588435,1.6478835910550331
PF3D7_1241100,0.8476976499518278,1.5240625123113525,2.380963601718291,1.7679221747041496,2.4370808283030065,1.3097523772843411,2.0275072792592,1.7112465240454948
PF3D7_1026200,0.9938526352373256,1.5972826049627629,1.7327855256606737,2.4249018386783714,2.3740728194737835,0.6586879309224809,2.0322606971938977,1.630263892489233
