ORF,AA13vAA17_FUP,AA13vAS18_FUP,AA13vAS19_FUP,AA17vAS18_FUP,AA17vAS19_FUP,AS18vAS19_FUP,AAvAS_mean,mean
PF3D7_0913400,0.6703416873938526,2.2752842272723965,2.3207259084263283,2.6987959895538003,2.709728730196212,0.6489108476593239,2.5011337138621843,1.8872978984169857
PF3D7_1412700,1.1173453044757728,2.1168045895053327,2.3262869733905176,2.6849748389071073,2.8773799407690275,0.9832790191956524,2.501361585642996,2.0176784443739018
PF3D7_1235500,1.5580152612382308,1.9966584435971355,2.2605211641302003,2.718840129583059,3.035310932334795,1.7817527976045726,2.502832667411297,2.225183121414666
PF3D7_1109900,1.4974820465291396,2.225769578153613,2.96274867409522,2.1471287229660003,2.6915879857110645,2.1771573408692992,2.5068087402314747,2.283645724720723
PF3D7_0628600,1.6784313482721716,1.855742575572364,2.71201952277976,2.591902978914176,2.8742543902592708,1.7485217398362258,2.5084798668813932,2.243478759272328
PF3D7_1441000,1.5149260856883184,2.2695862286862787,2.5563610619929023,2.3856032338251376,2.8224006798936334,1.6249339072981666,2.508487801099488,2.1956351995640726
PF3D7_0415000,1.8399680466473696,1.3974820713173224,3.3632746769690183,2.0072043254102327,3.2761493904738908,2.848170465766212,2.511027616042616,2.4553748294306743
PF3D7_1203900,1.6735376528897377,2.7272030625785715,2.6233335112314453,2.6221717324404485,2.0764319089165557,1.7223771020116194,2.512285053791755,2.240842495011396
PF3D7_0822300,1.950141553109252,1.7651625392075536,2.5887407300061134,2.6808525361285023,3.0182834433633663,1.7513881347450269,2.513259812176384,2.292428156093302
PF3D7_0824500,0.9501572942818022,2.4712112899597374,2.4736437187608344,2.5240600897559626,2.5911460934800523,1.075357962850228,2.5150152979891467,2.0142627415147696
PF3D7_0824100,0.7617798924699667,2.3485275889377863,2.225278859225481,2.849034254320792,2.6403576802627207,0.7654215197763331,2.5157995956866945,1.9317332991655132
PF3D7_0616900,1.5151198406099011,2.029975262899307,2.744902138394519,2.4605162047283016,2.8330623010828537,2.0626916902236148,2.5171139767762463,2.274377906323083
PF3D7_1327800,1.84854825896762,2.073585555208269,2.4766732483485527,2.6094514964363484,2.9294341956843906,1.3503426121266109,2.52228612391939,2.214672561128632
PF3D7_0823100,1.477682012272315,2.1026645935786985,2.8573764206294507,2.444021090930207,2.7050052741726107,1.672778249980463,2.5272668448277416,2.2099212735939577
PF3D7_0629800,1.7338370451610725,2.159317096273361,2.6351601768402793,2.455910230704194,2.8614486459653947,1.4657394552956375,2.5279590374458065,2.2185687750399894
PF3D7_0214000,0.7576984400971665,2.3512287004085914,2.4724003511287025,2.5783576902252854,2.716195132196243,1.1610781779369157,2.5295454684897054,2.006159748665484
PF3D7_0921800,1.5335612665727811,2.463077216190084,2.7878059965584714,2.182358608154614,2.707882144845956,2.0491314661421383,2.535280991437281,2.2873027830773407
PF3D7_0209800,0.8588022952765527,2.4258587046314832,2.8603551937782026,2.134078938334218,2.720835947122163,3.137781796583124,2.535282195966517,2.356285479287624
PF3D7_1445400,1.3164986486289365,2.284836456310952,2.4630854469199694,2.784872845861372,2.616314109875088,1.2521002466150903,2.537277214741845,2.119617959035234
PF3D7_0821700,1.154799281987252,2.7235956325506536,2.4648278824937684,2.593032638285452,2.3925697339561833,1.5168147178938585,2.543506471821514,2.140939981194528
PF3D7_1311700,1.332892372286063,2.1116047038482795,2.378234510525441,2.8101942599236884,2.876680088863095,1.1049996464397622,2.544178390790126,2.1024342636477216
PF3D7_1366300,1.6115084830185868,1.9262276576921953,2.583109678719117,2.7814835641525155,2.8952997977344106,1.7703574950127994,2.5465301745745594,2.2613311127216043
PF3D7_1214700,1.490646553228792,2.2494954485362166,3.2963095103595923,1.8822903647248033,2.762157288158146,1.7897379219319094,2.5475631529446896,2.2451061811565767
PF3D7_1454500,1.6368623421841373,2.22191312658028,2.659159538452411,2.3553395187235213,2.9741338722946864,2.4908570851157337,2.5526365140127245,2.3897109138917947
PF3D7_0212300,1.1503620253998392,2.5328793266405163,2.8113867539729056,2.2122543238954324,2.6635586262266653,1.6048165067167537,2.5550197576838802,2.162542927142019
PF3D7_0915400,0.8807466366604438,2.470251067503924,2.348482793260192,2.8013554284328914,2.6141626970730187,1.4284540344343508,2.5585629965675065,2.0905754428941368
PF3D7_0919700,1.1191145479413405,2.258263456434175,2.750232167651513,2.435533826730541,2.8289019116709584,1.0985014586112307,2.5682328406217967,2.08175789483996
PF3D7_0517200,1.0397731146761993,2.9032030429774798,1.84246717509808,3.2925211869718067,2.2532543635963833,1.8236191951164988,2.5728614421609377,2.192473013072741
PF3D7_1123300,1.6199463566189098,2.187055345643142,2.5208382307534807,2.700786325578077,2.882928163165976,1.56938373288856,2.572902016285169,2.2468230257746917
PF3D7_0818500,1.6623576702492724,2.2698479890542447,2.4983234357114057,2.252452879950733,3.2751727605788243,2.3125978733912627,2.573949266323802,2.378458768155957
PF3D7_1310300,1.4763780491320737,1.9789278198549545,2.6628889703858403,2.6686078938498965,3.01701104328185,1.5270500625123014,2.5818589318431355,2.2218106398361535
PF3D7_1020100,0.7614996149445421,1.0834256404315137,4.331952139312242,0.7322558433757921,4.1823596162685694,4.159378981217814,2.582498309847029,2.5418119725917454
PF3D7_0703500,1.4036892304992863,2.003881584675908,2.794825741993634,2.333087918405809,3.201374200009781,1.6468908950417531,2.5832923612712833,2.2306249284376958
PF3D7_0609100,1.554432304623599,2.565175786485563,2.3788900280302125,3.018269949466635,2.3831570873037253,2.255552120146265,2.586373212821534,2.359246212676
PF3D7_0918900,0.7396647869644188,2.2017297972744028,2.6898042223571115,2.560449170152695,2.905962134038408,1.33631975163909,2.5894863309556544,2.072321643737688
PF3D7_1309000,1.5207940226053394,2.0007637373581,3.145914860124779,2.026962670104472,3.186893306598305,2.4884675760319244,2.590133643546414,2.39496602880382
PF3D7_1250900,1.7132132612102264,2.542953897348895,3.2126798304746584,2.0933501141983553,2.525741375664772,2.2515341162368974,2.5936813044216698,2.3899120991889675
PF3D7_1111200,1.1728617141089337,2.3494657900590186,2.350511337544169,2.798714016670421,2.880815010422948,0.9503554374512344,2.5948765386741397,2.0837872177094545
PF3D7_1220100,1.781060084741396,2.296790761206073,2.821444709022233,2.4787191160462805,2.7928202982795893,1.7027487888215391,2.597443721138544,2.3122639596861854
PF3D7_1458400,1.164952347222406,2.300915460206602,2.524669338014243,2.671386342664802,2.911454777369792,0.8511609810698543,2.60210647956386,2.070756541091284
