ORF,AA13vAA17_3D7,AA13vAS15_3D7,AA13vAS16_3D7,AA17vAS15_3D7,AA17vAS16_3D7,AS15vAS16_3D7,AAvAS_mean
PF3D7_1407300,1.5729772944700924,1.889597086292472,5.276733961958398,1.4988941429068057,5.336303412808321,5.011511979420709,3.5003821509914994
PF3D7_1359500,2.0217771910334017,3.1761981292607167,4.6695251197413,1.6426240353603996,4.552411015891941,3.890126521158874,3.5101895750635888
PF3D7_1009400,2.2952205929577554,3.4372894813479977,3.9206824534191367,2.146899518366637,4.580326941447544,4.498100018737247,3.521299598645329
PF3D7_0921900,1.8184750795650249,3.074500958439462,4.3687345799961665,2.21632065650458,4.466786419921063,3.553039996442542,3.5315856537153185
PF3D7_1036900,1.8415810441005576,2.9090020975378565,4.118454065922808,2.771245461732321,4.3928146306101095,3.4245470623637706,3.5478790639507736
PF3D7_1327300,1.7004225004879026,2.717612390122124,4.124299302497477,2.9027075711858283,4.517650820102845,2.448492090683798,3.5655675209770683
PF3D7_1251600,1.4690328768115706,2.9241793061449424,4.46387368477408,2.388313628711122,4.499665231250457,3.6675073944332057,3.5690079627201503
PF3D7_1008100,2.1988642212835767,3.6204178747217695,3.6171293587526296,3.3476274639800625,3.7391331966575176,3.9530237545411007,3.5810769735279955
PF3D7_0310600.1,1.7957730959189229,3.9170391338200568,3.628430560941507,3.5724446532610057,3.2156640675408044,3.341494120133252,3.5833946038908437
PF3D7_0818500,1.3818950724053594,3.339844071862017,3.776293656841008,3.0708381963843325,4.165328069086076,2.3081655557834955,3.5880759985433586
PF3D7_0911900,1.7893580923867998,3.5842117075116264,3.994185836610239,3.0187389067947663,3.765197593684352,2.5599167735575548,3.5905835111502458
PF3D7_1018600,2.115000000176567,3.3250520002544586,3.8020379360420606,2.9771439892758185,4.281726735457089,2.596730529353724,3.5964901652573564
PF3D7_1146900,1.5113189151977986,2.593250521174157,5.032276841593851,1.794745711715835,5.016748091036551,4.4447937519130605,3.6092552913800984
PF3D7_1404900,1.9311308779143488,3.631562063911727,4.319717929828816,2.8404214395684817,3.6491608865030867,3.540417691559796,3.6102155799530284
PF3D7_1039000,2.151632357082542,2.5944402341971227,4.675019190992106,2.1234780559222046,5.082451721042606,4.08283060208305,3.6188473005385093
PF3D7_0621500,1.9061674604026204,2.9981493916318094,4.260949801648949,2.660378675588817,4.555979375471964,4.058106111240079,3.6188643110853844
PF3D7_1458100,1.5099200471988017,3.912228599170757,3.31387720866905,3.842146622398084,3.424641175825985,2.885645731008743,3.623223401515969
PF3D7_0204700,1.9761697821530315,2.888477710742808,4.598084293471432,2.6670148024801588,4.340139990398637,4.819251838115375,3.623429199273259
PF3D7_1448700,2.3740981113538537,3.5201010395149206,3.6666313605621967,3.0453025493997328,4.2643015256096515,3.9059200653183455,3.624084118771625
PF3D7_0420300,2.1489773645641086,2.405118114387625,4.624703916643641,2.411861198387077,5.057748067751771,3.7925538598883377,3.624857824292528
PF3D7_1311600,1.904147545010005,3.4945515919707404,3.57878729719408,3.2653619129722165,4.170866319706646,3.3945172932770453,3.6273917804609215
PF3D7_1366900,1.4221121048084968,2.7037563246629293,4.914542909851824,2.000268358614824,4.89449197774687,4.662629754580316,3.628264892719112
PF3D7_0707900,2.2503094460935857,3.8235613267073294,3.136407235701387,3.6020289866520376,3.981358961690404,3.0958441190785377,3.6358391276877895
PF3D7_0730300,2.305834420387561,3.0445251444890378,3.496602360725303,3.529490155504719,4.541003277027867,2.382621063216378,3.652905234436732
PF3D7_1028500,2.137365501320354,3.4374233368649487,4.08356655775768,2.8512777261546933,4.3164242176363325,3.8095419954989738,3.672172959603413
PF3D7_1342900,2.2861404073083302,3.4374029016757204,4.009174729709383,2.5822994021932875,4.745930848545724,4.034060455760754,3.6937019705310288
PF3D7_1102500,2.418391058790708,3.587273272264936,3.4505624736018348,3.3425704358175623,4.399618613315544,2.6097002472202138,3.695006198749969
PF3D7_0311500,1.6038821795978877,3.623084590559394,2.928323876737688,4.43360758156091,4.001260681279041,1.8140509334534656,3.7465691825342584
PF3D7_1446300,1.967795945212232,3.4162468494222726,3.895389570804665,3.3323925207060285,4.408023033147497,2.7305118636126005,3.763012993520116
PF3D7_0929200,2.146937494181984,3.691022692140911,4.472804484046897,2.8885444128246074,4.038164430849955,3.075291317790457,3.7726340049655933
PF3D7_0813400,1.972260852765739,2.393311041214339,4.820748626372508,2.557474054624384,5.3692910398611495,4.36392566332063,3.7852061905180956
PF3D7_0907700,1.9242136013537616,3.6125086858960183,4.1324442050362205,3.2726499820005412,4.131032354417099,2.602951639660513,3.7871588068374695
PF3D7_0627800,2.120836740630296,2.0216003658969317,5.477109098310167,2.9101055652633665,4.763004707562702,5.04818972761338,3.7929549342582916
PF3D7_1207100,2.2565529487735416,3.0374679240709828,4.512710456219764,2.6026141947053336,5.035349043887448,3.4493219980258725,3.7970354047208814
PF3D7_0921800,2.323297897467319,3.810522932784409,3.51611508802683,3.4760008585378035,4.392961656963945,3.427004219549201,3.798900134078247
PF3D7_0110800,2.3298059400165907,4.5155570569362125,4.160868258184088,3.1636772807303464,3.3772173721366454,2.3497382094068304,3.804329991996824
PF3D7_1350300,1.9298748607731355,3.922825834714201,4.409864664939275,2.9994999390025754,3.894193609002353,3.148408027873898,3.8065960119146007
PF3D7_1105600,2.4096567266721807,3.565599568284406,3.2817933267964308,4.0328690144962165,4.403094530241328,1.6099372335989022,3.820839109954596
PF3D7_1352100,2.5114718367471416,3.61848473055938,3.397811256451317,4.136158580593267,4.289999098043031,3.030866397447114,3.8606134164117485
PF3D7_1107700,2.3675220619124517,3.2691626374956964,4.358880718826427,2.824673038719716,5.023333903216802,2.9143751473077097,3.869012574564661
PF3D7_0418700,2.4284690673298184,3.340787456029545,4.433095718887532,2.7833968681095307,4.930115318580012,3.770289685576087,3.871848840401655
PF3D7_0706500,2.138337908610404,2.8766492053914714,4.568008335824481,2.8830249172391516,5.16066224056822,3.870446401021297,3.8720861747558306
