ORF,AA13vAA17_FUP,AA13vAS18_FUP,AA13vAS19_FUP,AA17vAS18_FUP,AA17vAS19_FUP,AS18vAS19_FUP,AAvAS_mean
PF3D7_0204500,1.630285956427869,2.402894252715444,3.0840775410481576,2.9660627328253124,3.682223000060948,1.701572811014146,3.0338143816624656
PF3D7_1366100,1.6609817785236716,1.71677765425593,3.6295392939449287,2.2633276655841033,4.551118920424356,3.4402055827722924,3.040190883552329
PF3D7_1007900,1.1874699448552863,2.269749365372472,3.1366294177898,3.098683608435531,3.6964810184632215,1.6325992024057547,3.0503858525152565
PF3D7_1355500,1.776270491803147,2.7597914434918294,3.3461407984983285,2.944255832924185,3.2332065237137835,1.8637120642541165,3.070848649657032
PF3D7_1338200,1.8739594740983216,2.2675568293128734,3.1429512773250514,3.405439146471583,3.5397223589492777,2.40516287419177,3.0889174030146966
PF3D7_1201400,1.1214498899563023,3.1044365096105957,2.578675026907789,3.5520220202755532,3.1340632852653623,1.3241838178679184,3.092299210514825
PF3D7_0110800,1.0722478595055391,2.880441024127213,3.04401107602256,3.2913732084870984,3.1539170424243963,1.6943085070796284,3.092435587765317
PF3D7_0722400,1.338096253758802,2.7010027814614896,3.19658741676094,2.8684829249030432,3.623866426803221,1.4735039891754738,3.0974848874821737
PF3D7_1308200,1.2390326926976216,2.8362302852034915,3.463530434548621,2.744981269202602,3.388697131719578,1.7535197733176324,3.1083597801685734
PF3D7_1237100,1.2167002567428291,2.8961041474683715,2.972891970441625,3.492294270304072,3.1998587164863146,1.7547807300952107,3.1402872761750955
PF3D7_1212600.2,1.396286534324843,1.9969030450277407,4.0161545136236985,1.9995282537101768,4.575765151946582,5.008384622911716,3.147087741077049
PF3D7_1002200,1.773267884680627,2.613258783191489,3.2652851660105,3.1828237688337637,3.714998577880294,1.0897272117784786,3.194091573979012
PF3D7_0204300,1.9925126972735168,2.8302778807436257,3.674159773226626,2.6895557007909474,3.622736628221359,1.4518238054511468,3.2041824957456395
PF3D7_1328800,1.7532764196195276,2.7302760009717884,2.6000398589659746,3.5463932177869153,3.9592268139431352,2.0339253883618555,3.208983972916953
PF3D7_0822800,2.1170102282997574,2.8805111786055124,3.2483955879361313,2.900582020847804,3.8398229510020014,2.3328954853294492,3.2173279345978623
PF3D7_0918300,1.8362352226984544,2.3152604634856404,3.3981204292403193,2.9492226787610227,4.308896990097767,3.1609475590926133,3.242875140396188
PF3D7_1311000,1.5509316435862988,2.483142756597132,3.6148021406220567,3.0200646588848197,3.864552933443485,2.3483379847424937,3.2456406223868726
PF3D7_0220500,1.5934509602238829,1.922659946504018,3.697865028723802,2.725982454924159,4.784801565627703,2.8263534101556367,3.2828272489449213
PF3D7_0707900,1.7139189548191072,2.4175122521905057,3.1536347380498384,3.815620076231312,3.879152444995027,2.7452923341973783,3.31647987786667
PF3D7_0716900,1.0528008247281817,2.852025044638945,3.6504524442482342,2.9746033145934536,3.791071580547417,1.6758185873591072,3.3170380960070123
PF3D7_1323000,2.0396300998307053,3.4611601374538616,2.925593684376776,3.981495947094118,2.9282920801124446,1.8715858135000212,3.3241354622593
PF3D7_1246500,1.4879776464743248,2.9216002115589617,3.599261963068039,3.1113510053374407,3.713888034239377,1.4600143173340638,3.3365253035509546
PF3D7_0506100,2.0000949824091565,3.4763633934820137,3.8631073070542334,2.9856776110821976,3.2845009940019647,1.7198648251044208,3.4024123264051025
PF3D7_0801900,1.2152281347741845,3.1060987006867924,3.239785919493063,3.708581777468422,3.669309380017475,1.2160671851856082,3.4309439444164385
PF3D7_1442300,1.6924379299350276,2.7387895182844204,3.8267077013923947,3.1277749923937948,4.0558708653901085,2.985739923460676,3.43728576936518
PF3D7_1248200,2.087079701374744,3.229201410479184,3.6522606952244487,3.3453811250255585,3.5524686887455488,2.660420047884056,3.444827979868685
PF3D7_1207800,1.5865096741542752,3.159168512532036,3.612325097157017,3.5165694842928215,3.8256442131857873,1.3349779771717858,3.5284268267919154
PF3D7_0818400,2.022847472169225,2.9371725841642413,3.922689987149312,3.478269665999929,3.907556691713223,1.7387057622536497,3.5614222322566764
PF3D7_1415800,1.6713568938552703,3.0426927055827546,3.958146346919652,3.545466101658441,4.00439963675734,2.3080733162530045,3.637676197729547
PF3D7_1438500,1.9634791132414189,3.4913236427869667,4.316508912155569,3.0982790402366542,3.939508133470794,3.0530248103436257,3.711404932162496
PF3D7_1307000,2.171094041943209,3.0346617176743726,4.0092861716891885,3.627703516669949,4.378037198361644,1.4999517251189751,3.762422151098789
PF3D7_0702600,1.9368704673829944,4.743037889149794,3.42375235733056,4.946421346636071,3.2586936359388536,2.5330788850991013,4.09297630726382
PF3D7_0212200,1.7772711133264647,3.7226347315525823,4.820085941025988,3.9477159944721554,4.7556893261122815,2.3957288008265967,4.311531498290751
PF3D7_0206600,1.0940271304080154,4.878316070402078,4.394421648595971,4.654751241631946,4.326795229458685,2.8272572351974588,4.56357104752217
PF3D7_1103900,3.098879621422076,3.7046853429805706,4.53316143738706,4.876479054138411,5.694593452182424,3.5898485332895467,4.702229821672116
PF3D7_1002500,1.8728930423103962,4.853448121400995,4.845912732593088,4.7153373001386365,4.539230522981974,2.3365591311028084,4.738482169278673
