ORF,AAvAS_FUP
PF3D7_1212600.2,5.313563188258026
PF3D7_0310600.1,5.056955324037428
PF3D7_1340200,4.9461402227713425
PF3D7_0818400,4.864808516596018
PF3D7_1002500,4.844837885569209
PF3D7_0212200,4.833842755147771
PF3D7_0206600,4.825038774696645
PF3D7_1453300,4.8043804684432025
PF3D7_0519700,4.739005983719324
PF3D7_1415800,4.726879259413276
PF3D7_1438500,4.703897205485424
PF3D7_0506100,4.590639168051471
PF3D7_0702600,4.50832959622528
PF3D7_1038200,4.426187306050069
PF3D7_1442300,4.3931214543208545
PF3D7_0926200,4.291959046989385
PF3D7_1124400,4.285906093239916
PF3D7_0419200,4.253746457867437
PF3D7_1311000,4.246441339923453
PF3D7_1009000,4.223496565483426
PF3D7_0111700,4.166280680803498
PF3D7_1315400,4.165282606609762
PF3D7_1248200,4.163508294602854
PF3D7_1124800,4.155865590090831
PF3D7_0707900,4.133572567270998
PF3D7_1307000,4.112107174471714
PF3D7_0830700,4.0688119904502065
PF3D7_1435400,4.04970420373735
PF3D7_0524500,4.007141538782274
PF3D7_0918300,3.989001567796104
PF3D7_1317700,3.9430639392404214
PF3D7_1355500,3.8526985634273996
PF3D7_1201400,3.8389596741578136
PF3D7_0314700,3.833464867067863
PF3D7_1414800,3.73422772077031
PF3D7_0210900,3.7253540568685137
PF3D7_0823700,3.7225240606543877
PF3D7_1461200,3.715143661884371
PF3D7_1242100,3.7142403581199743
PF3D7_1011500,3.7026895481366466
PF3D7_0822800,3.6998806978945113
PF3D7_1419300,3.674665520177188
PF3D7_1463000,3.664505005510099
PF3D7_0524000,3.660750595436746
PF3D7_0801900,3.62887069858683
PF3D7_0204300,3.6253774513712407
PF3D7_0205500,3.62189563779572
PF3D7_0220500,3.589203868598387
PF3D7_1007900,3.570097444456904
PF3D7_1469300,3.561898147515038
PF3D7_1308200,3.5504771296437116
PF3D7_0935100,3.5329123640719273
PF3D7_1246500,3.5155025160068725
PF3D7_0204500,3.5143824141675
PF3D7_1330400.2,3.5021112328381627
PF3D7_0716900,3.4943376460888733
PF3D7_0923000,3.492714594590853
PF3D7_1027500,3.454503849235912
PF3D7_1213700,3.4474408026255725
PF3D7_0528600,3.427946391063601
PF3D7_0422600,3.418966987609321
PF3D7_0507900,3.4047035933481187
