ORF,AA13vAA17,AA13vAS15,AA13vAS16,AA17vAS15,AA17vAS16,AS15vAS16
PF3D7_0101200,1.629092656,1.620256777,1.570058075,0.925045255,1.443867605,1.631635647
PF3D7_0102200,0.521813503,0.257672536,0.314476696,0.312333921,0.49562342,0.257594296
PF3D7_0102700,0.825339289,2.014623862,1.763264339,1.667931327,1.683513191,0.66703492
PF3D7_0102900,0.904029836,1.187276145,1.119500304,1.022753489,1.281435078,0.988236076
PF3D7_0103100,0.468640382,0.878971349,1.592575461,0.566426157,1.324492426,1.157768348
PF3D7_0103200,0.664187573,0.703807684,0.811143071,0.630441268,0.745677314,0.913663388
PF3D7_0103300,1.888434629,2.128014962,3.055279716,1.196063698,3.279674606,2.860011852
PF3D7_0103400,0.824196852,1.177593264,1.592689162,0.965640988,1.874625829,1.239365385
PF3D7_0103500,0.657244404,1.30083976,1.456915521,1.118478419,1.394263888,0.880110621
PF3D7_0103600,1.285402766,1.040308148,2.616044362,1.212272879,3.185118963,2.349768594
PF3D7_0103700,2.229602591,2.676828264,1.922554953,2.190896644,1.906549374,2.470017813
PF3D7_0103900,0.322387491,0.892178921,1.263248574,0.818070591,1.268116798,0.883496928
PF3D7_0104100,0.567861142,0.787577897,0.648215506,0.817618792,0.349815737,0.880682734
PF3D7_0104200,1.070374611,0.77009078,1.185686489,0.774103059,1.355012764,1.156767859
PF3D7_0104300,1.068788033,1.144875475,1.900394829,1.109546895,2.107927059,1.747162591
PF3D7_0104400,0.793294772,1.019679388,0.889363134,0.795566324,0.988889168,0.830360672
PF3D7_0104500,1.63874637,1.788658976,2.264697983,0.663352657,2.388712797,1.869046949
PF3D7_0104600,2.287186166,1.730983679,2.614167486,2.127770073,3.617146497,2.525104539
PF3D7_0104800,0.69939119,0.579297551,2.406579377,0.756289875,2.881015874,2.539304221
PF3D7_0105200,0.708922536,0.857891894,0.603396327,0.896847258,0.751917867,0.845518121
PF3D7_0105300,0.236634214,0.501757446,1.703854381,0.475362693,1.715582547,1.569198098
PF3D7_0105600,1.789229684,1.680503032,1.227828211,1.206582473,1.14631232,1.235820253
PF3D7_0105700,0.497607769,1.241536004,1.790605897,0.989917726,1.973248851,1.529942289
PF3D7_0105800,0.192309815,0.813872518,0.642562876,0.762240189,0.6222454,0.506250249
PF3D7_0106000,0.286140189,0.851800573,0.711154339,0.714878594,0.534474318,0.555943246
PF3D7_0106100,0.887941689,1.082815025,2.041157943,0.927752858,1.973644345,1.934240178
PF3D7_0106200,0.414246376,0.883313223,2.008265245,0.94555811,2.081799892,2.310222423
PF3D7_0106300,1.484671651,2.070025228,2.08085942,1.563729139,1.82850999,1.994390043
PF3D7_0106400,2.901442832,3.906403632,2.665923216,3.607146022,3.107939577,2.260404367
PF3D7_0106500,0.428521952,1.1187446,1.319850696,0.888986681,1.136402635,0.913193635
PF3D7_0106700,2.868218147,3.314315348,4.575372695,2.882738356,5.613295758,4.120635288
PF3D7_0106800,0.483620747,0.474816242,1.076823937,0.499241879,0.814588422,0.827213001
PF3D7_0106900,0.542700721,1.218388737,1.981477438,1.146239173,2.130901459,1.985256084
PF3D7_0107000.1,0.285122239,0.484007096,0.561362825,0.539542862,0.541999468,0.482733168
PF3D7_0107100,0.77091904,0.835041221,1.247007231,0.915561136,0.828993362,1.291872272
PF3D7_0107500,1.151999577,1.6170397,2.065063035,1.507485468,2.285850471,1.718006624
PF3D7_0107600,2.48525939,2.646653056,3.306988175,1.846289063,3.447539076,3.163781886
PF3D7_0107700,1.87238086,2.241502101,2.188862954,1.673199842,2.06888016,2.390966323
PF3D7_0107800,0.542945477,1.178134353,1.692271058,1.001838998,1.922646956,1.166929762
PF3D7_0108000,0.696319466,0.670519164,0.944334975,0.54919183,0.52359658,0.828554899
PF3D7_0108100,0.322549631,0.713637125,1.324637254,0.6850954,1.398450937,1.061793083
PF3D7_0108300,3.532168555,3.996181328,5.682507346,5.323309996,6.291670321,4.557548444
PF3D7_0108400.1,1.445742606,2.858322393,2.763868924,2.278057242,2.027268255,2.276998586
PF3D7_0108400.2,1.573652799,2.847380003,2.372285142,1.774620374,2.313321008,1.991455062
PF3D7_0108500,0.690055913,0.655007452,1.301374817,0.654025483,1.326619474,0.861796864
PF3D7_0108600,0.273355813,0.48792089,1.279500025,0.502523342,1.371369712,0.994201514
