ORF,AA13vAA17_3D7,AA13vAS15_3D7,AA13vAS16_3D7,AA17vAS15_3D7,AA17vAS16_3D7,AS15vAS16_3D7,AAvAS_mean
PF3D7_0935600,0.14610206452110147,0.2621240865494451,0.34944534490392876,0.24742286510202446,0.3788782041696346,0.22662248831799398,0.30946762518125825
PF3D7_0102200,0.5218135032502249,0.25767253618739683,0.3144766955105626,0.31233392115825886,0.49562341966322726,0.2575942961998858,0.3450266431298614
PF3D7_1342600,0.4542604643352445,0.1764461398337513,0.3666630638864609,0.4419788346293934,0.4425189401016023,0.3974498776901888,0.356901744612802
PF3D7_1207500,0.3595691802856114,0.3441015091859207,0.39771703624374205,0.24515192170570455,0.4529737914433602,0.4827714819450337,0.35998606464468186
PF3D7_1326000,0.20666548170231908,0.3312628826362903,0.4333918155034962,0.31976231592189047,0.47791658983875007,0.46955623112158557,0.39058340097510674
PF3D7_1001200,0.24893409764759902,0.5644695337905624,0.2996794392854464,0.4220311439689791,0.32501709431173326,0.6162023275666348,0.40279930283918025
PF3D7_1415000,0.2790842474198148,0.4635305864983164,0.4609698019930097,0.25488627414438386,0.44882931635852946,0.49875214758666386,0.40705399474855986
PF3D7_1331600,0.30064213892709424,0.46277228359441475,0.35119250051840806,0.592617226766671,0.2636215656942773,0.6212335701202151,0.41755089414344276
PF3D7_1452900,0.30195119182559976,0.3936411788459709,0.41833769571985596,0.41570654186521777,0.45638479487440975,0.47500081194286037,0.4210175528263636
PF3D7_0613400,0.32045756470051295,0.3329987135573469,0.5964312593719562,0.38956359760195325,0.3920315147235818,0.6339377816120667,0.4277562713137095
PF3D7_0208000,0.24408293401183342,0.5763895695703114,0.3173874594384768,0.5087806709692582,0.30897641521666247,0.6519890773309385,0.42788352879867725
PF3D7_1228600,0.3367409132881721,0.28860032414229625,0.5817178654602566,0.5409284417833526,0.3352661069565304,0.746141738759001,0.436628184585609
PF3D7_0316300.2,0.22127148095908766,0.4476445720574778,0.48350238472160134,0.3905321823769024,0.4423184565526041,0.6121247305774761,0.4409993989271464
PF3D7_1469800,0.3373314240070743,0.4413008143041717,0.5373739587466321,0.3119001445465121,0.5039993318297041,0.5106733391243226,0.44864356235675495
PF3D7_0530200,0.3596222996159908,0.2937668212220459,0.5045346768230262,0.3198605674582813,0.6796144196577074,0.48814367689542537,0.4494441212902652
PF3D7_0803300,0.3056594960257799,0.3240588738875706,0.6239146315404345,0.2760756487747118,0.5873406015659138,0.6180062953998242,0.4528474389421576
PF3D7_1422500,0.19638021972499742,0.39670580135689487,0.5197265808516048,0.376239821631546,0.533025486208759,0.4785210214738947,0.45642442251220117
PF3D7_0524600,0.29397951775190634,0.49583759539432176,0.5173416439154418,0.36365077197887935,0.46892728032434877,0.5539448002984262,0.4614393229032479
PF3D7_1023400,0.23015106173533595,0.5154761517238027,0.42859101608881245,0.46553896441357745,0.4677696717416671,0.5984660305936256,0.4693439509919649
PF3D7_0204900,0.29167590120642306,0.43929132786027875,0.6113562343444058,0.3141272198711103,0.5214554065979798,0.4416429945960593,0.47155754716844367
PF3D7_0302300,0.6386898664761819,0.5764070768452164,0.5439855835726156,0.44589274983272986,0.32927356211211906,0.4078441402428447,0.4738897430906702
