# RNA vs. RNA Profile Dissimilarity Measure Over Phase Shifts 
# Time series file 1:  /Users/haase-admin/Desktop/moseley/DLxJTK_TAKT_runs_avg/Data/AA_3D7_1stage_periodic_jtk05.txt 
# Time series file 2:  /Users/haase-admin/Desktop/moseley/DLxJTK_TAKT_runs_avg/Data/AA_FUP_1stage_periodic_jtk05.txt 
# No. of Randomized Curves:  10000 
	shift_0	shift_1	shift_2	shift_3	shift_4	shift_5	shift_6	shift_7	shift_8	shift_9	shift_10	shift_11	shift_12	shift_13	shift_14	kt_diss_range	kt_diss	kt_diss_pval	est_delay	min_dist_flag	min_pval_flag
shift_times	0.0	3.0	6.0	9.0	12.0	15.0	18.0	21.0	24.0	27.0	30.0	33.0	36.0	39.0	42.0						
PF3D7_1223800	0.18333333333333332	0.14285714285714285	0.1978021978021978	0.2564102564102564	0.2727272727272727	0.3090909090909091	0.35555555555555557	0.3611111111111111	0.39285714285714285	0.47619047619047616	0.6	0.8	0.8333333333333334	1.0	1.0	0.8571428571428572	0.14285714285714285	0.6294	3.0	0.0	0.0
PF3D7_0916700	0.075	0.06666666666666667	0.12087912087912088	0.15384615384615385	0.18181818181818182	0.18181818181818182	0.2222222222222222	0.2222222222222222	0.32142857142857145	0.2857142857142857	0.4666666666666667	0.5	0.8333333333333334	0.6666666666666666	1.0	0.9333333333333333	0.06666666666666667	0.6073	3.0	0.0	0.0
PF3D7_1230700	0.24166666666666667	0.2857142857142857	0.34065934065934067	0.4230769230769231	0.5606060606060606	0.5818181818181818	0.7111111111111111	0.6666666666666666	0.8214285714285714	0.42857142857142855	0.4666666666666667	0.3	0.5	0.0	1.0	1.0	0.0	0.0	39.0	0.0	0.0
PF3D7_1033600	0.075	0.10476190476190476	0.13186813186813187	0.15384615384615385	0.18181818181818182	0.21818181818181817	0.26666666666666666	0.3055555555555556	0.2857142857142857	0.42857142857142855	0.26666666666666666	0.6	0.5	0.6666666666666666	1.0	0.925	0.075	0.6114	0.0	0.0	0.0
PF3D7_0617400	0.30833333333333335	0.3523809523809524	0.42857142857142855	0.47435897435897434	0.5757575757575758	0.6545454545454545	0.8444444444444444	0.75	0.8214285714285714	0.5238095238095238	0.5333333333333333	0.4	0.16666666666666666	0.3333333333333333	0.0	0.8444444444444444	0.0	0.0	42.0	0.0	0.0
PF3D7_0821300	0.09166666666666666	0.19047619047619047	0.2857142857142857	0.3333333333333333	0.3939393939393939	0.41818181818181815	0.4444444444444444	0.4722222222222222	0.5714285714285714	0.7142857142857143	0.8666666666666667	1.0	1.0	1.0	1.0	0.9083333333333333	0.09166666666666666	0.6011	0.0	0.0	0.0
PF3D7_1408200	0.06666666666666667	0.1523809523809524	0.18681318681318682	0.21794871794871795	0.25757575757575757	0.3090909090909091	0.35555555555555557	0.3611111111111111	0.42857142857142855	0.5238095238095238	0.6666666666666666	1.0	1.0	1.0	1.0	0.9333333333333333	0.06666666666666667	0.6055	0.0	0.0	0.0
PF3D7_0714300	0.2	0.23809523809523808	0.3076923076923077	0.3333333333333333	0.36363636363636365	0.4	0.5333333333333333	0.4444444444444444	0.7142857142857143	0.2857142857142857	0.6	0.4	0.5	0.6666666666666666	0.0	0.7142857142857143	0.0	0.0	42.0	0.0	0.0
PF3D7_1329500	0.06666666666666667	0.06666666666666667	0.04395604395604396	0.038461538461538464	0.045454545454545456	0.05454545454545454	0.06666666666666667	0.08333333333333333	0.10714285714285714	0.14285714285714285	0.2	0.3	0.16666666666666666	0.0	0.0	0.3	0.0	0.0	39.0	0.0	0.0
