# RNA vs. RNA Profile Dissimilarity Measure Over Phase Shifts 
# Time series file 1:  /Users/haase-admin/Desktop/moseley/DLxJTK_TAKT_runs_avg/Data/AS_3D7_1stage_periodic_jtk05.txt 
# Time series file 2:  /Users/haase-admin/Desktop/moseley/DLxJTK_TAKT_runs_avg/Data/AA_3D7_1stage_periodic_jtk05.txt 
# No. of Randomized Curves:  10000 
	shift_0	shift_1	shift_2	shift_3	shift_4	shift_5	shift_6	shift_7	shift_8	shift_9	shift_10	shift_11	shift_12	shift_13	shift_14	kt_diss_range	kt_diss	kt_diss_pval	est_delay	min_dist_flag	min_pval_flag
shift_times	0.0	3.0	6.0	9.0	12.0	15.0	18.0	21.0	24.0	27.0	30.0	33.0	36.0	39.0	42.0						
PF3D7_0402200	0.03333333333333333	0.11428571428571428	0.25274725274725274	0.358974358974359	0.4393939393939394	0.6181818181818182	0.8	0.8333333333333334	0.8571428571428571	0.8571428571428571	0.8	0.7	0.8333333333333334	1.0	1.0	0.9666666666666667	0.03333333333333333	0.6044	0.0	0.0	0.0
PF3D7_1022400	0.2	0.20952380952380953	0.4065934065934066	0.4358974358974359	0.5454545454545454	0.6181818181818182	0.6888888888888889	0.7777777777777778	0.8214285714285714	0.9047619047619048	0.9333333333333333	0.9	1.0	1.0	1.0	0.8	0.2	0.6916	0.0	0.0	0.0
PF3D7_1235900	0.18333333333333332	0.20952380952380953	0.25274725274725274	0.3717948717948718	0.4090909090909091	0.509090909090909	0.5111111111111111	0.5555555555555556	0.6785714285714286	0.7142857142857143	0.6666666666666666	0.5	0.16666666666666666	0.3333333333333333	1.0	0.8333333333333334	0.16666666666666666	0.6412	36.0	0.0	0.0
PF3D7_1361100	0.06666666666666667	0.11428571428571428	0.1978021978021978	0.24358974358974358	0.3181818181818182	0.38181818181818183	0.4666666666666667	0.5277777777777778	0.6428571428571429	0.8095238095238095	0.8666666666666667	0.7	0.5	0.3333333333333333	0.0	0.8666666666666667	0.0	0.0	42.0	0.0	0.0
PF3D7_0913800	0.125	0.09523809523809523	0.18681318681318682	0.34615384615384615	0.5151515151515151	0.7272727272727273	0.8222222222222222	0.9166666666666666	0.9642857142857143	1.0	1.0	1.0	1.0	1.0	1.0	0.9047619047619048	0.09523809523809523	0.6112	3.0	0.0	0.0
PF3D7_0109000	0.041666666666666664	0.11428571428571428	0.2857142857142857	0.4230769230769231	0.5151515151515151	0.6	0.7777777777777778	0.8888888888888888	0.8928571428571429	0.8571428571428571	0.8	0.7	0.8333333333333334	1.0	1.0	0.9583333333333334	0.041666666666666664	0.6057	0.0	0.0	0.0
PF3D7_0223300	0.13333333333333333	0.1523809523809524	0.21978021978021978	0.2692307692307692	0.3333333333333333	0.4	0.4666666666666667	0.5	0.6071428571428571	0.6190476190476191	0.6666666666666666	0.9	0.3333333333333333	0.0	0.0	0.9	0.0	0.0	39.0	0.0	0.0
PF3D7_0909900	0.125	0.3142857142857143	0.4175824175824176	0.5	0.6363636363636364	0.7636363636363637	0.8222222222222222	0.8055555555555556	0.7142857142857143	0.6190476190476191	0.6666666666666666	0.5	0.3333333333333333	0.0	1.0	1.0	0.0	0.0	39.0	0.0	0.0
PF3D7_1303400	0.2	0.18095238095238095	0.18681318681318682	0.21794871794871795	0.30303030303030304	0.4	0.4444444444444444	0.5555555555555556	0.6071428571428571	0.5714285714285714	0.6666666666666666	0.7	0.5	0.0	1.0	1.0	0.0	0.0	39.0	0.0	0.0
PF3D7_1102900	0.075	0.13333333333333333	0.23076923076923078	0.3333333333333333	0.4090909090909091	0.5636363636363636	0.6888888888888889	0.8611111111111112	0.8928571428571429	0.8095238095238095	0.7333333333333333	0.8	0.6666666666666666	0.3333333333333333	1.0	0.925	0.075	0.6023	0.0	0.0	0.0
