# RNA vs. RNA Profile Dissimilarity Measure Over Phase Shifts 
# Time series file 1:  /Users/haase-admin/Desktop/moseley/DLxJTK_TAKT_runs_avg/Data/AS_FUP_1stage_periodic_jtk05.txt 
# Time series file 2:  /Users/haase-admin/Desktop/moseley/DLxJTK_TAKT_runs_avg/Data/AA_FUP_1stage_periodic_jtk05.txt 
# No. of Randomized Curves:  10000 
	shift_0	shift_1	shift_2	shift_3	shift_4	shift_5	shift_6	shift_7	shift_8	shift_9	shift_10	shift_11	shift_12	shift_13	shift_14	kt_diss_range	kt_diss	kt_diss_pval	est_delay	min_dist_flag	min_pval_flag
shift_times	0.0	3.0	6.0	9.0	12.0	15.0	18.0	21.0	24.0	27.0	30.0	33.0	36.0	39.0	42.0						
PF3D7_1401500	0.2	0.26666666666666666	0.3956043956043956	0.5	0.6363636363636364	0.7636363636363637	0.8444444444444444	0.9722222222222222	0.9285714285714286	0.9047619047619048	0.8666666666666667	0.8	0.6666666666666666	1.0	0.0	1.0	0.0	0.0	42.0	0.0	0.0
PF3D7_1220500	0.10833333333333334	0.2571428571428571	0.38461538461538464	0.4358974358974359	0.3939393939393939	0.4909090909090909	0.6	0.6944444444444444	0.7857142857142857	0.6666666666666666	0.4666666666666667	0.4	0.16666666666666666	0.6666666666666666	1.0	0.8916666666666666	0.10833333333333334	0.6265	0.0	0.0	0.0
PF3D7_1461500	0.175	0.22857142857142856	0.24175824175824176	0.2692307692307692	0.3484848484848485	0.18181818181818182	0.15555555555555556	0.3333333333333333	0.4642857142857143	0.6190476190476191	0.7333333333333333	0.5	0.16666666666666666	0.3333333333333333	1.0	0.8444444444444444	0.15555555555555556	0.6422	18.0	0.0	0.0
PF3D7_1462400	0.041666666666666664	0.05714285714285714	0.054945054945054944	0.0641025641025641	0.07575757575757576	0.09090909090909091	0.1111111111111111	0.1388888888888889	0.17857142857142858	0.14285714285714285	0.3333333333333333	0.4	0.6666666666666666	0.6666666666666666	0.0	0.6666666666666666	0.0	0.0	42.0	0.0	0.0
PF3D7_0903400	0.1	0.1619047619047619	0.21978021978021978	0.21794871794871795	0.2878787878787879	0.3090909090909091	0.37777777777777777	0.4166666666666667	0.42857142857142855	0.5238095238095238	0.6	0.8	1.0	1.0	1.0	0.9	0.1	0.6098	0.0	0.0	0.0
PF3D7_1459600	0.11666666666666667	0.2857142857142857	0.4065934065934066	0.48717948717948717	0.6060606060606061	0.7090909090909091	0.8222222222222222	0.8333333333333334	0.6428571428571429	0.42857142857142855	0.26666666666666666	0.0	0.3333333333333333	0.6666666666666666	1.0	1.0	0.0	0.0	33.0	0.0	0.0
PF3D7_1476000	0.08333333333333333	0.1619047619047619	0.21978021978021978	0.2564102564102564	0.30303030303030304	0.3090909090909091	0.35555555555555557	0.4166666666666667	0.5357142857142857	0.6666666666666666	0.8	0.8	0.8333333333333334	0.6666666666666666	1.0	0.9166666666666666	0.08333333333333333	0.6104	0.0	0.0	0.0
PF3D7_0900200	0.025	0.08571428571428572	0.14285714285714285	0.15384615384615385	0.18181818181818182	0.21818181818181817	0.26666666666666666	0.3333333333333333	0.42857142857142855	0.47619047619047616	0.6666666666666666	0.9	0.16666666666666666	0.3333333333333333	1.0	0.975	0.025	0.596	0.0	0.0	0.0
PF3D7_1103000	0.175	0.12380952380952381	0.2087912087912088	0.20512820512820512	0.19696969696969696	0.18181818181818182	0.26666666666666666	0.3333333333333333	0.42857142857142855	0.2857142857142857	0.5333333333333333	0.3	0.5	0.6666666666666666	0.0	0.6666666666666666	0.0	0.0	42.0	0.0	0.0
