# RNA vs. RNA Profile Dissimilarity Measure Over Phase Shifts 
# Time series file 1:  /Users/haase-admin/Desktop/moseley/DLxJTK_TAKT_runs_avg/Data/AS_3D7_1stage_periodic_jtk05.txt 
# Time series file 2:  /Users/haase-admin/Desktop/moseley/DLxJTK_TAKT_runs_avg/Data/AS_FUP_1stage_periodic_jtk05.txt 
# No. of Randomized Curves:  10000 
	shift_0	shift_1	shift_2	shift_3	shift_4	shift_5	shift_6	shift_7	shift_8	shift_9	shift_10	shift_11	shift_12	shift_13	shift_14	kt_diss_range	kt_diss	kt_diss_pval	est_delay	min_dist_flag	min_pval_flag
shift_times	0.0	3.0	6.0	9.0	12.0	15.0	18.0	21.0	24.0	27.0	30.0	33.0	36.0	39.0	42.0						
PF3D7_1463500	0.125	0.21904761904761905	0.31868131868131866	0.41025641025641024	0.5303030303030303	0.6181818181818182	0.6888888888888889	0.6944444444444444	0.7857142857142857	0.8571428571428571	0.8	0.9	0.8333333333333334	0.6666666666666666	0.0	0.9	0.0	0.0	42.0	0.0	0.0
PF3D7_0113300	0.075	0.14285714285714285	0.2087912087912088	0.24358974358974358	0.2878787878787879	0.34545454545454546	0.37777777777777777	0.4722222222222222	0.6785714285714286	0.7619047619047619	0.4666666666666667	0.5	0.8333333333333334	0.3333333333333333	0.0	0.8333333333333334	0.0	0.0	42.0	0.0	0.0
PF3D7_1225300	0.18333333333333332	0.1619047619047619	0.21978021978021978	0.21794871794871795	0.2727272727272727	0.32727272727272727	0.4444444444444444	0.4444444444444444	0.5	0.6666666666666666	0.7333333333333333	0.7	0.5	0.3333333333333333	0.0	0.7333333333333333	0.0	0.0	42.0	0.0	0.0
PF3D7_0827300	0.23333333333333334	0.2	0.25274725274725274	0.21794871794871795	0.24242424242424243	0.4	0.4444444444444444	0.3888888888888889	0.5	0.6666666666666666	0.6	0.7	0.5	0.3333333333333333	0.0	0.7	0.0	0.0	42.0	0.0	0.0
PF3D7_1206600	0.11666666666666667	0.19047619047619047	0.23076923076923078	0.24358974358974358	0.2878787878787879	0.32727272727272727	0.26666666666666666	0.3055555555555556	0.42857142857142855	0.5238095238095238	0.6666666666666666	0.6	0.6666666666666666	1.0	1.0	0.8833333333333333	0.11666666666666667	0.6175	0.0	0.0	0.0
PF3D7_1122800	0.08333333333333333	0.21904761904761905	0.38461538461538464	0.5384615384615384	0.6818181818181818	0.8363636363636363	0.8888888888888888	0.7222222222222222	0.4642857142857143	0.23809523809523808	0.0	0.0	0.0	0.0	0.0	0.8888888888888888	0.0	0.0	30.0	0.0	0.0
PF3D7_0707500	0.08333333333333333	0.13333333333333333	0.25274725274725274	0.34615384615384615	0.48484848484848486	0.5818181818181818	0.6888888888888889	0.8611111111111112	0.8571428571428571	0.7142857142857143	0.6666666666666666	0.5	0.16666666666666666	0.6666666666666666	0.0	0.8611111111111112	0.0	0.0	42.0	0.0	0.0
PF3D7_1253800	0.18333333333333332	0.1523809523809524	0.12087912087912088	0.11538461538461539	0.16666666666666666	0.2	0.2	0.25	0.35714285714285715	0.42857142857142855	0.5333333333333333	0.5	0.6666666666666666	1.0	1.0	0.8846153846153846	0.11538461538461539	0.6265	9.0	0.0	0.0
PF3D7_1404700	0.2916666666666667	0.22857142857142856	0.17582417582417584	0.07692307692307693	0.21212121212121213	0.34545454545454546	0.5555555555555556	0.6666666666666666	0.75	0.8095238095238095	1.0	1.0	1.0	1.0	1.0	0.9230769230769231	0.07692307692307693	0.613	9.0	0.0	0.0
PF3D7_0406500	0.26666666666666666	0.11428571428571428	0.24175824175824176	0.2948717948717949	0.3333333333333333	0.4	0.4222222222222222	0.5833333333333334	0.5714285714285714	0.6666666666666666	0.5333333333333333	0.6	0.3333333333333333	0.6666666666666666	0.0	0.6666666666666666	0.0	0.0	42.0	0.0	0.0
PF3D7_1228400	0.225	0.22857142857142856	0.27472527472527475	0.2692307692307692	0.3333333333333333	0.36363636363636365	0.3111111111111111	0.3611111111111111	0.4642857142857143	0.6666666666666666	0.7333333333333333	0.7	0.8333333333333334	0.6666666666666666	0.0	0.8333333333333334	0.0	0.0	42.0	0.0	0.0
PF3D7_0425200	0.08333333333333333	0.06666666666666667	0.08791208791208792	0.05128205128205128	0.045454545454545456	0.07272727272727272	0.08888888888888889	0.1111111111111111	0.14285714285714285	0.19047619047619047	0.26666666666666666	0.2	0.16666666666666666	0.6666666666666666	1.0	0.9545454545454546	0.045454545454545456	0.5951	12.0	0.0	0.0
PF3D7_1445600	0.2833333333333333	0.18095238095238095	0.14285714285714285	0.16666666666666666	0.3181818181818182	0.32727272727272727	0.3111111111111111	0.3888888888888889	0.39285714285714285	0.6190476190476191	0.7333333333333333	0.5	0.0	0.6666666666666666	1.0	1.0	0.0	0.0	36.0	0.0	0.0
PF3D7_1136600	0.325	0.22857142857142856	0.21978021978021978	0.15384615384615385	0.19696969696969696	0.2	0.24444444444444444	0.19444444444444445	0.25	0.42857142857142855	0.4666666666666667	0.6	0.5	1.0	0.0	1.0	0.0	0.0	42.0	0.0	0.0
