# RNA vs. RNA Profile Dissimilarity Measure Over Phase Shifts 
# Time series file 1:  /Users/haase-admin/Desktop/moseley/Sickle-trait-RNAseq/Analyses/protein_export_genes/Data/AA13_3D7_PE.txt 
# Time series file 2:  /Users/haase-admin/Desktop/moseley/Sickle-trait-RNAseq/Analyses/protein_export_genes/Data/AS16_3D7_PE.txt 
# No. of Randomized Curves:  10000 
	shift_0	shift_1	shift_2	shift_3	shift_4	shift_5	shift_6	shift_7	shift_8	shift_9	shift_10	shift_11	shift_12	shift_13	shift_14	kt_diss_range	kt_diss	kt_diss_pval	est_delay
shift_times	0.0	3.0	6.0	9.0	12.0	15.0	18.0	21.0	24.0	27.0	30.0	33.0	36.0	39.0	42.0				0.0
PF3D7_0936000	0.09166666666666666	0.09523809523809523	0.17582417582417584	0.19230769230769232	0.3181818181818182	0.4	0.4888888888888889	0.6388888888888888	0.75	0.8571428571428571	0.8	0.9	0.8333333333333334	1.0	1.0	0.9083333333333333	0.09166666666666666	0.6131	0.0
PF3D7_1149000	0.06666666666666667	0.047619047619047616	0.08791208791208792	0.05128205128205128	0.09090909090909091	0.10909090909090909	0.1111111111111111	0.1388888888888889	0.17857142857142858	0.14285714285714285	0.3333333333333333	0.2	0.6666666666666666	0.6666666666666666	0.0	0.6666666666666666	0.0	0.0	42.0
PF3D7_0500800	0.06666666666666667	0.0761904761904762	0.0989010989010989	0.0641025641025641	0.10606060606060606	0.09090909090909091	0.08888888888888889	0.16666666666666666	0.14285714285714285	0.23809523809523808	0.2	0.4	0.16666666666666666	0.3333333333333333	1.0	0.9358974358974359	0.0641025641025641	0.6062	9.0
PF3D7_1370300	0.025	0.10476190476190476	0.1978021978021978	0.28205128205128205	0.3787878787878788	0.509090909090909	0.6666666666666666	0.7777777777777778	0.8928571428571429	0.9523809523809523	0.8666666666666667	1.0	0.8333333333333334	0.6666666666666666	0.0	1.0	0.0	0.0	42.0
PF3D7_0201900	0.25833333333333336	0.1619047619047619	0.31868131868131866	0.3717948717948718	0.6212121212121212	0.6727272727272727	0.7555555555555555	0.7222222222222222	0.7857142857142857	0.6190476190476191	0.6	0.4	0.5	0.0	1.0	1.0	0.0	0.0	39.0
PF3D7_1353200	0.075	0.19047619047619047	0.1978021978021978	0.23076923076923078	0.30303030303030304	0.4	0.4888888888888889	0.6111111111111112	0.7857142857142857	0.8571428571428571	0.8	0.9	0.8333333333333334	0.6666666666666666	0.0	0.9	0.0	0.0	42.0
PF3D7_0935900	0.19166666666666668	0.11428571428571428	0.25274725274725274	0.14102564102564102	0.2727272727272727	0.2909090909090909	0.35555555555555557	0.4166666666666667	0.5714285714285714	0.47619047619047616	0.8	0.3	1.0	0.3333333333333333	0.0	1.0	0.0	0.0	42.0
PF3D7_0501300	0.15	0.10476190476190476	0.18681318681318682	0.19230769230769232	0.2727272727272727	0.2545454545454545	0.35555555555555557	0.4444444444444444	0.4642857142857143	0.5238095238095238	0.5333333333333333	0.6	0.5	1.0	0.0	1.0	0.0	0.0	42.0
PF3D7_0102200	0.06666666666666667	0.1619047619047619	0.27472527472527475	0.38461538461538464	0.5303030303030303	0.6545454545454545	0.7555555555555555	0.8333333333333334	0.9285714285714286	1.0	1.0	1.0	1.0	1.0	1.0	0.9333333333333333	0.06666666666666667	0.6046	0.0
PF3D7_0202000	0.08333333333333333	0.1619047619047619	0.31868131868131866	0.47435897435897434	0.6212121212121212	0.7454545454545455	0.9111111111111111	0.9166666666666666	0.9642857142857143	0.9523809523809523	0.9333333333333333	0.9	0.8333333333333334	0.6666666666666666	0.0	0.9642857142857143	0.0	0.0	42.0
