# RNA vs. RNA Profile Dissimilarity Measure Over Phase Shifts 
# Time series file 1:  /Users/haase-admin/Desktop/moseley/Sickle-trait-RNAseq/Analyses/protein_export_genes/Data/AA13_FUP_PE.txt 
# Time series file 2:  /Users/haase-admin/Desktop/moseley/Sickle-trait-RNAseq/Analyses/protein_export_genes/Data/AA17_FUP_PE.txt 
# No. of Randomized Curves:  10000 
	shift_0	shift_1	shift_2	shift_3	shift_4	shift_5	shift_6	shift_7	shift_8	shift_9	shift_10	shift_11	shift_12	shift_13	shift_14	kt_diss_range	kt_diss	kt_diss_pval	est_delay
shift_times	0.0	3.0	6.0	9.0	12.0	15.0	18.0	21.0	24.0	27.0	30.0	33.0	36.0	39.0	42.0				0.0
PF3D7_0935900	0.03333333333333333	0.08571428571428572	0.14285714285714285	0.19230769230769232	0.2727272727272727	0.36363636363636365	0.4666666666666667	0.5833333333333334	0.75	0.9047619047619048	0.8	0.9	0.6666666666666666	0.3333333333333333	0.0	0.9047619047619048	0.0	0.0	42.0
PF3D7_0102200	0.10833333333333334	0.08571428571428572	0.15384615384615385	0.15384615384615385	0.19696969696969696	0.2909090909090909	0.3111111111111111	0.3611111111111111	0.35714285714285715	0.5238095238095238	0.5333333333333333	0.8	0.6666666666666666	0.6666666666666666	1.0	0.9142857142857143	0.08571428571428572	0.6094	3.0
PF3D7_1370300	0.008333333333333333	0.09523809523809523	0.18681318681318682	0.28205128205128205	0.3939393939393939	0.509090909090909	0.6222222222222222	0.75	0.8928571428571429	1.0	1.0	1.0	1.0	1.0	1.0	0.9916666666666667	0.008333333333333333	0.6107	0.0
PF3D7_0500800	0.03333333333333333	0.1523809523809524	0.24175824175824176	0.3333333333333333	0.4090909090909091	0.4727272727272727	0.5555555555555556	0.6111111111111112	0.75	0.9047619047619048	1.0	1.0	1.0	1.0	1.0	0.9666666666666667	0.03333333333333333	0.6069	0.0
PF3D7_1149000	0.058333333333333334	0.17142857142857143	0.23076923076923078	0.2948717948717949	0.36363636363636365	0.43636363636363634	0.5333333333333333	0.6111111111111112	0.6785714285714286	0.7619047619047619	0.8666666666666667	0.8	1.0	1.0	1.0	0.9416666666666667	0.058333333333333334	0.5981	0.0
PF3D7_1353200	0.03333333333333333	0.12380952380952381	0.2087912087912088	0.32051282051282054	0.3939393939393939	0.4909090909090909	0.6222222222222222	0.7777777777777778	0.7857142857142857	0.6190476190476191	0.5333333333333333	0.3	0.16666666666666666	0.0	0.0	0.7857142857142857	0.0	0.0	39.0
PF3D7_0936000	0.016666666666666666	0.09523809523809523	0.16483516483516483	0.24358974358974358	0.3333333333333333	0.43636363636363634	0.5555555555555556	0.6944444444444444	0.8928571428571429	0.9047619047619048	0.8666666666666667	0.8	0.6666666666666666	0.3333333333333333	0.0	0.9047619047619048	0.0	0.0	42.0
PF3D7_0501300	0.041666666666666664	0.09523809523809523	0.18681318681318682	0.21794871794871795	0.25757575757575757	0.3090909090909091	0.4	0.5	0.6428571428571429	0.8095238095238095	0.8	1.0	0.8333333333333334	0.6666666666666666	0.0	1.0	0.0	0.0	42.0
PF3D7_0201900	0.09166666666666666	0.09523809523809523	0.0989010989010989	0.08974358974358974	0.06060606060606061	0.18181818181818182	0.17777777777777778	0.1388888888888889	0.10714285714285714	0.23809523809523808	0.3333333333333333	0.3	0.16666666666666666	0.6666666666666666	1.0	0.9393939393939394	0.06060606060606061	0.5993	12.0
PF3D7_0202000	0.1	0.20952380952380953	0.32967032967032966	0.46153846153846156	0.6060606060606061	0.7454545454545455	0.8222222222222222	0.9166666666666666	0.8928571428571429	0.9047619047619048	0.8666666666666667	0.8	0.6666666666666666	0.3333333333333333	1.0	0.9	0.1	0.6076	0.0
