# RNA vs. RNA Profile Dissimilarity Measure Over Phase Shifts 
# Time series file 1:  /Users/haase-admin/Desktop/moseley/Sickle-trait-RNAseq/Analyses/protein_export_genes/Data/AA17_FUP_PE.txt 
# Time series file 2:  /Users/haase-admin/Desktop/moseley/Sickle-trait-RNAseq/Analyses/protein_export_genes/Data/AS19_FUP_PE.txt 
# No. of Randomized Curves:  10000 
	shift_0	shift_1	shift_2	shift_3	shift_4	shift_5	shift_6	shift_7	shift_8	shift_9	shift_10	shift_11	shift_12	shift_13	shift_14	kt_diss_range	kt_diss	kt_diss_pval	est_delay
shift_times	0.0	3.0	6.0	9.0	12.0	15.0	18.0	21.0	24.0	27.0	30.0	33.0	36.0	39.0	42.0				0.0
PF3D7_0102200	0.125	0.047619047619047616	0.15384615384615385	0.14102564102564102	0.12121212121212122	0.10909090909090909	0.2222222222222222	0.25	0.2857142857142857	0.23809523809523808	0.3333333333333333	0.5	0.5	0.0	0.0	0.5	0.0	0.0	39.0
PF3D7_0936000	0.05	0.05714285714285714	0.13186813186813187	0.21794871794871795	0.2878787878787879	0.38181818181818183	0.4888888888888889	0.6111111111111112	0.7857142857142857	1.0	1.0	1.0	1.0	1.0	1.0	0.95	0.05	0.6062	0.0
PF3D7_1149000	0.11666666666666667	0.05714285714285714	0.13186813186813187	0.20512820512820512	0.25757575757575757	0.32727272727272727	0.4	0.5	0.5714285714285714	0.6666666666666666	0.4666666666666667	0.5	0.3333333333333333	0.6666666666666666	1.0	0.9428571428571428	0.05714285714285714	0.6083	3.0
PF3D7_0935900	0.03333333333333333	0.08571428571428572	0.12087912087912088	0.21794871794871795	0.2878787878787879	0.34545454545454546	0.4444444444444444	0.5555555555555556	0.7142857142857143	0.9523809523809523	0.9333333333333333	0.9	0.8333333333333334	0.6666666666666666	1.0	0.9666666666666667	0.03333333333333333	0.5981	0.0
PF3D7_1353200	0.058333333333333334	0.0761904761904762	0.15384615384615385	0.24358974358974358	0.3333333333333333	0.43636363636363634	0.5333333333333333	0.6666666666666666	0.7857142857142857	0.9047619047619048	0.8666666666666667	0.7	0.5	0.0	0.0	0.9047619047619048	0.0	0.0	39.0
PF3D7_0201900	0.14166666666666666	0.1523809523809524	0.12087912087912088	0.10256410256410256	0.12121212121212122	0.10909090909090909	0.13333333333333333	0.08333333333333333	0.17857142857142858	0.09523809523809523	0.26666666666666666	0.3	0.16666666666666666	1.0	0.0	1.0	0.0	0.0	42.0
PF3D7_1370300	0.025	0.06666666666666667	0.16483516483516483	0.2564102564102564	0.36363636363636365	0.4909090909090909	0.6222222222222222	0.75	0.8928571428571429	1.0	1.0	1.0	1.0	1.0	1.0	0.975	0.025	0.6132	0.0
PF3D7_0500800	0.13333333333333333	0.08571428571428572	0.06593406593406594	0.11538461538461539	0.18181818181818182	0.2	0.28888888888888886	0.2777777777777778	0.35714285714285715	0.5238095238095238	0.7333333333333333	0.8	0.8333333333333334	1.0	1.0	0.9340659340659341	0.06593406593406594	0.6116	6.0
PF3D7_0202000	0.125	0.11428571428571428	0.18681318681318682	0.3076923076923077	0.4696969696969697	0.6363636363636364	0.7777777777777778	0.8888888888888888	0.8214285714285714	0.9047619047619048	0.8666666666666667	0.8	0.6666666666666666	0.6666666666666666	0.0	0.9047619047619048	0.0	0.0	42.0
PF3D7_0501300	0.041666666666666664	0.08571428571428572	0.13186813186813187	0.14102564102564102	0.21212121212121213	0.2545454545454545	0.3333333333333333	0.4166666666666667	0.5357142857142857	0.6666666666666666	0.7333333333333333	0.9	1.0	1.0	1.0	0.9583333333333334	0.041666666666666664	0.6066	0.0
