# pyDL periodicity scores computed on 2019-09-05 11:33:46
# Calculation time:  4822.742004 seconds
# Input files:  /Users/haase-admin/Desktop/moseley/DLxJTK_TAKT_runs_avg/Data/AA_3D7_means_filtered.tsv
# Period(s) of oscillation tested:  45.0000, 48.0000, 51.0000
# Number of random curves generated from background:  1000000
# Number of curve permutations:  10000
	period	reg_score	per_score	p_reg	p_reg_norm	p_per	p_per_norm	p_tot	dl_score
PF3D7_0100100	51.0	0.646141288983239	7.315628374045733	0.004486	0.00780230225311914	1e-06	0.0007692307692307692	6.0017709639378e-06	0.0005911077670480206
PF3D7_0100200	51.0	0.426413133286678	2.6610209502672726	0.422498	0.7348321661476438	0.1524	117.23076923076924	86.14494009300071	6.392785377380475e+17
PF3D7_0100300	51.0	0.6356646459314753	7.050847434507746	0.006214	0.010807736558377693	1e-06	0.0007692307692307692	8.31364350644438e-06	0.0015589374665714098
PF3D7_0100400	51.0	0.2763935270607376	3.53597619798668	0.953295	1.658024013907091	1e-06	0.0007692307692307692	0.0012754030876208392	5580.779069160149
PF3D7_0100600	51.0	0.36746563342971894	2.4808585641033245	0.677183	1.1777945712603606	0.1336	102.76923076923077	121.04104209260322	1.7733655819037809e+18
PF3D7_0100900	48.0	0.33915623401640044	3.3481595596760294	0.788476	1.3713615852274557	0.0001	0.07692307692307693	0.1054893527098043	1174084900.8918772
PF3D7_0101000	51.0	0.3569002778970541	3.354309677513741	0.720285	1.2527599818073827	0.0109	8.384615384615385	10.503910616692671	1158919673186467.2
PF3D7_0101100	51.0	0.38522649742644416	4.183665919160006	0.601133	1.0455241552216379	0.0005	0.38461538461538464	0.40212467508524535	65025769782.412315
PF3D7_0101200	51.0	0.5167442511534952	5.555771672487059	0.119529	0.20789152608405653	0.0001	0.07692307692307693	0.015991655852619736	4090380.8189565167
PF3D7_0101300	51.0	0.5798167826250714	5.988221437150748	0.029961	0.052109847928154825	1e-06	0.0007692307692307692	4.008449840627294e-05	0.1733171529669933
PF3D7_0101500	51.0	0.41609158707670485	5.102261439315189	0.466987	0.8122099247163057	1e-06	0.0007692307692307692	0.000624776865166389	656.0361291133371
PF3D7_0101600	51.0	0.39367037241917685	2.0434517220874637	0.564556	0.9819073898377013	0.3065	235.76923076923077	231.50354998865805	1.2407189508232577e+19
PF3D7_0101900	45.0	0.28892488452093074	3.5556890885988173	0.931646	1.6203708615491381	0.0005	0.38461538461538464	0.623219562134284	242061840924.53806
PF3D7_0102200	48.0	0.8710925979629862	7.051157689169939	3e-06	5.217767891073878e-06	1e-06	0.0007692307692307692	4.0136676085183675e-09	6.388792786960869e-09
PF3D7_0102300	48.0	0.8832710818346069	6.342892897334483	3e-06	5.217767891073878e-06	0.0026	2.0	1.0435535782147756e-05	41.74328999850549
PF3D7_0102400	48.0	0.6020882472485607	5.018433604377112	0.016668	0.028989918402806465	1e-06	0.0007692307692307692	2.229993723292805e-05	0.029866178504635542
PF3D7_0102500	48.0	0.5634247070531004	4.990978954914541	0.044941	0.07816390226425039	1e-06	0.0007692307692307692	6.012607866480799e-05	0.5848062431618533
PF3D7_0102600	51.0	0.5093943152817023	4.656117997928913	0.136406	0.23724494898327447	0.003	2.307692307692308	0.5474883438075565	164109011482.96997
PF3D7_0102700	48.0	0.779775396701965	6.550567954562212	5.3e-05	9.218056607563851e-05	1e-06	0.0007692307692307692	7.090812775049116e-08	1.1382464777323623e-07
PF3D7_0102800	48.0	0.5590487735333947	5.141386634370227	0.049834	0.08667408169459188	0.0003	0.23076923076923075	0.020001711160290432	8003269.028707354
PF3D7_0102900	48.0	0.2711268002614012	2.2655714454378018	0.960661	1.670835373335641	0.0036	2.769230769230769	4.626928726160236	99055510620230.61
PF3D7_0103000	48.0	0.6019895612850378	5.049288959564765	0.016701	0.02904731384960828	0.0003	0.23076923076923075	0.006703226272986526	301560.3305079339
PF3D7_0103100	48.0	0.5994255183671333	4.830392751175341	0.017956	0.03123008008404085	0.0007	0.5384615384615384	0.01681619696832969	4760251.643332842
PF3D7_0103200	48.0	0.4448606861993624	3.7445537666093065	0.346488	0.6026313203474687	0.006	4.615384615384616	2.781375324680625	21516915213977.96
PF3D7_0103300	48.0	0.1808496750753473	1.49294761312588	0.999543	1.7384611237158858	0.0025	1.9230769230769231	3.3431944686843957	37366737395407.59
PF3D7_0103400	48.0	0.43360412170520257	4.142891975219024	0.392313	0.6823327248836222	0.0002	0.15384615384615385	0.1049742653667111	1156825394.008377
PF3D7_0103500	45.0	0.2464818145360711	3.255512322053975	0.984403	1.7121287884255996	1e-06	0.0007692307692307692	0.0013170221449427689	6145.138286495548
PF3D7_0103600	48.0	0.4205231523229799	3.951344381259124	0.44769	0.7786475023849548	0.0005	0.38461538461538464	0.29947980860959805	26860017597.240902
PF3D7_0103700	48.0	0.21117382443836966	1.24345237502569	0.996909	1.733879923507523	0.1075	82.6923076923077	143.37853213619903	2.947491315995988e+18
PF3D7_0103800	48.0	0.23552347763419723	1.3811763656492868	0.990215	1.7222373440865733	0.1045	80.38461538461539	138.4413865054207	2.653370931122499e+18
PF3D7_0103900	48.0	0.5908805692456217	4.795380045924679	0.022553	0.039225439749129724	0.0041	3.153846153846154	0.12371100228571684	1894554870.951863
PF3D7_0104000	48.0	0.36998992582972473	2.9843012148571946	0.666542	1.1592871485507217	0.0003	0.23076923076923075	0.26752780351170496	19147639830.902683
PF3D7_0104100	48.0	0.622743801359937	5.289460520771707	0.00919	0.01598376230632298	0.0011	0.8461538461538463	0.013524721951504061	2483603.3443122637
PF3D7_0104200	48.0	0.33823118464437496	3.6091390140465838	0.791861	1.3772489666645509	1e-06	0.0007692307692307692	0.0010594222820496544	3198.5991510293366
PF3D7_0104300	48.0	0.3412289707135804	3.1644780140625284	0.780795	1.358002360170343	0.0003	0.23076923076923075	0.3133851600393099	30778232212.926617
PF3D7_0104400	48.0	0.3864696913146586	3.8600099534131926	0.59579	1.0362313106076353	1e-06	0.0007692307692307692	0.0007971010081597195	1362.36274737994
PF3D7_0104500	51.0	0.34305249838351304	2.4785934636561624	0.773961	1.3461162849144765	0.1072	82.46153846153847	111.00281980217838	1.3677359860055255e+18
PF3D7_0104600	51.0	0.23122909629058438	1.7353930776805353	0.9919	1.7251679903853931	0.1914	147.23076923076923	253.99781027674172	1.638664569373743e+19
PF3D7_0104800	48.0	0.4866009429169034	4.65295520388404	0.198284	0.34486662950456426	1e-06	0.0007692307692307692	0.0002652820226958187	50.220310360977216
PF3D7_0104900	45.0	0.4194104168987412	2.452916326893752	0.452513	0.787035933897838	0.1986	152.76923076923077	120.23487420931586	1.7381692446900216e+18
PF3D7_0105000	51.0	0.23389804661263813	2.0195890271323003	0.99086	1.7233591641831543	0.0869	66.84615384615385	115.19993182116625	1.528821608691987e+18
PF3D7_0105100	48.0	0.8316733943464883	6.115254777708864	1.3e-05	2.2610327527986803e-05	0.0026	2.0	4.522065505597361e-05	180.9751375308442
PF3D7_0105200	48.0	0.5812207645374108	5.54047923375809	0.028901	0.05026623660664205	0.0004	0.3076923076923077	0.015466534340505246	3701310.048080555
PF3D7_0105300	48.0	0.6240173884330686	5.43690247194267	0.008847	0.015387197510776869	0.0004	0.3076923076923077	0.0047345223110082674	106577.00343864395
PF3D7_0105500	48.0	0.6321682338174651	5.548989704427387	0.006898	0.011997387637542536	0.0008	0.6153846153846154	0.007383007776949254	405235.9246347517
PF3D7_0105600	51.0	0.2671553942040791	3.1264561707479963	0.96567	1.6795473064577706	1e-06	0.0007692307692307692	0.0012919594665059774	5800.949695186517
PF3D7_0105700	48.0	0.6079727243644576	4.941627711630446	0.014182	0.024666128077069912	0.001	0.7692307692307693	0.018973944674669164	6842059.510396076
PF3D7_0105800	48.0	0.7159126165530147	5.908464731947069	0.000407	0.0007078771772223561	0.0003	0.23076923076923075	0.00016335627166669755	13.058898092086421
PF3D7_0105900	48.0	0.5839125462725212	5.321240817039393	0.02699	0.04694251846002799	0.0006	0.4615384615384615	0.02166577775078215	10174707.417421045
PF3D7_0106000	48.0	0.6750765700969965	5.617584508050851	0.00175	0.0030436979364597623	0.0002	0.15384615384615385	0.0004682612209938096	113.76288092357794
PF3D7_0106100	48.0	0.3405712606049401	2.483462795689914	0.783157	1.3621104827565818	0.0198	15.230769230769234	20.74599042967717	8928998614910632.0
PF3D7_0106200	48.0	0.5747933461892953	4.475853790784259	0.033995	0.059126006485685494	1e-06	0.0007692307692307692	4.54815434505273e-05	0.2531524154624984
PF3D7_0106300	45.0	0.10682535239081122	1.4886196101882239	0.999999	1.739254224435329	0.0736	56.61538461538462	98.46854686033863	9.547567345534692e+17
PF3D7_0106400	45.0	0.14732040257560958	1.0740293018130271	0.999963	1.7391916112206363	0.5041	387.7692307692308	674.4049932433252	3.067343932546558e+20
PF3D7_0106500	48.0	0.5675766571650213	4.226215700356523	0.040663	0.07072336525157903	0.0003	0.23076923076923075	0.016320776596518236	4348279.322542731
PF3D7_0106600	45.0	0.309100752782125	2.4261733649389385	0.88472	1.5387545361969603	0.0779	59.92307692307693	92.20690643826401	7.839539240863917e+17
PF3D7_0106700	48.0	0.12210997302509713	0.8553493038076836	0.999996	1.739249006667438	0.0372	28.615384615384613	49.769279267714374	1.2327760793820464e+17
PF3D7_0106800	48.0	0.5934660290521381	5.288643551514092	0.021087	0.03667569050635829	0.0008	0.6153846153846154	0.02256965569622049	11505319.90063235
PF3D7_0106900	48.0	0.5665079611955914	5.019032400879995	0.041779	0.07266437490705852	0.0002	0.15384615384615385	0.011179134601085926	1397414.185413056
PF3D7_0107000.1	48.0	0.6920942933218711	5.470219529727109	0.000962	0.0016731642370710236	0.0034	2.6153846153846154	0.004375968004647292	113728.5048265776
PF3D7_0107100	48.0	0.6168848040920344	5.766284081723654	0.010935	0.019018763962964286	0.0009	0.6923076923076923	0.013166836589744504	2288991.846382052
PF3D7_0107200	48.0	0.6727318791505522	5.7206512268439	0.001888	0.0032837152594491605	0.0007	0.5384615384615384	0.0017681543704726249	6040.585539886444
PF3D7_0107300	45.0	0.27693396727902286	3.5024319564629516	0.952491	1.656625652112283	0.0002	0.15384615384615385	0.2548654849403513	16555853802.035856
