# pyJTK periodicity scores computed on 2019-09-05 11:33:47
# Calculation time: 0.000821 seconds
# Input file: /Users/haase-admin/Desktop/moseley/DLxJTK_TAKT_runs_avg/Data/AA_3D7_means_filtered.tsv
# Period(s) of oscillation tested: 45.0000, 48.0000, 51.0000
	p-value	amp	period	lag	tau
PF3D7_0100100	2.0695381558476795e-06	133.38585097468396	51.0	16.0	-106.0
PF3D7_0100200	1.0	13.150001978006456	48.125	33.28125	-26.0
PF3D7_0100300	0.0001698261780107018	153.84738556185323	51.0	16.0	-96.0
PF3D7_0100400	0.01943095169546062	10.435890458955768	49.5	26.5	80.0
PF3D7_0100600	1.0	0.9539614074325558	48.125	34.0	-8.0
PF3D7_0100900	0.0012842624885035599	4.1777883625155	48.0	37.0	90.0
PF3D7_0101000	0.6680367990420074	1.1654002490610507	51.0	17.5	-62.0
PF3D7_0101100	0.002342695994481709	12.46351499410112	51.0	16.0	-88.0
PF3D7_0101200	0.004141795071110547	2.882112876737793	51.0	16.0	-86.0
PF3D7_0101300	7.932217418824561e-05	11.75862898572668	51.0	35.5	98.0
PF3D7_0101500	5.735652685057447e-06	10.402081090703238	51.0	22.0	-104.0
PF3D7_0101600	1.0	3.3624313653116182	48.125	33.4375	-18.0
PF3D7_0101900	0.0012842624885035599	2.8091350898462	45.0	8.5	-90.0
PF3D7_0102200	2.0008650961031914e-07	2837.1272811485987	51.0	5.5	-110.0
PF3D7_0102300	0.031003550035172057	47.27329312671419	51.0	40.0	78.0
PF3D7_0102400	3.516389639901545e-05	3.6370899923909463	51.0	47.5	100.0
PF3D7_0102500	0.0012842624885035599	58.59022021106125	49.5	3.25	-90.0
PF3D7_0102600	0.6680367990420074	90.09161832996564	45.0	30.25	62.0
PF3D7_0102700	6.804813352432401e-07	35.415745230137986	51.0	5.5	-108.0
PF3D7_0102800	0.01943095169546062	8.826231057715294	51.0	40.0	80.0
PF3D7_0102900	0.011903316453167643	121.43478799641285	51.0	37.0	82.0
PF3D7_0103000	7.932217418824561e-05	8.036527601110311	51.0	41.5	98.0
PF3D7_0103100	0.007115131547795238	4.520038179211536	51.0	43.0	84.0
PF3D7_0103200	0.074149409439216	164.83612870153388	51.0	37.0	74.0
PF3D7_0103300	0.004141795071110547	32.73954978504861	46.5	16.75	-86.0
PF3D7_0103400	0.007115131547795238	93.21076138445154	51.0	40.0	84.0
PF3D7_0103500	0.011903316453167643	4.063192234218068	45.0	4.0	-82.0
PF3D7_0103600	0.031003550035172057	29.4099769256981	51.0	37.0	78.0
PF3D7_0103700	1.0	3.660189931687926	48.125	30.90625	-34.0
PF3D7_0103800	1.0	3.9493424162468003	48.125	33.90625	-18.0
PF3D7_0103900	0.11143167772483249	32.137893260578444	51.0	38.5	72.0
PF3D7_0104000	0.011903316453167643	1.2773638361658426	51.0	47.5	82.0
PF3D7_0104100	7.932217418824561e-05	7.575445487490429	51.0	41.5	98.0
PF3D7_0104200	3.516389639901545e-05	157.16303381131715	45.0	42.25	100.0
PF3D7_0104300	0.004141795071110547	166.47116149299382	51.0	11.5	-86.0
PF3D7_0104400	2.0695381558476795e-06	51.86934273661369	51.0	43.0	106.0
PF3D7_0104500	1.0	56.508664071641384	48.125	32.40625	-22.0
PF3D7_0104600	1.0	2.6339117732225175	48.125	33.90625	-12.0
PF3D7_0104800	1.099815087910326e-08	13.93591115118061	51.0	47.5	114.0
PF3D7_0104900	1.0	14.873582581893862	48.125	29.40625	-28.0
PF3D7_0105000	1.0	16.639079082946996	48.125	29.75	-28.0
PF3D7_0105100	0.011903316453167643	12.02055024288003	51.0	38.5	82.0
PF3D7_0105200	0.004141795071110547	105.11196455741423	51.0	37.0	86.0
