# pyJTK periodicity scores computed on 2019-09-05 14:12:04
# Calculation time: 0.000818 seconds
# Input file: /Users/haase-admin/Desktop/moseley/DLxJTK_TAKT_runs_avg/Data/AA_FUP_means_filtered.tsv
# Period(s) of oscillation tested: 45.0000, 48.0000, 51.0000
	p-value	amp	period	lag	tau
PF3D7_0100100	0.9151609289079528	6.4148673628456105	45.0	10.75	-60.0
PF3D7_0100200	0.0006803297011630345	2.66454200124008	51.0	13.0	-92.0
PF3D7_0100300	0.031003550035172057	0.5118131141530253	49.5	40.25	78.0
PF3D7_0100400	0.01943095169546062	2.8695599104994685	51.0	14.5	-80.0
PF3D7_0100500	0.048426734117954354	6.405760439768255	51.0	41.5	76.0
PF3D7_0100900	1.0	2.850852930802223	48.125	16.3125	-46.0
PF3D7_0101000	0.031003550035172057	4.907402323990599	51.0	11.5	-78.0
PF3D7_0101100	0.0001698261780107018	1.9562775112085793	51.0	16.0	-96.0
PF3D7_0101200	0.011903316453167643	9.673714232160256	51.0	13.0	-82.0
PF3D7_0101500	5.735652685057447e-06	10.981820805846738	51.0	41.5	104.0
PF3D7_0101600	0.00034707262534643487	25.973114765478172	51.0	13.0	-94.0
PF3D7_0101900	3.516389639901545e-05	4.441563978769782	45.0	4.0	-100.0
PF3D7_0102700	7.932217418824561e-05	18.070479787307505	51.0	8.5	-98.0
PF3D7_0102900	0.0006803297011630345	120.99399905845513	51.0	32.5	92.0
PF3D7_0103000	0.0001698261780107018	16.137373215147413	51.0	43.0	96.0
PF3D7_0103100	0.002342695994481709	5.261982563084338	49.5	46.0	88.0
PF3D7_0103200	0.004141795071110547	176.01694207322655	51.0	37.0	86.0
PF3D7_0103300	0.23894651657040047	64.59547781601756	51.0	17.5	-68.0
PF3D7_0103400	3.516389639901545e-05	111.91282901817553	51.0	38.5	100.0
PF3D7_0103500	0.011903316453167643	4.41807047226043	48.0	4.0	-82.0
PF3D7_0103600	7.932217418824561e-05	21.663436312429603	51.0	37.0	98.0
PF3D7_0103700	1.0	2.9214188229809013	48.125	16.8125	-24.0
PF3D7_0103800	1.0	2.715142934917809	48.125	16.375	-54.0
PF3D7_0103900	0.23894651657040047	60.26156821215554	51.0	38.5	68.0
PF3D7_0104000	0.004141795071110547	2.7479464856766858	49.5	40.25	86.0
PF3D7_0104100	0.00034707262534643487	14.05988961526624	47.25	4.0	-94.0
PF3D7_0104200	0.0001698261780107018	249.28083200988925	51.0	43.0	96.0
PF3D7_0104300	0.048426734117954354	221.9582319194957	51.0	13.0	-76.0
PF3D7_0104400	1.46918915520106e-05	67.77775259033652	51.0	43.0	102.0
PF3D7_0104500	0.0012842624885035599	88.69056061481368	51.0	32.5	90.0
PF3D7_0104600	0.11143167772483249	3.9726450328280025	49.5	28.0	72.0
PF3D7_0104800	7.932217418824561e-05	60.03395430073691	49.5	46.0	98.0
PF3D7_0104900	0.031003550035172057	25.51648160740946	48.0	44.5	78.0
PF3D7_0105000	1.0	5.854483489796519	48.125	29.90625	-20.0
PF3D7_0105100	0.011903316453167643	24.36317945285966	49.5	43.75	82.0
PF3D7_0105200	1.46918915520106e-05	127.97601974046256	48.0	38.5	102.0
PF3D7_0105300	6.804813352432401e-07	45.608424800096905	51.0	47.5	108.0
PF3D7_0105500	7.932217418824561e-05	22.63942251895945	51.0	43.0	98.0
PF3D7_0105600	0.6680367990420074	14.340663212356194	51.0	22.0	-62.0
PF3D7_0105700	0.007115131547795238	44.79443956949288	51.0	46.0	84.0
PF3D7_0105800	2.0695381558476795e-06	48.83430728220648	51.0	46.0	106.0
PF3D7_0105900	1.46918915520106e-05	15.721504121497407	51.0	44.5	102.0
PF3D7_0106000	5.735652685057447e-06	23.06661844511571	51.0	44.5	104.0
PF3D7_0106100	0.11143167772483249	73.30015713607212	51.0	35.5	72.0
PF3D7_0106200	0.007115131547795238	3.6324113853201663	48.0	28.166666666666668	-84.0
PF3D7_0106300	0.6680367990420074	190.02039740042045	45.0	5.5	-62.0
PF3D7_0106400	0.23894651657040047	99.10349530092012	45.0	26.5	68.0
PF3D7_0106600	0.011903316453167643	3.8565593626657053	51.0	7.0	-82.0
PF3D7_0106700	0.011903316453167643	57.062645921798065	51.0	13.0	-82.0
PF3D7_0106800	0.11143167772483249	118.84921655037277	51.0	38.5	72.0
PF3D7_0106900	3.516389639901545e-05	9.508282812431226	51.0	44.5	100.0
PF3D7_0107000.1	3.516389639901545e-05	134.59586379345197	49.5	44.5	100.0
PF3D7_0107100	6.804813352432401e-07	23.35727970488523	51.0	40.0	108.0
PF3D7_0107200	5.735652685057447e-06	14.819906679475475	46.5	40.0	104.0
PF3D7_0107400	7.932217418824561e-05	40.19011102780494	49.0	44.0	98.0
PF3D7_0107500	0.011903316453167643	365.32526596875994	51.0	13.0	-82.0
PF3D7_0107700	0.0006803297011630345	4.963944411852323	46.5	41.5	92.0
PF3D7_0107800	0.007115131547795238	41.82240415179208	51.0	40.0	84.0
PF3D7_0107900	0.0006803297011630345	60.3898282469824	51.0	35.5	92.0
PF3D7_0108000	0.048426734117954354	445.0812166976922	51.0	40.0	76.0
PF3D7_0108100	0.0001698261780107018	15.173429186887933	51.0	43.0	96.0
PF3D7_0108300	0.074149409439216	110.84149024294385	51.0	22.0	-74.0
PF3D7_0108400.1	0.9151609289079528	18.59163508166767	45.0	41.5	60.0
PF3D7_0108500	0.031003550035172057	7599.700741968974	51.0	13.0	-78.0
PF3D7_0108600	7.932217418824561e-05	60.90534671838277	47.4	31.4	-98.0
