# pyJTK periodicity scores computed on 2019-09-05 12:55:19
# Calculation time: 0.000813 seconds
# Input file: /Users/haase-admin/Desktop/moseley/DLxJTK_TAKT_runs_avg/Data/AS_3D7_means_filtered.tsv
# Period(s) of oscillation tested: 45.0000, 48.0000, 51.0000
	p-value	amp	period	lag	tau
PF3D7_0100100	5.124670303241732e-08	151.51428851916705	51.0	16.0	-112.0
PF3D7_0100200	1.0	10.670327078199723	48.125	34.46875	-16.0
PF3D7_0100300	0.00034707262534643487	140.99369849224394	51.0	16.0	-94.0
PF3D7_0100400	0.00034707262534643487	6.3653430538266695	46.0	29.0	94.0
PF3D7_0100500	0.4810985075880909	1.3706416890464965	49.5	1.75	-64.0
PF3D7_0100600	1.0	1.0996681559954595	48.125	34.46875	-20.0
PF3D7_0100900	0.0006803297011630345	4.872973115239864	48.0	38.5	92.0
PF3D7_0101000	0.11143167772483249	1.340731726144631	51.0	14.5	-72.0
PF3D7_0101100	0.011903316453167643	17.454578867637483	51.0	17.5	-82.0
PF3D7_0101200	0.00034707262534643487	2.9287713978885686	51.0	16.0	-94.0
PF3D7_0101300	0.00034707262534643487	13.970723740597773	49.5	37.75	94.0
PF3D7_0101500	6.804813352432401e-07	9.620398311227065	51.0	20.5	-108.0
PF3D7_0101600	1.0	5.133099192097223	48.125	34.46875	-10.0
PF3D7_0101900	0.23894651657040047	2.2415298805192725	48.6	9.4	-68.0
PF3D7_0102200	2.0008650961031914e-07	2312.6158155295298	51.0	5.5	-110.0
PF3D7_0102300	0.6680367990420074	47.56157322048299	51.0	38.5	62.0
PF3D7_0102400	0.002342695994481709	2.6579216477207424	48.0	46.0	88.0
PF3D7_0102500	0.0001698261780107018	71.24331203878364	49.5	1.75	-96.0
PF3D7_0102600	0.004141795071110547	113.48563498276503	45.0	32.5	86.0
PF3D7_0102700	5.735652685057447e-06	23.465107706787204	51.0	5.5	-104.0
PF3D7_0102800	0.11143167772483249	7.350207111276705	51.0	40.0	72.0
PF3D7_0102900	0.011903316453167643	108.18989874806815	51.0	37.0	82.0
PF3D7_0103000	0.0006803297011630345	6.85413913617907	51.0	41.5	92.0
PF3D7_0103100	0.11143167772483249	5.035157642638261	51.0	40.0	72.0
