# pyDL periodicity scores computed on 2019-09-05 15:30:01
# Calculation time:  4656.674384 seconds
# Input files:  /Users/haase-admin/Desktop/moseley/DLxJTK_TAKT_runs_avg/Data/AS_FUP_means_filtered.tsv
# Period(s) of oscillation tested:  45.0000, 48.0000, 51.0000
# Number of random curves generated from background:  1000000
# Number of curve permutations:  10000
	period	reg_score	per_score	p_reg	p_reg_norm	p_per	p_per_norm	p_tot	dl_score
PF3D7_0100100	48.0	0.17007377977436788	1.1533892918778408	0.999986	1.3191191854061164	0.0473	157.66666666666669	207.98112489903104	8.99646755571891e+18
PF3D7_0100200	48.0	0.3806571183608003	2.903328255707686	0.908629	1.1986067268105494	0.0148	49.33333333333334	59.131265189320445	2.067529984384926e+17
PF3D7_0100300	45.0	0.2526874151639533	2.8325017617262054	0.998672	1.3173858385296364	0.0013	4.333333333333334	5.7086719669617585	186039660347019.1
PF3D7_0100400	48.0	0.3285712460435239	2.7092899893488918	0.976261	1.2878226445807845	0.0052	17.333333333333336	22.322259172733602	1.1122814693669372e+16
PF3D7_0100500	48.0	0.6362240695470142	5.974803144813067	0.111252	0.14675670220863216	0.0009	3.0	0.4402701066258965	85344946165.77533
PF3D7_0100900	48.0	0.20254674421264307	1.5886582978791868	0.999894	1.3189978247420096	0.0109	36.333333333333336	47.923587632293014	1.1006474141047602e+17
PF3D7_0101000	48.0	0.5648764794728656	5.443329233586473	0.292903	0.38637937607427275	0.0006	2.0	0.7727587521485455	461460800590.8632
PF3D7_0101100	48.0	0.48946957851859196	4.683706330173274	0.572411	0.7550889032821464	0.0001	0.33333333333333337	0.25169630109404884	15945390887.667719
PF3D7_0101200	51.0	0.4589856986373377	4.41444115372474	0.685892	0.9047859633200582	0.0038	12.666666666666668	11.460622202054072	1505307141859079.8
PF3D7_0101500	48.0	0.6098626327078053	5.827805649646284	0.16566	0.21852834365118834	1e-06	0.0033333333333333335	0.0007284278121706279	421.3035804231344
PF3D7_0101600	48.0	0.6092174883719452	6.280588007631762	0.167215	0.22057960270212157	1e-06	0.0033333333333333335	0.0007352653423404053	433.2790695995759
PF3D7_0101900	48.0	0.4138802856402563	4.297582435302682	0.829915	1.0947721255660747	1e-06	0.0033333333333333335	0.0036492404185535826	52970.52648934094
PF3D7_0102700	48.0	0.8875508579267404	6.998159866651727	4.8e-05	6.331860735999663e-05	0.0001	0.33333333333333337	2.110620245333221e-05	2.354557014366374
PF3D7_0102900	51.0	0.2599650369968625	3.1714327256218104	0.998148	1.3166946103992898	1e-06	0.0033333333333333335	0.0043889820346643	92154.84180175814
PF3D7_0103000	48.0	0.7727204153232765	6.971162980284767	0.00424	0.005593143650133034	1e-06	0.0033333333333333335	1.8643812167110116e-05	0.007289471392030469
PF3D7_0103100	48.0	0.7817424970199335	6.327329526896298	0.003135	0.004135496543199779	0.0002	0.6666666666666667	0.0027569976954665196	22181.42175961111
PF3D7_0103200	51.0	0.549980839689026	5.650411246630817	0.343695	0.45338101576237577	0.0003	1.0	0.45338101576237577	93194984512.08658
PF3D7_0103300	51.0	0.2891227799544243	2.7466446314930835	0.993918	1.3111146581256898	0.016	53.333333333333336	69.9261151000368	3.4191523697383194e+17
PF3D7_0103400	48.0	0.6120836310000556	6.165532405366863	0.160448	0.21165299820201539	0.0002	0.6666666666666667	0.1411019988013436	2809377949.4439044
PF3D7_0103500	48.0	0.32842106390323605	3.388893498314218	0.976359	1.2879519200708112	1e-06	0.0033333333333333335	0.004293173066902704	86250.5649125131
PF3D7_0103600	48.0	0.45877284759850206	3.945084073347604	0.68665	0.9057858696612849	0.0032	10.666666666666668	9.661715943053707	901910261317902.2
PF3D7_0103700	51.0	0.24595106106959205	1.1809694851166064	0.999022	1.317847536708303	0.5485	1828.3333333333335	2409.464579615014	1.3988201801461638e+22
PF3D7_0103800	45.0	0.4588803425608438	3.81053375853463	0.68626	0.9052714059764849	0.0144	48.0	43.45302748687128	8.204661177125854e+16
PF3D7_0103900	48.0	0.7078054703020528	6.261769589121762	0.027137	0.03579743849850476	0.001	3.3333333333333335	0.11932479499501587	1700320944.6894329
PF3D7_0104000	48.0	0.7045449752469247	6.275440610746591	0.029329	0.03868898823461127	1e-06	0.0033333333333333335	0.0001289632941153709	2.3394560770838164
PF3D7_0104100	48.0	0.809771587148975	7.146385591039569	0.001135	0.0014972212365332532	1e-06	0.0033333333333333335	4.990737455110845e-06	0.00019593756467830767
PF3D7_0104200	48.0	0.5714206546150434	6.07346127047845	0.27189	0.35866033656478086	1e-06	0.0033333333333333335	0.0011955344552159362	1862.5852737473058
PF3D7_0104300	48.0	0.3661553596364491	3.495036597912013	0.934195	1.2323318000556676	0.0009	3.0	3.696995400167003	50529740151691.71
PF3D7_0104400	48.0	0.629462566351248	6.059240103543272	0.123747	0.16323932718703127	0.0001	0.33333333333333337	0.05441310906234376	161113091.25775844
PF3D7_0104500	51.0	0.4172183879024909	4.480493829350235	0.82076	1.082695420349809	0.0003	1.0	1.082695420349809	1269169725877.3347
PF3D7_0104600	48.0	0.2582308103951886	2.030368152263669	0.998307	1.3169043532861697	0.0107	35.66666666666667	46.96958860054006	1.0362165386394848e+17
PF3D7_0104800	48.0	0.6708424606273422	6.4286441731465445	0.06028	0.07951761774292909	1e-06	0.0033333333333333335	0.00026505872580976367	20.301189939758395
PF3D7_0104900	45.0	0.4523666171825178	3.335751930913652	0.709191	0.9355205515050701	0.0539	179.66666666666669	168.08185908707762	4.748571976276468e+18
PF3D7_0105000	45.0	0.1758543066421268	1.5153957492585322	0.999979	1.3191099514425428	0.2049	683.0	900.9520968352567	7.313164639771849e+20
PF3D7_0105100	51.0	0.9286810494923582	7.674528243525577	1e-05	1.319137653333263e-05	0.0001	0.33333333333333337	4.397125511110877e-06	0.4886589162839366
PF3D7_0105200	48.0	0.7909321112811641	7.9180503341273925	0.00228	0.0030076338495998393	1e-06	0.0033333333333333335	1.0025446165332798e-05	0.0012197613799597997
PF3D7_0105300	48.0	0.9159735377784114	7.405890080347997	1.2e-05	1.5829651839999156e-05	1e-06	0.0033333333333333335	5.276550613333052e-08	6.392090391335901e-07
PF3D7_0105500	48.0	0.8090890939361585	7.698496041642612	0.001166	0.0015381145037865844	1e-06	0.0033333333333333335	5.127048345955282e-06	0.00020899659972417516
