# pyJTK periodicity scores computed on 2019-09-05 15:30:01
# Calculation time: 0.000853 seconds
# Input file: /Users/haase-admin/Desktop/moseley/DLxJTK_TAKT_runs_avg/Data/AS_FUP_means_filtered.tsv
# Period(s) of oscillation tested: 45.0000, 48.0000, 51.0000
	p-value	amp	period	lag	tau
PF3D7_0100100	0.34159160256630494	3.4934045606285444	45.0	16.0	-66.0
PF3D7_0100200	0.34159160256630494	2.9751214495450236	51.0	11.5	-66.0
PF3D7_0100300	0.23894651657040047	0.44109798795967703	49.5	17.25	-68.0
PF3D7_0100400	0.048426734117954354	3.1797303226961846	51.0	14.5	-76.0
PF3D7_0100500	0.2017417573057454	12.902342821366004	51.0	43.75	69.0
PF3D7_0100900	0.11143167772483249	5.140193405087232	51.0	13.0	-72.0
PF3D7_0101000	0.11143167772483249	4.462182203219118	51.0	16.0	-72.0
PF3D7_0101100	0.002342695994481709	1.7892544428481278	51.0	16.0	-88.0
PF3D7_0101200	0.16453699804109032	7.049194051822516	51.0	17.5	-70.0
PF3D7_0101500	0.00034707262534643487	10.095399149561478	51.0	43.0	94.0
PF3D7_0101600	7.932217418824561e-05	24.505288272025744	51.0	14.5	-98.0
PF3D7_0101900	3.516389639901545e-05	3.521468718210061	47.25	4.0	-100.0
PF3D7_0102700	3.516389639901545e-05	20.09741084239009	51.0	7.0	-100.0
PF3D7_0102900	3.516389639901545e-05	82.68216489518869	51.0	35.5	100.0
PF3D7_0103000	3.516389639901545e-05	11.331245794417189	51.0	46.0	100.0
PF3D7_0103100	0.007115131547795238	3.295403012360763	51.0	47.5	84.0
PF3D7_0103200	0.11143167772483249	174.1181604762101	51.0	38.5	72.0
PF3D7_0103300	0.11143167772483249	53.318585852790335	47.25	16.0	-72.0
PF3D7_0103400	0.00034707262534643487	117.54149420661514	51.0	41.5	94.0
PF3D7_0103500	7.932217418824561e-05	4.582354658510394	47.25	4.0	-98.0
PF3D7_0103600	0.11143167772483249	25.533762639803243	51.0	38.5	72.0
PF3D7_0103700	1.0	4.39546411061829	48.125	13.625	-36.0
PF3D7_0103800	0.6680367990420074	4.119274390071563	45.0	12.25	-62.0
PF3D7_0103900	0.34159160256630494	43.71860026810266	51.0	38.5	66.0
PF3D7_0104000	0.0001698261780107018	4.740017685921774	49.5	17.25	-96.0
PF3D7_0104100	3.516389639901545e-05	9.278082615204697	47.25	4.0	-100.0
PF3D7_0104200	5.735652685057447e-06	246.86608597941552	51.0	44.5	104.0
PF3D7_0104300	0.007115131547795238	215.60490219867125	51.0	13.0	-84.0
PF3D7_0104400	7.932217418824561e-05	54.76362600355863	51.0	43.0	98.0
PF3D7_0104500	0.0001698261780107018	72.13518069018136	51.0	35.5	96.0
PF3D7_0104600	0.16453699804109032	3.9624580822982423	51.0	37.0	70.0
PF3D7_0104800	6.804813352432401e-07	30.589112349100716	51.0	47.5	108.0
PF3D7_0104900	1.0	14.165485614331214	48.125	29.40625	-28.0
PF3D7_0105000	1.0	6.562713595215379	48.125	27.90625	-20.0
PF3D7_0105100	0.048426734117954354	10.249437224037774	51.0	44.5	76.0
PF3D7_0105200	7.932217418824561e-05	124.04549151540006	51.0	43.0	98.0
PF3D7_0105300	2.0695381558476795e-06	37.22978298633295	49.5	40.25	106.0
PF3D7_0105500	0.0012842624885035599	16.348789532762257	51.0	43.0	90.0
PF3D7_0105600	1.0	7.785781718541362	48.125	25.78125	-44.0
PF3D7_0105700	0.031003550035172057	28.93791356817055	51.0	44.5	78.0
PF3D7_0105800	6.804813352432401e-07	27.373732821047817	51.0	46.0	108.0
PF3D7_0105900	0.00034707262534643487	11.695896394056554	51.0	43.0	94.0
PF3D7_0106000	2.0695381558476795e-06	13.549778920074534	51.0	44.5	106.0
PF3D7_0106100	1.0	54.504774975073744	48.125	34.697916666666664	-8.0
PF3D7_0106200	0.048426734117954354	3.0976089644400076	49.5	40.25	76.0
PF3D7_0106300	1.0	171.31217872862038	48.125	17.875	-54.0
PF3D7_0106400	0.23894651657040047	104.31694473504618	49.5	26.5	68.0
PF3D7_0106500	0.011903316453167643	2.349874169161371	51.0	41.5	82.0
PF3D7_0106600	0.0012842624885035599	3.1090302407105677	49.5	9.25	-90.0
PF3D7_0106700	0.031003550035172057	72.71070302350991	51.0	14.5	-78.0
PF3D7_0106800	0.074149409439216	107.87646193757871	51.0	38.5	74.0
PF3D7_0106900	1.46918915520106e-05	6.440815279421048	51.0	44.5	102.0
PF3D7_0107000.1	0.0006803297011630345	110.63348326464131	51.0	44.5	92.0
PF3D7_0107100	2.0695381558476795e-06	25.912399931230226	51.0	43.0	106.0
PF3D7_0107200	0.0006803297011630345	15.431379175876906	49.5	43.75	92.0
PF3D7_0107400	3.516389639901545e-05	25.6379555514591	51.0	44.5	100.0
PF3D7_0107500	0.074149409439216	399.45855350301633	51.0	17.5	-74.0
PF3D7_0107600	0.011903316453167643	0.8798177809567611	51.0	10.0	-82.0
PF3D7_0107700	0.0001698261780107018	5.812756537706553	48.0	43.0	96.0
PF3D7_0107800	0.004141795071110547	32.200477832702894	51.0	38.5	86.0
PF3D7_0107900	0.074149409439216	56.238985563257614	51.0	34.0	74.0
PF3D7_0108000	0.16453699804109032	370.31013506583145	51.0	38.5	70.0
PF3D7_0108100	0.002342695994481709	10.517981075906588	51.0	44.5	88.0
PF3D7_0108300	1.0	117.11540590333448	48.125	22.25	-58.0
PF3D7_0108400.1	1.0	17.20309509653571	48.125	26.34375	-46.0
PF3D7_0108500	0.031003550035172057	7607.405763639325	51.0	13.0	-78.0
PF3D7_0108600	3.516389639901545e-05	50.33389242386465	45.0	4.0	-100.0
PF3D7_0108700	1.0	58.51265354245925	48.125	31.40625	-16.0
PF3D7_0108800	1.0	42.37739458664375	48.125	34.375	-12.0
PF3D7_0108900	0.0012842624885035599	2.268060691434364	51.0	4.0	-90.0
PF3D7_0109000	2.0695381558476795e-06	66.28037903366774	45.0	4.0	-106.0
PF3D7_0109100	7.932217418824561e-05	5.461576019052966	49.5	3.25	-98.0
PF3D7_0109200	0.048426734117954354	59.59295053707612	51.0	38.5	76.0
PF3D7_0109300	0.0006803297011630345	4.756172436592843	51.0	44.5	92.0
PF3D7_0109400	0.01943095169546062	281.361951883411	51.0	40.0	80.0
PF3D7_0109500	0.00034707262534643487	103.40710330460628	51.0	32.5	94.0
PF3D7_0109600	0.074149409439216	39.13085494784886	48.0	35.5	74.0
PF3D7_0109700	0.0006803297011630345	52.6785565031837	51.0	13.0	-92.0
PF3D7_0109800	1.0	32.868604291936286	48.125	16.25	-58.0
PF3D7_0109850	3.516389639901545e-05	5.542980590260321	51.0	44.5	100.0
PF3D7_0109950	0.002342695994481709	49.863744258116085	51.0	43.0	88.0
PF3D7_0110000	7.932217418824561e-05	46.931414518722	51.0	46.0	98.0
PF3D7_0110100	1.0	13.383382844386364	48.125	22.5	-20.0
PF3D7_0110200	0.34159160256630494	89.71456707085414	51.0	43.0	66.0
PF3D7_0110300	1.0	12.801761888922702	48.125	18.0	-18.0
PF3D7_0110400	0.011903316453167643	159.01756105862106	47.5	18.75	-82.0
PF3D7_0110500	0.011903316453167643	58.6356404901372	51.0	41.5	82.0
PF3D7_0110600	0.0006803297011630345	228.576117816131	51.0	13.0	-92.0
PF3D7_0110700	0.0012842624885035599	224.77519626859134	49.5	42.25	90.0
PF3D7_0110800	0.16453699804109032	69.61764784985156	51.0	34.0	70.0
PF3D7_0110900	0.0001698261780107018	30.625510895953184	51.0	34.0	96.0
PF3D7_0111000	5.735652685057447e-06	10.113587248434447	51.0	46.0	104.0
PF3D7_0111200	0.048426734117954354	7.926952778168171	51.0	47.5	76.0
PF3D7_0111300	0.0001698261780107018	39.1778225519844	51.0	43.0	96.0
PF3D7_0111400	7.932217418824561e-05	16.210292506013193	51.0	46.0	98.0
PF3D7_0111500	7.932217418824561e-05	113.91965787886183	51.0	43.0	98.0
PF3D7_0111600	0.004141795071110547	19.62239965351682	51.0	31.0	86.0
PF3D7_0111700	0.23894651657040047	11.860979211023942	45.0	25.0	68.0
PF3D7_0111800	0.16453699804109032	110.82128925114897	51.0	35.5	70.0
PF3D7_0111900	0.23894651657040047	353.2351582749013	51.0	40.0	68.0
PF3D7_0112000	1.0	20.361504580837856	48.125	30.90625	-34.0
PF3D7_0112100	0.031003550035172057	1.446347520279454	51.0	13.0	-78.0
PF3D7_0112200	0.074149409439216	103.20521905514974	51.0	38.5	74.0
PF3D7_0112300	0.074149409439216	50.420578204864036	51.0	7.0	-74.0
PF3D7_0112400	0.23894651657040047	2.379572723335455	51.0	17.5	-68.0
PF3D7_0112700	1.0	334.15279513366085	48.125	17.28125	-48.0
PF3D7_0112800	2.0008650961031914e-07	27.728567141182	48.0	5.5	-110.0
PF3D7_0112900	0.01943095169546062	7.2581253371233	49.5	17.25	-80.0
PF3D7_0113000	2.0695381558476795e-06	363.9210919489456	51.0	31.0	106.0
PF3D7_0113100	0.0001698261780107018	1.2309375623853867	45.0	8.5	-96.0
PF3D7_0113200	0.007115131547795238	199.12043078586578	51.0	35.5	84.0
PF3D7_0113300	0.00034707262534643487	429.70946630042977	51.0	10.0	-94.0
PF3D7_0113400	1.0	1.9201469215011842	48.125	23.46875	-30.0
PF3D7_0113600	6.804813352432401e-07	11.212519072493041	48.0	13.0	-108.0
PF3D7_0113700	0.00034707262534643487	570.2900518582635	51.0	14.5	-94.0
PF3D7_0113800	1.0	2.4561914143231727	48.125	34.697916666666664	-8.0
PF3D7_0113900	1.0	87.14081567332514	48.125	18.75	-58.0
PF3D7_0114000	0.0012842624885035599	14.005946420632556	51.0	14.5	-90.0
PF3D7_0114100	0.074149409439216	0.944814884449231	51.0	14.5	-74.0
PF3D7_0114400	5.124670303241732e-08	2.0423112164996913	49.5	17.25	-112.0
PF3D7_0114700	0.4810985075880909	4.565931225263307	51.0	13.0	-64.0
