# pyDL periodicity scores computed on 2020-03-02 11:28:16
# Calculation time:  2246.586910 seconds
# Input files:  /Users/taylorlab/Documents/TaylorLab/jws48/Jupyter/Periodicity/data/AA13_3D7.tsv
# Period(s) of oscillation tested:  45.0000, 48.0000, 51.0000
# Number of random curves generated from background:  1000000
# Number of curve permutations:  10000
	period	reg_score	per_score	p_reg	p_reg_norm	p_per	p_per_norm	p_tot	dl_score
PF3D7_0100100	51.0	0.6549785046365476	7.296230519835832	0.024414	0.04230411344863257	2.5e-05	0.01111111111111111	0.0004700457049848063	104.75300368086909
PF3D7_0100200	48.0	0.5205572323689981	3.7717979139441944	0.267661	0.4637978745709201	0.0116	5.155555555555555	2.3911357088989655	13671454168137.713
PF3D7_0100300	51.0	0.6465316712527105	7.083378669126735	0.029634	0.05134922986551887	2.5e-05	0.01111111111111111	0.0005705469985057652	187.3020657370183
PF3D7_0101100	51.0	0.4625883439864346	4.582243746397389	0.481958	0.835127627978867	0.0017	0.7555555555555554	0.6309853189173661	251222855385.1706
PF3D7_0101200	51.0	0.5077228177971236	5.318858338353969	0.311822	0.5403192129015936	0.0005	0.2222222222222222	0.12007093620035413	1731107239.3529696
PF3D7_0101300	51.0	0.5708166787565383	5.946397462253428	0.129579	0.2245320191922815	2.5e-05	0.01111111111111111	0.002494800213247572	15653.791559788304
PF3D7_0102200	48.0	0.8844341563591852	7.195069660283633	0.000192	0.0003326939371728293	2.5e-05	0.01111111111111111	3.6965993019203252e-06	0.0005109895041882905
PF3D7_0102300	48.0	0.8990667871877019	6.340007352921411	0.000134	0.00023219264365187045	0.0036	1.5999999999999999	0.00037150822984299267	1002.3364183435032
PF3D7_0102500	48.0	0.5833506985212704	5.2379389626426365	0.104836	0.18165782082005588	2.5e-05	0.01111111111111111	0.002018420231333954	8289.943049050598
PF3D7_0102600	51.0	0.49607080091050665	4.486682916639518	0.354091	0.6135621297263765	0.0042	1.8666666666666663	1.145315975489236	1502371145235.9773
PF3D7_0102700	48.0	0.8364456163476679	6.77187785910131	0.000486	0.0008421315284687242	2.5e-05	0.01111111111111111	9.357016982985822e-06	0.0019904222427639027
PF3D7_0102900	48.0	0.28286237040778156	2.220320618529974	0.977958	1.6945869656753425	0.0105	4.666666666666666	7.908072506484931	494552155263548.2
PF3D7_0103000	48.0	0.6848216867577579	5.726275268108916	0.012012	0.020814164444375133	0.0014	0.6222222222222221	0.012951035654277859	2177288.2151858956
PF3D7_0103100	48.0	0.6657596539745486	5.07695828219112	0.018896	0.03274262831675928	0.0017	0.7555555555555554	0.02473887472821812	15154635.375436042
PF3D7_0103200	48.0	0.453383113344473	3.601517335814515	0.517785	0.8972079700991324	0.0088	3.911111111111111	3.5090800608321624	43209615185421.34
PF3D7_0103300	48.0	0.2111289908977205	1.4122725553214763	0.999155	1.7313167228954076	0.0374	16.62222222222222	28.778331305016994	2.3834001947985156e+16
PF3D7_0103400	48.0	0.4647704993420633	4.125168649213474	0.473472	0.820423249068197	0.0013	0.5777777777777777	0.4740223216838471	106511947452.17953
PF3D7_0103600	51.0	0.48882289970875403	4.6281678513190725	0.381079	0.6603264212702323	0.0034	1.5111111111111108	0.9978265921416842	993496650841.8926
PF3D7_0103900	48.0	0.6242567046825013	4.871487176756719	0.04804	0.08324279553011832	0.008	3.5555555555555554	0.2959743841070873	25931347248.511158
PF3D7_0104100	48.0	0.7026499561441605	5.951502284138617	0.007727	0.013389198190283605	0.001	0.4444444444444444	0.0059507547512371575	211901.57588562922
PF3D7_0104200	48.0	0.370694649081936	3.9375477269962493	0.811607	1.4063371263907731	2.5e-05	0.01111111111111111	0.01562596807100859	3846313.082098526
PF3D7_0104300	48.0	0.3613346817671934	3.429776543248404	0.839119	1.4540093951381632	2.5e-05	0.01111111111111111	0.01615565994597959	4250871.042312436
PF3D7_0104400	48.0	0.4316746298387366	4.163797072143988	0.600434	1.040420580585576	2.5e-05	0.01111111111111111	0.011560228673173065	1557411.1901743312
PF3D7_0104500	51.0	0.39831207689048354	2.080438170626691	0.721482	1.2501702457256625	0.3023	134.35555555555555	167.9673179034968	4.738868312132499e+18
PF3D7_0104800	48.0	0.7089651514540976	6.549476573173434	0.006599	0.01143462130939323	2.5e-05	0.01111111111111111	0.00012705134788214699	2.0832930130483147
PF3D7_0105100	48.0	0.8602401661339564	6.2484463882306915	0.00031	0.0005371620860602972	0.0023	1.0222222222222221	0.0005490990213060815	739.3339903134884
PF3D7_0105200	51.0	0.6149183048333184	5.781947104248448	0.058029	0.10055154416771932	0.0012	0.5333333333333332	0.053627490222783625	154243508.77275825
PF3D7_0105300	48.0	0.6417146573816253	5.625974717511444	0.033028	0.05723028831741774	0.0001	0.04444444444444444	0.0025435683696630107	16469.58399468836
PF3D7_0105400.1	48.0	0.6574950586304487	6.142403556508502	0.023047	0.039935401927198945	0.0002	0.08888888888888888	0.003549813504639906	44765.53727759683
PF3D7_0105600	51.0	0.2983456148447872	2.956307867171694	0.963684	1.66985325078365	0.0086	3.822222222222222	6.382550202995285	260005720984946.1
PF3D7_0105700	48.0	0.643825687312635	4.967768519197429	0.031477	0.054542745106193474	0.0044	1.9555555555555555	0.10666136820766724	1213856996.1015558
PF3D7_0105800	48.0	0.7498771817117974	6.084615692266799	0.002458	0.004259175508181325	0.0003	0.1333333333333333	0.0005678900677575098	193.25074542208205
PF3D7_0105900	48.0	0.6835842805288651	6.042552082275447	0.012399	0.021484750661489117	0.001	0.4444444444444444	0.00954877807177294	872540.1846452217
PF3D7_0106000	48.0	0.7136779607393354	5.788762754754899	0.005883	0.010193950168686223	0.0005	0.2222222222222222	0.0022653222597080495	11737.025561001668
PF3D7_0106100	48.0	0.3730439835361213	2.604754583017188	0.804578	1.3941574092845868	0.0288	12.799999999999999	17.845214838842708	5682841829478664.0
PF3D7_0106200	48.0	0.6617895602043565	4.897728166738066	0.020843	0.036116352773402506	0.0012	0.5333333333333332	0.019262054812481333	7152241.832237521
PF3D7_0106300	45.0	0.1347477929469292	1.7138289327071963	0.999996	1.7327739916514613	0.0388	17.244444444444444	29.880724833811865	2.6679244720664364e+16
PF3D7_0106400	45.0	0.23944349365567855	1.453104017157078	0.996271	1.7263193827141239	0.3496	155.37777777777777	268.23166942082565	1.9298799913653744e+19
PF3D7_0106500	45.0	0.6310256476208792	4.991825308925008	0.041664	0.07219458436650396	0.0021	0.9333333333333331	0.06738161207540368	305990544.7109903
PF3D7_0106700	48.0	0.17032004610423448	1.218796385882834	0.999943	1.7326821542625543	0.02	8.888888888888888	15.401619149000481	3653417376411655.0
PF3D7_0106800	48.0	0.6147553172242641	5.470239849354304	0.058214	0.10087210863843273	0.0009	0.39999999999999997	0.04034884345537309	65695960.46006588
PF3D7_0106900	48.0	0.6413816838533839	5.495219939796558	0.033281	0.05766868189087985	0.0008	0.3555555555555555	0.02050442022786839	8623359.379306832
PF3D7_0107000.1	51.0	0.7010080724585861	5.748914540343867	0.00805	0.013948886428339977	0.0053	2.355555555555555	0.03285737692008972	35655381.53647914
PF3D7_0107400	48.0	0.6104142461124478	4.82831776938039	0.063456	0.10995534623562007	0.0021	0.9333333333333331	0.10262498981991204	1080925592.369884
PF3D7_0107500	48.0	0.244205884630865	2.184346253163799	0.995326	1.7246819047421016	0.0012	0.5333333333333332	0.9198303491957873	778260299812.0919
PF3D7_0107800	48.0	0.655840119389035	5.386788686370811	0.023976	0.04154515540445706	0.0025	1.111111111111111	0.04616128378273006	98420492.32721314
PF3D7_0107900	51.0	0.4334491280606896	3.7567258194408604	0.593751	1.0288404056786695	0.0136	6.044444444444443	6.2187686743244015	240499196016213.66
