# pyJTK periodicity scores computed on 2020-03-02 11:28:16
# Calculation time: 0.000626 seconds
# Input file: /Users/taylorlab/Documents/TaylorLab/jws48/Jupyter/Periodicity/data/AA13_3D7.tsv
# Period(s) of oscillation tested: 45.0000, 48.0000, 51.0000
	p-value	amp	period	lag	tau
PF3D7_0100100	5.124670303241732e-08	60.7328775	51.0	16.0	-112.0
PF3D7_0100200	0.9151609289079528	5.3448048749999995	45.0	33.25	60.0
PF3D7_0100300	0.0001698261780107018	107.14709024999999	51.0	14.5	-96.0
PF3D7_0101100	0.011903316453167643	65.577070875	51.0	14.5	-82.0
PF3D7_0101200	0.0012842624885035599	33.907189125	51.0	14.5	-90.0
PF3D7_0101300	0.0001698261780107018	8.067408749999998	51.0	35.5	96.0
PF3D7_0102200	2.0008650961031914e-07	2284.559527875	51.0	7.0	-110.0
PF3D7_0102300	0.11143167772483249	66.170771625	51.0	43.0	72.0
PF3D7_0102500	0.0001698261780107018	49.620119249999995	49.5	3.25	-96.0
PF3D7_0102600	0.6680367990420074	75.093239625	45.0	30.25	62.0
PF3D7_0102700	5.735652685057447e-06	40.221422625	51.0	5.5	-104.0
PF3D7_0102900	0.048426734117954354	82.42647225000002	51.0	35.5	76.0
PF3D7_0103000	0.007115131547795238	6.982685624999999	51.0	43.0	84.0
PF3D7_0103100	0.031003550035172057	2.233960875	51.0	43.0	78.0
PF3D7_0103200	0.11143167772483249	82.34216624999999	51.0	37.0	72.0
PF3D7_0103300	0.16453699804109032	21.201330749999997	45.0	16.75	-70.0
PF3D7_0103400	0.01943095169546062	58.014911250000004	51.0	43.0	80.0
PF3D7_0103600	0.048426734117954354	13.837776375000002	51.0	37.0	76.0
PF3D7_0103900	0.4810985075880909	22.747296000000002	51.0	38.5	64.0
PF3D7_0104100	0.01943095169546062	6.043153125	51.0	41.5	80.0
PF3D7_0104200	1.46918915520106e-05	151.33967250000003	48.0	44.5	102.0
PF3D7_0104300	0.048426734117954354	121.26227250000002	51.0	8.5	-76.0
PF3D7_0104400	0.0001698261780107018	34.35663674999999	51.0	43.0	96.0
PF3D7_0104500	1.0	54.49951049999999	48.125	30.90625	-18.0
PF3D7_0104800	1.46918915520106e-05	9.34754775	51.0	44.5	102.0
PF3D7_0105100	0.031003550035172057	12.818840625	51.0	43.0	78.0
PF3D7_0105200	0.031003550035172057	57.9165795	51.0	38.5	78.0
PF3D7_0105300	0.0006803297011630345	66.285321375	51.0	41.5	92.0
PF3D7_0105400.1	7.932217418824561e-05	18.193203375	51.0	43.0	98.0
PF3D7_0105600	1.0	5.660950125000002	48.125	27.28125	-42.0
PF3D7_0105700	0.16453699804109032	9.157557	51.0	43.0	70.0
PF3D7_0105800	0.002342695994481709	19.842566624999996	51.0	43.0	88.0
PF3D7_0105900	0.011903316453167643	12.527579624999998	51.0	41.5	82.0
PF3D7_0106000	0.011903316453167643	13.247495250000002	51.0	43.0	82.0
PF3D7_0106100	0.34159160256630494	40.58888850000001	51.0	35.5	66.0
PF3D7_0106200	0.11143167772483249	2.3496900000000003	51.0	47.5	72.0
PF3D7_0106300	0.9151609289079528	56.91000975000006	45.0	12.25	-60.0
PF3D7_0106400	1.0	110.71080675000002	48.125	29.5	-18.0
PF3D7_0106500	0.074149409439216	1.7976120000000009	51.0	46.0	74.0
PF3D7_0106700	0.9151609289079528	54.151447500000025	51.0	10.0	-60.0
PF3D7_0106800	0.048426734117954354	90.950508375	51.0	38.5	76.0
PF3D7_0106900	0.031003550035172057	11.923015500000002	51.0	40.0	78.0
PF3D7_0107000.1	0.031003550035172057	128.490472125	51.0	38.5	78.0
PF3D7_0107400	0.23894651657040047	17.172880499999998	51.0	46.0	68.0
PF3D7_0107500	0.01943095169546062	233.49897487499993	51.0	14.5	-80.0
PF3D7_0107800	0.11143167772483249	14.287671374999999	51.0	38.5	72.0
PF3D7_0107900	0.16453699804109032	27.39947362499999	51.0	35.5	70.0
PF3D7_0108000	0.11143167772483249	303.5919765	51.0	38.5	72.0
PF3D7_0108300	1.0	86.47018125000002	48.125	13.427083333333334	-34.0
PF3D7_0108400.1	0.0012842624885035599	32.368274250000006	49.5	3.25	-90.0
PF3D7_0108400.2	0.002342695994481709	11.434565625000001	51.0	7.0	-88.0
PF3D7_0108500	0.11143167772483249	7949.9061116249995	51.0	13.0	-72.0
PF3D7_0108600	0.23894651657040047	14.848274625	51.0	43.0	68.0
PF3D7_0108700	1.0	25.435636500000008	48.125	14.927083333333334	-38.0
PF3D7_0108800	1.0	13.337062874999997	48.125	30.90625	-30.0
PF3D7_0109000	0.0001698261780107018	125.01115462499999	45.0	2.5	-96.0
PF3D7_0109200	1.0	34.305820875	48.125	32.40625	-32.0
PF3D7_0109400	0.007115131547795238	232.83118349999995	51.0	41.5	84.0
PF3D7_0109500	0.031003550035172057	162.673795875	49.5	32.5	78.0
PF3D7_0109600	0.23894651657040047	45.05596387500001	45.0	7.75	-68.0
PF3D7_0109700	0.34159160256630494	63.921037125	51.0	10.0	-66.0
PF3D7_0109800	1.0	22.448938124999998	48.125	12.927083333333334	-50.0
PF3D7_0109850	0.01943095169546062	7.1763840000000005	51.0	40.0	80.0
PF3D7_0109950	0.16453699804109032	27.69632475	51.0	43.0	70.0
PF3D7_0110000	0.048426734117954354	70.36518675	51.0	41.5	76.0
PF3D7_0110100	1.0	5.8809645	48.125	29.40625	-24.0
PF3D7_0110200	0.23894651657040047	88.03893149999999	51.0	38.5	68.0
PF3D7_0110400	0.007115131547795238	144.659509875	48.0	19.0	-84.0
PF3D7_0110500	0.34159160256630494	24.611920500000004	51.0	37.0	66.0
PF3D7_0110600	0.048426734117954354	149.909701125	51.0	13.0	-76.0
PF3D7_0110700	0.048426734117954354	64.61251874999999	51.0	46.0	76.0
PF3D7_0110800	1.0	58.129015499999966	48.125	23.40625	-50.0
PF3D7_0110900	0.16453699804109032	20.405808375	51.0	35.5	70.0
PF3D7_0111000	0.002342695994481709	4.333126124999999	51.0	43.0	88.0
PF3D7_0111200	0.1379843378829614	8.309423625	51.0	41.5	71.0
PF3D7_0111300	0.031003550035172057	21.466931625	51.0	38.5	78.0
PF3D7_0111400	0.048426734117954354	12.410666249999997	51.0	38.5	76.0
PF3D7_0111500	0.011903316453167643	101.93534924999999	51.0	40.0	82.0
PF3D7_0111600	0.007115131547795238	9.156472499999996	49.5	31.75	84.0
PF3D7_0111700	0.6680367990420074	18.619778250000003	50.0	31.5	62.0
PF3D7_0111800	0.048426734117954354	50.10685875	51.0	35.5	76.0
PF3D7_0111900	0.34159160256630494	215.64881549999998	51.0	37.0	66.0
PF3D7_0112000	1.0	15.262770375000002	48.125	26.96875	-30.0
