# pyDL periodicity scores computed on 2020-03-02 13:56:15
# Calculation time:  2161.778340 seconds
# Input files:  /Users/taylorlab/Documents/TaylorLab/jws48/Jupyter/Periodicity/data/AA13_FUP.tsv
# Period(s) of oscillation tested:  45.0000, 48.0000, 51.0000
# Number of random curves generated from background:  1000000
# Number of curve permutations:  10000
	period	reg_score	per_score	p_reg	p_reg_norm	p_per	p_per_norm	p_tot	dl_score
PF3D7_0101200	51.0	0.5371091238894188	5.336442161937344	0.719791	1.031497761214884	0.0014	7.0	7.220484328504187	376443156377226.94
PF3D7_0102200	48.0	0.9218479401014132	6.837816626013762	0.003034	0.004347879047565137	0.0007	3.5	0.01521757666647798	3710420.4491828596
PF3D7_0102700	48.0	0.9366750583238082	7.0830634123893095	0.001827	0.0026181855701718874	0.0001	0.5	0.0013090927850859437	2570.707098312917
PF3D7_0102900	51.0	0.29983263655949244	3.717292516176346	0.999277	1.4320156661218681	1.5e-05	0.075	0.1074011749591401	1239094731.5447686
PF3D7_0103000	51.0	0.9392336917862746	8.097099185267222	0.001665	0.0023860311846394047	0.0001	0.5	0.0011930155923197024	1996.264516236454
PF3D7_0103200	51.0	0.5676250430732352	6.317996527312993	0.628326	0.9004236817535968	0.0001	0.5	0.4502118408767984	91254231493.9399
PF3D7_0103300	51.0	0.3097022629287103	2.7824204383258224	0.998903	1.4314797047626757	0.0249	124.49999999999999	178.21922324295312	5.660618044447857e+18
PF3D7_0103400	48.0	0.6453258819448406	6.585190986598378	0.370614	0.5311090459242933	1.5e-05	0.075	0.039833178444322	63214051.53968394
PF3D7_0103600	51.0	0.5348209220338046	5.734228421238003	0.726236	1.040733779824494	0.0002	1.0	1.040733779824494	1127248817061.511
PF3D7_0103800	48.0	0.989986552491231	7.261064284307272	0.000202	0.0002894764560343302	0.0004	2.0	0.0005789529120686604	2509.8694611775786
PF3D7_0103900	51.0	0.7566143953324529	7.440724680579578	0.106334	0.15238212611858645	0.0002	1.0	0.15238212611858645	3538516487.2576795
PF3D7_0104000	48.0	0.893827200627663	7.547310871105829	0.007017	0.010055724217786608	1.5e-05	0.075	0.0007541793163339956	433.28624298196047
PF3D7_0104100	48.0	0.9673991001278174	7.752891884084215	0.000598	0.000856964954002621	1.5e-05	0.075	6.427237155019657e-05	0.6271487288369537
PF3D7_0104200	48.0	0.6070907845034215	6.22935111846591	0.497486	0.7129231891420533	1.5e-05	0.075	0.053469239185654	152893868.4831563
PF3D7_0104300	48.0	0.41219547479695856	3.855929150748498	0.963102	1.3801750186117596	0.0004	2.0	2.7603500372235192	21032592644767.285
PF3D7_0104400	51.0	0.704172802689817	7.097659633194569	0.206608	0.29607995855614305	1.5e-05	0.075	0.022205996891710728	10951988.50249965
PF3D7_0104500	48.0	0.49378826551188876	4.880012957543609	0.830335	1.1899130352537899	1.5e-05	0.075	0.08924347764403424	710897463.1147369
PF3D7_0104800	51.0	0.907996544091366	8.428647665374346	0.004657	0.006673722058177602	1.5e-05	0.075	0.0005005291543633201	128.23555580044544
PF3D7_0105100	48.0	0.960713937359426	8.139780895255626	0.00076	0.0010891193395351037	1.5e-05	0.075	8.168395046513278e-05	1.004667986752845
PF3D7_0105200	51.0	0.8028976081704954	8.656211218486858	0.051529	0.07384372427224258	1.5e-05	0.075	0.005538279320418193	169934.43999249008
PF3D7_0105300	51.0	0.979902134805318	7.273895927122979	0.000327	0.0004686079263526038	1.5e-05	0.075	3.514559447644528e-05	0.24114912081579495
PF3D7_0105400.1	48.0	0.9982528963670746	6.939823312842217	0.000142	0.00020349335028155884	1.5e-05	0.075	1.5262001271116913e-05	0.08941960899677763
PF3D7_0105400.2	48.0	1.000223720262004	6.719368921840835	0.000126	0.00018056452208081982	0.0007	3.5	0.0006319758272828694	7994.111540413386
PF3D7_0105600	51.0	0.3463518531592227	3.5558978536382098	0.995231	1.4262175386906062	0.0001	0.5	0.7131087693453031	362634636007.1463
