# pyJTK periodicity scores computed on 2020-03-02 13:56:15
# Calculation time: 0.000601 seconds
# Input file: /Users/taylorlab/Documents/TaylorLab/jws48/Jupyter/Periodicity/data/AA13_FUP.tsv
# Period(s) of oscillation tested: 45.0000, 48.0000, 51.0000
	p-value	amp	period	lag	tau
PF3D7_0101200	0.11143167772483249	65.476734	51.0	13.0	-72.0
PF3D7_0102200	0.074149409439216	1.8944977499999998	51.0	8.5	-74.0
PF3D7_0102700	0.048426734117954354	16.23138675	51.0	8.5	-76.0
PF3D7_0102900	0.0001698261780107018	80.05189649999997	51.0	32.5	96.0
PF3D7_0103000	1.46918915520106e-05	10.895436	51.0	40.0	102.0
PF3D7_0103200	7.932217418824561e-05	96.08153699999997	51.0	37.0	98.0
PF3D7_0103300	0.34159160256630494	31.693614000000007	45.0	15.25	-66.0
PF3D7_0103400	0.011903316453167643	80.58479325	51.0	38.5	82.0
PF3D7_0103600	0.004141795071110547	15.5200395	51.0	35.5	86.0
PF3D7_0103800	0.048426734117954354	1.3650836249999998	49.5	40.25	76.0
PF3D7_0103900	0.11143167772483249	43.00313737500001	51.0	38.5	72.0
PF3D7_0104000	0.005628463309452892	3.7535662499999995	51.0	46.0	85.0
PF3D7_0104100	1.46918915520106e-05	4.1250495	49.5	17.25	-102.0
PF3D7_0104200	0.0001698261780107018	200.282911125	51.0	43.0	96.0
PF3D7_0104300	0.074149409439216	125.49291712499999	51.0	13.0	-74.0
PF3D7_0104400	5.735652685057447e-06	51.913011749999995	51.0	43.0	104.0
PF3D7_0104500	0.0001698261780107018	77.60430450000001	51.0	32.5	96.0
PF3D7_0104800	2.0695381558476795e-06	37.960272375	51.0	44.5	106.0
PF3D7_0105100	0.004141795071110547	30.7882335	51.0	44.5	86.0
PF3D7_0105200	1.46918915520106e-05	79.356580125	49.5	40.0	102.0
PF3D7_0105300	1.099815087910326e-08	36.163707	49.5	40.25	114.0
PF3D7_0105400.1	7.932217418824561e-05	6.8644365	49.5	40.25	98.0
PF3D7_0105400.2	0.01943095169546062	1.695032625	51.0	47.5	80.0
PF3D7_0105600	0.34159160256630494	9.364651125	45.0	25.0	66.0
PF3D7_0105700	0.11143167772483249	26.402044500000002	51.0	46.0	72.0
PF3D7_0105800	3.516389639901545e-05	31.264825875	51.0	44.5	100.0
PF3D7_0105900	1.46918915520106e-05	9.922306875	51.0	43.0	102.0
PF3D7_0106000	2.0008650961031914e-07	14.070972375	51.0	44.5	110.0
PF3D7_0106100	0.074149409439216	72.99880275000001	51.0	35.5	74.0
