	dl_reg_pval	dl_reg_pval_norm	jtk_per_pval	jtk_per_pval_norm	dlxjtk_score
PF3D7_1002000	3.2e-05	5.3643751844003966e-05	1.099815087910326e-08	3.5473843694113667e-07	1.9084263365173876e-11
PF3D7_1252900	3.2e-05	5.3643751844003966e-05	2.0008650961031914e-07	6.45366447982023e-06	3.4720947607619617e-10
PF3D7_1301200	0.011696	0.01960679129898345	1.3764894717275668e-11	4.439780186997956e-10	3.3551296068044705e-09
PF3D7_1352900	9.300000000000001e-05	0.00015590215379663656	6.804813352432401e-07	2.1948497332443098e-05	3.5066754214512338e-09
PF3D7_0102200	0.00028900000000000003	0.00048447013384116084	2.0008650961031914e-07	6.45366447982023e-06	3.860618671158603e-09
PF3D7_0301800	0.00018899999999999999	0.0003168334093286485	2.0695381558476795e-06	6.675165113349558e-05	2.3375873079336017e-08
PF3D7_0102700	0.000897	0.0015037014188772366	2.0008650961031914e-07	6.45366447982023e-06	3.164846044144459e-08
PF3D7_1102900	0.00014199999999999998	0.00023804414880776762	5.735652685057448e-06	0.00018499986867796177	4.812616676122235e-08
PF3D7_0605900	0.0013310000000000002	0.00223124480326154	2.0008650961031914e-07	6.45366447982023e-06	8.609155244795066e-08
PF3D7_0814400	0.003943	0.0066099160475283645	1.099815087910326e-08	3.5473843694113667e-07	1.0479105751111103e-07
PF3D7_0219700	0.00028	0.0004693828286350348	5.735652685057448e-06	0.00018499986867796177	1.0959416788944466e-07
PF3D7_0800900	0.000139	0.00023301504707239223	1.4691891552010599e-05	0.0004738777183691334	1.425584356721191e-07
PF3D7_1149200	0.001182	0.0019814660837378967	6.804813352432401e-07	2.1948497332443098e-05	2.1434498738018633e-07
PF3D7_0702000	0.000324	0.0005431429874205402	1.4691891552010599e-05	0.0004738777183691334	4.081612575314384e-07
PF3D7_1001800	0.0023829999999999997	0.003994783145133171	2.0008650961031914e-07	6.45366447982023e-06	4.3721977702855897e-07
PF3D7_1001100.1	0.000103	0.00017266582624788778	3.516389639901545e-05	0.001134189354416629	4.6110516717520524e-07
PF3D7_1372000	0.012573	0.021076965372958188	1.8582607868322156e-09	5.993703252447242e-08	5.624656459140743e-07
PF3D7_0632800	0.007204	0.012076549633881396	1.099815087910326e-08	3.5473843694113667e-07	6.290781094299163e-07
PF3D7_1301800	0.0005059999999999999	0.0008482418260333129	1.4691891552010599e-05	0.0004738777183691334	8.463925642963011e-07
PF3D7_0202100	0.00201	0.0033694981627015	6.804813352432401e-07	2.1948497332443098e-05	9.140497393078035e-07
PF3D7_1201200	0.0006320000000000001	0.0010594640989190784	1.4691891552010599e-05	0.0004738777183691334	1.3048872997607338e-06
PF3D7_0413100	0.018359999999999998	0.03077810262049728	1.8582607868322156e-09	5.993703252447242e-08	1.7493591711750573e-06
PF3D7_0223500	0.01083	0.01815505726470509	1.099815087910326e-08	3.5473843694113667e-07	2.1292016494209324e-06
PF3D7_0631200	0.022119999999999997	0.03708124346216775	1.8582607868322156e-09	5.993703252447242e-08	3.0582560082678188e-06
PF3D7_1010300	0.003546	0.00594439825121369	6.804813352432401e-07	2.1948497332443098e-05	4.7430469663135196e-06
PF3D7_1255200	0.015754	0.02640948957970121	1.099815087910326e-08	3.5473843694113667e-07	6.543506809886341e-06
PF3D7_0713300	0.01581	0.02650336614542821	1.099815087910326e-08	3.5473843694113667e-07	6.61346787167558e-06
PF3D7_0918700	0.001326	0.0022228629670359144	1.4691891552010599e-05	0.0004738777183691334	7.663504005631805e-06
PF3D7_0323900	0.018639	0.031245809081887187	1.099815087910326e-08	3.5473843694113667e-07	1.0832488492954868e-05
PF3D7_0100100	0.011281999999999999	0.018912775259501653	5.124670303241732e-08	1.6529301636193392e-06	1.1213312800293088e-05
PF3D7_1148800	0.0016420000000000002	0.002752595016495454	1.4691891552010599e-05	0.0004738777183691334	1.3699759586711122e-05
PF3D7_1478100	0.003965	0.006646796126921117	2.0695381558476795e-06	6.675165113349558e-05	2.013494499731177e-05
PF3D7_1003600	0.002957	0.004957017943834992	5.735652685057448e-06	0.00018499986867796177	2.425336903028263e-05
PF3D7_1373500	0.009720999999999999	0.016295965989861334	2.0008650961031914e-07	6.45366447982023e-06	2.803477847258505e-05
PF3D7_1001100.2	0.000126	0.00021122227288576564	0.0001698261780107018	0.005477636522851159	3.747260414211772e-05
PF3D7_0935800	0.001375	0.002305004962047045	3.516389639901545e-05	0.001134189354416629	3.7735140360066205e-05
PF3D7_0112800	0.007437	0.012467143201995549	6.804813352432401e-07	2.1948497332443098e-05	4.28252597466184e-05
PF3D7_0808700	0.018917	0.031711839176031965	5.124670303241732e-08	1.6529301636193392e-06	5.276569058215436e-05
PF3D7_0525800	0.008690999999999999	0.014569307727382456	6.804813352432401e-07	2.1948497332443098e-05	6.822945563664656e-05
PF3D7_1002100	0.001726	0.0028934098650859647	3.516389639901545e-05	0.001134189354416629	7.031839489322714e-05
PF3D7_1240200	0.014038	0.02353284338706649	2.0008650961031914e-07	6.45366447982023e-06	8.426188940589527e-05
PF3D7_0733000	0.024802	0.04157726041359333	5.124670303241732e-08	1.6529301636193392e-06	0.00011887060100000887
