	dl_reg_pval	dl_reg_pval_norm	jtk_per_pval	jtk_per_pval_norm	dlxjtk_score
PF3D7_1345600	0.00022	0.0003147157508795948	1.8582607868322156e-09	1.5611286099494614e-07	5.3997424260045603e-11
PF3D7_0929400	5.2000000000000004e-05	7.438735929881331e-05	1.099815087910326e-08	9.239568587774959e-07	6.911108979070766e-11
PF3D7_0220800	0.000132	0.0001888294505277569	1.099815087910326e-08	9.239568587774959e-07	1.8069142995791487e-10
PF3D7_0817700	0.000117	0.00016737155842232995	5.124670303241732e-08	4.305245788771736e-06	7.407750860828066e-10
PF3D7_0506900	0.001125	0.0016093419079070187	1.8582607868322156e-09	1.5611286099494614e-07	9.019432437731422e-10
PF3D7_0207600	4.2e-05	6.008209789519537e-05	2.0008650961031914e-07	1.680930775868546e-05	1.013870600365193e-09
PF3D7_0935800	4.7e-05	6.723472859700434e-05	2.0008650961031914e-07	1.680930775868546e-05	1.1355989610578238e-09
PF3D7_1133300	6.2e-05	8.869262070243126e-05	2.0008650961031914e-07	1.680930775868546e-05	1.5030138031292087e-09
PF3D7_1364100	9.1e-05	0.00013017787877292328	2.0008650961031914e-07	1.680930775868546e-05	2.2259106379846387e-09
PF3D7_1110700	0.000335	0.00047922625702120117	5.124670303241732e-08	4.305245788771736e-06	2.537060807195478e-09
PF3D7_1327500	0.000165	0.0002360368131596961	2.0008650961031914e-07	1.680930775868546e-05	4.1898482090014375e-09
PF3D7_0501500	7.4e-05	0.0001058589343867728	6.804813352432401e-07	5.716737330478635e-05	6.139492172023063e-09
PF3D7_0207500	8.2e-05	0.00011730314350966716	6.804813352432401e-07	5.716737330478635e-05	6.8204033467838436e-09
PF3D7_0501600	9.8e-05	0.00014019156175545586	6.804813352432401e-07	5.716737330478635e-05	8.198602063997348e-09
PF3D7_0522400	0.000302	0.00043201889438926203	2.0008650961031914e-07	1.680930775868546e-05	8.619743970935894e-09
PF3D7_0831600	0.00011100000000000001	0.00015878840158015917	6.804813352432401e-07	5.716737330478635e-05	9.336808409470974e-09
PF3D7_0310400	0.000134	0.00019169050280848046	6.804813352432401e-07	5.716737330478635e-05	1.13982425826271e-08
PF3D7_0815500	0.000135	0.00019312102894884225	6.804813352432401e-07	5.716737330478635e-05	1.1489401410226105e-08
PF3D7_1232700	0.000393	0.0005621967731621854	2.0008650961031914e-07	1.680930775868546e-05	1.2440512741865631e-08
PF3D7_0621100	0.000417	0.0005965294005308683	2.0008650961031914e-07	1.680930775868546e-05	1.3599256476663288e-08
PF3D7_0903300	0.00015900000000000002	0.0002274536563175253	6.804813352432401e-07	5.716737330478635e-05	1.372033018557064e-08
PF3D7_0419400	5.6000000000000006e-05	8.010946386026048e-05	2.0695381558476795e-06	0.00017386231509429004	1.444111970218232e-08
PF3D7_0604100	7.5e-05	0.00010728946052713458	2.0695381558476795e-06	0.00017386231509429004	1.9438669472676754e-08
PF3D7_0308100	7.6e-05	0.0001087199866674964	2.0695381558476795e-06	0.00017386231509429004	1.9703869241827093e-08
PF3D7_0802100	0.00022400000000000002	0.00032043785544104197	6.804813352432401e-07	5.716737330478635e-05	2.0265565380900742e-08
PF3D7_1128900	8.9e-05	0.0001273168264921997	2.0695381558476795e-06	0.00017386231509429004	2.317437011108471e-08
PF3D7_0905400	8.9e-05	0.0001273168264921997	2.0695381558476795e-06	0.00017386231509429004	2.317437011108471e-08
PF3D7_0614700	0.0012230000000000001	0.0017495334696624749	5.124670303241732e-08	4.305245788771736e-06	3.058771675904465e-08
PF3D7_1463900	0.000124	0.00017738524140486253	2.0695381558476795e-06	0.00017386231509429004	3.2772611625148786e-08
PF3D7_1018200	0.000124	0.00017738524140486253	2.0695381558476795e-06	0.00017386231509429004	3.2772611625148786e-08
PF3D7_1436600	0.000339	0.00048494836158264834	6.804813352432401e-07	5.716737330478635e-05	3.435494077082412e-08
PF3D7_0515700	0.000131	0.0001873989243873951	2.0695381558476795e-06	0.00017386231509429004	3.474529119689446e-08
PF3D7_0508000	4.2e-05	6.008209789519537e-05	5.735652685057448e-06	0.0004818533311807491	3.580139558292193e-08
PF3D7_0916000	0.000785	0.0011229630201840086	2.0008650961031914e-07	1.680930775868546e-05	4.269208493353399e-08
PF3D7_1223100	0.000796	0.0011386988077279885	2.0008650961031914e-07	1.680930775868546e-05	4.397171077022909e-08
PF3D7_0805700	0.00018	0.00025749470526512303	2.0695381558476795e-06	0.00017386231509429004	4.917994050105424e-08
PF3D7_1458300	0.00019099999999999998	0.00027323049280910284	2.0695381558476795e-06	0.00017386231509429004	5.259410160911149e-08
PF3D7_0522600	6.2e-05	8.869262070243126e-05	5.735652685057448e-06	0.0004818533311807491	5.307382590346199e-08
PF3D7_1252100	6.7e-05	9.584525140424023e-05	5.735652685057448e-06	0.0004818533311807491	5.7429085592144066e-08
PF3D7_0208000	7e-05	0.00010013682982532559	5.735652685057448e-06	0.0004818533311807491	6.005054262034375e-08
PF3D7_1223000	0.000306	0.0004377409989507092	1.3750097455454598e-06	0.00011551484419953819	6.105883884050758e-08
PF3D7_1031800	0.000543	0.0007767756942164543	6.804813352432401e-07	5.716737330478635e-05	7.143276563567902e-08
PF3D7_1012200	0.00025499999999999996	0.00036478416579225763	2.0695381558476795e-06	0.00017386231509429004	7.403389661650961e-08
PF3D7_1423300	0.005553	0.007943711657429044	1.8582607868322156e-09	1.5611286099494614e-07	7.94945773001378e-08
PF3D7_0806300	9.7e-05	0.0001387610356150941	5.735652685057448e-06	0.0004818533311807491	8.397309730824699e-08
PF3D7_1215000	0.000283	0.00040483889772238783	2.0695381558476795e-06	0.00017386231509429004	8.43984971716673e-08
PF3D7_0105300	0.000322	0.00046062941719649783	2.0695381558476795e-06	0.00017386231509429004	1.0001322741534401e-07
PF3D7_0829400	0.000121	0.00017309366298377715	5.735652685057448e-06	0.0004818533311807491	1.0585029511682278e-07
PF3D7_1361800	0.000349	0.0004992536229862664	2.0695381558476795e-06	0.00017386231509429004	1.1171484516700698e-07
PF3D7_1116100	0.001998	0.0028581912284428657	5.124670303241732e-08	4.305245788771736e-06	1.1283177817435758e-07
PF3D7_1307900	0.000135	0.00019312102894884225	5.735652685057448e-06	0.0004818533311807491	1.189384040081625e-07
PF3D7_1140400	0.000149	0.00021314839491390735	5.735652685057448e-06	0.0004818533311807491	1.323024552973003e-07
PF3D7_1435200	0.0004	0.0005722104561447178	2.0695381558476795e-06	0.00017386231509429004	1.3605188716984897e-07
PF3D7_0803200	0.000157	0.00022459260403680166	5.735652685057448e-06	0.0004818533311807491	1.4007396120620726e-07
PF3D7_1014900	0.000175	0.00025034207456331404	5.735652685057448e-06	0.0004818533311807491	1.579511120439763e-07
PF3D7_1227500	0.00045599999999999997	0.0006523199200049782	2.0695381558476795e-06	0.00017386231509429004	1.6656095280783315e-07
PF3D7_1145200	0.00019099999999999998	0.00027323049280910284	5.735652685057448e-06	0.0004818533311807491	1.7433642603810766e-07
PF3D7_0209600	0.00019099999999999998	0.00027323049280910284	5.735652685057448e-06	0.0004818533311807491	1.7433642603810766e-07
PF3D7_0613800	0.00022	0.0003147157508795948	5.735652685057448e-06	0.0004818533311807491	2.05363992773837e-07
PF3D7_0802800	0.000225	0.00032186838158140374	5.735652685057448e-06	0.0004818533311807491	2.1090149773562484e-07
PF3D7_0703600	0.000531	0.0007596093805321129	2.0695381558476795e-06	0.00017386231509429004	2.145668520525327e-07
PF3D7_0607700	5.2000000000000004e-05	7.438735929881331e-05	1.4691891552010599e-05	0.0012342687527307464	2.3296723263846135e-07
PF3D7_1476300	0.000245	0.00035047890438863965	5.735652685057448e-06	0.0004818533311807491	2.3365116565055378e-07
PF3D7_0207800	5.6000000000000006e-05	8.010946386026048e-05	1.4691891552010599e-05	0.0012342687527307464	2.5110836503364947e-07
PF3D7_1022700	0.0010199999999999999	0.0014591366631690305	6.804813352432401e-07	5.716737330478635e-05	2.6186524026483453e-07
PF3D7_1118700	0.000276	0.00039482521473985525	5.735652685057448e-06	0.0004818533311807491	2.709631234461904e-07
PF3D7_0407800	0.000281	0.00040197784544166414	5.735652685057448e-06	0.0004818533311807491	2.772320947640462e-07
PF3D7_1019600	0.000655	0.0009369946219369754	2.0695381558476795e-06	0.00017386231509429004	3.151824578906548e-07
PF3D7_1138000	7.099999999999999e-05	0.0001015673559656874	1.4691891552010599e-05	0.0012342687527307464	3.1960275233067293e-07
PF3D7_1356100	0.000333	0.00047636520474047763	5.735652685057448e-06	0.0004818533311807491	3.470144620259035e-07
PF3D7_1337700	0.000335	0.00047922625702120117	5.735652685057448e-06	0.0004818533311807491	3.498765416333916e-07
PF3D7_0419300	0.001248	0.0017852966231715196	6.804813352432401e-07	5.716737330478635e-05	4.287538667949232e-07
PF3D7_1320700	0.000393	0.0005621967731621854	5.735652685057448e-06	0.0004818533311807491	4.3929444030183434e-07
PF3D7_0423500	0.00040899999999999997	0.0005850851914079738	5.735652685057448e-06	0.0004818533311807491	4.663013048775131e-07
PF3D7_0918000	0.00041900000000000005	0.0005993904528115919	5.735652685057448e-06	0.0004818533311807491	4.837323757462885e-07
PF3D7_0507200	0.000118	0.00016880208456269174	1.4691891552010599e-05	0.0012342687527307464	5.407279176422267e-07
PF3D7_1035100	0.000118	0.00016880208456269174	1.4691891552010599e-05	0.0012342687527307464	5.407279176422267e-07
PF3D7_1362800	0.001394	0.001994153439664341	6.804813352432401e-07	5.716737330478635e-05	5.691945539229796e-07
PF3D7_1017100	0.000479	0.0006852220212332996	5.735652685057448e-06	0.0004818533311807491	5.978599838669307e-07
PF3D7_0930300	0.0008960000000000001	0.0012817514217641679	2.0695381558476795e-06	0.00017386231509429004	6.067659563443334e-07
PF3D7_0321100	0.00013700000000000002	0.00019598208122956583	1.4691891552010599e-05	0.0012342687527307464	6.338463049625498e-07
PF3D7_0717600	0.000509	0.0007281378054441534	5.735652685057448e-06	0.0004818533311807491	6.615266953031346e-07
PF3D7_0216800	0.000145	0.00020742629035246018	1.4691891552010599e-05	0.0012342687527307464	6.738418185578144e-07
PF3D7_0902700	0.003992	0.0057106603523242845	5.124670303241732e-08	4.305245788771736e-06	8.263842964861962e-07
PF3D7_1430200	0.000579	0.000828274635269479	5.735652685057448e-06	0.0004818533311807491	8.291476876555816e-07
PF3D7_0319400	0.000593	0.0008483020012345441	5.735652685057448e-06	0.0004818533311807491	8.661078799830974e-07
PF3D7_1224100	0.000604	0.0008640377887785241	5.735652685057448e-06	0.0004818533311807491	8.959969241883063e-07
