	dl_reg_pval	dl_reg_pval_norm	jtk_per_pval	jtk_per_pval_norm	dlxjtk_score
PF3D7_1252900	3.7e-05	6.162727656572839e-05	1.099815087910326e-08	2.2710907682344955e-07	1.404927075051617e-11
PF3D7_1002000	1.1e-05	1.8321622762784117e-05	2.0008650961031914e-07	4.131736596627864e-06	7.57268231647543e-11
PF3D7_0219700	0.000136	0.0002265218814307855	2.0008650961031914e-07	4.131736596627864e-06	9.839700729814155e-10
PF3D7_1001100.2	2e-05	3.3312041386880226e-05	2.0695381558476795e-06	4.2735447548596764e-05	1.4277876019085693e-09
PF3D7_1102900	7e-05	0.00011659214485408077	6.804813352432401e-07	1.4051770114948754e-05	1.6609248639387148e-09
PF3D7_1352900	3.1e-05	5.163366414966435e-05	2.0695381558476795e-06	4.2735447548596764e-05	2.2165112626876633e-09
PF3D7_1301800	0.00020899999999999998	0.00034811083249289835	6.804813352432401e-07	1.4051770114948754e-05	5.4854227852770296e-09
PF3D7_0301800	0.000126	0.00020986586073734536	2.0695381558476795e-06	4.2735447548596764e-05	9.380827684720213e-09
PF3D7_1001100.1	6.500000000000001e-05	0.00010826413450736071	5.735652685057448e-06	0.00011843979961743773	1.3155065987783094e-08
PF3D7_0102200	0.00025299999999999997	0.00042139732354403483	2.0695381558476795e-06	4.2735447548596764e-05	2.1245223428180738e-08
PF3D7_0605900	0.00057	0.0009493931795260864	6.804813352432401e-07	1.4051770114948754e-05	2.537022768613896e-08
PF3D7_1148800	0.001024	0.0017055765190082672	2.0008650961031914e-07	4.131736596627864e-06	2.7547104011974976e-08
PF3D7_1401100	0.0006	0.0009993612416064066	6.804813352432401e-07	1.4051770114948754e-05	2.8073196703079607e-08
PF3D7_0702000	0.000336	0.0005596422952995877	2.0695381558476795e-06	4.2735447548596764e-05	3.14645793841851e-08
PF3D7_0632800	0.0033880000000000004	0.0056430598109375105	1.099815087910326e-08	2.2710907682344955e-07	4.209270650623487e-08
PF3D7_0102700	0.000731	0.0012175551126904721	2.0695381558476795e-06	4.2735447548596764e-05	1.2940413720317804e-07
PF3D7_0918700	0.0007469999999999999	0.0012442047457999765	2.0695381558476795e-06	4.2735447548596764e-05	1.357312088139367e-07
PF3D7_0413100	0.010182	0.016959160270060718	1.8582607868322156e-09	3.837262249207221e-08	1.8782002389862136e-07
