# pyDL periodicity scores computed on 2020-03-02 12:42:49
# Calculation time:  2221.455679 seconds
# Input files:  /Users/taylorlab/Documents/TaylorLab/jws48/Jupyter/Periodicity/data/AS15_3D7.tsv
# Period(s) of oscillation tested:  45.0000, 48.0000, 51.0000
# Number of random curves generated from background:  1000000
# Number of curve permutations:  10000
	period	reg_score	per_score	p_reg	p_reg_norm	p_per	p_per_norm	p_tot	dl_score
PF3D7_0100100	51.0	0.6620521805444465	7.515408140184032	0.003732	0.006216026922791849	1e-06	0.00043478260869565214	2.7026204012138474e-06	0.00012738040109909764
PF3D7_0100200	51.0	0.47950030919619974	4.297897756660948	0.23307	0.38820187430200864	0.0033	1.434782608695652	0.5569852979115776	172796239985.68756
PF3D7_0100300	51.0	0.6159843041509301	6.868496783294678	0.012476	0.020780051417135882	1e-06	0.00043478260869565214	9.034804963972122e-06	0.004649557045688926
PF3D7_0101100	48.0	0.34167715851654284	3.246870467154788	0.796771	1.327103426393297	0.0006	0.2608695652173913	0.34620089384172964	41494561812.088524
PF3D7_0101200	51.0	0.4824336902426841	4.957421262257542	0.223333	0.37198390695280603	0.0013	0.5652173913043478	0.21025177349506427	9294445847.444841
PF3D7_0101300	51.0	0.5513727644014957	5.801906635224834	0.062405	0.10394189713741302	0.0003	0.13043478260869565	0.013557638757053871	2492400.880509242
PF3D7_0102200	48.0	0.8434300109487944	6.9102916139123485	0.000253	0.00042139732354403483	1e-06	0.00043478260869565214	1.8321622762784122e-07	2.565356622722801e-07
PF3D7_0102300	51.0	0.8502584758473716	5.794309532271297	0.000209	0.00034811083249289835	0.0142	6.173913043478262	0.0021492060093039815	91849.09098255589
PF3D7_0102500	48.0	0.5711494655224745	5.193380926010887	0.039646	0.06603445964121267	1e-06	0.00043478260869565214	2.87106346266142e-05	0.14889448342592418
PF3D7_0102600	51.0	0.44244424538178695	4.403620337690711	0.371231	0.6183231218046465	0.0005	0.2173913043478261	0.13441806995753186	2428752671.8842397
PF3D7_0102700	48.0	0.7759743269595815	7.015664119685925	0.000731	0.0012175551126904721	1e-06	0.00043478260869565214	5.293717881262922e-07	1.562552455633693e-06
PF3D7_0102900	48.0	0.2404000616657182	1.6207756627644379	0.989134	1.647503637258519	0.0366	15.913043478260871	26.21679701028774	1.8019347310040464e+16
PF3D7_0103000	48.0	0.5987713106705399	4.894479346263695	0.019728	0.03285899762401865	0.0018	0.782608695652174	0.02571573727097112	17021573.101704482
PF3D7_0103100	48.0	0.5940496445734317	4.730816701738941	0.02237	0.03725951829122553	0.0016	0.6956521739130436	0.02591966489824385	17426162.64936498
PF3D7_0103200	48.0	0.3908649389424704	2.833581910425524	0.593677	0.9888296397219445	0.022	9.565217391304348	9.458370466905556	846153997410251.4
