# pyJTK periodicity scores computed on 2020-03-02 13:20:05
# Calculation time: 0.000616 seconds
# Input file: /Users/taylorlab/Documents/TaylorLab/jws48/Jupyter/Periodicity/data/AS16_3D7.tsv
# Period(s) of oscillation tested: 45.0000, 48.0000, 51.0000
	p-value	amp	period	lag	tau
PF3D7_0100100	2.0008650961031914e-07	99.83909137500001	51.0	16.0	-110.0
PF3D7_0100200	0.007115131547795238	10.938951000000003	45.0	34.0	84.0
PF3D7_0100300	0.0006803297011630345	122.254792875	51.0	14.5	-92.0
PF3D7_0101100	0.002342695994481709	57.63356475	51.0	16.0	-88.0
PF3D7_0101200	0.0012842624885035599	39.1252875	51.0	14.5	-90.0
PF3D7_0101300	0.002342695994481709	12.807199125	51.0	35.5	88.0
PF3D7_0102200	1.099815087910326e-08	1975.258336875	51.0	5.5	-114.0
PF3D7_0102300	1.0	87.469733625	48.125	32.40625	-8.0
PF3D7_0102500	0.0006803297011630345	53.35458712500001	49.5	3.25	-92.0
PF3D7_0102600	0.004141795071110547	84.58767262500002	45.0	32.5	86.0
PF3D7_0102700	0.0001698261780107018	30.481182000000004	51.0	5.5	-96.0
PF3D7_0102900	0.11143167772483249	79.26116062500002	51.0	37.0	72.0
PF3D7_0103000	0.11143167772483249	6.657359999999999	51.0	40.0	72.0
PF3D7_0103100	0.16453699804109032	2.5857427500000005	51.0	40.0	70.0
PF3D7_0103200	0.16453699804109032	75.32199337500003	51.0	37.0	70.0
PF3D7_0103300	0.4810985075880909	34.6959105	45.0	19.75	-64.0
PF3D7_0103400	0.011903316453167643	63.62454862500002	51.0	40.0	82.0
PF3D7_0103600	0.074149409439216	13.2450765	51.0	38.5	74.0
PF3D7_0103900	0.34159160256630494	19.003322999999995	51.0	38.5	66.0
PF3D7_0104100	7.932217418824561e-05	7.805533875	51.0	40.0	98.0
PF3D7_0104200	0.00034707262534643487	159.61031437500003	45.0	41.5	94.0
PF3D7_0104300	0.0001698261780107018	128.82446849999997	51.0	7.0	-96.0
PF3D7_0104400	0.0001698261780107018	34.97817675	51.0	41.5	96.0
PF3D7_0104500	1.0	25.332285375000012	48.125	34.3125	-8.0
PF3D7_0104800	0.048426734117954354	6.68453025	51.0	41.5	76.0
PF3D7_0105100	0.6680367990420074	12.712185375000002	51.0	38.5	62.0
PF3D7_0105200	0.01943095169546062	59.167863374999996	51.0	37.0	80.0
PF3D7_0105300	0.00034707262534643487	66.761919375	51.0	41.5	94.0
PF3D7_0105400.1	0.0012842624885035599	21.405757125	49.5	40.0	90.0
PF3D7_0105600	1.0	7.634659125000002	48.125	28.25	-50.0
PF3D7_0105700	0.4810985075880909	10.710567750000001	51.0	40.0	64.0
PF3D7_0105800	0.007115131547795238	20.236067999999996	51.0	40.0	84.0
PF3D7_0105900	0.074149409439216	10.538872125	51.0	40.0	74.0
PF3D7_0106000	0.01943095169546062	14.906635875000001	51.0	40.0	80.0
PF3D7_0106100	0.6680367990420074	32.656771125	51.0	35.5	62.0
PF3D7_0106200	1.0	2.1787008750000005	48.125	28.4375	-40.0
PF3D7_0106300	1.0	53.92845637500004	48.125	14.1875	-46.0
PF3D7_0106400	1.0	78.95979749999998	48.125	30.34375	-24.0
PF3D7_0106500	1.0	1.9736816250000002	48.125	30.90625	-24.0
PF3D7_0106700	1.0	36.75233324999999	48.125	14.1875	-58.0
PF3D7_0106800	0.074149409439216	98.88040912499997	51.0	40.0	74.0
PF3D7_0106900	0.23894651657040047	11.977361249999998	51.0	40.0	68.0
PF3D7_0107000.1	0.002342695994481709	132.08233725	51.0	40.0	88.0
PF3D7_0107400	0.074149409439216	17.862105	51.0	40.0	74.0
PF3D7_0107500	0.004141795071110547	202.87300200000004	48.75	8.875	-86.0
PF3D7_0107800	0.11143167772483249	13.594710375	51.0	38.5	72.0
PF3D7_0107900	1.0	39.34182225000001	48.125	33.78125	-14.0
PF3D7_0108000	0.34159160256630494	331.0981425	51.0	38.5	66.0
PF3D7_0108300	1.0	35.15608949999998	48.125	22.0	-24.0
PF3D7_0108400.1	1.0	9.369304125000003	48.125	20.875	-48.0
PF3D7_0108400.2	0.004141795071110547	14.698734374999999	49.5	7.0	-86.0
PF3D7_0108500	0.004141795071110547	9515.54997525	51.0	10.0	-86.0
PF3D7_0108600	0.074149409439216	11.907319125000003	51.0	40.0	74.0
PF3D7_0108700	1.0	29.274789750000018	48.125	17.84375	-22.0
PF3D7_0108800	1.0	7.689552375000003	48.125	34.46875	-8.0
PF3D7_0109000	0.00034707262534643487	132.46124625000002	45.0	1.0	-94.0
PF3D7_0109200	0.9151609289079528	33.054821625	51.0	40.0	60.0
PF3D7_0109400	0.0006803297011630345	230.6872245	51.0	41.5	92.0
PF3D7_0109500	1.0	200.00991675	48.125	30.75	-44.0
PF3D7_0109600	0.074149409439216	42.912050249999986	45.0	8.5	-74.0
PF3D7_0109700	1.0	80.04210975000002	48.125	13.395833333333334	-56.0
PF3D7_0109800	1.0	19.817209124999998	48.125	13.71875	-52.0
PF3D7_0109850	0.01943095169546062	7.362939	51.0	40.0	80.0
PF3D7_0109950	0.23894651657040047	32.329622625	51.0	40.0	68.0
PF3D7_0110000	0.007115131547795238	58.177414875	51.0	40.0	84.0
PF3D7_0110100	1.0	3.4630695	48.125	34.375	-4.0
PF3D7_0110200	0.11143167772483249	61.63224187499999	51.0	34.0	72.0
PF3D7_0110400	0.011903316453167643	114.0165693749999	45.0	16.75	-82.0
