# pyDL periodicity scores computed on 2020-03-02 15:08:32
# Calculation time:  2163.571769 seconds
# Input files:  /Users/taylorlab/Documents/TaylorLab/jws48/Jupyter/Periodicity/data/AS18_FUP.tsv
# Period(s) of oscillation tested:  45.0000, 48.0000, 51.0000
# Number of random curves generated from background:  1000000
# Number of curve permutations:  10000
	period	reg_score	per_score	p_reg	p_reg_norm	p_per	p_per_norm	p_tot	dl_score
PF3D7_0101200	51.0	0.4061248427394493	4.1016227689195315	0.946715	1.2355090668250126	0.0028	9.333333333333334	11.531417957033451	1533375182119295.8
PF3D7_0102200	48.0	0.9071074326509324	7.18452473968681	0.00069	0.0009004835204990505	0.0002	0.6666666666666667	0.0006003223469993671	483.15934093225906
PF3D7_0102700	48.0	0.9124372327105773	7.051038782338675	0.000569	0.0007425726422666083	2e-06	0.006666666666666667	4.950484281777389e-06	0.00034902475172052277
PF3D7_0102900	51.0	0.25721800662633704	3.1567826711436933	0.999717	1.304679251685144	2e-06	0.006666666666666667	0.00869786167790096	672823.3611378404
PF3D7_0103000	51.0	0.9356820626553922	8.230201292258785	0.000215	0.0002805854447931824	0.0001	0.33333333333333337	9.352848159772748e-05	11.210301984976748
PF3D7_0103200	51.0	0.537437132022364	5.733997151594266	0.646892	0.8442254862937273	0.0004	1.3333333333333335	1.1256339817249699	1426239434526.4153
PF3D7_0103300	51.0	0.3034839444206585	2.6236180020069004	0.997966	1.302394111620805	0.0357	119.00000000000001	154.98489928287583	3.722788916848601e+18
PF3D7_0103400	48.0	0.6395423982859495	6.360229141349173	0.303109	0.39557197016658946	2e-06	0.006666666666666667	0.002637146467777263	18752.917627609186
PF3D7_0103600	51.0	0.5100384827684307	4.977902968850486	0.729415	0.9519220102968333	0.0019	6.333333333333334	6.028839398546611	219129897111949.0
PF3D7_0103800	48.0	0.9192762487725002	7.329872766894126	0.000435	0.0005676961324885319	2e-06	0.006666666666666667	3.7846408832568796e-06	0.00022741994098527028
PF3D7_0103900	51.0	0.7279106738190054	6.723663977574474	0.09675	0.1262634501569321	0.0013	4.333333333333334	0.5471416173467059	163804758294.97614
PF3D7_0104000	45.0	0.8709209512842242	8.03503573199914	0.002809	0.0036658814624374388	2e-06	0.006666666666666667	2.4439209749582927e-05	0.016035985545380025
PF3D7_0104100	48.0	0.9040773368107988	7.9203579236619515	0.000783	0.0010218530384793574	2e-06	0.006666666666666667	6.812353589862383e-06	0.0006328457775051716
PF3D7_0104200	48.0	0.5873382489689062	6.216616979929509	0.476892	0.6223672276200481	2e-06	0.006666666666666667	0.0041491148508003214	73034.96201610888
PF3D7_0104300	48.0	0.3794617669852445	3.6949906037568456	0.972881	1.269656967980633	0.0002	0.6666666666666667	0.8464379786537555	606438368604.9999
PF3D7_0104400	48.0	0.6665528723429989	6.417867686122361	0.226168	0.29516022733946273	2e-06	0.006666666666666667	0.0019677348489297516	7790.548454151488
PF3D7_0104500	51.0	0.43746734252133124	4.727436436805518	0.899	1.1732386738096325	0.0003	1.0	1.1732386738096325	1614952900312.6912
PF3D7_0104800	51.0	0.8746555197868351	7.9395339973851184	0.002451	0.0031986740706422797	2e-06	0.006666666666666667	2.1324493804281866e-05	0.010884234802964524
PF3D7_0105100	51.0	0.9731496204034588	7.992244189242211	4.9e-05	6.394738044123692e-05	2e-06	0.006666666666666667	4.2631586960824617e-07	1.945291204361376e-05
PF3D7_0105200	51.0	0.8002510692812157	8.29013216755367	0.022667	0.029581536172684025	2e-06	0.006666666666666667	0.00019721024115122685	7.851411218420623
PF3D7_0105300	48.0	0.9420191686133308	7.417508888843524	0.000168	0.0002192481615128123	2e-06	0.006666666666666667	1.4616544100854156e-06	6.961706162195164e-05
PF3D7_0105400.1	48.0	0.9799907709301077	7.403482273332783	3.5e-05	4.5676700315169226e-05	2e-06	0.006666666666666667	3.045113354344615e-07	1.3867220255729899e-05
PF3D7_0105400.2	45.0	0.955233301109024	7.552464696652993	9.9e-05	0.00012919980946290725	2e-06	0.006666666666666667	8.613320630860483e-07	3.979615111464519e-05
PF3D7_0105600	51.0	0.3345715063392339	2.997829765698619	0.993477	1.2965357485432396	0.0149	49.66666666666667	64.39460884431423	2.6702307138021933e+17
PF3D7_0105700	51.0	0.8409551509373242	7.561066481570793	0.007565	0.00987269251097872	0.0008	2.666666666666667	0.02632718002927659	18435123.865989596
PF3D7_0105800	51.0	0.947441367294465	7.991864890226315	0.000135	0.0001761815583585099	2e-06	0.006666666666666667	1.174543722390066e-06	5.5033289972111636e-05
PF3D7_0105900	51.0	0.8797160266591213	8.026892873047531	0.002028	0.0026466385211189485	0.0001	0.33333333333333337	0.000882212840372983	784.6565195545405
PF3D7_0106000	48.0	0.9081588997851937	7.3529940234408775	0.000663	0.0008652472088273485	0.0002	0.6666666666666667	0.0005768314725515658	448.3023111677544
PF3D7_0106100	51.0	0.345581859287309	3.063583334997026	0.990522	1.2926793299880588	0.0215	71.66666666666667	92.64201864914422	7.951046420189805e+17
PF3D7_0106200	48.0	0.8729779032006527	6.519594986474926	0.002617	0.003415312134994225	0.0019	6.333333333333334	0.02163031018829676	10987796.173712894
PF3D7_0106300	45.0	0.189719232557164	2.1050038080728366	0.99999	1.3050355299476024	0.0272	90.66666666666667	118.32322138191596	1.6565715933138353e+18
PF3D7_0106400	51.0	0.25154979472380706	2.9190891580750153	0.999784	1.304766689940033	0.0005	1.6666666666666667	2.174611149900055	10283601592219.525
