# pyJTK periodicity scores computed on 2020-03-02 15:08:33
# Calculation time: 0.000587 seconds
# Input file: /Users/taylorlab/Documents/TaylorLab/jws48/Jupyter/Periodicity/data/AS18_FUP.tsv
# Period(s) of oscillation tested: 45.0000, 48.0000, 51.0000
	p-value	amp	period	lag	tau
PF3D7_0101200	0.048426734117954354	61.17108600000001	51.0	13.0	-76.0
PF3D7_0102200	0.004141795071110547	2.4081588750000007	51.0	5.5	-86.0
PF3D7_0102700	0.00034707262534643487	16.61175375	51.0	7.0	-94.0
PF3D7_0102900	1.46918915520106e-05	45.34407712500001	51.0	34.0	102.0
PF3D7_0103000	0.009509224000481441	9.139289999999999	51.0	44.5	83.0
PF3D7_0103200	0.01943095169546062	97.17553275	51.0	38.5	80.0
PF3D7_0103300	0.9151609289079528	26.802152249999992	47.25	16.0	-60.0
PF3D7_0103400	0.031003550035172057	72.88783312499999	51.0	43.0	78.0
PF3D7_0103600	0.11143167772483249	12.865171125000002	51.0	35.5	72.0
PF3D7_0103800	7.932217418824561e-05	1.3606274999999999	49.5	40.25	98.0
PF3D7_0103900	0.4810985075880909	30.325206	51.0	38.5	64.0
PF3D7_0104000	0.007115131547795238	4.379260125	49.5	46.0	84.0
PF3D7_0104100	1.46918915520106e-05	5.33747925	45.0	4.0	-102.0
PF3D7_0104200	3.516389639901545e-05	208.26856425	51.0	43.0	100.0
PF3D7_0104300	0.002342695994481709	141.913561125	51.0	13.0	-88.0
PF3D7_0104400	7.932217418824561e-05	39.434940375	51.0	43.0	98.0
PF3D7_0104500	0.0001698261780107018	66.75173362499999	51.0	35.5	96.0
PF3D7_0104800	1.46918915520106e-05	19.519169625	51.0	44.5	102.0
PF3D7_0105100	0.011903316453167643	9.30837675	51.0	40.75	82.0
PF3D7_0105200	0.0006803297011630345	59.97897412500001	51.0	43.0	92.0
PF3D7_0105300	2.0695381558476795e-06	32.579018999999995	49.5	17.25	-106.0
PF3D7_0105400.1	0.0009822960948332972	11.037242249999998	49.5	40.25	91.0
PF3D7_0105400.2	0.2902690595683527	5.350473375	49.8	32.5	-67.0
PF3D7_0105600	1.0	9.301836000000005	48.125	25.78125	-30.0
PF3D7_0105700	0.34159160256630494	15.613388249999998	51.0	44.5	66.0
PF3D7_0105800	7.932217418824561e-05	16.948457625	51.0	44.5	98.0
PF3D7_0105900	0.011903316453167643	5.981686125	51.0	43.0	82.0
PF3D7_0106000	1.46918915520106e-05	8.804706	51.0	44.5	102.0
PF3D7_0106100	0.34159160256630494	38.33254875	51.0	34.0	66.0
PF3D7_0106200	0.11143167772483249	1.863950625	51.0	47.5	72.0
PF3D7_0106300	1.0	135.85229737500003	48.125	19.375	-56.0
PF3D7_0106400	0.4810985075880909	107.51579662499996	49.5	26.5	64.0
PF3D7_0106700	0.048426734117954354	37.504733999999985	51.0	14.5	-76.0
PF3D7_0106800	0.048426734117954354	101.546574375	51.0	38.5	76.0
PF3D7_0106900	0.00034707262534643487	4.199132624999999	51.0	41.5	94.0
PF3D7_0107000.1	0.0001698261780107018	129.89950462500002	51.0	41.5	96.0
PF3D7_0107400	0.011903316453167643	26.0325135	51.0	43.0	82.0
PF3D7_0107500	0.048426734117954354	244.33242712499998	51.0	16.0	-76.0
PF3D7_0107800	0.031003550035172057	17.57013375	51.0	38.5	78.0
PF3D7_0107900	0.01943095169546062	43.538385000000005	51.0	32.5	80.0
PF3D7_0108000	0.34159160256630494	338.18897175	51.0	38.5	66.0
PF3D7_0108300	0.34159160256630494	74.206588875	48.0	23.5	-66.0
PF3D7_0108400.1	1.0	31.974865125000004	48.125	27.375	-54.0
PF3D7_0108400.2	1.0	12.306249375	48.125	31.25	-34.0
PF3D7_0108500	0.048426734117954354	8288.034007125001	51.0	13.0	-76.0
PF3D7_0108600	0.074149409439216	21.434001000000002	51.0	43.0	74.0
PF3D7_0108700	1.0	33.682872749999994	48.125	32.125	-6.0
PF3D7_0108800	1.0	28.147028625000008	48.125	34.697916666666664	-10.0
PF3D7_0109000	1.46918915520106e-05	88.36074562499999	45.0	4.0	-102.0
PF3D7_0109200	0.048426734117954354	56.222949375	51.0	38.5	76.0
PF3D7_0109400	0.007115131547795238	313.120417125	51.0	40.0	84.0
PF3D7_0109500	0.0006803297011630345	128.58500175000003	51.0	31.0	92.0
PF3D7_0109600	0.16453699804109032	32.49282037500001	48.0	38.5	70.0
PF3D7_0109700	0.00034707262534643487	41.345011875	51.0	13.0	-94.0
PF3D7_0109800	1.0	31.311496874999975	48.125	16.25	-52.0
PF3D7_0109850	0.0006803297011630345	2.142079125	51.0	44.5	92.0
PF3D7_0109950	0.002342695994481709	38.461129125	51.0	43.0	88.0
PF3D7_0110000	5.735652685057447e-06	44.358931874999996	51.0	43.0	104.0
PF3D7_0110100	1.0	9.156471750000007	48.125	28.46875	-30.0
PF3D7_0110200	0.6680367990420074	77.01432600000001	51.0	43.0	62.0
PF3D7_0110400	0.01943095169546062	186.01636275000004	51.0	19.0	-80.0
PF3D7_0110500	0.11143167772483249	32.697194249999995	51.0	38.5	72.0
PF3D7_0110600	7.932217418824561e-05	141.42287699999997	51.0	13.0	-98.0
PF3D7_0110700	0.002342695994481709	165.74694562500002	49.5	42.25	88.0
PF3D7_0110800	0.23894651657040047	56.32092075	51.0	34.0	68.0
PF3D7_0110900	0.0012842624885035599	15.745789125	51.0	32.5	90.0
PF3D7_0111000	3.516389639901545e-05	4.780169625	49.5	46.0	100.0
PF3D7_0111200	0.011903316453167643	9.133821750000001	51.0	44.5	82.0
PF3D7_0111300	0.0006803297011630345	18.11235375	51.0	43.0	92.0
PF3D7_0111400	0.011903316453167643	10.843865249999999	51.0	43.0	82.0
PF3D7_0111500	0.0001698261780107018	86.759895	51.0	43.0	96.0
PF3D7_0111600	0.01943095169546062	10.023125625	49.5	30.25	80.0
PF3D7_0111700	0.4810985075880909	18.690443625	45.0	25.0	64.0
PF3D7_0111800	0.11143167772483249	78.493879125	51.0	32.5	72.0
PF3D7_0111900	0.11143167772483249	399.09835499999997	51.0	41.5	72.0
