	dl_reg_pval	dl_reg_pval_norm	jtk_per_pval	jtk_per_pval_norm	dlxjtk_score
PF3D7_0207700	1.4000000000000001e-05	1.916495550992471e-05	1.8582607868322156e-09	9.563405930684986e-08	1.833495696107855e-12
PF3D7_0935800	1.4000000000000001e-05	1.916495550992471e-05	1.099815087910326e-08	5.660119510086891e-07	1.0851581608306152e-11
PF3D7_0929400	2.1e-05	2.8747433264887066e-05	1.099815087910326e-08	5.660119510086891e-07	1.6284842926022493e-11
PF3D7_0607700	2.7000000000000002e-05	3.696098562628337e-05	1.099815087910326e-08	5.660119510086891e-07	2.0948945902644653e-11
PF3D7_0207600	7.000000000000001e-06	9.582477754962357e-06	5.124670303241732e-08	2.637374835551126e-06	2.527508212586936e-11
PF3D7_0522600	3.5e-05	4.7912388774811767e-05	1.099815087910326e-08	5.660119510086891e-07	2.7181247615708234e-11
PF3D7_0515700	0.000154	0.00021081451060917184	1.099815087910326e-08	5.660119510086891e-07	1.2462663923990706e-10
PF3D7_0508000	1.1e-05	1.5058179329226557e-05	2.0008650961031914e-07	1.0297308785810143e-05	1.5511032699166865e-10
PF3D7_0806200	5.6999999999999996e-05	7.80287474332649e-05	5.124670303241732e-08	2.637374835551126e-06	2.0704545091436563e-10
PF3D7_0905400	6.9e-05	9.44558521560575e-05	5.124670303241732e-08	2.637374835551126e-06	2.513398212536202e-10
PF3D7_1322500	8.6e-05	0.00011772758384668037	5.124670303241732e-08	2.637374835551126e-06	3.147973055474524e-10
PF3D7_0220800	0.00036	0.0004928131416837785	1.099815087910326e-08	5.660119510086891e-07	3.4668248943627343e-10
PF3D7_0207500	1e-05	1.3689253935660511e-05	6.804813352432401e-07	3.502048411772911e-05	4.8008220639061e-10
PF3D7_0829400	5.2000000000000004e-05	7.118412046543464e-05	2.0008650961031914e-07	1.0297308785810143e-05	7.367972536585897e-10
PF3D7_1025400	0.0006360000000000001	0.0008706365503080082	1.099815087910326e-08	5.660119510086891e-07	8.663302585611521e-10
PF3D7_0508100	6.2e-05	8.487337440109515e-05	2.0008650961031914e-07	1.0297308785810143e-05	8.803562969489008e-10
PF3D7_0207400	2.2e-05	3.011635865845312e-05	6.804813352432401e-07	3.502048411772911e-05	1.0569407387538272e-09
PF3D7_1140400	0.000361	0.0004941820670773443	5.124670303241732e-08	2.637374835551126e-06	1.6216518164228598e-09
PF3D7_1019600	0.000926	0.001267624914442163	1.099815087910326e-08	5.660119510086891e-07	1.870408071629775e-09
PF3D7_0817700	0.000156	0.0002135523613963039	2.0008650961031914e-07	1.0297308785810143e-05	2.2995436183733296e-09
PF3D7_1343100	5.7999999999999994e-05	7.939767282683095e-05	6.804813352432401e-07	3.502048411772911e-05	2.801505122264685e-09
PF3D7_0507200	0.00021099999999999998	0.00028884325804243665	2.0008650961031914e-07	1.0297308785810143e-05	3.2227977173479823e-09
PF3D7_1116100	0.004768	0.0065270362765229295	2.202383154764107e-10	1.1334407028959982e-08	3.2256946887249837e-09
PF3D7_0105300	0.000562	0.0007693360711841206	5.124670303241732e-08	2.637374835551126e-06	3.2299868360200675e-09
