# pyDL periodicity scores computed on 2019-06-27 13:39:18
# Calculation time:  1050.504427 seconds
# Input files:  /Users/joe/Python/timeSeries/pipeline_code/Pf/3D7/AA13/AA13_3D7_data.tsv
# Period(s) of oscillation tested:  42.0000, 45.0000
# Number of random curves generated from background:  10000
# Number of curve permutations:  1000
	period	reg_score	per_score	p_reg	p_reg_norm	p_per	p_per_norm	p_tot	dl_score
ENSRNA049713445	45.0			0.2101	0.33185910598641605	1.0	43.47826086956522	14.42865678201809	3003873587745688.0
ENSRNA049713473	45.0			0.2101	0.33185910598641605	1.0	43.47826086956522	14.42865678201809	3003873587745688.0
ENSRNA049713476	45.0			0.2101	0.33185910598641605	1.0	43.47826086956522	14.42865678201809	3003873587745688.0
PF3D7_0100100	45.0	0.6356891678486073	6.29816003074634	0.2178	0.34402148159848367	0.003	0.13043478260869565	0.044872367165019605	90357901.7658475
PF3D7_0100200	42.0	0.42506532506527345	1.8531520896468252	0.577	0.911388406254936	0.607	26.391304347826086	24.05272880855418	1.3915332484074336e+16
PF3D7_0100300	45.0	0.629079873145215	5.9428058766107315	0.2197	0.3470225872689939	0.003	0.13043478260869565	0.04526381573073833	92743315.76478134
PF3D7_0100400	45.0	0.26441438523442207	1.4852710887680667	0.9776	1.5441478439425051	0.356	15.478260869565217	23.900723149718775	1.3653164031589904e+16
PF3D7_0100500	42.0	0.6490833827758904	4.061061213154925	0.2159	0.34102037592797346	0.186	8.08695652173913	2.757816953156655	20974907395460.598
PF3D7_0100600	42.0	0.3639335681529143	2.449022674892104	0.7859	1.24135207708103	0.385	16.73913043478261	20.779154333747677	8971888953515267.0
PF3D7_0100700	45.0	1.032161756732659	3.2053493730472207	0.2101	0.33185910598641605	0.577	25.08695652173913	8.325334963224437	577044215945400.0
PF3D7_0100800	42.0	0.37493688294907634	1.7523928288959028	0.7484	1.1821197283209604	0.616	26.782608695652176	31.66025011503094	3.17353531689445e+16
PF3D7_0100900	45.0	0.3326006207410353	3.210689926789767	0.8738	1.3801927025746328	0.012	0.5217391304347826	0.7201005404737214	373405950142.8785
PF3D7_0101000	45.0	0.35616904372203895	2.3587727189289653	0.8088	1.277523298057179	0.151	6.565217391304348	8.387218174201479	590002833273563.9
PF3D7_0101100	45.0	0.4136818566911766	3.3040376223187167	0.6162	0.973305954825462	0.041	1.782608695652174	1.7350236586019108	5222961188064.193
PF3D7_0101200	45.0	0.4890912838913279	4.270275148418568	0.3845	0.607329015953246	0.011	0.47826086956521735	0.29046170328198717	24505846869.271526
PF3D7_0101300	45.0	0.52735371791194	4.82223978481813	0.2998	0.47354288422050234	0.005	0.2173913043478261	0.1029441052653266	1090976953.1065118
PF3D7_0101400	45.0	0.5747569343894257	5.3467137611397275	0.2424	0.38287790238508923	0.006	0.2608695652173913	0.09988119192654502	996461430.1665627
PF3D7_0101500	45.0	0.44143052682303435	3.800869272781999	0.5237	0.827199494550624	0.017	0.7391304347826088	0.611408322059157	228557494659.89716
PF3D7_0101600	42.0	0.3679281414248738	1.7884867921678846	0.7731	1.2211341020375928	0.616	26.782608695652176	32.705156819789444	3.4982351524831596e+16
PF3D7_0101700	45.0	0.38673201735972557	2.6066245053670034	0.7085	1.1190965092402465	0.103	4.478260869565217	5.011606106597625	125872586867125.31
PF3D7_0101800	42.0	0.3237301670122389	1.8992600327200255	0.8932	1.4108355709998421	0.57	24.782608695652172	34.96418588999609	4.2743539321916344e+16
PF3D7_0101900	42.0	0.28416276305832633	4.308557580329921	0.9588	1.514452693097457	0.001	0.043478260869565216	0.06584576926510682	285636365.15620625
PF3D7_0102000	45.0	0.5919612733532447	5.942635648248266	0.2321	0.3666087505923235	0.001	0.043478260869565216	0.015939510895318414	4051892.224105768
PF3D7_0102100	45.0	0.4295955720711535	4.587284887272809	0.5607	0.8856420786605591	0.001	0.043478260869565216	0.038506177333067784	57124374.070569366
PF3D7_0102200	45.0	0.8674996565549087	7.2396625079055426	0.2106	0.3326488706365503	0.001	0.043478260869565216	0.014462994375502186	3026970.9825596036
PF3D7_0102300	45.0	0.8789730500156002	6.195830796303539	0.2104	0.3323329647764966	0.009	0.3913043478260869	0.1300433340429769	2199232043.326946
PF3D7_0102400	45.0	0.6043079893219825	5.6595712375238545	0.2266	0.35792133944084664	0.001	0.043478260869565216	0.015561797366993332	3770616.2865734724
PF3D7_0102500	45.0	0.5600779388033958	5.8281868100876	0.2551	0.40293792449849947	0.001	0.043478260869565216	0.01751904019558693	5379764.727509479
PF3D7_0102600	45.0	0.5045335327892804	3.482135836280887	0.3462	0.5468330437529616	0.074	3.217391304347826	1.759375879900833	5445996971664.979
PF3D7_0102700	45.0	0.7826708819184336	6.780267660355956	0.2112	0.3335965882167114	0.001	0.043478260869565216	0.014504199487683105	3052916.1509939386
PF3D7_0102800	45.0	0.5289139749880238	4.68057649803076	0.2978	0.4703838256199653	0.008	0.34782608695652173	0.1636117654330314	4379748223.271462
PF3D7_0102900	45.0	0.26844122269203546	1.850077595166512	0.9736	1.5378297267414311	0.181	7.869565217391305	12.102051327834742	1772462935583045.0
PF3D7_0103000	45.0	0.594191446257643	5.03974585957759	0.2312	0.3651871742220818	0.005	0.2173913043478261	0.07938851613523518	500363359.44398105
PF3D7_0103100	45.0	0.5835406558613009	4.808227263797499	0.2365	0.37355867951350497	0.006	0.2608695652173913	0.09745009030787086	925456972.0945625
PF3D7_0103200	45.0	0.44756732902493584	3.445737882538367	0.5023	0.7933975675248776	0.043	1.8695652173913042	1.4833084958073797	3263587543030.1807
PF3D7_0103300	45.0	0.19470539483547988	1.2794114758780022	0.9985	1.5771600063181173	0.412	17.913043478260867	28.25173576535062	2.2549430763662452e+16
PF3D7_0103400	45.0	0.4214611354115808	4.009563473618233	0.5887	0.9298688990680777	0.006	0.2608695652173913	0.24257449540906373	14273888301.352177
PF3D7_0103500	42.0	0.25803177051053794	4.421440427781454	0.9817	1.550623914073606	0.001	0.043478260869565216	0.06741843104667852	306595506.8746889
PF3D7_0103600	45.0	0.4244918240427093	3.570215440866586	0.5782	0.9132838414152583	0.029	1.2608695652173914	1.1515318000453258	1526963306568.7207
PF3D7_0103700	45.0	0.2518844916379601	1.997935936201681	0.9865	1.558205654714895	0.118	5.130434782608695	7.994272489406852	510901334913563.5
PF3D7_0103800	45.0	0.2110024236767133	1.5190686172197416	0.997	1.5747907123677145	0.304	13.217391304347826	20.81462506781675	9017911205970460.0
PF3D7_0103900	45.0	0.5810734719051984	4.410106307509033	0.239	0.3775075027641763	0.023	1.0	0.3775075027641763	53799748318.30997
PF3D7_0104000	42.0	0.40572023934091106	4.595705690242875	0.6447	1.0183225398831148	0.003	0.13043478260869565	0.1328246791151889	2343485501.995816
