# pyJTK periodicity scores computed on 2019-06-27 13:39:18
# Calculation time: 0.000627 seconds
# Input file: /Users/joe/Python/timeSeries/pipeline_code/Pf/3D7/AA13/AA13_3D7_data.tsv
# Period(s) of oscillation tested: 42.0000, 45.0000
	p-value	amp	period	lag	tau
PF3D7_1400100	0.7477360800107653	7.676054080499998	45.0	37.75	58.0
PF3D7_1400200	0.0673233052920863	16.679733089625	45.0	31.0	72.0
PF3D7_1400300	1.0	7.541692981875	43.55172413793103	14.862068965517242	-40.0
PF3D7_1400400	1.0	0.8467889595000001	43.55172413793103	17.086206896551722	-34.0
PF3D7_1400500	0.14436352042795028	1.499275629	45.0	34.0	68.0
PF3D7_1400600	0.00429872531012629	7.81323896175	45.0	34.0	84.0
PF3D7_1400700	0.14436352042795028	1.121322529875	45.0	36.25	68.0
PF3D7_1400800	1.0	0.41767570762499995	43.55172413793103	12.637931034482758	-40.0
PF3D7_1400900	1.0	1.020611862	43.55172413793103	25.96551724137931	-24.0
PF3D7_1401000	1.0	1.3817843932499994	43.55172413793103	28.413793103448278	-16.0
PF3D7_1401050	0.044798601536193	5.6202724931249985	45.0	10.0	-74.0
PF3D7_1401100	0.01173953331600746	487.99122180750004	45.0	10.75	-80.0
PF3D7_1401200	0.20637825988380926	267.0989154	45.0	37.75	66.0
PF3D7_1401300	0.20637825988380926	17.964028949999996	45.0	28.0	66.0
PF3D7_1401400	1.0	20417.824971	43.55172413793103	16.362068965517242	-54.0
PF3D7_1401500	0.01873131147958312	92.88366691875	45.0	26.5	78.0
PF3D7_1401600	0.0007759085868042342	169.0915131375	43.5	19.75	-90.0
PF3D7_1401700	1.0	0.7924854131249999	43.55172413793103	25.362068965517242	-24.0
PF3D7_1401800	0.29066368166780493	96.08625373874999	45.0	37.75	64.0
PF3D7_1401900	0.002502334522129289	6.70103589825	45.0	3.25	-86.0
PF3D7_1402000	0.29066368166780493	22.3340338605	45.0	36.25	64.0
PF3D7_1402100	0.7477360800107653	6.6875900403749995	45.0	33.25	58.0
PF3D7_1402200	0.01873131147958312	112.4412099525	45.0	40.0	78.0
PF3D7_1402300	1.0	49.12100479500002	43.55172413793103	28.96551724137931	-12.0
PF3D7_1402400	0.9988119448305383	18.102058275	42.0	18.25	-56.0
PF3D7_1402500	1.0	394.19172063749994	43.55172413793103	25.96551724137931	-14.0
PF3D7_1402600	0.4036055660878795	7.8633486285000025	45.0	25.0	62.0
PF3D7_1402700	0.01873131147958312	72.62068008749995	43.0	21.0	-78.0
PF3D7_1402800	0.0071915870237887845	73.32614817000002	42.0	21.25	-82.0
