# pyDL periodicity scores computed on 2019-07-02 13:51:03
# Calculation time:  2555.641056 seconds
# Input files:  /Users/joe/Python/timeSeries/pipeline_code/Pf/3D7/AA13/AA13_3D7_data.tsv
# Period(s) of oscillation tested:  42.0000, 45.0000, 48.0000, 51.0000, 54.0000
# Number of random curves generated from background:  10000
# Number of curve permutations:  1000
	period	reg_score	per_score	p_reg	p_reg_norm	p_per	p_per_norm	p_tot	dl_score
ENSRNA049713445	54.0			0.2159	0.3372383630115589	1.0	500.0	168.61918150577947	4.794294955068767e+18
ENSRNA049713473	54.0			0.2159	0.3372383630115589	1.0	500.0	168.61918150577947	4.794294955068767e+18
ENSRNA049713476	54.0			0.2159	0.3372383630115589	1.0	500.0	168.61918150577947	4.794294955068767e+18
PF3D7_0100100	54.0	0.6356891678486073	7.600053475814131	0.2275	0.35535770071852546	0.001	0.5	0.17767885035926273	5609347983.447968
PF3D7_0100200	54.0	0.42506532506527345	3.2470039407387943	0.5874	0.9175257731958764	0.191	95.5	87.6237113402062	6.727681883927405e+17
PF3D7_0100300	54.0	0.629079873145215	7.472228599495236	0.2288	0.35738831615120276	0.001	0.5	0.17869415807560138	5706058256.368865
PF3D7_0100400	54.0	0.26441438523442207	4.211060984387887	0.9788	1.528897219618869	0.001	0.5	0.7644486098094345	446731738642.97
PF3D7_0100500	42.0	0.6490833827758904	4.061061213154925	0.2245	0.3506716651046548	0.174	86.99999999999999	30.508434864104963	2.839640202964051e+16
PF3D7_0100600	51.0	0.3639335681529143	1.8081519283839136	0.7851	1.2263355201499533	0.34	170.0	208.47703842549205	9.060975906150431e+18
PF3D7_0100700	54.0	1.032161756732659	4.151396982490899	0.2159	0.3372383630115589	0.414	206.99999999999997	69.80834114339268	3.4019331294783046e+17
PF3D7_0100800	54.0	0.37493688294907634	1.9160206762433953	0.7478	1.168072477350828	0.617	308.5	360.3503592627304	4.679238659194492e+19
PF3D7_0100900	48.0	0.3326006207410353	2.9824389971747465	0.8818	1.3773820681037177	0.001	0.5	0.6886910340518588	326644427159.8757
PF3D7_0101000	51.0	0.35616904372203895	3.339580788680597	0.8112	1.267104029990628	0.01	5.0	6.33552014995314	254300443401937.5
PF3D7_0101100	51.0	0.4136818566911766	4.454853554373083	0.6251	0.9764136207435177	0.001	0.5	0.48820681037175884	116362674072.95462
PF3D7_0101200	54.0	0.4890912838913279	5.954265869206005	0.3991	0.6233989378319276	0.001	0.5	0.3116994689159638	30283846877.614082
PF3D7_0101300	54.0	0.52735371791194	6.053968562451412	0.313	0.48890971571383945	0.001	0.5	0.24445485785691973	14608296340.513372
PF3D7_0101400	54.0	0.5747569343894257	7.307083164893262	0.2567	0.40096844736019993	0.001	0.5	0.20048422368009997	8058329992.939549
PF3D7_0101500	54.0	0.44143052682303435	6.0770675258803735	0.5362	0.837550765385817	0.001	0.5	0.4187753826929085	73442218752.40097
PF3D7_0101600	54.0	0.3679281414248738	2.705641563261989	0.7717	1.2054045610746642	0.278	139.0	167.55123398937832	4.703738732501954e+18
PF3D7_0101700	48.0	0.38673201735972557	2.5068188936933713	0.7083	1.1063730084348642	0.056	28.0	30.9784442361762	2.9728922260438624e+16
PF3D7_0101800	54.0	0.3237301670122389	2.0804842487835784	0.9011	1.407528897219619	0.552	276.0	388.4779756326148	5.86272367218367e+19
PF3D7_0101900	45.0	0.28416276305832633	3.38789049756417	0.9612	1.5014058106841612	0.001	0.5	0.7507029053420806	423064144708.40564
PF3D7_0102000	51.0	0.5919612733532447	5.95429088015528	0.2442	0.3814432989690722	0.001	0.5	0.1907216494845361	6937527288.85271
PF3D7_0102100	48.0	0.4295955720711535	3.972463466061094	0.5731	0.8951890034364263	0.001	0.5	0.44759450171821313	89671928129.1675
PF3D7_0102200	51.0	0.8674996565549087	7.034366138224267	0.2169	0.33880037488284914	0.001	0.5	0.16940018744142457	4861241315.611994
PF3D7_0102300	48.0	0.8789730500156002	6.230038536601598	0.2168	0.3386441736957201	0.003	1.5	0.5079662605435802	131071594095.66595
PF3D7_0102400	48.0	0.6043079893219825	5.066450683651545	0.237	0.37019681349578254	0.001	0.5	0.18509840674789127	6341805930.0744915
PF3D7_0102500	48.0	0.5600779388033958	4.986821158445806	0.2725	0.4256482349265855	0.001	0.5	0.21282411746329274	9639769682.34141
PF3D7_0102600	51.0	0.5045335327892804	4.636020300213879	0.3584	0.5598250546704155	0.001	0.5	0.2799125273352078	21931590559.947094
PF3D7_0102700	48.0	0.7826708819184336	6.599734791060224	0.2182	0.3408309903155264	0.001	0.5	0.1704154951577632	4949173946.873299
PF3D7_0102800	48.0	0.5289139749880238	4.602402402260943	0.31	0.48422368009996875	0.001	0.5	0.24211184004998437	14192263781.199697
PF3D7_0102900	51.0	0.26844122269203546	2.7876936140233917	0.9756	1.5238987816307406	0.002	1.0	1.5238987816307406	3538905671575.1377
PF3D7_0103000	48.0	0.594191446257643	4.898162652114741	0.243	0.3795688847235239	0.001	0.5	0.18978444236176195	6835756371.894
PF3D7_0103100	48.0	0.5835406558613009	4.504201634392623	0.2489	0.3887847547641362	0.004	2.0	0.7775695095282724	470132905289.04407
PF3D7_0103200	51.0	0.44756732902493584	4.073666578239854	0.5183	0.8095907528897219	0.006	3.0	2.4287722586691656	14327192368229.021
PF3D7_0103300	48.0	0.19470539483547988	1.609363187877114	0.9994	1.5610746641674476	0.003	1.5	2.3416119962511712	12839413160931.902
PF3D7_0103400	48.0	0.4214611354115808	3.837617289084529	0.6007	0.9383005310840362	0.001	0.5	0.4691502655420181	103261428781.37032
PF3D7_0103500	45.0	0.25803177051053794	3.4660588420373397	0.9835	1.5362386754139332	0.001	0.5	0.7681193377069666	453198034359.831
PF3D7_0103600	48.0	0.4244918240427093	3.8914209046302357	0.5894	0.9206497969384568	0.001	0.5	0.4603248984692284	97542896505.25323
PF3D7_0103700	45.0	0.2518844916379601	1.997935936201681	0.9868	1.541393314589191	0.11	55.0	84.7766323024055	6.092964734085828e+17
PF3D7_0103800	48.0	0.2110024236767133	1.0640942664176918	0.9982	1.5592002499218993	0.202	101.0	157.47922524211182	3.905440154232411e+18
PF3D7_0103900	48.0	0.5810734719051984	4.5682183421416305	0.2505	0.39128397375820057	0.005	2.5	0.9782099343955014	936050141568.9507
PF3D7_0104000	45.0	0.40572023934091106	3.7252697981225	0.6508	1.0165573258356764	0.006	3.0	3.049671977507029	28363502295318.44
PF3D7_0104100	51.0	0.6253271720112713	5.57211722192291	0.2301	0.35941893158388005	0.003	1.5	0.5391283973758201	156704034746.95728
PF3D7_0104200	48.0	0.3317463611180712	3.5672191724219573	0.8832	1.379568884723524	0.001	0.5	0.689784442361762	328202700449.6974
PF3D7_0104300	48.0	0.34042292771443305	3.2305016401382742	0.8595	1.3425492033739457	0.001	0.5	0.6712746016869728	302484151378.00793
PF3D7_0104400	48.0	0.37600987765404237	3.6281197795151425	0.7446	1.1630740393626993	0.001	0.5	0.5815370196813496	196668206574.78473
PF3D7_0104500	54.0	0.3551824130628803	2.9880018388183425	0.8148	1.2727272727272727	0.179	89.5	113.9090909090909	1.478003374683412e+18
PF3D7_0104600	54.0	0.24685024553511764	2.5480586581947233	0.9893	1.5452983442674164	0.243	121.5	187.7537488284911	6.61859845372277e+18
PF3D7_0104700	48.0	0.4446613431981418	3.29319647874094	0.5262	0.8219306466729147	0.012	6.0	4.931583880037488	119938863113715.2
PF3D7_0104800	48.0	0.47614376041803097	4.396094995003254	0.4309	0.6730709153389566	0.001	0.5	0.3365354576694783	38114934842.313034
