# pyJTK periodicity scores computed on 2019-07-02 13:51:03
# Calculation time: 0.000600 seconds
# Input file: /Users/joe/Python/timeSeries/pipeline_code/Pf/3D7/AA13/AA13_3D7_data.tsv
# Period(s) of oscillation tested: 42.0000, 45.0000, 48.0000, 51.0000, 54.0000
	p-value	amp	period	lag	tau
PF3D7_1400100	0.05167258339195343	7.676054080499998	54.0	40.0	78.0
PF3D7_1400200	0.03238491949243437	16.679733089625	54.0	32.5	80.0
PF3D7_1400300	0.8018308459801515	7.541692981875	54.0	12.25	-64.0
PF3D7_1400400	1.0	0.8467889595000001	48.375	16.375	-46.0
PF3D7_1400500	0.03238491949243437	1.499275629	54.0	34.0	80.0
PF3D7_1400600	0.001133882835271724	7.81323896175	52.5	34.0	92.0
PF3D7_1400700	0.0021404374808392666	1.121322529875	54.0	37.0	90.0
PF3D7_1400800	1.0	0.41767570762499995	48.375	13.44375	-54.0
PF3D7_1400900	1.0	1.020611862	48.375	32.45625	-24.0
PF3D7_1401000	1.0	1.3817843932499994	48.375	28.7875	-30.0
PF3D7_1401050	0.0069029917851842456	5.6202724931249985	54.0	7.0	-86.0
PF3D7_1401100	0.00028304363001783637	487.99122180750004	54.0	7.0	-96.0
PF3D7_1401200	0.0021404374808392666	267.0989154	54.0	39.25	90.0
PF3D7_1401300	0.5693193376105082	17.964028949999996	49.2	28.3	66.0
PF3D7_1401400	0.05167258339195343	20417.824971	54.0	12.25	-78.0
PF3D7_1401500	0.05167258339195343	92.88366691875	45.0	26.5	78.0
PF3D7_1401600	0.0021404374808392666	169.0915131375	43.5	19.75	-90.0
PF3D7_1401700	1.0	0.7924854131249999	48.375	25.15	-26.0
PF3D7_1401800	0.003904493324136181	96.08625373874999	54.0	39.25	88.0
PF3D7_1401900	0.003904493324136181	6.70103589825	51.0	13.0	-88.0
PF3D7_1402000	0.0069029917851842456	22.3340338605	54.0	37.0	86.0
PF3D7_1402100	0.12358234906535999	6.6875900403749995	54.0	34.0	74.0
PF3D7_1402200	0.0005784543755773914	112.4412099525	54.0	44.5	94.0
PF3D7_1402300	0.12358234906535999	49.12100479500002	54.0	37.0	74.0
PF3D7_1402400	1.0	18.102058275	48.375	17.89375	-56.0
PF3D7_1402500	1.0	394.19172063749994	48.375	32.45625	-14.0
