,AS1501_3D7,AS1502_3D7,AS1503_3D7,AS1504_3D7,AS1505_3D7,AS1506_3D7,AS1507_3D7,AS1508_3D7,AS1509_3D7,AS1510_3D7,AS1511_3D7,AS1512_3D7,AS1513_3D7,AS1514_3D7,AS1515_3D7,AS1516_3D7
PF3D7_1400100,2.957436449,2.81547863,3.380807789,3.554696594,3.768467456,4.612480131,5.236518309,4.941069186,5.578222051,5.552995243,6.211296871,7.122790557,13.00586695,11.71035614,11.36059758,13.26545459
PF3D7_1400200,5.216505032,4.203874961,8.11139605,8.516556852,6.868301189,6.09595347,8.32544798,9.539275402,14.07545893,23.96953902,32.53545091,47.23877363,23.82871206,10.85821032,6.674049402,5.178830841
PF3D7_1400300,5.466341874,11.82722839,16.19223908,12.20704793,12.21775174,8.353055776,4.584606209,5.106322967,3.512816219,3.803304433,4.572753016,7.001031249,3.95966481,3.338987843,1.616743343,1.061124368
PF3D7_1400400,0.860031771,0.994999991,0.895115834,0.975994741,1.328409397,1.352652397,1.068800528,0.561888465,0.643641006,0.41951808,0.662913899,0.512043013,0.579553808,0.445839626,0.527354892,0.382097942
PF3D7_1400500,0.940470036,1.112790431,1.144093432,0.93293615,1.375620025,1.165402869,1.250015842,1.613684912,1.328929371,2.252071762,3.514743495,4.390392331,2.957542627,1.329651118,0.815504363,0.759700615
PF3D7_1400600,1.145384703,2.17047892,2.642607111,2.827202158,3.965374247,3.395843645,2.94501015,5.447535813,5.502430991,10.82744244,15.62771479,22.10411766,13.27220216,6.510954661,4.897458265,3.190442305
PF3D7_1400700,0.444934804,0.142988944,0.588044999,0.34524984,0.318170618,0.51836339,0.650518449,0.71775624,0.683047598,0.771684957,0.846806114,1.913194726,1.465837454,1.588948162,1.684107649,0.678891397
PF3D7_1400800,0.458502742,0.33153588,0.749896501,0.760475398,0.531154231,1.057657542,1.407746548,0.732247218,0.31674447,0.626233297,0.392682961,0.204736441,0.164785857,0.047537474,0,0.037037311
PF3D7_1400900,0.627390083,0.982920405,0.388680822,0.775880712,0.538372154,1.20603396,0.611518542,0.15181319,0.541769768,0.51006155,1.074651788,1.089472813,1.926008793,1.02992161,0.85489666,0.633497897
PF3D7_1401000,1.698841978,4.02643868,3.087236244,3.789901658,4.069691452,3.760490777,2.27681457,1.644314296,2.825333247,3.03850952,2.344113289,3.441743658,3.85842338,3.57163861,3.086510018,3.430761336
PF3D7_1401050,6.399054972,10.74220261,9.084124347,5.136928074,4.925450108,5.124916634,2.350693509,1.820750675,1.554991103,1.348954816,0.716038267,1.292285546,1.300149471,1.666966741,1.708847637,1.090961864
PF3D7_1401100,876.1407064,1181.39119,770.268574,383.2630384,247.9151897,172.2446893,95.56155595,64.46178986,52.13883816,41.67627053,40.29835214,44.93514989,57.37606208,51.04637627,88.21909262,84.97215653
PF3D7_1401200,20.18380976,25.54052335,30.41801447,25.85465315,29.08631746,32.09001921,40.33541686,49.21153465,83.61018109,117.5043229,139.9818439,200.6638599,267.9862639,297.7481896,354.6982371,352.4020505
PF3D7_1401300,12.4187499,18.4473838,18.96631212,18.28239938,17.36647728,20.96287797,27.43705659,27.69085404,55.81752572,59.23170456,43.17424894,26.47175954,19.2032016,19.36129118,29.91657354,25.81000516
PF3D7_1401400,28993.84416,24212.95741,20896.30155,19643.26779,16799.65257,15024.26754,13608.43636,11434.17591,8721.705128,6940.574698,5735.093202,4174.725796,3138.459166,2277.290187,1704.706156,1430.315461
PF3D7_1401500,26.15439398,62.43990751,48.99955707,35.18017409,41.31862331,50.36496316,87.78520347,108.9519428,164.7067008,166.0239435,128.807361,90.41084602,48.18664493,38.23754277,57.08530538,42.8194892
PF3D7_1401600,94.06485273,134.8048422,169.7270966,212.9665352,196.2627819,193.6960581,210.0626831,195.3810405,256.1207465,223.7966928,159.1479279,111.4660982,84.54451898,88.71743162,132.2683381,176.7742155
