,AS1901_FUP,AS1902_FUP,AS1903_FUP,AS1904_FUP,AS1905_FUP,AS1906_FUP,AS1907_FUP,AS1908_FUP,AS1909_FUP,AS1910_FUP,AS1911_FUP,AS1912_FUP,AS1913_FUP,AS1914_FUP,AS1915_FUP,AS1916_FUP
PF3D7_1400100,14.68264034,13.93459619,10.62643947,12.46719062,10.07988533,10.3530786,10.2437216,12.2918997,16.56670743,16.3798728,24.83446714,32.35365659,29.79855861,41.31271576,42.95193776,47.47608587
PF3D7_1400200,53.42387481,88.28005072,103.5141182,66.45128291,79.63089959,54.09906259,44.73831511,21.72509674,12.0372716,8.850561103,6.989979356,5.990659093,4.630660282,3.512844257,4.444884931,2.743835611
PF3D7_1400300,9.514724522,10.10132559,9.486227527,6.497994018,5.397351646,3.15158613,4.760782803,2.961806244,1.077061747,1.075141047,1.370216147,0.557030064,0.671955077,0.434669521,0.231861745,0.352392681
PF3D7_1400400,4.344963698,3.416917829,3.591998633,2.133391179,2.464737357,1.812317428,1.56687846,1.001873315,0.546497307,0.52370184,0.546262206,0.439654564,0.113649207,0.088219909,0.094116661,0.102173026
PF3D7_1400500,1.919735595,1.698409156,1.428347692,0.578411405,2.041865752,0.847838465,1.038441018,0.746984957,0.892535727,0.694161655,0.345576572,0.468287529,0.225961364,0.438504841,0.654941234,0.50786004
PF3D7_1400600,1.108542973,4.079874169,2.50737122,3.740812893,1.886506401,1.272909652,1.798929753,1.456981529,2.07949014,1.603362519,1.505189884,0.634563536,0.417537303,0.567196479,0.518664642,0.32845296
PF3D7_1400700,1.94258959,0.392829329,0.330366133,0.222970383,0.629691025,0.490246731,1.050803411,0.287953385,0,0.050173249,0.456738716,0.180519002,0.130657932,0,0,0.058732113
PF3D7_1400800,238.0744655,112.94153,73.22872772,30.81211545,30.07618869,17.27771761,9.88484471,8.723988353,6.867542767,5.956213571,8.154298929,15.77109672,24.80110113,177.6871413,427.1462386,660.7307178
PF3D7_1400900,0.586969516,0.415438211,1.048140033,0.235803211,0.332966118,0.259231185,0.158754472,0,0.332223183,0.583670097,0.543404065,1.221814944,1.1054225,1.179861945,0.629362851,0.372674274
PF3D7_1401000,3.178782965,4.124707951,4.099543375,1.277012193,2.404274824,2.57379534,0.716456871,3.206753604,2.698774038,3.352485266,8.174584965,10.02865111,9.187628189,6.583267477,4.028070855,3.307685842
PF3D7_1401050,2.707591685,5.621283402,3.760472905,3.915794027,2.355072297,1.594386494,1.952820499,1.061350308,0.642186153,0.913774745,0.779840937,0.915854371,0.566569792,0.923576567,0.809361639,0.878642812
