"ORF","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PF3D7_0204900","ubiE/COQ5 methyltransferase, putative",2.95951431067008,2.07281808352515,5.9310067322248,1.00681481092526e-07,0.000464141627836545,7.02980887958573
"PF3D7_0609500","conserved Plasmodium protein, unknown function",-2.69650794293544,0.241800191354882,-5.14277946270812,2.31201116606275e-06,0.00532918573777463,4.35583752014258
"PF3D7_1221500","conserved Plasmodium protein, unknown function",3.17391938175216,2.13784689360974,4.9067115091783,5.71918958914956e-06,0.00878848800199316,3.58192780878683
"PF3D7_1429000","protein archease, putative",-2.52536565932111,2.7431933113409,-4.78073623798047,9.20530151556494e-06,0.0106091099966886,3.17527804265422
"PF3D7_1244400","conserved Plasmodium protein, unknown function",0.622044773911108,7.01419311638868,4.41013444073202,3.61273864647265e-05,0.0333094503204778,1.48324114881467
"PF3D7_1342300","tetratricopeptide repeat family protein, putative",-3.50987060281379,0.933777574458381,-4.34399646466078,4.58556454419618e-05,0.035232420914574,1.80469198049713
"PF3D7_0825800","conserved Plasmodium protein, unknown function",-2.09159944155555,-0.0792831787307284,-4.15866797785008,8.85871100002837e-05,0.0583409395859011,1.24378736032228
"PF3D7_1346900","conserved Plasmodium protein, unknown function",3.4518514782865,0.573750737842444,4.05376347227495,0.000127757083914205,0.0736200196055606,0.932361512724381
"PF3D7_1240600","erythrocyte membrane protein 1, PfEMP1 (VAR)",-3.2316659061766,6.1594089424907,-3.98647074671726,0.000161158556728187,0.0757614643981574,0.735019011080898
"PF3D7_0529100","conserved Plasmodium protein, unknown function",-2.61301367933102,2.15206794119026,-3.98077639614827,0.000164341571362597,0.0757614643981574,0.718408893122028
"PF3D7_1242300","conserved Plasmodium membrane protein, unknown function",-3.02894534924267,1.28668499378931,-3.84944576079637,0.000256928954766515,0.104298440710178,0.339287417990577
"PF3D7_1368800","DNA repair endonuclease, putative (ERCC4)",1.91933961157628,3.88115105136875,3.80001087282552,0.000303342110865164,0.104298440710178,0.219417727844591
"PF3D7_0604700","glyoxalase I (GILP)",1.96984982314212,3.37540581684877,3.7894562639296,0.000314241433622135,0.104298440710178,0.168703304493331
"PF3D7_1117000","conserved Plasmodium membrane protein, unknown function",2.26840370343252,0.908578444165065,3.78708468872618,0.000316741468534165,0.104298440710178,0.161993788132487
"PF3D7_1218700","conserved Plasmodium protein, unknown function",2.65622363043902,-0.7226521746118,3.75142447838372,0.000356703370477111,0.109626835859966,0.0614236517997302
"PF3D7_1301500","Plasmodium exported protein (PHISTa), unknown function",2.26493784913145,1.38121932940637,3.63618805957027,0.00052139383787378,0.143538433845494,-0.259421975168594
"PF3D7_1312300","mitochondrial ribosomal protein S35 precursor, putative",2.43810277801435,0.467503338356546,3.63156654810682,0.000529317435005076,0.143538433845494,-0.272154753207419
"PF3D7_1319700","protein phosphatase PP2A regulatory subunit A, putative",2.31300688315035,1.46843956937356,3.60952846847639,0.000568703624946972,0.145651317278086,-0.332726940663261
"PF3D7_0618800","conserved Plasmodium protein, unknown function",3.7792977353484,1.89943363754957,3.54641693705961,0.000697494039553568,0.162803498381461,-0.504848750127285
"PF3D7_0826200","alpha/beta hydrolase, putative",2.73185048696681,0.207286517322202,3.53723026518801,0.00071840518511891,0.162803498381461,-0.529735595330377
"PF3D7_1406500","WD repeat-containing protein 65, putative (WDR65)",2.4895830383488,0.26999697016143,3.515939860207,0.000769176950043469,0.162803498381461,-0.587246132395691
"PF3D7_1023600","conserved Plasmodium protein, unknown function",-2.01271125323543,0.485652220196616,-3.51086961140515,0.000781760104000555,0.162803498381461,-0.600907870576369
"PF3D7_0603700","phenylalanine--tRNA ligase (mFRS)",2.44147266229607,0.926062732359898,3.49368989580641,0.00082586222470977,0.162803498381461,-0.64710007503725
"PF3D7_1241500","conserved Plasmodium protein, unknown function",3.12956506653733,2.97613766223504,3.48555172002667,0.000847567019773334,0.162803498381461,-0.668928501377628
"PF3D7_1039100","DnaJ protein, putative, pseudogene",2.22709132689313,0.571551272061868,3.46020057008067,0.000918693914723934,0.164167352485805,-0.736705524214563
"PF3D7_1415500","conserved Plasmodium membrane protein, unknown function",-2.44293913020741,0.692522381263054,-3.44283903822392,0.000970624070745035,0.164167352485805,-0.782928399809964
"PF3D7_1026300","conserved Plasmodium protein, unknown function",2.36288462946831,3.00143199995959,3.42893517612159,0.0010142010843938,0.164167352485805,-0.819831424004179
"PF3D7_0728300","conserved Plasmodium protein, unknown function",1.9499687684073,1.17589678732784,3.41313884454514,0.00106595173559423,0.164167352485805,-0.861633424839948
"PF3D7_0902400","serine/threonine protein kinase, FIKK family (FIKK9.5)",-3.1530053595465,0.312365639281011,-3.41288480813425,0.00106680402155716,0.164167352485805,-0.860831497410485
"PF3D7_1333100","conserved Plasmodium protein, unknown function",1.77558419561033,0.693677644893535,3.41242920222217,0.00106833418103561,0.164167352485805,-0.863508254388904
"PF3D7_0918600","ATP-dependent DNA helicase Q1 (RECQ1)",-1.65732031200029,3.46798605585179,-3.39007812204547,0.00114599811158529,0.170421009497038,-0.922421188537708
"PF3D7_1402100","conserved Plasmodium protein, unknown function",-1.52348000736204,3.92843267597124,-3.31509894784288,0.00144725160092819,0.208494683758717,-1.11808815957528
"PF3D7_0812800","conserved Plasmodium protein, unknown function",2.25072452238192,-0.216596744031159,3.2990225438939,0.00152089436439934,0.208535967975475,-1.15964288835549
"PF3D7_0502100","HCNGP-like protein",-1.69312829901431,1.38309565967206,-3.29539133345063,0.00153800930827899,0.208535967975475,-1.16900926217432
"PF3D7_0716600","cysteine desulfurase (SufS)",1.75077104912972,1.97510901222125,3.27839868645178,0.00162053501400526,0.213447611844693,-1.21274349623716
"PF3D7_0611900","lsm12, putative",2.25643729381275,3.39526132886691,3.23493351275664,0.00185095749730401,0.237025390626986,-1.32388025882345
"PF3D7_1336200","conserved Plasmodium protein, unknown function",2.27245239276555,3.22233961922146,3.16762620585029,0.00226921303777129,0.282731678489883,-1.4938801432614
"PF3D7_0919600","dolichyl-diphosphooligosaccharide--protein glycosyltransferase, putative",2.97372364039078,1.73094751698129,3.11323280785481,0.00267018139728587,0.323935164249681,-1.62936786475335
"PF3D7_0102800","conserved Plasmodium protein, unknown function",2.05996472018491,1.15841263368714,3.09854060064705,0.00278932057570785,0.329711996256749,-1.66566991638588
"PF3D7_0107900","conserved Plasmodium protein, unknown function",-1.87297955877263,3.52345923257395,-3.05847778076665,0.00313985355857354,0.3618681226256,-1.76401519960587
"PF3D7_1463300","DNA polymerase alpha subunit, putative",1.94791682352348,1.77954847595528,3.00006582708297,0.00372493433469165,0.416716664089473,-1.90569780309153
"PF3D7_0616700","ras GTPAse, putative",1.48317700242527,3.62021073886028,2.99351186386497,0.00379655095265897,0.416716664089473,-1.92146740338536
"PF3D7_1310100","conserved Plasmodium protein, unknown function",2.21426430814818,1.67166929483315,2.97077971200616,0.00405496974410548,0.424956576802821,-1.9759625533075
"PF3D7_0513700","secreted ookinete protein, putative (PSOP12)",1.50650083593159,1.94340697736029,2.95360571965923,0.00426091351381664,0.424956576802821,-2.01692539874162
"PF3D7_0928000.2","cytochrome c oxidase subunit 6B, putative (COX6B)",-3.21748222167264,1.57238625646031,-2.95111788675828,0.00429153745067814,0.424956576802821,-2.0347714381129
"PF3D7_1032000","ribosome maturation factor RimM, putative (RimM)",0.615804683391736,4.98351856843516,2.94993210842914,0.00430620537735853,0.424956576802821,-2.41356317788727
"PF3D7_0904200","conserved Plasmodium protein, unknown function",1.90053212100321,-0.0312668050152228,2.94781340523367,0.00433252909104829,0.424956576802821,-2.03070051486815
"PF3D7_0631600","exported protein family 4 (EPF4)",6.18875551723859,2.53970946364888,2.93836837935458,0.00445170057146961,0.427548742384894,-2.07760981041439
"PF3D7_0419000","conserved Plasmodium protein, unknown function",1.73698672735552,0.170486832977883,2.90316404510327,0.00492311314747617,0.463174522650309,-2.13619398226437
"PF3D7_0408400","conserved Plasmodium protein, unknown function",1.81223202206114,1.08975310622661,2.88104184360826,0.00524250622385808,0.479710062938992,-2.18800651323677
"PF3D7_1122000","conserved Plasmodium protein, unknown function",1.81133524157739,0.964840781894944,2.87478044178672,0.00533631713826028,0.479710062938992,-2.20261617205575
"PF3D7_1004700","conserved Plasmodium protein, unknown function",1.84321585297559,0.889823636367171,2.86163299002517,0.00553835605747341,0.479710062938992,-2.23321341157187
"PF3D7_0827200","conserved Plasmodium protein, unknown function",1.49903917702326,0.0214025802154671,2.84836930520776,0.00574930387007613,0.479710062938992,-2.26397160797753
"PF3D7_1026200","conserved Plasmodium protein, unknown function",2.13264526662263,1.75722504310433,2.83846915261749,0.0059115529686475,0.479710062938992,-2.28685790086807
"PF3D7_0302700","CDGSH iron-sulfur domain-containing protein, putative",2.36883326742137,1.69762947633804,2.83327330041214,0.00599838177955877,0.479710062938992,-2.29884454035534
"PF3D7_0523300","conserved Plasmodium protein, unknown function",-1.52971432388421,2.22087267429727,-2.83279008330259,0.00600651626099857,0.479710062938992,-2.31167626781772
"PF3D7_0107400","conserved Plasmodium protein, unknown function",-1.98649179443823,0.98334333571716,-2.83116520699737,0.00603394394718644,0.479710062938992,-2.30370298395566
"PF3D7_1335800","conserved Plasmodium protein, unknown function",1.99376548545493,3.1629978221377,2.83107926999512,0.00603539775498082,0.479710062938992,-2.30390098030056
"PF3D7_1210700","conserved Plasmodium protein, unknown function",-2.19278098042046,0.955630104512826,-2.82447509559063,0.00614809021027591,0.480384675752067,-2.31910286782593
"PF3D7_1344000","aminomethyltransferase, putative",1.45613773130832,2.93687335756213,2.81729426969257,0.00627281611894736,0.481961371805789,-2.34575228625214
"PF3D7_0928600","conserved Plasmodium protein, unknown function",-2.47986849043803,1.32108896246743,-2.80590984616293,0.00647533005110744,0.48936510714107,-2.36168974722407
"PF3D7_0214200","mitochondrial ribosomal protein L13 precursor, putative",-2.9276692736747,3.57683398804313,-2.79095645109893,0.00675045787704766,0.490689673400232,-2.40134852941789
