"ORF","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PF3D7_1473700","nucleoporin NUP116/NSP116, putative (NUP116)",1.57096333921253,7.81166305875496,7.60225006170404,9.31905339763042e-11,4.22525881048563e-07,14.2076872854944
"PF3D7_1467300","1-deoxy-D-xylulose 5-phosphate reductoisomerase (DXR)",-1.06935482298773,3.35990778161493,-6.97960402832114,1.30162957969785e-09,2.30032684861826e-06,11.5927425841294
"PF3D7_0824500","conserved Plasmodium protein, unknown function",-1.01595900487428,3.08558405703779,-6.94245103730886,1.52205128933718e-09,2.30032684861826e-06,11.5465453833008
"PF3D7_1372000","Plasmodium exported protein (PHISTa), unknown function",1.66330007475602,5.93174823883021,6.82009651458793,2.54552226715205e-09,2.88534948981685e-06,11.0521187486341
"PF3D7_1329500","conserved Plasmodium protein, unknown function",0.793973629483773,10.7515798253693,6.7239807928097,3.80854358488188e-09,2.96989667038143e-06,10.7123098530256
"PF3D7_1401300","aminopeptidase, putative",1.19432826533188,4.5802132392518,6.71647162221543,3.93016762732434e-09,2.96989667038143e-06,10.6454155988758
"PF3D7_1370300","membrane associated histidine-rich protein (MAHRP1)",1.43998571461763,9.40510018378718,6.44679692388817,1.20981383164862e-08,7.83613701813548e-06,9.61478275797291
"PF3D7_1226600","proliferating cell nuclear antigen 2 (PCNA2)",-1.05685919929207,3.35032878118293,-6.35332490845063,1.78230500980913e-08,1.01012136430932e-05,9.23833851526794
"PF3D7_1401500","lysophospholipase, putative",1.33869411697061,5.08505411537914,6.17870358191676,3.66247376815957e-08,1.84507289609283e-05,8.55995522142687
"PF3D7_1314300","conserved Plasmodium protein, unknown function",-0.743377452505921,2.91658728751342,-6.05191094997817,6.15898417508357e-08,2.79248342498289e-05,8.03244692864423
"PF3D7_0501400","interspersed repeat antigen (FIRA)",1.49940004383336,11.6942432303897,6.02312632186676,6.92758137527715e-08,2.83397320597883e-05,7.94901938443468
"PF3D7_1353200","membrane associated histidine-rich protein (MAHRP2)",1.54416319041733,7.78172760100264,6.00365289463429,7.50059075248035e-08,2.83397320597883e-05,7.85503173249523
"PF3D7_0220300","Plasmodium exported protein, unknown function",0.974836414884346,4.58018358939095,5.9455786542007,9.50250912179095e-08,2.93319803509209e-05,7.64855144277113
"PF3D7_0411000","conserved Plasmodium protein, unknown function",0.971428729470489,8.57026713529978,5.93511035853662,9.915813788315e-08,2.93319803509209e-05,7.6076331911276
"PF3D7_0936300","ring-exported protein 3 (REX3)",1.28942867517067,9.77615897570274,5.92387536092488,1.0379161547315e-07,2.93319803509209e-05,7.56162422838041
"PF3D7_0105800","conserved Plasmodium protein, unknown function",-0.72348995552552,4.12383342677063,-5.91582451794519,1.07242845330975e-07,2.93319803509209e-05,7.54075468125941
"PF3D7_1442200","GTP-binding protein, putative",-0.779208444213795,3.72298743748132,-5.90962219351463,1.09978752969928e-07,2.93319803509209e-05,7.51113796074345
"PF3D7_1246300","conserved Plasmodium protein, unknown function",1.20851810909493,7.12313735072731,5.85251154959988,1.38640522910716e-07,3.35763683389196e-05,7.29068591842231
"PF3D7_0410000","erythrocyte vesicle protein 1 (EVP1)",1.15660339482386,8.73187035449976,5.84886316523052,1.40703793215587e-07,3.35763683389196e-05,7.27182354893235
"PF3D7_0316400","conserved Plasmodium protein, unknown function",-0.647450239538053,4.63394715740809,-5.8120131016625,1.63319775427515e-07,3.70245930894178e-05,7.13482016466607
"PF3D7_0730800.1","Plasmodium exported protein, unknown function",1.20472434683916,9.80196095168242,5.73808012214489,2.20057842504015e-07,4.69076631571818e-05,6.84661877683076
"PF3D7_0809400","conserved Plasmodium protein, unknown function",-0.707176445612298,3.64961843398991,-5.72969869642104,2.27606658460079e-07,4.69076631571818e-05,6.82992250309654
