Protein_alias	Manual_Conf_Level	QC1	QC2	QC3	QC4	QC5
ACE2_1_p_r1	medium	0.009264472	0.006848107	0.011241934	0.007571762	0.010337444
ACE2_1_p_r2	high	0.010376349	0.006914352	0.008761374	0.007493242	0.0073483
ACE2_2_p_r1	high	0.005578428	0.00603741	0.004661881	0.004160023	0.003149307
ACE2_2_p_r2	high	0.006196484	0.004072563	0.003311031	0.003451293	0.00246405
ASE1_3_p_r1	medium	0.007211973	0.007857252	0.00366147	0.005790369	0.004662388
ASE1_3_p_r2	medium	0.002915534	0.003291689	0.003400465	0.001940863	0.002700201
ASH1_2_p_r1	medium	0.002256766	0.002508786	0.002534996	0.002491553	0.003225435
ASH1_2_p_r2	high	0.002087104	0.005286761	0.003163541	0.001281448	0.003730524
BCK2_2_p_r1	high	0.027986706	0.033863363	0.019015591	0.030725122	0.030366152
BCK2_2_p_r2	medium	0.12373609	0.081732852	0.110196157	0.08461221	0.104666978
BCK2_3_p_r1	medium	0.001089975	0.004758792	0	0.001370968	0.000838849
BCK2_3_p_r2	medium	0.003032784	0.0046335	0.001447281	0.000801943	0
CDC20_1_p_r1	medium	0.002114323	0.000893991	0.001440974	0.001480277	0.001359211
CDC20_1_p_r2	medium	0.012078074	0.007097241	0.008325679	0.007262804	0.012077021
CDC28_1_p_r1	high	0.344377982	0.323607469	0.338692662	0.331029403	0.341600368
CDC28_1_p_r2	high	0.345183777	0.387128476	0.367715397	0.384621287	0.360844264
CDC28_2_p_r1	high	0.281741882	0.275528365	0.273932918	0.276601961	0.258409104
CDC28_2_p_r2	high	0.302901558	0.292773868	0.282447954	0.258478621	0.282926976
CDC28_3_p_r1	medium	0.148469105	0.16412567	0.169342019	1.0003533	0.176995627
CDC28_3_p_r2	medium	2.147197365	0.362283696	2.163593233	2.142878471	2.140003022
CDH1_1_p_r1	medium	0.007854928	0.008109996	0.017112633	0.015847179	0.015723969
CDH1_1_p_r2	high	0.000798621	0.001001835	0.000573061	0.000255978	0.000564164
CDH1_3_p_r1	medium	0.002278496	0.000741402	0.002823649	0.002772601	0.00144672
CDH1_3_p_r2	high	0.00251015	0.003197488	0.002262498	0.002518086	0.003152748
CDH1_4_p_r1	medium	0.017760973	0.012255752	0.010515265	0.000947768	0.010951995
CDH1_5_p_r1	low	0.004716035	0.001157387	0.002259783	0.001433123	0.0004299
CDH1_5_p_r2	low	0.003474397	0.004288422	0.003033535	0.002093203	0.001266118
CIN8_1_p_r1	high	0.012416168	0.011238502	0.012816977	0.01231953	0.012994365
CIN8_1_p_r2	high	0.012542236	0.013887677	0.014499254	0.015736935	0.015339818
