Protein_alias	Manual_Conf_Level	QC1	QC2	QC3	QC4	QC5
ACE2_1_p_r1	high	0.01485159	0.009643526	0.009184358	0.012073186	0.009109144
ACE2_1_p_r2	high	0.010326446	0.011996748	0.014540502	0.013561231	0.014693787
ACE2_2_p_r1	high	0.005950513	0.004285883	0.00544366	0.006576583	0.008084456
ACE2_2_p_r2	high	0.006242235	0.009660007	0.009048052	0.009173413	0.008521298
ASH1_2_p_r1	high	0.002278832	0.002269868	0.002213015	0.003152995	0.002169514
ASH1_2_p_r2	high	0.003226286	0.002645096	0.003074977	0.002508173	0.001839287
BCK2_2_p_r1	medium	0.003806115	0.003727887	0.003272511	0.002063198	0.002646808
BCK2_2_p_r2	medium	0.025446477	0.026742088	0.038918537	0.023695072	0.016935549
BCK2_3_p_r2	medium	0.013323334	0.007395572	0.006600052	0.003864259	0.010535435
CDC20_1_p_r1	high	0.00016607	0	0.000119887	3.69E-05	7.81E-05
CDC20_1_p_r2	high	0.000685652	0.000651762	0	0.000478314	0
CDC28_1_p_r1	high	0.262535565	0.249119055	0.249583361	0.248787035	0.260104536
CDC28_1_p_r2	high	0.257896183	0.236756045	0.223567	0.228156235	0.22792104
CDC28_2_p_r1	high	0.207497176	0.192152061	0.201652565	0.19150336	0.193066247
CDC28_2_p_r2	high	0.196040056	0.182914223	0.171816199	0.172648701	0.181030359
CDH1_1_p_r1	medium	0.001053712	0.002653154	0.000665693	0.000164049	0.000487052
CDH1_1_p_r2	medium	0.002578006	0.001036139	0.000832161	0.003527296	0.00178708
CIC1_1_p_r1	medium	0.683732364	0.613850944	0.657510441	1.870583615	0.668820829
CIC1_1_p_r2	medium	1.901462426	1.172427009	1.748886041	1.72160479	1.228052862
CIC1_2_p_r1	high	0.170360313	0.179543372	0.163701869	0.169978692	0.173096272
CIC1_2_p_r2	high	0.515141644	0.48094121	0.49608115	0.481359559	0.480979552
CIN8_1_p_r1	high	0.005378437	0.003359527	0.007038015	0.004218545	0.003517054
CIN8_1_p_r2	high	0.00689258	0.006177873	0.005510189	0.005111801	0.006374297
CLB2_2_p_r1	medium	0.039003703	0.012442504	0.002666947	0.017552778	0.00125957
CLB2_2_p_r2	medium	0.006796044	0.01054653	0.001090381	0.012288688	0.038907007
CLB5_1_p_r1	high	0.007338609	0.007257333	0.007528993	0.007595584	0.008031948
CLB5_1_p_r2	high	0.008003551	0.008310669	0.007989654	0.008425698	0.008792955
CLB6_1_p_r1	medium	0.054831111	0.025386804	0.040629059	0.043564842	0.036252523
CLB6_1_p_r2	medium	0.023243197	0.020565098	0.020337469	0.027991608	0.025470421
CLB6_2_p_r2	medium	0.003305904	0.00626599	0.003331461	0.011098174	0.002844118
CLN2_1_p_r1	high	0.002701443	0.004351976	0.002230827	0.003804524	0.000705914
CLN2_1_p_r2	high	0.002499613	0.004273503	0.006265176	0.003566691	0.002904946
CLN2_2_p_r1	high	0.006313863	0.002308503	0.005100868	0.008813251	0.002150549
CLN2_2_p_r2	high	0.005300854	0.004903032	0.00227429	0.002661458	0.005396314
CLN3_2_p_r1	medium	0	0	0	0.000350935	0
CLN3_2_p_r2	medium	0.001238724	0	0	0	0.000919166
CLN3_3_p_r2	medium	0.004986491	0.00438729	0.005840677	0.004215021	0.005009577
ELM1_1_p_r1	medium	0.546173532	0.47539008	0.367583816	0.499430716	0.415201751
ELM1_1_p_r2	medium	0.767199898	0.781796972	0.580312801	0.654899449	0.688511526
ELM1_2_p_r1	high	0.010100804	0.015167369	0.009113734	0.010979832	0.010266006
ELM1_2_p_r2	high	0.011990177	0.012352356	0.012019411	0.013314033	0.011098403
FHL1_1_p_r1	high	0.017021057	0.018426108	0.018590888	0.01993528	0.021057297
FHL1_1_p_r2	high	0.02515719	0.023242731	0.023163346	0.02463885	0.023205765
FHL1_2_p_r1	high	0.018831754	0.017722573	0.01828422	0.009740917	0.010154726
FHL1_2_p_r2	high	0.018016195	0.017189443	0.015394961	0.015229166	0.018038212
FHL1_3_p_r2	medium	0.009574229	0.02710002	0.014139434	0.028458934	0.02798572
FKH1_1_p_r1	high	0.047135474	0.037057575	0.030125425	0.031515924	0.026417777
FKH1_1_p_r2	medium	0.052224563	0.059650781	0.057740781	0.06054877	0.053751127
FKH1_2_p_r1	medium	0.035808056	0.030306335	0.027419794	0.030574141	0.032345691
FKH2_1_p_r1	medium	0.011103626	0.008691688	0.010015795	0.012591607	0.013037492
FKH2_1_p_r2	high	0.016498207	0.014589565	0.014524595	0.014190341	0.015986259
FKH2_2_p_r1	medium	0.087935111	0.081457393	0.093263587	0.133322592	0.121817557
FKH2_2_p_r2	medium	0.07675226	0.121128743	0.055048085	0.123848353	0.111094607
GAT1_1_p_r1	high	0.066743423	0.055957362	0.05273162	0.059881913	0.023101336
GAT1_1_p_r2	high	0.068375671	0.066354017	0.065368332	0.05867086	0.064370087
GAT1_2_p_r1	medium	0.02155568	0.030895918	0.021973531	0.019933784	0.018852699
GAT1_2_p_r2	high	0.034839577	0.019179527	0.021376877	0.026787271	0.016618991
HCM1_1_p_r1	high	0.002088787	0.001576239	0.002663086	0.002250999	0.002361986
HCM1_1_p_r2	high	0.004131294	0.002945762	0.002897949	0.004253455	0.003871902
HCM1_2_p_r1	high	0.003963835	0.00472122	0.0041728	0.003039795	0.004549221
HCM1_2_p_r2	high	0.003318905	0.002244822	0.003499905	0.001625875	0.003559001
INO4_1_p_r1	high	0.014088947	0.013741324	0.01319957	0.013899738	0.013692639
INO4_1_p_r2	high	0.040020677	0.034998327	0.035598256	0.035141767	0.034044142
