pro	pep	rep	conf	qc1	qc2	qc3	qc4	qc5	mean	std	cov
ACE2	1	r1	high	0.01485159	0.009643526	0.009184358	0.012073186	0.009109144	0.0109723608	0.00248468147301565	0.226449122327042
ACE2	1	r2	high	0.010326446	0.011996748	0.014540502	0.013561231	0.014693787	0.0130237428	0.00185125822161542	0.142144869569708
ACE2	2	r1	high	0.005950513	0.004285883	0.00544366	0.006576583	0.008084456	0.006068219	0.00140572897996716	0.231654292629708
ACE2	2	r2	high	0.006242235	0.009660007	0.009048052	0.009173413	0.008521298	0.008529001	0.00134100833455147	0.157229238752753
ASH1	2	r1	high	0.002278832	0.002269868	0.002213015	0.003152995	0.002169514	0.0024168448	0.000413909996756179	0.171260478437084
ASH1	2	r2	high	0.003226286	0.002645096	0.003074977	0.002508173	0.001839287	0.0026587638	0.000545371776609039	0.205122311582939
BCK2	2	r1	medium	0.003806115	0.003727887	0.003272511	0.002063198	0.002646808	0.0031033038	0.000742106347451428	0.239134288899278
BCK2	2	r2	medium	0.025446477	0.026742088	0.038918537	0.023695072	0.016935549	0.0263475446	0.00797838814083524	0.302813346061676
BCK2	3	r2	medium	0.013323334	0.007395572	0.006600052	0.003864259	0.010535435	0.0083437304	0.00366077532103273	0.438745638405662
CDC20	1	r1	high	0.00016607	0	0.000119887	3.69e-05	7.81e-05	8.01914e-05	6.56887633069766e-05	0.819149725618665
CDC20	1	r2	high	0.000685652	0.000651762	0	0.000478314	0	0.0003631456	0.000340706258508411	0.938208416977683
CDC28	1	r1	high	0.262535565	0.249119055	0.249583361	0.248787035	0.260104536	0.2540259104	0.00671980656605813	0.0264532328827277
CDC28	1	r2	high	0.257896183	0.236756045	0.223567	0.228156235	0.22792104	0.2348593006	0.0137375597493017	0.0584927218730792
CDC28	2	r1	high	0.207497176	0.192152061	0.201652565	0.19150336	0.193066247	0.1971742818	0.0070865219047759	0.0359403966890772
CDC28	2	r2	high	0.196040056	0.182914223	0.171816199	0.172648701	0.181030359	0.1808899076	0.00979660974467773	0.0541578569786263
CDH1	1	r1	medium	0.001053712	0.002653154	0.000665693	0.000164049	0.000487052	0.001004732	0.000975881916895431	0.971285792525201
CDH1	1	r2	medium	0.002578006	0.001036139	0.000832161	0.003527296	0.00178708	0.0019521364	0.00111730482303054	0.57234977178364
CIC1	1	r1	medium	0.683732364	0.613850944	0.657510441	1.870583615	0.668820829	0.8988996386	0.543811655743373	0.604974829659892
CIC1	1	r2	medium	1.901462426	1.172427009	1.748886041	1.72160479	1.228052862	1.5544866256	0.331149653592642	0.213028306669943
CIC1	2	r1	high	0.170360313	0.179543372	0.163701869	0.169978692	0.173096272	0.1713361036	0.00573440752956871	0.0334687634951488
CIC1	2	r2	high	0.515141644	0.48094121	0.49608115	0.481359559	0.480979552	0.490900623	0.0150259310731804	0.0306089060986594
CIN8	1	r1	high	0.005378437	0.003359527	0.007038015	0.004218545	0.003517054	0.0047023156	0.00152926388442669	0.325215067322722
CIN8	1	r2	high	0.00689258	0.006177873	0.005510189	0.005111801	0.006374297	0.006013348	0.000706462585445967	0.117482405050559
CLB2	2	r1	medium	0.039003703	0.012442504	0.002666947	0.017552778	0.00125957	0.0145851004	0.0152420317175469	1.045041261255
CLB2	2	r2	medium	0.006796044	0.01054653	0.001090381	0.012288688	0.038907007	0.01392573	0.0146094293703663	1.04909612425103
CLB5	1	r1	high	0.007338609	0.007257333	0.007528993	0.007595584	0.008031948	0.0075504934	0.000302130758265854	0.0400147039749554
CLB5	1	r2	high	0.008003551	0.008310669	0.007989654	0.008425698	0.008792955	0.0083045054	0.000332796335226667	0.0400741909598454
CLB6	1	r1	medium	0.054831111	0.025386804	0.040629059	0.043564842	0.036252523	0.0401328678	0.0107304063196988	0.267372029658414
CLB6	1	r2	medium	0.023243197	0.020565098	0.020337469	0.027991608	0.025470421	0.0235215586	0.00326863799361099	0.138963495115115
CLB6	2	r2	medium	0.003305904	0.00626599	0.003331461	0.011098174	0.002844118	0.0053691294	0.00347890015286136	0.647944926203746
CLN2	1	r1	high	0.002701443	0.004351976	0.002230827	0.003804524	0.000705914	0.0027589368	0.00142549417753588	0.516682432716792
CLN2	1	r2	high	0.002499613	0.004273503	0.006265176	0.003566691	0.002904946	0.0039019858	0.00148289020051577	0.380034750643062
CLN2	2	r1	high	0.006313863	0.002308503	0.005100868	0.008813251	0.002150549	0.0049374068	0.00281163791606302	0.569456402916409
CLN2	2	r2	high	0.005300854	0.004903032	0.00227429	0.002661458	0.005396314	0.0041071896	0.00151407581935807	0.368640351874203
CLN3	2	r1	medium	0	0	0	0.000350935	0	7.0187e-05	0.000156942903136778	2.23606797749979
CLN3	2	r2	medium	0.001238724	0	0	0	0.000919166	0.000431578	0.000601665487067357	1.39410601807172
CLN3	3	r2	medium	0.004986491	0.00438729	0.005840677	0.004215021	0.005009577	0.0048878112	0.000639469696438541	0.130829459296329
ELM1	1	r1	medium	0.546173532	0.47539008	0.367583816	0.499430716	0.415201751	0.460755979	0.0702892064996108	0.152551914035197
ELM1	1	r2	medium	0.767199898	0.781796972	0.580312801	0.654899449	0.688511526	0.6945441292	0.0829891689144818	0.119487251314141
ELM1	2	r1	high	0.010100804	0.015167369	0.009113734	0.010979832	0.010266006	0.011125549	0.00235551790667084	0.211721498567922
ELM1	2	r2	high	0.011990177	0.012352356	0.012019411	0.013314033	0.011098403	0.012154876	0.000797536053668422	0.0656144952583985
FHL1	1	r1	high	0.017021057	0.018426108	0.018590888	0.01993528	0.021057297	0.019006126	0.00154272259647401	0.0811697552922677
FHL1	1	r2	high	0.02515719	0.023242731	0.023163346	0.02463885	0.023205765	0.0238815764	0.000946223118867479	0.039621468156829
FHL1	2	r1	high	0.018831754	0.017722573	0.01828422	0.009740917	0.010154726	0.014946838	0.0045826124266075	0.30659410549626
FHL1	2	r2	high	0.018016195	0.017189443	0.015394961	0.015229166	0.018038212	0.0167735954	0.00137859830242435	0.0821885987797434
FHL1	3	r2	medium	0.009574229	0.02710002	0.014139434	0.028458934	0.02798572	0.0214516674	0.00891966669667145	0.415802955096696
FKH1	1	r1	high	0.047135474	0.037057575	0.030125425	0.031515924	0.026417777	0.034450435	0.00805524757945567	0.233821360440171
FKH1	1	r2	medium	0.052224563	0.059650781	0.057740781	0.06054877	0.053751127	0.0567832044	0.00365014169461348	0.0642820660296072
FKH1	2	r1	medium	0.035808056	0.030306335	0.027419794	0.030574141	0.032345691	0.0312908034	0.0030816333210613	0.098483675272502
FKH2	1	r1	medium	0.011103626	0.008691688	0.010015795	0.012591607	0.013037492	0.0110880416	0.00179955077693748	0.162296539087433
FKH2	1	r2	high	0.016498207	0.014589565	0.014524595	0.014190341	0.015986259	0.0151577934	0.0010176998260837	0.0671403679432458
FKH2	2	r1	medium	0.087935111	0.081457393	0.093263587	0.133322592	0.121817557	0.103559248	0.0226816488623762	0.219020988471993
FKH2	2	r2	medium	0.07675226	0.121128743	0.055048085	0.123848353	0.111094607	0.0975744096	0.0302901496339531	0.310431287856371
GAT1	1	r1	high	0.066743423	0.055957362	0.05273162	0.059881913	0.023101336	0.0516831308	0.0168101145642683	0.325253410620942
GAT1	1	r2	high	0.068375671	0.066354017	0.065368332	0.05867086	0.064370087	0.0646277934	0.00364438952228303	0.0563904371564545
GAT1	2	r1	medium	0.02155568	0.030895918	0.021973531	0.019933784	0.018852699	0.0226423224	0.00478140512163091	0.211171143894273
GAT1	2	r2	high	0.034839577	0.019179527	0.021376877	0.026787271	0.016618991	0.0237604486	0.00723835984313952	0.304639022814557
HCM1	1	r1	high	0.002088787	0.001576239	0.002663086	0.002250999	0.002361986	0.0021882194	0.000401260890631395	0.18337324430603
HCM1	1	r2	high	0.004131294	0.002945762	0.002897949	0.004253455	0.003871902	0.0036200724	0.000652321989147461	0.180195840599061
HCM1	2	r1	high	0.003963835	0.00472122	0.0041728	0.003039795	0.004549221	0.0040893742	0.000658601671415052	0.161051945653458
HCM1	2	r2	high	0.003318905	0.002244822	0.003499905	0.001625875	0.003559001	0.0028497016	0.000867417547687848	0.304388904328737
INO4	1	r1	high	0.014088947	0.013741324	0.01319957	0.013899738	0.013692639	0.0137244436	0.00033180552728413	0.0241762461892539
INO4	1	r2	high	0.040020677	0.034998327	0.035598256	0.035141767	0.034044142	0.0359606338	0.00233905891806592	0.0650449858885946
INO4	2	r1	medium	0.020487268	0.028953298	0.0207721	0.016076261	0.013901541	0.0200380936	0.00577872797191616	0.288387113428603
INO4	3	r2	high	0.025809905	0.018819199	0.020076167	0.018813843	0.019748492	0.0206535212	0.00293640355839336	0.142174476204734
IXR1	2	r1	high	0.183507829	0.142778888	0.136811328	0.14067443	0.154146874	0.1515838698	0.0189768262231424	0.125190274190654
IXR1	2	r2	high	0.162258368	0.161258548	0.169194322	0.16950065	0.18330017	0.1691024116	0.00880497748298852	0.0520689054619522
MBP1	1	r1	high	0.023226195	0.028843719	0.026632194	0.025658813	0.030891776	0.0270505394	0.00294567976157479	0.108895416761072
MBP1	1	r2	high	0.058289412	0.04247465	0.050886345	0.047957172	0.046539736	0.049229463	0.0059014571978602	0.119876529993029
MBP1	2	r1	medium	0.008909729	0.005218167	0.002517095	0.003017283	0.006509116	0.005234278	0.00261880515834416	0.500318316746677
MBP1	2	r2	medium	0.010095041	0.008551204	0.008492257	0.00777438	0.008709585	0.0087244934	0.000846360062082504	0.0970096512517855
MCM1	1	r1	high	0.17493147	0.151467844	0.142242423	0.154655662	0.155171633	0.1556938064	0.0119398134744821	0.0766877870774573
MCM1	1	r2	high	0.174210808	0.135783576	0.139882589	0.138583227	0.141223082	0.1459366564	0.0159331033540041	0.109178212979834
MET32	1	r1	medium	0.001894786	0.000840151	0.001837906	0.001840358	0.002106314	0.001703903	0.000495231062522334	0.290645102756632
MET32	1	r2	medium	0.010561022	0.003987316	0.010872265	0.007637251	0.007471797	0.0081059302	0.00279574909498397	0.344901698633424
MSN2	1	r1	medium	0.020101023	0.017447049	0.021063079	0.020444976	0.017179816	0.0192471886	0.0018010911852092	0.0935768450468244
MSN2	1	r2	high	0.031048226	0.024663896	0.030961418	0.028850186	0.024957741	0.0280962934	0.0031274215489711	0.111310823262228
MSN2	2	r1	medium	0.01651154	0.015288362	0.010513306	0.011026923	0.010391478	0.0127463218	0.00292090814606163	0.229156943618168
MSN2	2	r2	medium	0.004271497	0.006931193	0.007564861	0.010504587	0.008191574	0.0074927424	0.00225036298448912	0.300339030004438
MSN4	2	r1	high	0.029534437	0.023733789	0.022748477	0.023905339	0.026722434	0.0253288952	0.00277749736045693	0.109657264500701
MSN4	2	r2	high	0.027388671	0.026400925	0.026322281	0.02973656	0.026503916	0.0272704706	0.00144380982873102	0.0529440745599389
MSN4	3	r2	medium	0.055168982	0.049737499	0.039019024	0.052408263	0.050563038	0.0493793612	0.00615548323590818	0.12465700418798
NDD1	1	r1	high	0	0.007845899	0.004033012	0.006930078	0.008895675	0.0055409328	0.00358722212273908	0.647404011602358
NDD1	1	r2	high	0.010257877	0.00646518	0.004326619	0.005246795	0.005962513	0.0064517968	0.00227454579286903	0.352544548964876
NDD1	2	r1	high	0.002706907	0.001777238	0.002404117	0.004778042	0.003208927	0.0029750462	0.00113336857965567	0.380958312397187
NDD1	2	r2	high	0.005425749	0.006183829	0.009196118	0.005218721	0.006130631	0.0064310096	0.00160291473102183	0.249247759017781
NRM1	1	r1	high	0.010960296	0.009488108	0.009949273	0.009191407	0.010525381	0.010022893	0.000726980474870887	0.0725319999795355
NRM1	1	r2	high	0.011347855	0.017992983	0.016903691	0.018520098	0.016100414	0.0161730082	0.00285667680519948	0.176632372275646
NRM1	2	r1	high	0.00725483	0.005541947	0.004827847	0.00640017	0.000488266	0.004902612	0.00263041817673797	0.536534030581651
NRM1	2	r2	high	0.003423545	0.005903706	0.005765001	0.004869567	0.005165051	0.005025374	0.00099097891402542	0.197195057328155
PCL1	1	r1	high	0.003434209	0.00402509	0.002685149	0.002429255	0.002262251	0.0029671908	0.000742145427120723	0.250117190684442
PCL1	1	r2	high	0.003008133	0.002570133	0.002450952	0.002879705	0.002450523	0.0026718892	0.000257107888274942	0.0962270023303893
PCL1	2	r1	low	0	0.030884312	0.025990729	0.157026043	0.061448804	0.0550699776	0.0610306895148059	1.10823886579547
PCL2	2	r1	high	0.003786896	0.00251011	0.003663442	0.004271814	0.003283258	0.003503104	0.000657938178205217	0.187815770872123
PCL2	2	r2	high	0.00542149	0.005640283	0.004880147	0.00635047	0.006584983	0.0057754746	0.000694823167568771	0.120305813061453
PDS1	2	r1	high	0.007583581	0.002794541	0.002694799	0.004113348	0.003797212	0.0041966962	0.00199118417036313	0.474464692098305
